,Unnamed: 0.1,Unnamed: 0,Date,DOW,DOW_6m,DOW_12m
859,859,859,2022-08-16,51.80781936645508,48.15144729614258,49.13016891479492
860,860,860,2022-08-17,51.2076530456543,48.6777458190918,48.43767547607422
861,861,861,2022-08-18,51.7247200012207,49.89653396606445,47.597450256347656
862,862,862,2022-08-19,51.23535919189453,51.02298355102539,47.54205322265625
863,863,863,2022-08-22,50.238162994384766,51.64162063598633,47.08038711547852
864,864,864,2022-08-23,51.35538864135742,51.09685516357422,47.54205322265625
865,865,865,2022-08-24,50.081199645996094,51.80781936645508,48.15144729614258
866,866,866,2022-08-25,51.48464584350586,51.2076530456543,48.6777458190918
867,867,867,2022-08-26,50.284324645996094,51.7247200012207,49.89653396606445
868,868,868,2022-08-29,49.46256637573242,51.23535919189453,51.02298355102539
869,869,869,2022-08-30,48.06859588623047,50.238162994384766,51.64162063598633
870,870,870,2022-08-31,47.71308898925781,51.35538864135742,51.09685516357422
871,871,871,2022-09-01,46.740116119384766,50.081199645996094,51.80781936645508
872,872,872,2022-09-02,46.13200759887695,51.48464584350586,51.2076530456543
873,873,873,2022-09-06,45.45840835571289,50.284324645996094,51.7247200012207
874,874,874,2022-09-07,45.81392288208008,49.46256637573242,51.23535919189453
875,875,875,2022-09-08,46.21620941162109,48.06859588623047,50.238162994384766
876,876,876,2022-09-09,47.25466537475586,47.71308898925781,51.35538864135742
877,877,877,2022-09-12,47.64760208129883,46.740116119384766,50.081199645996094
878,878,878,2022-09-13,44.784812927246094,46.13200759887695,51.48464584350586
879,879,879,2022-09-14,44.036376953125,45.45840835571289,50.284324645996094
880,880,880,2022-09-15,43.88668441772461,45.81392288208008,49.46256637573242
881,881,881,2022-09-16,43.42826461791992,46.21620941162109,48.06859588623047
882,882,882,2022-09-19,43.72764205932617,47.25466537475586,47.71308898925781
883,883,883,2022-09-20,43.11953353881836,47.64760208129883,46.740116119384766
884,884,884,2022-09-21,42.08107376098633,44.784812927246094,46.13200759887695
885,885,885,2022-09-22,41.88460540771485,44.036376953125,45.45840835571289
886,886,886,2022-09-23,41.0706787109375,43.88668441772461,45.81392288208008
887,887,887,2022-09-26,40.59354782104492,43.42826461791992,46.21620941162109
888,888,888,2022-09-27,40.96776580810547,43.72764205932617,47.25466537475586
889,889,889,2022-09-28,42.14656066894531,43.11953353881836,47.64760208129883
890,890,890,2022-09-29,41.313926696777344,42.08107376098633,44.784812927246094
891,891,891,2022-09-30,41.0987434387207,41.88460540771485,44.036376953125
892,892,892,2022-10-03,42.36173629760742,41.0706787109375,43.88668441772461
893,893,893,2022-10-04,43.61537170410156,40.59354782104492,43.42826461791992
894,894,894,2022-10-05,43.09147262573242,40.96776580810547,43.72764205932617
895,895,895,2022-10-06,42.58626937866211,42.14656066894531,43.11953353881836
896,896,896,2022-10-07,41.54780960083008,41.313926696777344,42.08107376098633
897,897,897,2022-10-10,41.98751449584961,41.0987434387207,41.88460540771485
898,898,898,2022-10-11,41.11745834350586,42.36173629760742,41.0706787109375
899,899,899,2022-10-12,40.98648071289063,43.61537170410156,40.59354782104492
900,900,900,2022-10-13,42.960487365722656,43.09147262573242,40.96776580810547
901,901,901,2022-10-14,42.21205139160156,42.58626937866211,42.14656066894531
902,902,902,2022-10-17,42.34302520751953,41.54780960083008,41.313926696777344
903,903,903,2022-10-18,43.39084243774414,41.98751449584961,41.0987434387207
904,904,904,2022-10-19,42.22140502929688,41.11745834350586,42.36173629760742
905,905,905,2022-10-20,42.0342903137207,40.98648071289063,43.61537170410156
906,906,906,2022-10-21,43.84926223754883,42.960487365722656,43.09147262573242
907,907,907,2022-10-24,44.00830459594727,42.21205139160156,42.58626937866211
908,908,908,2022-10-25,44.7661018371582,42.34302520751953,41.54780960083008
909,909,909,2022-10-26,44.89707946777344,43.39084243774414,41.98751449584961
910,910,910,2022-10-27,44.55092239379883,42.22140502929688,41.11745834350586
911,911,911,2022-10-28,44.41994857788086,42.0342903137207,40.98648071289063
912,912,912,2022-10-31,43.72764205932617,43.84926223754883,42.960487365722656
913,913,913,2022-11-01,43.905399322509766,44.00830459594727,42.21205139160156
914,914,914,2022-11-02,43.905399322509766,44.7661018371582,42.34302520751953
915,915,915,2022-11-03,43.49375534057617,44.89707946777344,43.39084243774414
916,916,916,2022-11-04,45.87004852294922,44.55092239379883,42.22140502929688
917,917,917,2022-11-07,46.30976104736328,44.41994857788086,42.0342903137207
918,918,918,2022-11-08,46.45009994506836,43.72764205932617,43.84926223754883
919,919,919,2022-11-09,44.60706329345703,43.905399322509766,44.00830459594727
920,920,920,2022-11-10,46.740116119384766,43.905399322509766,44.7661018371582
921,921,921,2022-11-11,49.71516799926758,43.49375534057617,44.89707946777344
922,922,922,2022-11-14,48.60186004638672,45.87004852294922,44.55092239379883
923,923,923,2022-11-15,48.27441787719727,46.30976104736328,44.41994857788086
924,924,924,2022-11-16,47.25466537475586,46.45009994506836,43.72764205932617
925,925,925,2022-11-17,46.8991584777832,44.60706329345703,43.905399322509766
926,926,926,2022-11-18,46.8430290222168,46.740116119384766,43.905399322509766
927,927,927,2022-11-21,46.93657684326172,49.71516799926758,43.49375534057617
928,928,928,2022-11-22,48.24635314941406,48.60186004638672,45.87004852294922
929,929,929,2022-11-23,48.22764205932617,48.27441787719727,46.30976104736328
930,930,930,2022-11-25,48.23699569702149,47.25466537475586,46.45009994506836
931,931,931,2022-11-28,46.96464538574219,46.8991584777832,44.60706329345703
932,932,932,2022-11-29,48.05574798583984,46.8430290222168,46.740116119384766
933,933,933,2022-11-30,48.35935592651367,46.93657684326172,49.71516799926758
934,934,934,2022-12-01,48.45423126220703,48.24635314941406,48.60186004638672
935,935,935,2022-12-02,48.909645080566406,48.22764205932617,48.27441787719727
936,936,936,2022-12-05,48.62501525878906,48.23699569702149,47.25466537475586
937,937,937,2022-12-06,48.43525695800781,46.96464538574219,46.8991584777832
938,938,938,2022-12-07,48.10317993164063,48.05574798583984,46.8430290222168
939,939,939,2022-12-08,47.97035217285156,48.35935592651367,46.93657684326172
940,940,940,2022-12-09,47.62879180908203,48.45423126220703,48.24635314941406
941,941,941,2022-12-12,48.492183685302734,48.909645080566406,48.22764205932617
942,942,942,2022-12-13,48.91913604736328,48.62501525878906,48.23699569702149
943,943,943,2022-12-14,48.72937774658203,48.43525695800781,46.96464538574219
944,944,944,2022-12-15,46.99311065673828,48.10317993164063,48.05574798583984
945,945,945,2022-12-16,47.2492790222168,47.97035217285156,48.35935592651367
946,946,946,2022-12-19,46.8033561706543,47.62879180908203,48.45423126220703
947,947,947,2022-12-20,47.11645126342773,48.492183685302734,48.909645080566406
948,948,948,2022-12-21,48.0747184753418,48.91913604736328,48.62501525878906
949,949,949,2022-12-22,47.6003303527832,48.72937774658203,48.43525695800781
950,950,950,2022-12-23,48.25498580932617,46.99311065673828,48.10317993164063
