,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TPR,TPR_6m,TPR_12m,TPR_6m_ret,TPR_12m_ret
965,965,965,965,2022-12-02,37.14875411987305,35.37793731689453,33.482688903808594,0.050054269335054524,0.10949136213631405
966,966,966,966,2022-12-05,35.559810638427734,35.48322677612305,32.87965774536133,0.002158311666182078,0.08151401434355021
967,967,967,967,2022-12-06,35.693809509277344,34.91848373413086,33.39654541015625,0.022203878640602248,0.06878747699522458
968,968,968,968,2022-12-07,35.17692947387695,35.65552520751953,33.49226379394531,-0.013422764939152954,0.05030014364798463
969,969,969,969,2022-12-08,35.64016342163086,36.153263092041016,33.0806770324707,-0.014192347426672858,0.07737104009835916
970,970,970,970,2022-12-09,35.11902618408203,36.8328742980957,34.67918395996094,-0.04653039293494077,0.012683176877198665
971,971,971,971,2022-12-12,36.02619171142578,37.14875411987305,35.37793731689453,-0.03021803651408972,0.018323691082511973
972,972,972,972,2022-12-13,37.02022171020508,35.559810638427734,35.48322677612305,0.04106914647625115,0.04331609816039306
973,973,973,973,2022-12-14,36.73069381713867,35.693809509277344,34.91848373413086,0.02904941563023211,0.05189830397006845
974,974,974,974,2022-12-15,35.99723815917969,35.17692947387695,35.65552520751953,0.023319507915320115,0.009583730702923177
975,975,975,975,2022-12-16,35.321685791015625,35.64016342163086,36.153263092041016,-0.008935919480715482,-0.023001445233541307
976,976,976,976,2022-12-19,34.68473815917969,35.11902618408203,36.8328742980957,-0.012366175036458982,-0.058321164987851004
977,977,977,977,2022-12-20,34.69439697265625,36.02619171142578,37.14875411987305,-0.03696740275623278,-0.06606835694400359
978,978,978,978,2022-12-21,35.86212921142578,37.02022171020508,35.559810638427734,-0.031282700245419015,0.008501692432280494
979,979,979,979,2022-12-22,36.09375381469727,36.73069381713867,35.693809509277344,-0.01734081053879255,0.01120486467873305
980,980,980,980,2022-12-23,36.1130485534668,35.99723815917969,35.17692947387695,0.0032172022135419365,0.026611733701346063
981,981,981,981,2022-12-27,36.77894973754883,35.321685791015625,35.64016342163086,0.04125691947873755,0.031952331487537844
982,982,982,982,2022-12-28,35.63050842285156,34.68473815917969,35.11902618408203,0.027267620108055057,0.014564248908512267
983,983,983,983,2022-12-29,36.40257263183594,34.69439697265625,36.02619171142578,0.04923491422911752,0.01044742456890857
984,984,984,984,2022-12-30,36.75,35.86212921142578,37.02022171020508,0.024757893858999847,-0.007299300158718047
