,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKR,BKR_6m,BKR_12m,BKR_6m_ret,BKR_12m_ret
319,319,319,319,2020-05-12,12.98495864868164,12.450234413146973,11.960064888000488,0.04294892913582582,0.08569299333061542
320,320,320,320,2020-05-13,12.129395484924316,12.120484352111816,12.120484352111816,0.0007352125998947301,0.0007352125998947301
321,321,321,321,2020-05-14,12.476967811584473,11.523371696472168,12.6552095413208,0.08275322017116249,-0.014084455034454213
322,322,322,322,2020-05-15,12.263078689575195,12.494791984558104,13.19884967803955,-0.01854479012289878,-0.07089791999232364
323,323,323,323,2020-05-18,13.671192169189451,13.377092361450195,12.43240737915039,0.021985331325571567,0.0996415860790203
324,324,324,324,2020-05-19,12.93148708343506,13.02952003479004,12.209604263305664,-0.007523911171955944,0.059124178356780854
325,325,325,325,2020-05-20,13.911818504333496,12.98495864868164,12.450234413146973,0.07137949998369542,0.11739410220607138
326,326,326,326,2020-05-21,13.7424898147583,12.129395484924316,12.120484352111816,0.13299049666893192,0.1338234855576439
327,327,327,327,2020-05-22,13.634281158447266,12.476967811584473,11.523371696472168,0.09275597760124565,0.1831850536090356
328,328,328,328,2020-05-26,14.436827659606934,12.263078689575195,12.494791984558104,0.17725964458497967,0.15542761155599294
329,329,329,329,2020-05-27,14.932782173156738,13.671192169189451,13.377092361450195,0.09228090632874819,0.11629506395498135
330,330,330,330,2020-05-28,14.779489517211914,12.93148708343506,13.02952003479004,0.14290718630064614,0.13430805415313007
331,331,331,331,2020-05-29,14.887696266174316,13.911818504333496,12.98495864868164,0.07014739025935657,0.146533975884926
332,332,332,332,2020-06-01,14.725383758544922,13.7424898147583,12.129395484924316,0.07152226103388304,0.2140245387205959
333,333,333,333,2020-06-02,15.428739547729492,13.634281158447266,12.476967811584473,0.13161371460866866,0.23657765097417283
334,334,334,334,2020-06-03,15.627121925354004,14.436827659606934,12.263078689575195,0.08244846401245165,0.2743228940248561
335,335,335,335,2020-06-04,15.464810371398926,14.932782173156738,13.671192169189451,0.03562820324256544,0.1311969124574024
336,336,336,336,2020-06-05,16.00585174560547,14.779489517211914,12.93148708343506,0.08297730628418232,0.23774254595270783
337,337,337,337,2020-06-08,17.187129974365234,14.887696266174316,13.911818504333496,0.15445194925257577,0.23543374067247114
338,338,338,338,2020-06-09,16.835451126098633,14.725383758544922,13.7424898147583,0.14329455871255448,0.2250655705794118
339,339,339,339,2020-06-10,15.563995361328123,15.428739547729492,13.634281158447266,0.00876648498603605,0.14153398924777805
340,340,340,340,2020-06-11,14.09416675567627,15.627121925354004,14.436827659606934,-0.09809580913236571,-0.023735193908936192
341,341,341,341,2020-06-12,14.373706817626951,15.464810371398926,14.932782173156738,-0.07055395621209126,-0.037439463661017136
342,342,342,342,2020-06-15,14.743417739868164,16.00585174560547,14.779489517211914,-0.07887327871095118,-0.002440664632005096
343,343,343,343,2020-06-16,15.185272216796877,17.187129974365234,14.887696266174316,-0.11647423162297299,0.019988045517738584
344,344,344,344,2020-06-17,14.517986297607422,16.835451126098633,14.725383758544922,-0.13765385977086375,-0.01408435014925502
345,345,345,345,2020-06-18,14.527002334594728,15.563995361328123,15.428739547729492,-0.06662768798492535,-0.058445293625263406
346,346,346,346,2020-06-19,13.967923164367676,14.09416675567627,15.627121925354004,-0.008957151813018704,-0.10617430189076493
347,347,347,347,2020-06-22,13.841679573059082,14.373706817626951,15.464810371398926,-0.037013920717753,-0.10495639838828608
