,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TGT,TGT_6m,TGT_12m,TGT_6m_ret,TGT_12m_ret
155,155,155,155,2019-09-17,97.81678009033205,98.42767333984376,98.409423828125,-0.0062065192519839,-0.006022225461130848
156,156,156,156,2019-09-18,97.53411865234376,99.23004913330078,97.5979461669922,-0.0170908963138654,-0.0006539841990038653
157,157,157,157,2019-09-19,98.354736328125,99.35769653320312,97.29705810546876,-0.010094438982318321,0.010870608456729824
158,158,158,158,2019-09-20,97.26057434082033,99.33036041259766,97.88971710205078,-0.020837396171521694,-0.006427056690485378
159,159,159,159,2019-09-23,99.18446350097656,98.46414947509766,98.9656219482422,0.007315495332248512,0.0022112886114009633
160,160,160,160,2019-09-24,97.97177124023438,97.5250015258789,100.16006469726562,0.004581078773292058,-0.021847963693368055
161,161,161,161,2019-09-25,97.3791275024414,97.81678009033205,98.42767333984376,-0.004474207671592456,-0.010652957667525276
162,162,162,162,2019-09-26,96.9140853881836,97.53411865234376,99.23004913330078,-0.006357090961884304,-0.02333933889326245
163,163,163,163,2019-09-27,96.75910186767578,98.354736328125,99.35769653320312,-0.016223260007794282,-0.02615393428186963
164,164,164,164,2019-09-30,97.47941589355467,97.26057434082033,99.33036041259766,0.0022500540863297225,-0.0186342273535961
165,165,165,165,2019-10-01,96.59497833251952,99.18446350097656,98.46414947509766,-0.026107770078642956,-0.01898326601653999
166,166,166,166,2019-10-02,95.88378143310548,97.97177124023438,97.5250015258789,-0.021312157376526142,-0.01682871127500485
167,167,167,167,2019-10-03,97.2149887084961,97.3791275024414,97.81678009033205,-0.0016855644341360332,-0.006152230540406367
168,168,168,168,2019-10-04,99.47623443603516,96.9140853881836,97.53411865234376,0.026437323713978556,0.0199121682804555
169,169,169,169,2019-10-07,98.42767333984376,96.75910186767578,98.354736328125,0.017244594461509832,0.0007415709140374815
170,170,170,170,2019-10-08,98.94740295410156,97.47941589355467,97.26057434082033,0.015059456882157596,0.017343395560982966
171,171,171,171,2019-10-09,100.62508392333984,96.59497833251952,99.18446350097656,0.04172168843961077,0.014524658111893629
172,172,172,172,2019-10-10,100.81655883789062,95.88378143310548,97.97177124023438,0.0514453782595814,0.029036808885292142
173,173,173,173,2019-10-11,101.96541595458984,97.2149887084961,97.3791275024414,0.04886517304793547,0.04709724321604192
174,174,174,174,2019-10-14,101.34540557861328,99.47623443603516,96.9140853881836,0.0187901276438045,0.04572421204492927
175,175,175,175,2019-10-15,102.0201187133789,98.42767333984376,96.75910186767578,0.036498326655872715,0.054372319959086646
176,176,176,176,2019-10-16,102.2936553955078,98.94740295410156,97.47941589355467,0.03381849691354155,0.04938724199178801
177,177,177,177,2019-10-17,103.24192810058594,100.62508392333984,96.59497833251952,0.026005883177595335,0.06881258097273846
