,Unnamed: 0.1,Unnamed: 0,Date,GEHC,GEHC_6m,GEHC_12m
81,81,81,2023-04-14,82.23841857910156,80.99040985107422,76.77715301513672
82,82,82,2023-04-17,82.58785247802734,80.03195190429688,79.1134033203125
83,83,83,2023-04-18,83.52635955810547,80.46125030517578,82.00878143310547
84,84,84,2023-04-19,85.6130142211914,80.46125030517578,81.8989486694336
85,85,85,2023-04-20,84.86420440673828,81.6194076538086,81.67930603027344
86,86,86,2023-04-21,86.34185028076172,82.8074951171875,81.45964813232422
87,87,87,2023-04-24,87.64974975585938,82.23841857910156,80.99040985107422
88,88,88,2023-04-25,80.26158142089844,82.58785247802734,80.03195190429688
89,89,89,2023-04-26,79.99201202392578,83.52635955810547,80.46125030517578
90,90,90,2023-04-27,81.3897705078125,85.6130142211914,80.46125030517578
91,91,91,2023-04-28,81.2100601196289,84.86420440673828,81.6194076538086
92,92,92,2023-05-01,80.65094757080078,86.34185028076172,82.8074951171875
93,93,93,2023-05-02,78.33465576171875,87.64974975585938,82.23841857910156
94,94,94,2023-05-03,79.5826644897461,80.26158142089844,82.58785247802734
95,95,95,2023-05-04,78.13497924804688,79.99201202392578,83.52635955810547
96,96,96,2023-05-05,78.86380767822266,81.3897705078125,85.6130142211914
97,97,97,2023-05-08,79.29312896728516,81.2100601196289,84.86420440673828
98,98,98,2023-05-09,76.24800109863281,80.65094757080078,86.34185028076172
99,99,99,2023-05-10,75.77874755859375,78.33465576171875,87.64974975585938
100,100,100,2023-05-11,74.87020111083984,79.5826644897461,80.26158142089844
101,101,101,2023-05-12,74.80030822753906,78.13497924804688,79.99201202392578
102,102,102,2023-05-15,74.810302734375,78.86380767822266,81.3897705078125
103,103,103,2023-05-16,77.65574645996094,79.29312896728516,81.2100601196289
104,104,104,2023-05-17,80.17171478271484,76.24800109863281,80.65094757080078
105,105,105,2023-05-18,79.56269836425781,75.77874755859375,78.33465576171875
106,106,106,2023-05-19,79.2132568359375,74.87020111083984,79.5826644897461
107,107,107,2023-05-22,78.98353576660156,74.80030822753906,78.13497924804688
108,108,108,2023-05-23,77.0958480834961,74.810302734375,78.86380767822266
109,109,109,2023-05-24,76.4366455078125,77.65574645996094,79.29312896728516
110,110,110,2023-05-25,79.76258850097656,80.17171478271484,76.24800109863281
111,111,111,2023-05-26,78.3343276977539,79.56269836425781,75.77874755859375
112,112,112,2023-05-30,77.86489868164062,79.2132568359375,74.87020111083984
113,113,113,2023-05-31,79.41300964355469,78.98353576660156,74.80030822753906
114,114,114,2023-06-01,79.73262786865234,77.0958480834961,74.810302734375
115,115,115,2023-06-02,79.87244415283203,76.4366455078125,77.65574645996094
116,116,116,2023-06-05,80.39181518554688,79.76258850097656,80.17171478271484
117,117,117,2023-06-06,82.82884216308594,78.3343276977539,79.56269836425781
118,118,118,2023-06-07,80.38182830810547,77.86489868164062,79.2132568359375
119,119,119,2023-06-08,77.65515899658203,79.41300964355469,78.98353576660156
120,120,120,2023-06-09,77.00594329833984,79.73262786865234,77.0958480834961
121,121,121,2023-06-12,78.17452239990234,79.87244415283203,76.4366455078125
122,122,122,2023-06-13,77.69510650634766,80.39181518554688,79.76258850097656
123,123,123,2023-06-14,78.43421173095703,82.82884216308594,78.3343276977539
124,124,124,2023-06-15,79.00350952148438,80.38182830810547,77.86489868164062
125,125,125,2023-06-16,78.55406188964844,77.65515899658203,79.41300964355469
126,126,126,2023-06-20,78.80375671386719,77.00594329833984,79.73262786865234
127,127,127,2023-06-21,79.52287292480469,78.17452239990234,79.87244415283203
128,128,128,2023-06-22,80.1121597290039,77.69510650634766,80.39181518554688
129,129,129,2023-06-23,79.7226333618164,78.43421173095703,82.82884216308594
130,130,130,2023-06-26,77.7051010131836,79.00350952148438,80.38182830810547
131,131,131,2023-06-27,76.97599029541016,78.55406188964844,77.65515899658203
132,132,132,2023-06-28,77.0958480834961,78.80375671386719,77.00594329833984
133,133,133,2023-06-29,78.58402252197266,79.52287292480469,78.17452239990234
134,134,134,2023-06-30,81.14089965820312,80.1121597290039,77.69510650634766
135,135,135,2023-07-03,80.5915756225586,79.7226333618164,78.43421173095703
136,136,136,2023-07-05,80.55162048339844,77.7051010131836,79.00350952148438
137,137,137,2023-07-06,79.02348327636719,76.97599029541016,78.55406188964844
138,138,138,2023-07-07,79.52287292480469,77.0958480834961,78.80375671386719
139,139,139,2023-07-10,80.56160736083984,78.58402252197266,79.52287292480469
140,140,140,2023-07-11,81.16087341308594,81.14089965820312,80.1121597290039
141,141,141,2023-07-12,81.5903549194336,80.5915756225586,79.7226333618164
142,142,142,2023-07-13,81.30071258544922,80.55162048339844,77.7051010131836
143,143,143,2023-07-14,81.7201919555664,79.02348327636719,76.97599029541016
144,144,144,2023-07-17,81.0909652709961,79.52287292480469,77.0958480834961
145,145,145,2023-07-18,82.36940002441406,80.56160736083984,78.58402252197266
146,146,146,2023-07-19,81.65028381347656,81.16087341308594,81.14089965820312
147,147,147,2023-07-20,81.78016662597656,81.5903549194336,80.5915756225586
148,148,148,2023-07-21,82.55950164794922,81.30071258544922,80.55162048339844
149,149,149,2023-07-24,80.56121063232422,81.7201919555664,79.02348327636719
150,150,150,2023-07-25,80.14156341552734,81.0909652709961,79.52287292480469
151,151,151,2023-07-26,77.36393737792969,82.36940002441406,80.56160736083984
152,152,152,2023-07-27,76.79442596435547,81.65028381347656,81.16087341308594
153,153,153,2023-07-28,77.8035659790039,81.78016662597656,81.5903549194336
154,154,154,2023-07-31,77.9334487915039,82.55950164794922,81.30071258544922
155,155,155,2023-08-01,77.62371826171875,80.56121063232422,81.7201919555664
156,156,156,2023-08-02,76.52465057373047,80.14156341552734,81.0909652709961
157,157,157,2023-08-03,75.95513153076172,77.36393737792969,82.36940002441406
158,158,158,2023-08-04,75.83525085449219,76.79442596435547,81.65028381347656
159,159,159,2023-08-07,75.52550506591797,77.8035659790039,81.78016662597656
160,160,160,2023-08-08,73.8669204711914,77.9334487915039,82.55950164794922
161,161,161,2023-08-09,73.85693359375,77.62371826171875,80.56121063232422
162,162,162,2023-08-10,72.23831939697266,76.52465057373047,80.14156341552734
163,163,163,2023-08-11,71.52891540527344,75.95513153076172,77.36393737792969
164,164,164,2023-08-14,71.7387466430664,75.83525085449219,76.79442596435547
165,165,165,2023-08-15,70.47982025146484,75.52550506591797,77.8035659790039
