,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MSCI,MSCI_6m,MSCI_12m,MSCI_6m_ret,MSCI_12m_ret
1030,1030,1030,1030,2023-03-09,530.6644287109375,511.2346496582031,520.528076171875,0.03800559892746813,0.019473210001674346
1031,1031,1031,1031,2023-03-10,517.9989013671875,513.0595703125,519.7643432617188,0.009627207717183728,-0.0033966198670967174
1032,1032,1032,1032,2023-03-13,523.9597778320312,532.2811279296875,523.4638671875,-0.01563337428479239,0.0009473636589201195
1033,1033,1033,1033,2023-03-14,543.7664184570312,538.4700927734375,513.9224853515625,0.009835877153946626,0.05807088414326378
1034,1034,1034,1034,2023-03-15,532.3804321289062,529.6131591796875,521.4901123046875,0.005225083442988776,0.02088308017210494
1035,1035,1035,1035,2023-03-16,542.1001586914062,531.4678344726562,517.8799438476562,0.020005583647973335,0.04676801087101912
1036,1036,1036,1036,2023-03-17,532.6976928710938,530.6644287109375,511.2346496582031,0.0038315440985847715,0.04198276315433658
1037,1037,1037,1037,2023-03-20,539.8785400390625,517.9989013671875,513.0595703125,0.04223877427949496,0.052272623450386746
1038,1038,1038,1038,2023-03-21,549.7967529296875,523.9597778320312,532.2811279296875,0.049310989489614876,0.03290671804977796
1039,1039,1039,1039,2023-03-22,542.7052001953125,543.7664184570312,538.4700927734375,-0.0019516068401760345,0.007865074548637718
1040,1040,1040,1040,2023-03-23,542.487060546875,532.3804321289062,529.6131591796875,0.018983846527855786,0.024308122153021472
1041,1041,1041,1041,2023-03-24,538.6585693359375,542.1001586914062,531.4678344726562,-0.006348622667398773,0.013529953078752488
1042,1042,1042,1042,2023-03-27,535.9310302734375,532.6976928710938,530.6644287109375,0.006069741704562315,0.009924542286155136
1043,1043,1043,1043,2023-03-28,538.460205078125,539.8785400390625,517.9989013671875,-0.0026271371350209405,0.039500670092026624
1044,1044,1044,1044,2023-03-29,546.424560546875,549.7967529296875,523.9597778320312,-0.006133525461624156,0.042875013818418406
1045,1045,1045,1045,2023-03-30,544.2325439453125,542.7052001953125,543.7664184570312,0.0028143156716580187,0.0008572163937667909
1046,1046,1046,1046,2023-03-31,555.1129150390625,542.487060546875,532.3804321289062,0.023274019622623765,0.042699696567081835
1047,1047,1047,1047,2023-04-03,552.8118896484375,538.6585693359375,542.1001586914062,0.02627512327511705,0.01975968976450515
1048,1048,1048,1048,2023-04-04,545.8790283203125,535.9310302734375,532.6976928710938,0.018562086322561733,0.024744495096599595
1049,1049,1049,1049,2023-04-05,533.9672241210938,538.460205078125,539.8785400390625,-0.008344128154056163,-0.010949344120144255
1050,1050,1050,1050,2023-04-06,529.285888671875,546.424560546875,549.7967529296875,-0.03136511993137203,-0.03730626663129022
1051,1051,1051,1051,2023-04-10,524.118408203125,544.2325439453125,542.7052001953125,-0.0369587154718346,-0.03424841329233319
1052,1052,1052,1052,2023-04-11,525.3384399414062,555.1129150390625,542.487060546875,-0.053636790445707905,-0.03161111453641208
1053,1053,1053,1053,2023-04-12,526.4889526367188,552.8118896484375,538.6585693359375,-0.04761644513192165,-0.022592449822568583
1054,1054,1054,1054,2023-04-13,538.1725463867188,545.8790283203125,535.9310302734375,-0.01411756366114092,0.00418247122607851
1055,1055,1055,1055,2023-04-14,535.6137084960938,533.9672241210938,538.460205078125,0.003083493331842879,-0.005286363885736445
1056,1056,1056,1056,2023-04-17,533.173828125,529.285888671875,546.424560546875,0.007345632174099448,-0.02424988439138487
1057,1057,1057,1057,2023-04-18,540.0074462890625,524.118408203125,544.2325439453125,0.03031574132343695,-0.007763405006288249
1058,1058,1058,1058,2023-04-19,541.0191040039062,525.3384399414062,555.1129150390625,0.029848689664226713,-0.02538908869408041
1059,1059,1059,1059,2023-04-20,542.1101684570312,526.4889526367188,552.8118896484375,0.029670548151256693,-0.019358703008743205
1060,1060,1060,1060,2023-04-21,540.1463012695312,538.1725463867188,545.8790283203125,0.0036675131350796253,-0.010501826876223919
1061,1061,1061,1061,2023-04-24,540.1561889648438,535.6137084960938,533.9672241210938,0.0084808891122381,0.011590533209106635
1062,1062,1062,1062,2023-04-25,467.2969665527344,533.173828125,529.285888671875,-0.12355606764107918,-0.11711803289274914
1063,1063,1063,1063,2023-04-26,454.4726867675781,540.0074462890625,524.118408203125,-0.15839551863456747,-0.13288165488084758
1064,1064,1064,1064,2023-04-27,460.4930725097656,541.0191040039062,525.3384399414062,-0.1488413826761268,-0.12343541325259422
1065,1065,1065,1065,2023-04-28,478.5045776367188,542.1101684570312,526.4889526367188,-0.11732963984303857,-0.09114032642031433
1066,1066,1066,1066,2023-05-01,479.0798034667969,540.1463012695312,538.1725463867188,-0.11305547711649033,-0.10980259642872814
1067,1067,1067,1067,2023-05-02,464.65869140625,540.1561889648438,535.6137084960938,-0.13976975382486556,-0.13247423649606094
1068,1068,1068,1068,2023-05-03,461.9609375,467.2969665527344,533.173828125,-0.011418925083332865,-0.13356411524442735
1069,1069,1069,1069,2023-05-04,457.7754821777344,454.4726867675781,540.0074462890625,0.0072673133200749085,-0.15227931517690574
1070,1070,1070,1070,2023-05-05,469.7765197753906,460.4930725097656,541.0191040039062,0.02015979787715083,-0.13168219698948236
1071,1071,1071,1071,2023-05-08,469.0128173828125,478.5045776367188,542.1101684570312,-0.019836299792125422,-0.1348385537247354
1072,1072,1072,1072,2023-05-09,469.0028991699219,479.0798034667969,540.1463012695312,-0.021033874156152765,-0.131711356594311
1073,1073,1073,1073,2023-05-10,472.1767578125,464.65869140625,540.1561889648438,0.016179760640002705,-0.1258514343464613
1074,1074,1074,1074,2023-05-11,467.9094543457031,461.9609375,467.2969665527344,0.012876666321388175,0.0013107035500081743
1075,1075,1075,1075,2023-05-12,467.1435546875,457.7754821777344,454.4726867675781,0.020464338686728478,0.027880372767927986
1076,1076,1076,1076,2023-05-15,461.1056518554688,469.7765197753906,460.4930725097656,-0.018457431469898755,0.0013302683194873488
1077,1077,1077,1077,2023-05-16,454.5605163574219,469.0128173828125,478.5045776367188,-0.03081429864974139,-0.05003935677596649
