,Unnamed: 0.1,Unnamed: 0,Date,XEL,XEL_6m,XEL_12m
605,605,605,2021-06-30,61.13066482543945,61.93794631958008,64.09996795654297
606,606,606,2021-07-01,62.19776153564453,61.45544052124024,64.20205688476562
607,607,607,2021-07-02,62.00289916992188,61.48326873779297,62.8751335144043
608,608,608,2021-07-06,62.23487854003906,62.26271057128906,63.42260360717773
609,609,609,2021-07-07,62.8101921081543,62.22560119628906,61.79876708984375
610,610,610,2021-07-08,62.633880615234375,60.972923278808594,62.2998275756836
611,611,611,2021-07-09,62.7916259765625,61.13066482543945,61.93794631958008
612,612,612,2021-07-12,62.94937515258789,62.19776153564453,61.45544052124024
613,613,613,2021-07-13,62.708106994628906,62.00289916992188,61.48326873779297
614,614,614,2021-07-14,63.18133544921875,62.23487854003906,62.26271057128906
615,615,615,2021-07-15,63.76593017578125,62.8101921081543,62.22560119628906
616,616,616,2021-07-16,64.14635467529297,62.633880615234375,60.972923278808594
617,617,617,2021-07-19,63.34836196899414,62.7916259765625,61.13066482543945
618,618,618,2021-07-20,63.24630355834961,62.94937515258789,62.19776153564453
619,619,619,2021-07-21,62.22560119628906,62.708106994628906,62.00289916992188
620,620,620,2021-07-22,62.39262390136719,63.18133544921875,62.23487854003906
621,621,621,2021-07-23,63.34836196899414,63.76593017578125,62.8101921081543
622,622,622,2021-07-26,63.38547897338867,64.14635467529297,62.633880615234375
623,623,623,2021-07-27,64.45257568359375,63.34836196899414,62.7916259765625
624,624,624,2021-07-28,63.74736785888672,63.24630355834961,62.94937515258789
625,625,625,2021-07-29,63.83088302612305,62.22560119628906,62.708106994628906
626,626,626,2021-07-30,63.329811096191406,62.39262390136719,63.18133544921875
627,627,627,2021-08-02,63.617462158203125,63.34836196899414,63.76593017578125
628,628,628,2021-08-03,63.74736785888672,63.38547897338867,64.14635467529297
629,629,629,2021-08-04,63.97934341430664,64.45257568359375,63.34836196899414
630,630,630,2021-08-05,64.2484359741211,63.74736785888672,63.24630355834961
631,631,631,2021-08-06,64.09996795654297,63.83088302612305,62.22560119628906
632,632,632,2021-08-09,64.13709259033203,63.329811096191406,62.39262390136719
633,633,633,2021-08-10,63.756649017333984,63.617462158203125,63.34836196899414
634,634,634,2021-08-11,64.09070587158203,63.74736785888672,63.38547897338867
635,635,635,2021-08-12,63.83088302612305,63.97934341430664,64.45257568359375
636,636,636,2021-08-13,64.06285858154297,64.2484359741211,63.74736785888672
