,Unnamed: 0.1,Unnamed: 0,Date,INTC,INTC_6m,INTC_12m
526,526,526,2021-03-09,57.76253890991211,57.95609664916992,58.07592010498047
527,527,527,2021-03-10,57.37541961669922,56.44451904296875,55.95602035522461
528,528,528,2021-03-11,58.35242462158203,55.20944595336914,56.33391189575195
529,529,529,2021-03-12,57.97452926635742,53.76239013671875,58.24182891845703
530,530,530,2021-03-15,58.79483413696289,55.98366928100586,55.67029571533203
531,531,531,2021-03-16,59.70730972290039,55.163360595703125,56.02053451538086
532,532,532,2021-03-17,60.62901306152344,57.76253890991211,57.95609664916992
533,533,533,2021-03-18,58.73952865600586,57.37541961669922,56.44451904296875
534,534,534,2021-03-19,58.76717758178711,58.35242462158203,55.20944595336914
535,535,535,2021-03-22,60.49074935913086,57.97452926635742,53.76239013671875
536,536,536,2021-03-23,58.50910568237305,58.79483413696289,55.98366928100586
537,537,537,2021-03-24,57.18186569213867,59.70730972290039,55.163360595703125
538,538,538,2021-03-25,57.16343688964844,60.62901306152344,57.76253890991211
539,539,539,2021-03-26,59.79026794433594,58.73952865600586,57.37541961669922
540,540,540,2021-03-29,59.44923782348633,58.76717758178711,58.35242462158203
541,541,541,2021-03-30,58.776405334472656,60.49074935913086,57.97452926635742
542,542,542,2021-03-31,58.9883918762207,58.50910568237305,58.79483413696289
543,543,543,2021-04-01,59.49532318115234,57.18186569213867,59.70730972290039
544,544,544,2021-04-05,61.32949066162109,57.16343688964844,60.62901306152344
545,545,545,2021-04-06,60.426231384277344,59.79026794433594,58.73952865600586
546,546,546,2021-04-07,61.06220245361328,59.44923782348633,58.76717758178711
547,547,547,2021-04-08,61.799564361572266,58.776405334472656,60.49074935913086
548,548,548,2021-04-09,62.91481399536133,58.9883918762207,58.50910568237305
549,549,549,2021-04-12,60.28797912597656,59.49532318115234,57.18186569213867
550,550,550,2021-04-13,60.11286163330078,61.32949066162109,57.16343688964844
551,551,551,2021-04-14,59.16351318359375,60.426231384277344,59.79026794433594
552,552,552,2021-04-15,59.92851257324219,61.06220245361328,59.44923782348633
553,553,553,2021-04-16,59.67966079711914,61.799564361572266,58.776405334472656
554,554,554,2021-04-19,58.64737319946289,62.91481399536133,58.9883918762207
555,555,555,2021-04-20,57.79019546508789,60.28797912597656,59.49532318115234
556,556,556,2021-04-21,58.71188354492188,60.11286163330078,61.32949066162109
557,557,557,2021-04-22,57.67036819458008,59.16351318359375,60.426231384277344
