,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IQV,IQV_6m,IQV_12m,IQV_6m_ret,IQV_12m_ret
976,976,976,976,2022-12-19,199.83999633789065,208.52999877929688,220.5500030517578,-0.041672672959651824,-0.09390163875448698
977,977,977,977,2022-12-20,201.3800048828125,213.13999938964844,217.72999572753903,-0.05517497673131311,-0.07509296452284153
978,978,978,978,2022-12-21,204.5500030517578,216.8000030517578,211.92999267578125,-0.05650368924153337,-0.03482277109929233
979,979,979,979,2022-12-22,203.13999938964844,214.2100067138672,209.8699951171875,-0.051678292223787725,-0.032067450727204516
980,980,980,980,2022-12-23,203.83999633789065,208.4100036621093,207.69000244140625,-0.02192796527957408,-0.01853727217612111
981,981,981,981,2022-12-27,202.94000244140625,203.77999877929688,210.4100036621093,-0.004122074506440532,-0.035502120102135826
982,982,982,982,2022-12-28,201.8699951171875,199.83999633789065,208.52999877929688,0.010158120578948049,-0.03193786841747481
983,983,983,983,2022-12-29,207.8099975585937,201.3800048828125,213.13999938964844,0.031929648027980484,-0.02500704629031547
984,984,984,984,2022-12-30,204.88999938964844,204.5500030517578,216.8000030517578,0.001662167356724975,-0.05493544047260013
985,985,985,985,2023-01-03,203.8600006103516,203.13999938964844,214.2100067138672,0.003544359667551733,-0.04831709901088188
986,986,986,986,2023-01-04,207.77999877929688,203.83999633789065,208.4100036621093,0.019328897724640637,-0.0030229109531317855
987,987,987,987,2023-01-05,207.0500030517578,202.94000244140625,203.77999877929688,0.020252294081538835,0.016046738109967817
988,988,988,988,2023-01-06,205.3600006103516,201.8699951171875,199.83999633789065,0.017288381520681684,0.02762211956373184
989,989,989,989,2023-01-09,208.4900054931641,207.8099975585937,201.3800048828125,0.003272258036472353,0.03530638811181408
990,990,990,990,2023-01-10,215.509994506836,204.88999938964844,204.5500030517578,0.051832667035110136,0.05358098895899288
991,991,991,991,2023-01-11,221.52999877929688,203.8600006103516,203.13999938964844,0.08667712212323053,0.09052869668653529
992,992,992,992,2023-01-12,219.5,207.77999877929688,203.83999633789065,0.05640582004792516,0.07682498009934657
993,993,993,993,2023-01-13,222.13999938964844,207.0500030517578,202.94000244140625,0.07288092786996225,0.09460922793565896
994,994,994,994,2023-01-17,221.5399932861328,205.3600006103516,201.8699951171875,0.07878843313056372,0.09743893914262336
995,995,995,995,2023-01-18,220.5500030517578,208.4900054931641,207.8099975585937,0.057844487701302016,0.06130602782752059
996,996,996,996,2023-01-19,222.2899932861328,215.509994506836,204.88999938964844,0.03146025220227888,0.0849235880146304
997,997,997,997,2023-01-20,223.6100006103516,221.52999877929688,203.8600006103516,0.009389255823212261,0.09688021162007754
998,998,998,998,2023-01-23,228.75,219.5,207.77999877929688,0.04214123006833703,0.10092406075609506
999,999,999,999,2023-01-24,225.77999877929688,222.13999938964844,207.0500030517578,0.016386060140675784,0.09046121927782336
1000,1000,1000,1000,2023-01-25,226.5,221.5399932861328,205.3600006103516,0.02238876439551496,0.10294117319253071
1001,1001,1001,1001,2023-01-26,228.5200042724609,220.5500030517578,208.4900054931641,0.03613693543605501,0.09607174565475063
1002,1002,1002,1002,2023-01-27,229.47000122070312,222.2899932861328,215.509994506836,0.03230018512496957,0.06477660929746021
1003,1003,1003,1003,2023-01-30,226.27999877929688,223.6100006103516,221.52999877929688,0.011940423780946396,0.021441791297675428
1004,1004,1004,1004,2023-01-31,229.4100036621093,228.75,219.5,0.0028852619108603594,0.04514808046519048
1005,1005,1005,1005,2023-02-01,233.4900054931641,225.77999877929688,222.13999938964844,0.03414831586301781,0.05109393236112769
1006,1006,1006,1006,2023-02-02,240.6499938964844,226.5,221.5399932861328,0.06247237923392679,0.08625982300933721
1007,1007,1007,1007,2023-02-03,237.17999267578125,228.5200042724609,220.5500030517578,0.03789597515058318,0.0754023549939411
1008,1008,1008,1008,2023-02-06,232.3099975585937,229.47000122070312,222.2899932861328,0.012376329466957436,0.04507627232487743
1009,1009,1009,1009,2023-02-07,235.83999633789065,226.27999877929688,223.6100006103516,0.0422485310684404,0.05469342021446644
1010,1010,1010,1010,2023-02-08,235.509994506836,229.4100036621093,228.75,0.026589907795438572,0.029551888554474326
1011,1011,1011,1011,2023-02-09,230.3099975585937,233.4900054931641,225.77999877929688,-0.013619460618255474,0.020063773601686208
1012,1012,1012,1012,2023-02-10,222.83999633789065,240.6499938964844,226.5,-0.07400788701559124,-0.016158956565604177
1013,1013,1013,1013,2023-02-13,232.1100006103516,237.17999267578125,228.5200042724609,-0.02137613720378262,0.01570976838251048
1014,1014,1014,1014,2023-02-14,227.07000732421875,232.3099975585937,229.47000122070312,-0.022556025523840395,-0.01045885686023107
1015,1015,1015,1015,2023-02-15,227.02999877929688,235.83999633789065,226.27999877929688,-0.03735582469214249,0.0033144776562046285
1016,1016,1016,1016,2023-02-16,224.0,235.509994506836,229.4100036621093,-0.04887263715044543,-0.023582248270557216
1017,1017,1017,1017,2023-02-17,219.72999572753903,230.3099975585937,233.4900054931641,-0.0459380918900969,-0.05893190047497732
1018,1018,1018,1018,2023-02-21,212.97999572753903,222.83999633789065,240.6499938964844,-0.044246996824578,-0.11498025709839665
1019,1019,1019,1019,2023-02-22,210.9900054931641,232.1100006103516,237.17999267578125,-0.09099131903688251,-0.11042241332057956
1020,1020,1020,1020,2023-02-23,213.3699951171875,227.07000732421875,232.3099975585937,-0.060333869578248045,-0.08152900279992947
1021,1021,1021,1021,2023-02-24,209.5399932861328,227.02999877929688,235.83999633789065,-0.07703830148969282,-0.11151629689680598
1022,1022,1022,1022,2023-02-27,208.8800048828125,224.0,235.509994506836,-0.06749997820172993,-0.11307371340985928
1023,1023,1023,1023,2023-02-28,208.47000122070312,219.72999572753903,230.3099975585937,-0.05124468541290139,-0.09482869423562135
1024,1024,1024,1024,2023-03-01,210.7700042724609,212.97999572753903,222.83999633789065,-0.01037652126683919,-0.05416438818787317
1025,1025,1025,1025,2023-03-02,215.8300018310547,210.9900054931641,232.1100006103516,0.022939457850515987,-0.07013915271417581
1026,1026,1026,1026,2023-03-03,220.82000732421875,213.3699951171875,227.07000732421875,0.03491593184383568,-0.027524551012481524
1027,1027,1027,1027,2023-03-06,219.57000732421875,209.5399932861328,227.02999877929688,0.04786682427917066,-0.032859056050694946
