,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,T,T_6m,T_12m,T_6m_ret,T_12m_ret
158,158,158,158,2019-09-20,20.08624649047852,20.335268020629883,18.925893783569336,-0.012245795329509979,0.061310325429204005
159,159,159,159,2019-09-23,19.9219970703125,20.08624649047852,19.015968322753903,-0.00817720823270185,0.04764568031355365
160,160,160,160,2019-09-24,19.80543327331543,19.768341064453125,19.20671272277832,0.0018763440362228323,0.031172463459978372
161,161,161,161,2019-09-25,19.80543327331543,19.688865661621094,19.492822647094727,0.005920483876405314,0.01603721697366889
162,162,162,162,2019-09-26,19.80543327331543,19.47693252563477,19.9113998413086,0.016866143949941792,-0.00532190447872638
163,163,163,163,2019-09-27,19.831918716430664,19.683565139770508,20.526012420654297,0.007536926141515243,-0.033815321261581266
164,164,164,164,2019-09-30,20.049156188964844,20.08624649047852,20.335268020629883,-0.0018465521435903076,-0.014069734973484627
165,165,165,165,2019-10-01,19.821327209472656,19.9219970703125,20.08624649047852,-0.005053201267149143,-0.01318908842084765
166,166,166,166,2019-10-02,19.64648056030273,19.80543327331543,19.768341064453125,-0.008025712480971614,-0.00616442744249901
167,167,167,167,2019-10-03,19.704763412475582,19.80543327331543,19.688865661621094,-0.005082941607517544,0.0008074487950555653
168,168,168,168,2019-10-04,19.87430953979492,19.80543327331543,19.47693252563477,0.0034776450244231594,0.020402443435953543
169,169,169,169,2019-10-07,19.953786849975582,19.831918716430664,19.683565139770508,0.006145050072434488,0.01372829100248163
170,170,170,170,2019-10-08,19.8584213256836,20.049156188964844,20.08624649047852,-0.009513361135179532,-0.01134234636137288
171,171,171,171,2019-10-09,19.9907341003418,19.821327209472656,19.9219970703125,0.0085466976594879,0.0034503082088959136
172,172,172,172,2019-10-10,20.19037437438965,19.64648056030273,19.80543327331543,0.027684032894212063,0.019436136324917586
173,173,173,173,2019-10-11,20.27670860290528,19.704763412475582,19.80543327331543,0.02902573243115336,0.023795254720572867
174,174,174,174,2019-10-14,20.21735382080078,19.87430953979492,19.80543327331543,0.017260689249051664,0.02079836082355979
175,175,175,175,2019-10-15,20.449363708496094,19.953786849975582,19.831918716430664,0.02483623094937082,0.031133900904599665
176,176,176,176,2019-10-16,20.390010833740234,19.8584213256836,20.049156188964844,0.026768971175423095,0.01700094715023459
177,177,177,177,2019-10-17,20.40080070495605,19.9907341003418,19.821327209472656,0.020512833723661972,0.029234848371125333
178,178,178,178,2019-10-18,20.75691604614257,20.19037437438965,19.64648056030273,0.028059988450315654,0.056520834987797475
179,179,179,179,2019-10-21,20.62742042541504,20.27670860290528,19.704763412475582,0.017296289520060792,0.046824059422875264
180,180,180,180,2019-10-22,20.595046997070312,20.21735382080078,19.87430953979492,0.01868163260223188,0.036264779706295824
181,181,181,181,2019-10-23,20.3630313873291,20.449363708496094,19.953786849975582,-0.004221760754889559,0.02050961756935976
182,182,182,182,2019-10-24,19.86663818359375,20.390010833740234,19.8584213256836,-0.025668090832028256,0.0004137719597843148
183,183,183,183,2019-10-25,19.915197372436523,20.40080070495605,19.9907341003418,-0.023803150647982108,-0.0037785869956614704
184,184,184,184,2019-10-28,20.76770782470703,20.75691604614257,20.19037437438965,0.0005199124253558729,0.02859448961232225
185,185,185,185,2019-10-29,20.535690307617188,20.62742042541504,20.27670860290528,-0.0044469989899866835,0.012772373948047866
186,186,186,186,2019-10-30,20.61123275756836,20.595046997070312,20.21735382080078,0.0007859054898173845,0.019482220089670266
187,187,187,187,2019-10-31,20.76770782470703,20.3630313873291,20.449363708496094,0.01987309402419024,0.015567433820871113
188,188,188,188,2019-11-01,21.015899658203125,19.86663818359375,20.390010833740234,0.05784881488194893,0.030695855415005635
189,189,189,189,2019-11-04,20.98352813720703,19.915197372436523,20.40080070495605,0.053643995828488444,0.028563949066441108
190,190,190,190,2019-11-05,21.134605407714844,20.76770782470703,20.75691604614257,0.017666734629775638,0.01819583220998111
191,191,191,191,2019-11-06,21.177770614624023,20.535690307617188,20.62742042541504,0.03126655580546389,0.026680514473389927
192,192,192,192,2019-11-07,21.26949691772461,20.61123275756836,20.595046997070312,0.03193715620500859,0.032748161281216825
193,193,193,193,2019-11-08,21.247915267944336,20.76770782470703,20.3630313873291,0.02312279464303746,0.04345541013927101
194,194,194,194,2019-11-11,21.24251747131348,21.015899658203125,19.86663818359375,0.010783160216598198,0.06925576813775969
195,195,195,195,2019-11-12,21.134605407714844,20.98352813720703,19.915197372436523,0.00719980307982282,0.06123002511469111
196,196,196,196,2019-11-13,21.129213333129883,21.134605407714844,20.76770782470703,-0.0002551301280975249,0.017407097185408782
197,197,197,197,2019-11-14,21.015899658203125,21.177770614624023,20.535690307617188,-0.007643437043799106,0.02338413481078927
198,198,198,198,2019-11-15,21.31266021728516,21.26949691772461,20.61123275756836,0.002029352162278064,0.03403132010428833
199,199,199,199,2019-11-18,21.38280487060547,21.247915267944336,20.76770782470703,0.006348368814546035,0.029617955486000547
200,200,200,200,2019-11-19,20.503318786621094,21.24251747131348,21.015899658203125,-0.034798073518857775,-0.024390146504242316
201,201,201,201,2019-11-20,20.06087875366211,21.134605407714844,20.98352813720703,-0.05080419687707005,-0.04397017401039072
202,202,202,202,2019-11-21,20.28749656677246,21.129213333129883,21.134605407714844,-0.039836635329798975,-0.040081601932021815
203,203,203,203,2019-11-22,20.36842918395996,21.015899658203125,21.177770614624023,-0.030808601333916164,-0.038216554773012
204,204,204,204,2019-11-25,20.104042053222656,21.31266021728516,21.26949691772461,-0.05670893036066327,-0.0547946605888332
205,205,205,205,2019-11-26,20.17958641052246,21.38280487060547,21.247915267944336,-0.05627037553604808,-0.050279231818737946
206,206,206,206,2019-11-27,20.319869995117188,20.503318786621094,21.24251747131348,-0.008947273044577098,-0.04343399869823639
207,207,207,207,2019-11-29,20.16878890991211,20.06087875366211,21.134605407714844,0.005379134063621338,-0.04569834539944517
208,208,208,208,2019-12-02,20.136417388916016,20.28749656677246,21.129213333129883,-0.0074469108280165175,-0.046986886286826235
209,209,209,209,2019-12-03,20.260517120361328,20.36842918395996,21.015899658203125,-0.005298006175341818,-0.03594338334913727
210,210,210,210,2019-12-04,20.55727767944336,20.104042053222656,21.31266021728516,0.022544502494614038,-0.03544290248803217
211,211,211,211,2019-12-05,20.60583877563477,20.17958641052246,21.38280487060547,0.021122948530305052,-0.03633602325197194
212,212,212,212,2019-12-06,20.61123275756836,20.319869995117188,20.503318786621094,0.014338810362526155,0.005263244066501249
213,213,213,213,2019-12-09,20.52490234375,20.16878890991211,20.06087875366211,0.017656659278280973,0.02313077087927584
214,214,214,214,2019-12-10,20.535690307617188,20.136417388916016,20.28749656677246,0.019828399014064413,0.012233827866727776
215,215,215,215,2019-12-11,20.595046997070312,20.260517120361328,20.36842918395996,0.016511418475730233,0.011125934703340334
216,216,216,216,2019-12-12,20.69216728210449,20.55727767944336,20.104042053222656,0.006561647157980133,0.02925407872331598
217,217,217,217,2019-12-13,20.64360618591309,20.60583877563477,20.17958641052246,0.001832849935862857,0.022994513661026783
218,218,218,218,2019-12-16,20.821664810180664,20.61123275756836,20.319869995117188,0.010209581109845711,0.024694784719786922
219,219,219,219,2019-12-17,20.773101806640625,20.52490234375,20.16878890991211,0.012092601403592251,0.029962775624644555
220,220,220,220,2019-12-18,20.90259552001953,20.535690307617188,20.136417388916016,0.017866709465629738,0.03804937672404707
221,221,221,221,2019-12-19,21.00511360168457,20.595046997070312,20.260517120361328,0.01991093318080761,0.03675110940652848
222,222,222,222,2019-12-20,21.123815536499023,20.69216728210449,20.55727767944336,0.020860466113080456,0.027558992289245854
223,223,223,223,2019-12-23,21.080650329589844,20.64360618591309,20.60583877563477,0.021170920416752947,0.023042573472743744
224,224,224,224,2019-12-24,21.021297454833984,20.821664810180664,20.61123275756836,0.00958773693041648,0.019895204818113132
225,225,225,225,2019-12-26,21.129213333129883,20.773101806640625,20.52490234375,0.01714291538182411,0.029442819228024275
226,226,226,226,2019-12-27,21.17237663269043,20.90259552001953,20.535690307617188,0.012906584371903174,0.03100389203069942
227,227,227,227,2019-12-30,21.0644645690918,21.00511360168457,20.595046997070312,0.0028255485084580645,0.022792740996816496
228,228,228,228,2019-12-31,21.08604621887207,21.123815536499023,20.69216728210449,-0.001787996944098147,0.019035170719319705
229,229,229,229,2020-01-02,20.967344284057617,21.080650329589844,20.64360618591309,-0.005374883780183248,0.015682245399810224
230,230,230,230,2020-01-03,21.075252532958984,21.021297454833984,20.821664810180664,0.0025666863922613192,0.012179032036589543
231,231,231,231,2020-01-06,21.09683418273925,21.129213333129883,20.773101806640625,-0.0015324352061826252,0.015584209768573665
232,232,232,232,2020-01-07,21.177770614624023,21.17237663269043,20.90259552001953,0.0002547650661601786,0.01316463758488462
233,233,233,233,2020-01-08,21.24251747131348,21.0644645690918,21.00511360168457,0.008452761836773126,0.01130219403383137
234,234,234,234,2020-01-09,21.307579040527344,21.08604621887207,21.123815536499023,0.010506133741516654,0.008699351862394566
235,235,235,235,2020-01-10,21.181276321411133,20.967344284057617,21.080650329589844,0.010203106051736688,0.004773381762328555
236,236,236,236,2020-01-13,20.923168182373047,21.075252532958984,21.021297454833984,-0.007216252822977887,-0.004668088288640404
237,237,237,237,2020-01-14,20.917675018310547,21.09683418273925,21.129213333129883,-0.00849222982352893,-0.010011651237751051
238,238,238,238,2020-01-15,20.796857833862305,21.177770614624023,21.17237663269043,-0.017986443790201645,-0.017736261041583767
239,239,239,239,2020-01-16,20.884727478027344,21.24251747131348,21.0644645690918,-0.016843106932561414,-0.008532715867280438
240,240,240,240,2020-01-17,21.07693099975586,21.307579040527344,21.08604621887207,-0.010824694834302262,-0.00043228678442586155
241,241,241,241,2020-01-21,21.1538143157959,21.181276321411133,20.967344284057617,-0.0012965227023394865,0.008893354790766805
242,242,242,242,2020-01-22,21.439382553100582,20.923168182373047,21.075252532958984,0.024671902755263764,0.017277611244379987
