,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APH,APH_6m,APH_12m,APH_6m_ret,APH_12m_ret
126,126,126,126,2019-08-06,41.697357177734375,45.81596755981445,46.17430877685547,-0.08989465030293375,-0.09695763115278366
127,127,127,127,2019-08-07,41.94103240966797,45.27606201171875,46.4179916381836,-0.07365988678934976,-0.09644879217119917
128,128,128,128,2019-08-08,42.39972305297852,44.58803939819336,46.99612808227539,-0.04907855054294008,-0.09780390889330315
129,129,129,129,2019-08-09,41.52534866333008,43.38397979736328,44.1389045715332,-0.04284141617976145,-0.05921207002243334
130,130,130,130,2019-08-12,41.124000549316406,42.56695556640625,44.846038818359375,-0.03389847824185532,-0.08299592042272452
131,131,131,131,2019-08-13,42.050926208496094,41.19088745117188,45.52450942993164,0.020879345179044995,-0.07630138720729895
132,132,132,132,2019-08-14,40.74174880981445,41.697357177734375,45.81596755981445,-0.022917720272933706,-0.11075219012619164
133,133,133,133,2019-08-15,40.32130432128906,41.94103240966797,45.27606201171875,-0.03861917543082549,-0.10943437813004264
134,134,134,134,2019-08-16,41.38201141357422,42.39972305297852,44.58803939819336,-0.02400278978550574,-0.0719033181967863
135,135,135,135,2019-08-19,42.1417121887207,41.52534866333008,43.38397979736328,0.01484306683100578,-0.028634247352246844
136,136,136,136,2019-08-20,41.44412612915039,41.124000549316406,42.56695556640625,0.0077843978104727984,-0.026377959671186724
137,137,137,137,2019-08-21,42.12260055541992,42.050926208496094,41.19088745117188,0.0017044653563265122,0.02261939865589202
138,138,138,138,2019-08-22,41.97447204589844,40.74174880981445,41.697357177734375,0.030257003493846746,0.006645861678543863
139,139,139,139,2019-08-23,40.80387115478516,40.32130432128906,41.94103240966797,0.011968036292945738,-0.027113334831039504
140,140,140,140,2019-08-26,40.73699188232422,41.38201141357422,42.39972305297852,-0.01558695455384318,-0.03921561394579676
141,141,141,141,2019-08-27,40.631866455078125,42.1417121887207,41.52534866333008,-0.03582782130163875,-0.021516549216622605
142,142,142,142,2019-08-28,40.70353698730469,41.44412612915039,41.124000549316406,-0.01786958034868058,-0.010224286460348009
143,143,143,143,2019-08-29,41.86458587646485,42.12260055541992,42.050926208496094,-0.0061253264412202135,-0.004431301491608863
144,144,144,144,2019-08-30,41.82637023925781,41.97447204589844,40.74174880981445,-0.0035283780693817768,0.026621867276892086
145,145,145,145,2019-09-03,40.94244003295898,40.80387115478516,40.32130432128906,0.003395973819448894,0.015404653250315814
146,146,146,146,2019-09-04,41.42501068115234,40.73699188232422,41.38201141357422,0.016889288262019297,0.0010390811395892818
147,147,147,147,2019-09-05,42.90140914916992,40.631866455078125,42.1417121887207,0.05585622547270774,0.01802719730624891
148,148,148,148,2019-09-06,42.67684555053711,40.70353698730469,41.44412612915039,0.048480026781158925,0.02974412869860621
149,149,149,149,2019-09-09,42.50960540771485,41.86458587646485,42.12260055541992,0.015407283214345924,0.00918758213386539
150,150,150,150,2019-09-10,42.81063079833984,41.82637023925781,41.97447204589844,0.023532057729413136,0.01992064966361151
151,151,151,151,2019-09-11,43.71844100952149,40.94244003295898,40.80387115478516,0.06780252897306105,0.07142875840579488
152,152,152,152,2019-09-12,44.889041900634766,41.42501068115234,40.73699188232422,0.08362173388789262,0.10192333371851459
153,153,153,153,2019-09-13,45.252174377441406,42.90140914916992,40.631866455078125,0.05479459241298534,0.11371143699419806
154,154,154,154,2019-09-16,45.53480911254883,42.67684555053711,40.70353698730469,0.06696754469885491,0.1186941598404827
155,155,155,155,2019-09-17,45.54919052124024,42.50960540771485,41.86458587646485,0.07150348925548378,0.08801244697960287
156,156,156,156,2019-09-18,45.16593170166016,42.81063079833984,41.82637023925781,0.05501672970938021,0.07984344429839796
157,157,157,157,2019-09-19,45.14677047729492,43.71844100952149,40.94244003295898,0.03267109793467604,0.10268880997203444
158,158,158,158,2019-09-20,44.94557189941406,44.889041900634766,41.42501068115234,0.0012593273633336732,0.08498636838888052
159,159,159,159,2019-09-23,44.859336853027344,45.252174377441406,42.90140914916992,-0.00868107510453453,0.04563784133639137
160,160,160,160,2019-09-24,44.95035934448242,45.53480911254883,42.67684555053711,-0.012835230441436973,0.053272770389110935
161,161,161,161,2019-09-25,46.03303146362305,45.54919052124024,42.50960540771485,0.010622382897390592,0.08288540959424551
162,162,162,162,2019-09-26,46.181549072265625,45.16593170166016,42.81063079833984,0.02248635934965404,0.07874021501352213
163,163,163,163,2019-09-27,45.860572814941406,45.14677047729492,43.71844100952149,0.01581070650458738,0.04899835757989113
164,164,164,164,2019-09-30,46.229454040527344,44.94557189941406,44.889041900634766,0.0285652643153933,0.029860564697720138
165,165,165,165,2019-10-01,45.644996643066406,44.859336853027344,45.252174377441406,0.01751385207973799,0.008680737909929626
166,166,166,166,2019-10-02,44.73957443237305,44.95035934448242,45.53480911254883,-0.004689282025400532,-0.01746432445143653
167,167,167,167,2019-10-03,45.32882308959961,46.03303146362305,45.54919052124024,-0.015297892657361256,-0.004838009833300405
168,168,168,168,2019-10-04,46.05699157714844,46.181549072265625,45.16593170166016,-0.002697126831373242,0.01972858395513888
169,169,169,169,2019-10-07,45.688114166259766,45.860572814941406,45.14677047729492,-0.0037604992283361005,0.011990751126641275
170,170,170,170,2019-10-08,44.638973236083984,46.229454040527344,44.94557189941406,-0.03440405770418686,-0.006821554390635698
171,171,171,171,2019-10-09,45.486915588378906,45.644996643066406,44.859336853027344,-0.0034632723477593386,0.013989924492368244
172,172,172,172,2019-10-10,45.75519561767578,44.73957443237305,44.95035934448242,0.02270073415288998,0.017905001982863045
173,173,173,173,2019-10-11,46.45940017700195,45.32882308959961,46.03303146362305,0.024941681922064918,0.009262234091965915
