,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWKS,SWKS_6m,SWKS_12m,SWKS_6m_ret,SWKS_12m_ret
94,94,94,94,2019-06-20,69.65140533447266,66.73090362548828,63.736907958984375,0.04376535533483872,0.09279548639689805
95,95,95,95,2019-06-21,69.0820083618164,67.3646011352539,62.41442108154297,0.025494209089345077,0.10682767162996498
96,96,96,96,2019-06-24,69.71568298339844,65.94107055664062,63.76446533203125,0.057242207244960985,0.09333125621579819
97,97,97,97,2019-06-25,68.25543975830078,66.52887725830078,64.42572021484375,0.02595207631862717,0.05944395391601165
98,98,98,98,2019-06-26,69.65140533447266,69.54121398925781,67.1349868774414,0.0015845473337849914,0.03748296639463278
99,99,99,99,2019-06-27,70.67084503173828,69.3667221069336,67.93401336669922,0.01880041156902723,0.040286618284510745
100,100,100,100,2019-06-28,70.96473693847656,69.65140533447266,66.73090362548828,0.01885578040668623,0.06344636567113926
101,101,101,101,2019-07-01,75.22610473632812,69.0820083618164,67.3646011352539,0.08893916839145821,0.11670081123600773
102,102,102,102,2019-07-02,74.24341583251953,69.71568298339844,65.94107055664062,0.06494568589680605,0.1259055275535379
103,103,103,103,2019-07-03,74.10566711425781,68.25543975830078,66.52887725830078,0.08571078549450806,0.11388723465961803
104,104,104,104,2019-07-05,73.7750244140625,69.65140533447266,69.54121398925781,0.05920367377783453,0.060882032135054276
105,105,105,105,2019-07-08,72.875,70.67084503173828,69.3667221069336,0.031189028053532297,0.05057580618640389
106,106,106,106,2019-07-09,73.25154113769531,70.96473693847656,69.65140533447266,0.03222451456702102,0.05168791334409506
107,107,107,107,2019-07-10,73.38928985595703,75.22610473632812,69.0820083618164,-0.024417253648972514,0.062350264508542974
108,108,108,108,2019-07-11,72.71887969970703,74.24341583251953,69.71568298339844,-0.020534294061194558,0.043077778023400404
109,109,109,109,2019-07-12,74.3995361328125,74.10566711425781,68.25543975830078,0.003965540423535918,0.09001621550265537
110,110,110,110,2019-07-15,75.34547424316406,73.7750244140625,69.65140533447266,0.021287011987788818,0.08175095507905339
111,111,111,111,2019-07-16,74.67505645751953,72.875,70.67084503173828,0.024700603190662473,0.05666001905004747
112,112,112,112,2019-07-17,73.6280746459961,73.25154113769531,70.96473693847656,0.005140281043275019,0.03753043867165373
113,113,113,113,2019-07-18,74.77606201171875,73.38928985595703,75.22610473632812,0.018896110842379965,-0.00598253393800996
114,114,114,114,2019-07-19,74.68424987792969,72.71887969970703,74.24341583251953,0.02702695897322216,0.0059376853888917225
115,115,115,115,2019-07-22,76.47512817382812,74.3995361328125,74.10566711425781,0.02789791642397388,0.031974087162821574
116,116,116,116,2019-07-23,77.64151000976562,75.34547424316406,73.7750244140625,0.030473439707758843,0.052409140171916
117,117,117,117,2019-07-24,79.30378723144531,74.67505645751953,72.875,0.061984965174535,0.0882166343937607
118,118,118,118,2019-07-25,78.67008972167969,73.6280746459961,73.25154113769531,0.06847951817191489,0.07397180318430174
119,119,119,119,2019-07-26,78.9639892578125,74.77606201171875,73.38928985595703,0.056006255657558235,0.07596066691471015
120,120,120,120,2019-07-29,79.7170639038086,74.68424987792969,72.71887969970703,0.06738789013888424,0.09623613885418192
121,121,121,121,2019-07-30,80.58953857421875,76.47512817382812,74.3995361328125,0.05380063425377424,0.08319947627571644
122,122,122,122,2019-07-31,78.32111358642578,77.64151000976562,75.34547424316406,0.00875309581916528,0.03949327246462575
123,123,123,123,2019-08-01,76.01593017578125,79.30378723144531,74.67505645751953,-0.04145901690758558,0.017956112547762304
124,124,124,124,2019-08-02,72.85662841796875,78.67008972167969,73.6280746459961,-0.07389671632863126,-0.010477609685387801
125,125,125,125,2019-08-05,69.63304901123047,78.9639892578125,74.77606201171875,-0.11816703201401202,-0.06877886936172539
126,126,126,126,2019-08-06,71.3228988647461,79.7170639038086,74.68424987792969,-0.1052994757708513,-0.04500749513689528
127,127,127,127,2019-08-07,73.38011169433594,80.58953857421875,76.47512817382812,-0.08945859484284435,-0.04047088973106672
128,128,128,128,2019-08-08,73.71992492675781,78.32111358642578,77.64151000976562,-0.05874774309216946,-0.05050887189744968
129,129,129,129,2019-08-09,71.1943359375,76.01593017578125,79.30378723144531,-0.0634287343078177,-0.10225805824730871
130,130,130,130,2019-08-12,70.0555191040039,72.85662841796875,78.67008972167969,-0.03844686989761936,-0.10950248878770252
131,131,131,131,2019-08-13,72.03926849365234,69.63304901123047,78.9639892578125,0.03455571049364492,-0.08769466726853647
132,132,132,132,2019-08-14,69.78917694091797,71.3228988647461,79.7170639038086,-0.021503920174874236,-0.12453904442429298
133,133,133,133,2019-08-15,69.38507843017578,73.38011169433594,80.58953857421875,-0.05444299786298257,-0.13903119861797253
134,134,134,134,2019-08-16,70.40449523925781,73.71992492675781,78.32111358642578,-0.04497331882518796,-0.10107898093701306
135,135,135,135,2019-08-19,70.79940795898438,71.1943359375,76.01593017578125,-0.005547182557645081,-0.0686240660968569
136,136,136,136,2019-08-20,70.47795104980469,70.0555191040039,72.85662841796875,0.006029959540712948,-0.0326487434268562
137,137,137,137,2019-08-21,71.24943542480469,72.03926849365234,69.63304901123047,-0.010963924056464402,0.023212920251611147
138,138,138,138,2019-08-22,70.64328002929688,69.78917694091797,71.3228988647461,0.012238331584021545,-0.009528760696309035
139,139,139,139,2019-08-23,67.54828643798828,69.38507843017578,73.38011169433594,-0.026472435194202726,-0.07947419432447933
140,140,140,140,2019-08-26,68.13958740234375,70.40449523925781,73.71992492675781,-0.03216993217857966,-0.07569646238731575
141,141,141,141,2019-08-27,67.32655334472656,70.79940795898438,71.1943359375,-0.04905202902642514,-0.054327111024237706
142,142,142,142,2019-08-28,67.78849792480469,70.47795104980469,70.0555191040039,-0.03816020592169944,-0.03236035087875966
143,143,143,143,2019-08-29,69.24830627441406,71.24943542480469,72.03926849365234,-0.028086245714923352,-0.038742234306338164
144,144,144,144,2019-08-30,69.54396057128906,70.64328002929688,69.78917694091797,-0.015561557412848148,-0.003513673328408795
145,145,145,145,2019-09-03,68.52763366699219,67.54828643798828,69.38507843017578,0.01449847628485701,-0.012357768883211162
146,146,146,146,2019-09-04,70.2369155883789,68.13958740234375,70.40449523925781,0.03077987798269266,-0.0023802407830553207
147,147,147,147,2019-09-05,73.29510498046875,67.32655334472656,70.79940795898438,0.0886507824807532,0.035250252698866946
148,148,148,148,2019-09-06,73.79401397705078,67.78849792480469,70.47795104980469,0.08859196229584243,0.04705106884992616
149,149,149,149,2019-09-09,73.65544128417969,69.24830627441406,71.24943542480469,0.06364249534568,0.03376877086856722
150,150,150,150,2019-09-10,74.19132232666016,69.54396057128906,70.64328002929688,0.06682624511451452,0.05022476725163183
151,151,151,151,2019-09-11,77.15711975097656,68.52763366699219,67.54828643798828,0.12592709863467744,0.14225132597271029
152,152,152,152,2019-09-12,76.0668716430664,70.2369155883789,68.13958740234375,0.08300415822434126,0.11633889406923514
153,153,153,153,2019-09-13,75.89134216308594,73.29510498046875,67.32655334472656,0.03542169948878593,0.12721264334601834
154,154,154,154,2019-09-16,75.7435073852539,73.79401397705078,67.78849792480469,0.026418042645158124,0.11735043117895039
155,155,155,155,2019-09-17,74.7918701171875,73.65544128417969,69.24830627441406,0.015428986822890733,0.0800534213906352
156,156,156,156,2019-09-18,74.13587951660156,74.19132232666016,69.54396057128906,-0.0007472950787220656,0.0660290111116888
157,157,157,157,2019-09-19,73.2396469116211,77.15711975097656,68.52763366699219,-0.0507726681866697,0.06876077565331928
158,158,158,158,2019-09-20,73.68315124511719,76.0668716430664,70.2369155883789,-0.03133716881554571,0.04906587409012708
159,159,159,159,2019-09-23,73.76628875732422,75.89134216308594,73.29510498046875,-0.028001262663073012,0.006428584514355018
160,160,160,160,2019-09-24,73.65544128417969,75.7435073852539,73.79401397705078,-0.027567591905319322,-0.0018778310787401775
161,161,161,161,2019-09-25,74.82881927490234,74.7918701171875,73.65544128417969,0.0004940263915977905,0.015930635541174576
162,162,162,162,2019-09-26,74.24674987792969,74.13587951660156,74.19132232666016,0.001495502070671506,0.0007470894106118564
163,163,163,163,2019-09-27,71.57659912109375,73.2396469116211,77.15711975097656,-0.022706933480088454,-0.0723267100676368
164,164,164,164,2019-09-30,73.22117614746094,73.68315124511719,76.0668716430664,-0.006269752173321486,-0.03741044470658017
165,165,165,165,2019-10-01,71.52115631103516,73.76628875732422,75.89134216308594,-0.030435751670726985,-0.05758477485691993
166,166,166,166,2019-10-02,69.69180297851562,73.65544128417969,75.7435073852539,-0.0538132449763139,-0.07989733530502519
167,167,167,167,2019-10-03,71.3918228149414,74.82881927490234,74.7918701171875,-0.045931453860500904,-0.045460118819314665
168,168,168,168,2019-10-04,74.51469421386719,74.24674987792969,74.13587951660156,0.003608835893531115,0.005109734985754066
169,169,169,169,2019-10-07,74.72718811035156,71.57659912109375,73.2396469116211,0.044017025507563146,0.02031060035728327
170,170,170,170,2019-10-08,72.99020385742188,73.22117614746094,73.68315124511719,-0.003154446598534588,-0.009404421173439315
171,171,171,171,2019-10-09,74.57012176513672,71.52115631103516,73.76628875732422,0.04263025951149402,0.010897023848616572
172,172,172,172,2019-10-10,78.43212890625,69.69180297851562,73.65544128417969,0.12541397344001592,0.06485179558752141
173,173,173,173,2019-10-11,78.90335083007812,71.3918228149414,74.82881927490234,0.10521552355663699,0.05445136773048587
174,174,174,174,2019-10-14,78.51528930664062,74.51469421386719,74.24674987792969,0.05368867355599938,0.057491263061735465
175,175,175,175,2019-10-15,80.04898834228516,74.72718811035156,71.57659912109375,0.07121638544828901,0.1183681444106861
176,176,176,176,2019-10-16,79.14354705810547,72.99020385742188,73.22117614746094,0.08430368563846535,0.08088330756552442
177,177,177,177,2019-10-17,80.88977813720703,74.57012176513672,71.52115631103516,0.08474783495693439,0.13099091666567997
178,178,178,178,2019-10-18,81.09303283691406,78.43212890625,69.69180297851562,0.0339261979468215,0.1635949906750609
179,179,179,179,2019-10-21,83.05176544189453,78.90335083007812,71.3918228149414,0.0525758990990155,0.16332322340581618
180,180,180,180,2019-10-22,82.19251251220703,78.51528930664062,74.51469421386719,0.04683448584396155,0.1030376408216005
181,181,181,181,2019-10-23,82.4974136352539,80.04898834228516,74.72718811035156,0.030586586335100474,0.10398123790537728
182,182,182,182,2019-10-24,82.86698150634766,79.14354705810547,72.99020385742188,0.04704659554250856,0.13531648258194973
183,183,183,183,2019-10-25,83.20883178710938,80.88977813720703,74.57012176513672,0.028669304123553285,0.11584680053468088
184,184,184,184,2019-10-28,84.68712615966797,81.09303283691406,78.43212890625,0.04432061790045494,0.07975044590329272
185,185,185,185,2019-10-29,84.2713394165039,83.05176544189453,78.90335083007812,0.014684503912955726,0.06803245400801772
186,186,186,186,2019-10-30,84.04961395263672,82.19251251220703,78.51528930664062,0.02259453305012271,0.07048722223237114
187,187,187,187,2019-10-31,84.13275909423828,82.4974136352539,80.04898834228516,0.019822990648103556,0.05101589459808209
188,188,188,188,2019-11-01,90.82198333740234,82.86698150634766,79.14354705810547,0.09599724385333541,0.14756018290060746
189,189,189,189,2019-11-04,90.9883041381836,83.20883178710938,80.88977813720703,0.093493349011053,0.12484304239093369
190,190,190,190,2019-11-05,91.21004486083984,84.68712615966797,81.09303283691406,0.0770237342671618,0.12475809166333773
191,191,191,191,2019-11-06,90.6649169921875,84.2713394165039,83.05176544189453,0.07586894453028536,0.09166754625606788
192,192,192,192,2019-11-07,91.13612365722656,84.04961395263672,82.19251251220703,0.08431341170208362,0.1088129669194775
193,193,193,193,2019-11-08,92.7991943359375,84.13275909423828,82.4974136352539,0.10300904588178095,0.12487398388306925
194,194,194,194,2019-11-11,92.74374389648438,90.82198333740234,82.86698150634766,0.02115964096426648,0.11918815203109756
195,195,195,195,2019-11-12,93.8617172241211,90.9883041381836,83.20883178710938,0.031580026830411834,0.12802589831169886
196,196,196,196,2019-11-13,93.4459457397461,91.21004486083984,84.68712615966797,0.0245137570353966,0.10342563241034264
197,197,197,197,2019-11-14,91.23775482177734,90.6649169921875,84.2713394165039,0.006318186224548272,0.0826664848750358
198,198,198,198,2019-11-15,91.8567886352539,91.13612365722656,84.04961395263672,0.007907566715672942,0.09288769234581684
199,199,199,199,2019-11-18,90.0366439819336,92.7991943359375,84.13275909423828,-0.029769120020625817,0.07017343721109026
200,200,200,200,2019-11-19,89.26056671142578,92.74374389648438,90.82198333740234,-0.03755700426485187,-0.017192056026523073
201,201,201,201,2019-11-20,88.73392486572266,93.8617172241211,90.9883041381836,-0.05463135035292821,-0.024776583032443567
202,202,202,202,2019-11-21,89.07576751708984,93.4459457397461,91.21004486083984,-0.04676691094579455,-0.023399586602619205
203,203,203,203,2019-11-22,90.3969955444336,91.23775482177734,90.6649169921875,-0.009215036899867579,-0.0029550729945188037
