,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DVA,DVA_6m,DVA_12m,DVA_6m_ret,DVA_12m_ret
492,492,492,492,2021-01-19,118.0999984741211,123.88999938964844,115.5,-0.04673501448100836,0.02251080929974969
493,493,493,493,2021-01-20,120.31999969482422,123.12000274658205,117.4000015258789,-0.022742064565423048,0.024872215766553074
494,494,494,494,2021-01-21,119.31999969482422,123.8000030517578,116.5,-0.036187425254429084,0.024206005964156452
495,495,495,495,2021-01-22,119.58999633789062,120.76000213623048,116.5500030517578,-0.009688686466069796,0.026083167795223572
496,496,496,496,2021-01-25,118.55999755859376,119.63999938964844,120.5500030517578,-0.009027096594486639,-0.016507718314280218
497,497,497,497,2021-01-26,119.26000213623048,118.75,122.20999908447266,0.0042947548314145045,-0.02413875272352395
498,498,498,498,2021-01-27,117.8499984741211,118.0999984741211,123.88999938964844,-0.0021168501543611384,-0.04875293361275146
499,499,499,499,2021-01-28,117.88999938964844,120.31999969482422,123.12000274658205,-0.020196146204613963,-0.042478908709079
500,500,500,500,2021-01-29,117.37000274658205,119.31999969482422,123.8000030517578,-0.016342582578189213,-0.05193861184710569
501,501,501,501,2021-02-01,118.80999755859376,119.58999633789062,120.76000213623048,-0.006522274464270783,-0.016147768658010597
502,502,502,502,2021-02-02,111.63999938964844,118.55999755859376,119.63999938964844,-0.0583670572827516,-0.06686726881321081
503,503,503,503,2021-02-03,110.48999786376952,119.26000213623048,118.75,-0.07353684483791145,-0.06955791272615142
504,504,504,504,2021-02-04,109.54000091552734,117.8499984741211,118.0999984741211,-0.07051334464309356,-0.07248092861296251
505,505,505,505,2021-02-05,109.18000030517578,117.88999938964844,120.31999969482422,-0.07388242539288248,-0.09258643133231026
506,506,506,506,2021-02-08,110.1999969482422,117.37000274658205,119.31999969482422,-0.06108891224805435,-0.0764331442332179
507,507,507,507,2021-02-09,111.0,118.80999755859376,119.58999633789062,-0.06573518827607161,-0.07182871980044525
508,508,508,508,2021-02-10,113.38999938964844,111.63999938964844,118.55999755859376,0.015675385252306384,-0.0436065981393956
509,509,509,509,2021-02-11,113.33000183105467,110.48999786376952,119.26000213623048,0.02570371999451737,-0.04972329531238795
510,510,510,510,2021-02-12,104.98999786376952,109.54000091552734,117.8499984741211,-0.04153736547132769,-0.10912177154737535
511,511,511,511,2021-02-16,104.18000030517578,109.18000030517578,117.88999938964844,-0.045795933193114036,-0.11629484396855883
512,512,512,512,2021-02-17,103.11000061035156,110.1999969482422,117.37000274658205,-0.0643375366082869,-0.12149613872822163
513,513,513,513,2021-02-18,100.12000274658205,111.0,118.80999755859376,-0.0980179932740356,-0.1573099503077957
514,514,514,514,2021-02-19,102.06999969482422,113.38999938964844,111.63999938964844,-0.09983243456880764,-0.08572196118904296
515,515,515,515,2021-02-22,99.9800033569336,113.33000183105467,110.48999786376952,-0.11779756691456189,-0.0951216825960518
516,516,516,516,2021-02-23,101.27999877929688,104.98999786376952,109.54000091552734,-0.035336690732069354,-0.0754062631659117
517,517,517,517,2021-02-24,102.88999938964844,104.18000030517578,109.18000030517578,-0.012382423802539178,-0.05761129234242324
518,518,518,518,2021-02-25,102.13999938964844,103.11000061035156,110.1999969482422,-0.009407440742520423,-0.07313972578764516
519,519,519,519,2021-02-26,102.12999725341795,100.12000274658205,111.0,0.02007585349276808,-0.07990993465389229
520,520,520,520,2021-03-01,102.8499984741211,102.06999969482422,113.38999938964844,0.00764180250444757,-0.09295353181287302
521,521,521,521,2021-03-02,103.5199966430664,99.9800033569336,113.33000183105467,0.03540701307535321,-0.08656141383119731
522,522,522,522,2021-03-03,102.77999877929688,101.27999877929688,104.98999786376952,0.014810426718790737,-0.02104961548185036
523,523,523,523,2021-03-04,103.81999969482422,102.88999938964844,104.18000030517578,0.009038782298499415,-0.003455563537118511
524,524,524,524,2021-03-05,105.54000091552734,102.13999938964844,103.11000061035156,0.033287659547641235,0.0235670671204693
525,525,525,525,2021-03-08,107.61000061035156,102.12999725341795,100.12000274658205,0.05365713800359684,0.0748102043377663
526,526,526,526,2021-03-09,107.62999725341795,102.8499984741211,102.06999969482422,0.04647543850474234,0.05447239713155083
527,527,527,527,2021-03-10,107.11000061035156,103.5199966430664,99.9800033569336,0.03467932847470401,0.0713142329868055
528,528,528,528,2021-03-11,107.68000030517578,102.77999877929688,101.27999877929688,0.04767466028483658,0.06319116906611932
529,529,529,529,2021-03-12,108.44000244140624,103.81999969482422,102.88999938964844,0.044500122906592,0.05394113212830054
530,530,530,530,2021-03-15,108.93000030517578,105.54000091552734,102.13999938964844,0.0321205169626797,0.06647739334346903
531,531,531,531,2021-03-16,107.63999938964844,107.61000061035156,102.12999725341795,0.00027877315423041615,0.053950869327435313
532,532,532,532,2021-03-17,107.7300033569336,107.62999725341795,102.8499984741211,0.000929165716507141,0.04744778760536783
533,533,533,533,2021-03-18,109.19000244140624,107.11000061035156,103.5199966430664,0.019419305566259704,0.054772082517446696
534,534,534,534,2021-03-19,109.83000183105467,107.68000030517578,102.77999877929688,0.019966581721634347,0.06859314200709932
535,535,535,535,2021-03-22,110.04000091552734,108.44000244140624,103.81999969482422,0.01475468865823415,0.05991139702356607
536,536,536,536,2021-03-23,107.0199966430664,108.93000030517578,105.54000091552734,-0.017534229842636084,0.014023078592955818
537,537,537,537,2021-03-24,109.02999877929688,107.63999938964844,107.61000061035156,0.012913409490246774,0.013195782556372437
538,538,538,538,2021-03-25,110.86000061035156,107.7300033569336,107.62999725341795,0.02905409037301876,0.030010252154224926
539,539,539,539,2021-03-26,108.7699966430664,109.19000244140624,107.11000061035156,-0.003846559107508196,0.015498048952064192
540,540,540,540,2021-03-29,110.0500030517578,109.83000183105467,107.68000030517578,0.0020031067744270548,0.022009683691170068
541,541,541,541,2021-03-30,109.4800033569336,110.04000091552734,108.44000244140624,-0.0050890362952981105,0.009590565216828661
542,542,542,542,2021-03-31,107.7699966430664,107.0199966430664,108.93000030517578,0.00700803610096723,-0.010649074257408797
543,543,543,543,2021-04-01,105.44000244140624,109.02999877929688,107.63999938964844,-0.03292668419778355,-0.020438470463738923
544,544,544,544,2021-04-05,106.8000030517578,110.86000061035156,107.7300033569336,-0.036622745230389775,-0.008632695407002733
545,545,545,545,2021-04-06,106.9499969482422,108.7699966430664,109.19000244140624,-0.016732552643139442,-0.02051474899788619
546,546,546,546,2021-04-07,106.69000244140624,110.0500030517578,109.83000183105467,-0.030531581255579976,-0.028589632498399853
547,547,547,547,2021-04-08,106.86000061035156,109.4800033569336,110.04000091552734,-0.02393133600882469,-0.028898584866578814
548,548,548,548,2021-04-09,109.0,107.7699966430664,107.0199966430664,0.01141322627119834,0.018501246673902516
549,549,549,549,2021-04-12,109.87999725341795,105.44000244140624,109.02999877929688,0.042109206270922295,0.007796005536436557
550,550,550,550,2021-04-13,107.45999908447266,106.8000030517578,110.86000061035156,0.006179737957451303,-0.0306693262417449
551,551,551,551,2021-04-14,108.2300033569336,106.9499969482422,108.7699966430664,0.011968269707486323,-0.004964542638580927
552,552,552,552,2021-04-15,109.8499984741211,106.69000244140624,110.0500030517578,0.029618483085613434,-0.0018173972929618198
553,553,553,553,2021-04-16,113.11000061035156,106.86000061035156,109.4800033569336,0.05848774063542872,0.03315671485306071
554,554,554,554,2021-04-19,110.77999877929688,109.0,107.7699966430664,0.01633026403024651,0.02792987129989033
555,555,555,555,2021-04-20,112.1999969482422,109.87999725341795,105.44000244140624,0.021113940233121742,0.06411223776851238
556,556,556,556,2021-04-21,113.54000091552734,107.45999908447266,106.8000030517578,0.056579209779029416,0.0631085924267547
557,557,557,557,2021-04-22,112.4499969482422,108.2300033569336,106.9499969482422,0.03899097718209821,0.05142590142065817
558,558,558,558,2021-04-23,113.5999984741211,109.8499984741211,106.69000244140624,0.03413746064715184,0.0647670435335288
