,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MAS,MAS_6m,MAS_12m,MAS_6m_ret,MAS_12m_ret
637,637,637,637,2021-08-16,60.09557342529297,57.4892692565918,55.80540084838867,0.04533548960360689,0.0768773722916134
638,638,638,638,2021-08-17,58.55808639526367,56.30009078979492,56.80430221557617,0.04010642920451635,0.030874143529336484
639,639,639,639,2021-08-18,57.21158981323242,57.07067489624024,56.45230865478516,0.00246913002603133,0.013449957610952357
640,640,640,640,2021-08-19,57.28798675537109,58.9352912902832,57.39412689208984,-0.027951071401316918,-0.0018493205222602782
641,641,641,641,2021-08-20,57.994659423828125,59.39844512939453,57.03261947631836,-0.02363337461962811,0.016868240602366802
642,642,642,642,2021-08-23,58.11880111694336,59.78043365478516,57.54633712768555,-0.027795591906162098,0.009947878836972901
643,643,643,643,2021-08-24,58.4434928894043,60.09557342529297,57.4892692565918,-0.027490885629745,0.016598291214200644
644,644,644,644,2021-08-25,59.13106536865234,58.55808639526367,56.30009078979492,0.009784796749010782,0.05028365921162181
645,645,645,645,2021-08-26,58.93051528930664,57.21158981323242,57.07067489624024,0.03004505698383242,0.032588372162196455
646,646,646,646,2021-08-27,59.19790649414063,57.28798675537109,58.9352912902832,0.03333892229317126,0.004455992294394973
647,647,647,647,2021-08-30,59.12150955200195,57.994659423828125,59.39844512939453,0.019430239600835453,-0.004662337150228346
648,648,648,648,2021-08-31,57.985111236572266,58.11880111694336,59.78043365478516,-0.0023002862722871775,-0.030031940359957376
649,649,649,649,2021-09-01,58.47214126586914,58.4434928894043,60.09557342529297,0.0004901893273054903,-0.02701417204117329
650,650,650,650,2021-09-02,58.98781204223633,59.13106536865234,58.55808639526367,-0.0024226407138598915,0.007338450988169765
651,651,651,651,2021-09-03,58.43394470214844,58.93051528930664,57.21158981323242,-0.00842637442962102,0.021365511654306335
652,652,652,652,2021-09-07,56.35213088989258,59.19790649414063,57.28798675537109,-0.04807223384715009,-0.016335988022668113
653,653,653,653,2021-09-08,55.55950927734375,59.12150955200195,57.994659423828125,-0.0602488045662154,-0.04198921367376551
654,654,654,654,2021-09-09,56.76276397705078,57.985111236572266,58.11880111694336,-0.021080364139243524,-0.023332159539286357
655,655,655,655,2021-09-10,56.85826110839844,58.47214126586914,58.4434928894043,-0.027600839006946765,-0.02712417931634714
656,656,656,656,2021-09-13,57.163848876953125,58.98781204223633,59.13106536865234,-0.030921017446404186,-0.03326874764448451
657,657,657,657,2021-09-14,56.30437850952149,58.43394470214844,58.93051528930664,-0.036443991647010066,-0.04456327535730342
658,658,658,658,2021-09-15,55.83645248413086,56.35213088989258,59.19790649414063,-0.009151000993543823,-0.05678332578099676
659,659,659,659,2021-09-16,55.52131271362305,55.55950927734375,59.12150955200195,-0.0006874892204327132,-0.06089487338296484
660,660,660,660,2021-09-17,54.65230178833008,56.76276397705078,57.985111236572266,-0.03718039857209854,-0.05747698637059995
661,661,661,661,2021-09-20,54.251224517822266,56.85826110839844,58.47214126586914,-0.04585150055162501,-0.07218679967361952
662,662,662,662,2021-09-21,53.68779754638672,57.163848876953125,58.98781204223633,-0.06080855993529599,-0.08984931483905023
663,663,663,663,2021-09-22,53.96472930908203,56.30437850952149,58.43394470214844,-0.04155359249802937,-0.07648320536713804
664,664,664,664,2021-09-23,54.117523193359375,55.83645248413086,56.35213088989258,-0.03078507344749415,-0.03965436020333357
665,665,665,665,2021-09-24,53.55409622192383,55.52131271362305,55.55950927734375,-0.03543173595058979,-0.036094866234495315
666,666,666,666,2021-09-27,53.58274841308594,54.65230178833008,56.76276397705078,-0.019570143255567718,-0.05602291610131116
667,667,667,667,2021-09-28,52.570499420166016,54.251224517822266,56.85826110839844,-0.030980408508643142,-0.07541141084244452
668,668,668,668,2021-09-29,53.1816635131836,53.68779754638672,57.163848876953125,-0.009427356984905488,-0.06966265291795337
669,669,669,669,2021-09-30,53.0479736328125,53.96472930908203,56.30437850952149,-0.016988052900605344,-0.05783573077106796
670,670,670,670,2021-10-01,53.36310958862305,54.117523193359375,55.83645248413086,-0.013940283298643275,-0.04429620410090984
671,671,671,671,2021-10-04,53.46815490722656,53.55409622192383,55.52131271362305,-0.001604757072944163,-0.03697963369466062
672,672,672,672,2021-10-05,53.35355758666992,53.58274841308594,54.65230178833008,-0.0042773249451318884,-0.0237637603387727
673,673,673,673,2021-10-06,53.61139678955078,52.570499420166016,54.251224517822266,0.01980002816913462,-0.011793793300670874
674,674,674,674,2021-10-07,54.5472526550293,53.1816635131836,53.68779754638672,0.025677819226304743,0.01600838827295914
675,675,675,675,2021-10-08,54.30851745605469,53.0479736328125,53.96472930908203,0.02376233693613683,0.006370608198618344
676,676,676,676,2021-10-11,54.19391250610352,53.36310958862305,54.117523193359375,0.015568862532283845,0.0014115448793030616
677,677,677,677,2021-10-12,54.09843063354492,53.46815490722656,53.55409622192383,0.01178787125555325,0.010164197512836592
678,678,678,678,2021-10-13,54.251224517822266,53.35355758666992,53.58274841308594,0.016824874886630203,0.012475584484447078
679,679,679,679,2021-10-14,55.922393798828125,53.61139678955078,52.570499420166016,0.043106450263720175,0.063759987362348
680,680,680,680,2021-10-15,56.60041809082031,54.5472526550293,53.1816635131836,0.03764012550321749,0.06428446106784924
681,681,681,681,2021-10-18,57.39303207397461,54.30851745605469,53.0479736328125,0.056796148420288795,0.0819080945718631
682,682,682,682,2021-10-19,57.15428924560547,54.19391250610352,53.36310958862305,0.05462563233773787,0.07104495383062726
683,683,683,683,2021-10-20,57.87051010131836,54.09843063354492,53.46815490722656,0.06972622724169142,0.08233602228710524
684,684,684,684,2021-10-21,58.38618850708008,54.251224517822266,53.35355758666992,0.07621881397164443,0.09432606086735507
685,685,685,685,2021-10-22,58.26204299926758,55.922393798828125,53.61139678955078,0.041837429364271594,0.08674734269604478
686,686,686,686,2021-10-25,58.739524841308594,56.60041809082031,54.5472526550293,0.037793126316768566,0.07685578983770802
687,687,687,687,2021-10-26,58.328895568847656,57.39303207397461,54.30851745605469,0.016306221522968123,0.07402850052104948
688,688,688,688,2021-10-27,61.36566925048828,57.15428924560547,54.19391250610352,0.07368440865016312,0.13233509840384827
689,689,689,689,2021-10-28,62.54980850219727,57.87051010131836,54.09843063354492,0.08085808113124471,0.1562222373122204
690,690,690,690,2021-10-29,62.597564697265625,58.38618850708008,54.251224517822266,0.0721296645297349,0.15384611598400832
691,691,691,691,2021-11-01,61.72854995727539,58.26204299926758,55.922393798828125,0.05949854793199383,0.103825243592647
692,692,692,692,2021-11-02,61.20331573486328,58.739524841308594,56.60041809082031,0.04194434497403399,0.0813226792186803
693,693,693,693,2021-11-03,61.27016830444336,58.328895568847656,57.39303207397461,0.0504256545047046,0.067554127920467
694,694,694,694,2021-11-04,61.7571907043457,61.36566925048828,57.15428924560547,0.006380138253838208,0.0805346636183415
695,695,695,695,2021-11-05,61.27971267700195,62.54980850219727,57.87051010131836,-0.020305351137097416,0.05891087826450536
696,696,696,696,2021-11-08,61.16512298583984,62.597564697265625,58.38618850708008,-0.022883345675720146,0.047595750807106985
697,697,697,697,2021-11-09,62.759910583496094,61.72854995727539,58.26204299926758,0.016708000219259,0.07720064990314635
698,698,698,698,2021-11-10,61.758392333984375,61.20331573486328,58.739524841308594,0.009069387703204201,0.0513941422037647
699,699,699,699,2021-11-11,61.8925666809082,61.27016830444336,58.328895568847656,0.010158261249948453,0.06109615272681146
700,700,700,700,2021-11-12,63.933929443359375,61.7571907043457,61.36566925048828,0.03524672534789541,0.04185174258244828
701,701,701,701,2021-11-15,64.4418716430664,61.27971267700195,62.54980850219727,0.051602052750015615,0.030248903812434058
702,702,702,702,2021-11-16,65.63027954101562,61.16512298583984,62.597564697265625,0.07300167705392346,0.04844780876727106
703,703,703,703,2021-11-17,65.25650024414062,62.759910583496094,61.72854995727539,0.0397800066544558,0.05715265123361979
704,704,704,704,2021-11-18,64.93065643310547,61.758392333984375,61.20331573486328,0.051365716937153305,0.06090096024191349
705,705,705,705,2021-11-19,64.7868881225586,61.8925666809082,61.27016830444336,0.04676363571367603,0.057396934192201376
706,706,706,706,2021-11-22,65.43859100341797,63.933929443359375,61.7571907043457,0.023534632911803355,0.059610877002104434
707,707,707,707,2021-11-23,65.38109588623047,64.4418716430664,61.27971267700195,0.014574751155060905,0.06692889098299815
708,708,708,708,2021-11-24,65.534423828125,65.63027954101562,61.16512298583984,-0.0014605409814035797,0.0714345141314714
709,709,709,709,2021-11-26,64.28852844238281,65.25650024414062,62.759910583496094,-0.014833339179030292,0.02435659714417593
710,710,710,710,2021-11-29,64.53771209716797,64.93065643310547,61.758392333984375,-0.006051753632620782,0.045003110640465804
711,711,711,711,2021-11-30,63.15763473510742,64.7868881225586,61.8925666809082,-0.02514788770791221,0.020439741346022666
712,712,712,712,2021-12-01,62.93721389770508,65.43859100341797,63.933929443359375,-0.038224800799611325,-0.015589774542753676
713,713,713,713,2021-12-02,64.72937774658203,65.38109588623047,64.4418716430664,-0.009967990453731312,0.004461479720950345
714,714,714,714,2021-12-03,65.89862823486328,65.534423828125,65.63027954101562,0.005557451877405306,0.004088794009782459
715,715,715,715,2021-12-06,65.63986206054688,64.28852844238281,65.25650024414062,0.0210198250124074,0.005874691639484286
716,716,716,716,2021-12-07,65.74529266357422,64.53771209716797,64.93065643310547,0.01871123916800954,0.012546249725782888
717,717,717,717,2021-12-08,65.98487091064453,63.15763473510742,64.7868881225586,0.04476475706215033,0.018491130270367195
718,718,718,718,2021-12-09,65.59193420410156,62.93721389770508,65.43859100341797,0.04218045480550403,0.0023433145233151542
719,719,719,719,2021-12-10,65.85070037841797,64.72937774658203,65.38109588623047,0.017323241329863626,0.007182572971928369
720,720,720,720,2021-12-13,65.44818878173828,65.89862823486328,65.534423828125,-0.0068353388407362825,-0.001315874030004216
721,721,721,721,2021-12-14,65.3044204711914,65.63986206054688,64.28852844238281,-0.005110333550762958,0.015802073144652207
722,722,722,722,2021-12-15,66.4161605834961,65.74529266357422,64.53771209716797,0.010204044924627231,0.02910621441770256
723,723,723,723,2021-12-16,65.88904571533203,65.98487091064453,63.15763473510742,-0.001452229791314763,0.04324751855702891
724,724,724,724,2021-12-17,63.70391845703125,65.59193420410156,62.93721389770508,-0.028784266998369,0.012182054333900627
725,725,725,725,2021-12-20,62.0459098815918,65.85070037841797,64.72937774658203,-0.05777904373015841,-0.041456722718641204
726,726,726,726,2021-12-21,63.61766815185547,65.44818878173828,65.89862823486328,-0.02796900363411703,-0.034613164857976275
727,727,727,727,2021-12-22,64.64312744140625,65.3044204711914,65.63986206054688,-0.010126313425855793,-0.015184898137373115
728,728,728,728,2021-12-23,65.17024230957031,66.4161605834961,65.74529266357422,-0.018759263754180022,-0.008746639199653461
729,729,729,729,2021-12-27,66.33948516845703,65.88904571533203,65.98487091064453,0.006836332932655953,0.005374175214992949
730,730,730,730,2021-12-28,66.67491912841797,63.70391845703125,65.59193420410156,0.04663764401542547,0.016510946619541667
731,731,731,731,2021-12-29,67.30744934082031,62.0459098815918,65.85070037841797,0.084800746242091,0.022121996486460738
732,732,732,732,2021-12-30,66.78033447265625,63.61766815185547,65.44818878173828,0.049713647366820934,0.02035420254883613
733,733,733,733,2021-12-31,67.29785919189453,64.64312744140625,65.3044204711914,0.0410675017679889,0.03052532594761348
734,734,734,734,2022-01-03,66.53115844726562,65.17024230957031,66.4161605834961,0.02088247779148511,0.0017314741285738844
735,735,735,735,2022-01-04,67.28827667236328,66.33948516845703,65.88904571533203,0.01430206311515625,0.02123616971289133
736,736,736,736,2022-01-05,65.4769287109375,66.67491912841797,63.70391845703125,-0.01796763210425656,0.02783204388129068
737,737,737,737,2022-01-06,65.7931900024414,67.30744934082031,62.0459098815918,-0.022497648524924085,0.06039528033356123
738,738,738,738,2022-01-07,64.2789535522461,66.78033447265625,63.61766815185547,-0.03745684923806969,0.01039468153425771
739,739,739,739,2022-01-10,63.83808517456055,67.29785919189453,64.64312744140625,-0.05140986739962572,-0.012453640451963066
740,740,740,740,2022-01-11,64.67188262939453,66.53115844726562,65.17024230957031,-0.027945940838303707,-0.007647043535736531
741,741,741,741,2022-01-12,65.4769287109375,67.28827667236328,66.33948516845703,-0.026919220568621616,-0.013002157845048434
742,742,742,742,2022-01-13,65.3044204711914,65.4769287109375,66.67491912841797,-0.0026346415927306355,-0.02055493542612241
743,743,743,743,2022-01-14,64.48021697998047,65.7931900024414,67.30744934082031,-0.019956062662597973,-0.04200474670379761
744,744,744,744,2022-01-18,63.15763473510742,64.2789535522461,66.78033447265625,-0.017444571748157944,-0.054248002292234254
745,745,745,745,2022-01-19,62.86053085327149,63.83808517456055,67.29785919189453,-0.015313026990330436,-0.06593565370289634
746,746,746,746,2022-01-20,62.42926025390625,64.67188262939453,66.53115844726562,-0.03467693044193165,-0.06165379183365116
747,747,747,747,2022-01-21,61.58588790893555,65.4769287109375,67.28827667236328,-0.059426134954799426,-0.08474565028903214
