,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
377,377,377,377,2020-08-04,170.61215209960938,168.5909881591797,169.07949829101562,0.011988564528261358,0.009064693378470823
378,378,378,378,2020-08-05,175.1238555908203,168.38983154296875,166.49317932128906,0.03999068106516401,0.05183801705700075
379,379,379,379,2020-08-06,173.62953186035156,172.66207885742188,168.25572204589844,0.005603158547213827,0.031938348063949906
380,380,380,380,2020-08-07,175.77523803710938,170.5450897216797,168.1024627685547,0.030667246556115968,0.04564344354144678
381,381,381,381,2020-08-10,181.91542053222656,168.8878936767578,169.29022216796875,0.07713712671674822,0.07457724493816986
382,382,382,382,2020-08-11,185.0860748291016,170.14276123046875,167.96835327148438,0.08782808913269724,0.10191039695406268
383,383,383,383,2020-08-12,184.21435546875,170.61215209960938,168.5909881591797,0.07972587650848673,0.09267023985184242
384,384,384,384,2020-08-13,181.52264404296875,175.1238555908203,168.38983154296875,0.036538645352231836,0.07799053173023007
385,385,385,385,2020-08-14,183.08404541015625,173.62953186035156,172.66207885742188,0.05445222047484899,0.06036048344663136
386,386,386,386,2020-08-17,184.86573791503903,175.77523803710938,170.5450897216797,0.05171661252997706,0.08396986519359695
387,387,387,387,2020-08-18,184.04196166992188,181.91542053222656,168.8878936767578,0.01168972444157701,0.08972856291385889
388,388,388,388,2020-08-19,183.90786743164065,185.0860748291016,170.14276123046875,-0.006365726857349152,0.08090327264952646
389,389,389,389,2020-08-20,183.05532836914065,184.21435546875,170.61215209960938,-0.006291730612742463,0.0729325321578882
390,390,390,390,2020-08-21,191.10166931152344,181.52264404296875,175.1238555908203,0.05277041505789892,0.09123721989102118
391,391,391,391,2020-08-24,196.7533264160156,183.08404541015625,173.62953186035156,0.0746612353645375,0.13317892588838087
392,392,392,392,2020-08-25,196.9449005126953,184.86573791503903,175.77523803710938,0.06534019085357845,0.12043597671656481
393,393,393,393,2020-08-26,202.12716674804688,184.04196166992188,181.91542053222656,0.09826674805042934,0.11110518369848577
394,394,394,394,2020-08-27,200.99685668945312,183.90786743164065,185.0860748291016,0.09292146930127676,0.08596422975117224
395,395,395,395,2020-08-28,201.0639038085937,183.05532836914065,184.21435546875,0.09837777244668788,0.09146707539142929
396,396,396,396,2020-08-31,201.21714782714844,191.10166931152344,181.52264404296875,0.05293244455722301,0.10849612668443576
397,397,397,397,2020-09-01,208.5259552001953,196.7533264160156,183.08404541015625,0.05983445870331883,0.1389630086720146
398,398,398,398,2020-09-02,207.97036743164065,196.9449005126953,184.86573791503903,0.05598249505442077,0.12498059281931462
399,399,399,399,2020-09-03,201.9355926513672,202.12716674804688,184.04196166992188,-0.0009477899471004303,0.09722582186739248
400,400,400,400,2020-09-04,202.44325256347656,200.99685668945312,183.90786743164065,0.00719611190864633,0.10078625450173084
401,401,401,401,2020-09-08,201.3895874023437,201.0639038085937,183.05532836914065,0.0016198014043338205,0.10015692630498596
402,402,402,402,2020-09-09,206.44732666015625,201.21714782714844,191.10166931152344,0.025992709316706497,0.08030101151872815
403,403,403,403,2020-09-10,206.05458068847656,208.5259552001953,196.7533264160156,-0.011851639808320824,0.04727368244232055
404,404,404,404,2020-09-11,206.86880493164065,207.97036743164065,196.9449005126953,-0.005296728152206942,0.0503892428446282
405,405,405,405,2020-09-14,209.1389923095703,201.9355926513672,202.12716674804688,0.035671768228791034,0.03469016893836807
406,406,406,406,2020-09-15,206.6867828369141,202.44325256347656,200.99685668945312,0.020961579206533187,0.028308532984931745
407,407,407,407,2020-09-16,206.3323516845703,201.3895874023437,201.0639038085937,0.024543296135523418,0.026202852805404575
408,408,408,408,2020-09-17,210.6812286376953,206.44732666015625,201.21714782714844,0.02050838848840475,0.04703416638564417
409,409,409,409,2020-09-18,212.62579345703125,206.05458068847656,208.5259552001953,0.03189064153099008,0.01966104532598778
410,410,410,410,2020-09-21,205.1924591064453,206.86880493164065,207.97036743164065,-0.008103424901348855,-0.013357231414751536
411,411,411,411,2020-09-22,208.4205780029297,209.1389923095703,201.9355926513672,-0.0034351045623153276,0.032114127412687266
412,412,412,412,2020-09-23,205.51812744140625,206.6867828369141,202.44325256347656,-0.00565423380957053,0.015188823727111167
413,413,413,413,2020-09-24,207.4052124023437,206.3323516845703,201.3895874023437,0.00519967280464817,0.029870586049624004
414,414,414,414,2020-09-25,210.020248413086,210.6812286376953,206.44732666015625,-0.003137347493572862,0.017306699053610597
415,415,415,415,2020-09-28,212.5587310791016,212.62579345703125,206.05458068847656,-0.0003154009531924906,0.031565182239060796
416,416,416,416,2020-09-29,211.63595581054688,205.1924591064453,206.86880493164065,0.03140221006250021,0.02304431971017329
417,417,417,417,2020-09-30,213.0297088623047,208.4205780029297,209.1389923095703,0.022114567110116168,0.018603496697427335
418,418,418,418,2020-10-01,210.54022216796875,205.51812744140625,206.6867828369141,0.024436261604195098,0.018643859458082668
419,419,419,419,2020-10-02,216.06707763671875,207.4052124023437,206.3323516845703,0.04176300650328879,0.04717983327709252
420,420,420,420,2020-10-05,218.15289306640625,210.020248413086,210.6812286376953,0.038723145576536444,0.03546431011924578
421,421,421,421,2020-10-06,217.3454742431641,212.5587310791016,212.62579345703125,0.022519626174664964,0.02219712250991135
422,422,422,422,2020-10-07,221.6228179931641,211.63595581054688,205.1924591064453,0.04718887272424199,0.0800729176806414
423,423,423,423,2020-10-08,225.150390625,213.0297088623047,208.4205780029297,0.05689667336742077,0.08026948577906334
424,424,424,424,2020-10-09,225.69825744628903,210.54022216796875,205.51812744140625,0.07199591186061927,0.09819148440147307
425,425,425,425,2020-10-12,227.3419189453125,216.06707763671875,207.4052124023437,0.052182134510795564,0.09612442383701403
426,426,426,426,2020-10-13,228.0147705078125,218.15289306640625,210.020248413086,0.04520626475672862,0.08567993910441118
