,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PFG,PFG_6m,PFG_12m,PFG_6m_ret,PFG_12m_ret
1033,1033,1033,1033,2023-03-14,71.41975402832031,82.68180847167969,85.75947570800781,-0.13620958045707088,-0.1672085977823734
1034,1034,1034,1034,2023-03-15,67.83757019042969,81.36007690429688,85.55686950683594,-0.16620567762950356,-0.20710551260866894
1035,1035,1035,1035,2023-03-16,70.63127899169922,80.29881286621094,86.40586853027344,-0.12039448068328462,-0.18256386755776177
1036,1036,1036,1036,2023-03-17,68.12960052490234,76.13094329833984,88.0170669555664,-0.10509974560648827,-0.22595011534187837
1037,1037,1037,1037,2023-03-20,71.00118255615234,74.29786682128906,83.14491271972656,-0.0443711832678364,-0.14605499923380227
1038,1038,1038,1038,2023-03-21,73.1427001953125,69.58972930908203,84.47631072998047,0.05105596646956312,-0.13416318062106958
1039,1039,1039,1039,2023-03-22,70.44634246826172,71.41975402832031,82.68180847167969,-0.013629444308539629,-0.14798256387448128
1040,1040,1040,1040,2023-03-23,69.3658447265625,67.83757019042969,81.36007690429688,0.022528438619525026,-0.1474215934166715
1041,1041,1041,1041,2023-03-24,69.68705749511719,70.63127899169922,80.29881286621094,-0.013368319391370509,-0.13215332820392278
1042,1042,1042,1042,2023-03-27,70.40739440917969,68.12960052490234,76.13094329833984,0.033433248789485726,-0.07518032275957587
1043,1043,1043,1043,2023-03-28,70.38792419433594,71.00118255615234,74.29786682128906,-0.008637297855305426,-0.0526252339970652
1044,1044,1044,1044,2023-03-29,71.39054107666016,73.1427001953125,69.58972930908203,-0.023955351852933515,0.02587755097565969
1045,1045,1045,1045,2023-03-30,72.1692886352539,70.44634246826172,71.41975402832031,0.024457567371484634,0.010494780010532834
1046,1046,1046,1046,2023-03-31,72.34449768066406,69.3658447265625,67.83757019042969,0.0429412049380109,0.0664370418572302
1047,1047,1047,1047,2023-04-03,71.68257141113281,69.68705749511719,70.63127899169922,0.028635359100295465,0.014884233082585796
1048,1048,1048,1048,2023-04-04,70.47554016113281,70.40739440917969,68.12960052490234,0.0009678777708643782,0.03443348585866124
1049,1049,1049,1049,2023-04-05,71.12773132324219,70.38792419433594,71.00118255615234,0.010510426857648136,0.0017823473149867208
1050,1050,1050,1050,2023-04-06,71.46842193603516,71.39054107666016,73.1427001953125,0.001090912860449933,-0.022890572193896674
1051,1051,1051,1051,2023-04-10,72.30555725097656,72.1692886352539,70.44634246826172,0.0018881801151091615,0.026391927778968594
1052,1052,1052,1052,2023-04-11,73.5515365600586,72.34449768066406,69.3658447265625,0.016684598249925298,0.06034225994069464
1053,1053,1053,1053,2023-04-12,73.32765197753906,71.68257141113281,69.68705749511719,0.022949519444146915,0.05224204627490492
1054,1054,1054,1054,2023-04-13,73.07456970214844,70.47554016113281,70.40739440917969,0.036878462159684045,0.03788203377429644
