,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,META,META_6m,META_12m,META_6m_ret,META_12m_ret
650,650,650,650,2021-09-02,375.2799987792969,368.3900146484375,358.45001220703125,0.01870296114685588,0.046952116052781934
651,651,651,651,2021-09-03,376.260009765625,364.3800048828125,355.45001220703125,0.03260333916136049,0.05854549681791266
652,652,652,652,2021-09-07,382.1799926757813,372.6300048828125,355.1199951171875,0.025628606574428003,0.07619958867611554
653,653,653,653,2021-09-08,377.5700073242188,380.6600036621094,359.3699951171875,-0.008117470467512988,0.05064421753156223
654,654,654,654,2021-09-09,378.0,379.3800048828125,363.3500061035156,-0.003637526662056856,0.040319233935311116
655,655,655,655,2021-09-10,378.6900024414063,382.0499877929688,365.510009765625,-0.00879462232409034,0.03605918394473706
656,656,656,656,2021-09-13,376.510009765625,375.2799987792969,368.3900146484375,0.003277582046282923,0.02204184368280604
657,657,657,657,2021-09-14,376.5299987792969,376.260009765625,364.3800048828125,0.0007175596839006371,0.03334429368700387
658,658,658,658,2021-09-15,373.9200134277344,382.1799926757813,372.6300048828125,-0.0216127986978486,0.0034619019617798674
659,659,659,659,2021-09-16,373.05999755859375,377.5700073242188,380.6600036621094,-0.011944830569532772,-0.019965339227658196
660,660,660,660,2021-09-17,364.7200012207031,378.0,379.3800048828125,-0.0351322719029018,-0.03864200398921325
661,661,661,661,2021-09-20,355.70001220703125,378.6900024414063,382.0499877929688,-0.06070926110052832,-0.06896996840166503
662,662,662,662,2021-09-21,357.4800109863281,376.510009765625,375.2799987792969,-0.050543141711273276,-0.04743121895882596
663,663,663,663,2021-09-22,343.2099914550781,376.5299987792969,376.260009765625,-0.08849230455007995,-0.0878382433762599
664,664,664,664,2021-09-23,345.9599914550781,373.9200134277344,382.1799926757813,-0.07477540909443714,-0.09477210192797836
665,665,665,665,2021-09-24,352.9599914550781,373.05999755859375,377.5700073242188,-0.05387874935682069,-0.065180007393988
