,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PEAK,PEAK_6m,PEAK_12m,PEAK_6m_ret,PEAK_12m_ret
74,74,74,74,2019-05-22,25.45720100402832,25.091550827026367,24.60402107238769,0.01457264158451732,0.03467644289242311
75,75,75,75,2019-05-23,25.83097267150879,25.343448638916016,24.21400260925293,0.019236688721366857,0.06677830544372565
76,76,76,76,2019-05-24,25.86347961425781,25.635957717895508,24.124616622924805,0.00887510811439185,0.0720783678560355
77,77,77,77,2019-05-28,25.51407814025879,25.684717178344727,24.376508712768555,-0.006643601987169512,0.04666662650071651
78,78,78,78,2019-05-29,25.343448638916016,25.205310821533203,24.6446475982666,0.00548050442071113,0.028355083506999
79,79,79,79,2019-05-30,25.51407814025879,25.39219665527344,25.14843368530273,0.004799958295850448,0.014539452418054433
80,80,80,80,2019-05-31,25.765968322753903,25.45720100402832,25.091550827026367,0.012128879316965158,0.026878270712590302
81,81,81,81,2019-06-03,25.847227096557617,25.83097267150879,25.343448638916016,0.0006292610524403219,0.01987805467279724
82,82,82,82,2019-06-04,25.164684295654297,25.86347961425781,25.635957717895508,-0.027018611920195168,-0.018383296907695912
83,83,83,83,2019-06-05,25.61971092224121,25.51407814025879,25.684717178344727,0.004140176313708999,-0.0025309313570454073
84,84,84,84,2019-06-06,25.87159919738769,25.343448638916016,25.205310821533203,0.020839727299807098,0.02643444393811123
85,85,85,85,2019-06-07,25.7822208404541,25.51407814025879,25.39219665527344,0.010509597827569994,0.015360001754698871
86,86,86,86,2019-06-10,25.54658317565918,25.765968322753903,25.45720100402832,-0.008514531429466343,0.003511076163350335
87,87,87,87,2019-06-11,25.61971092224121,25.847227096557617,25.83097267150879,-0.008802343611810759,-0.008178621531375718
88,88,88,88,2019-06-12,25.676589965820312,25.164684295654297,25.86347961425781,0.020342225006749537,-0.007226005596496332
89,89,89,89,2019-06-13,25.952857971191406,25.61971092224121,25.51407814025879,0.013003544417863777,0.017197557698166
90,90,90,90,2019-06-14,26.0991153717041,25.87159919738769,25.343448638916016,0.008794051445392803,0.02981704437918231
91,91,91,91,2019-06-17,26.375385284423828,25.7822208404541,25.51407814025879,0.02300672419340266,0.03375811343957502
92,92,92,92,2019-06-18,26.20475006103516,25.54658317565918,25.765968322753903,0.02576340173753966,0.01702950701424899
93,93,93,93,2019-06-19,26.35100555419922,25.61971092224121,25.847227096557617,0.02854421871416002,0.019490619081096616
94,94,94,94,2019-06-20,27.04979705810547,25.676589965820312,25.164684295654297,0.053480898129896426,0.07491104359996736
95,95,95,95,2019-06-21,26.57039451599121,25.952857971191406,25.61971092224121,0.023794548773213853,0.03710750666295315
96,96,96,96,2019-06-24,26.651649475097656,26.0991153717041,25.87159919738769,0.021170606571309092,0.03015083342002023
97,97,97,97,2019-06-25,26.18849372863769,26.375385284423828,25.7822208404541,-0.007085832254989155,0.015757870150042264
98,98,98,98,2019-06-26,25.676589965820312,26.20475006103516,25.54658317565918,-0.020155128134581535,0.00508900893975528
99,99,99,99,2019-06-27,25.83909797668457,26.35100555419922,25.61971092224121,-0.019426491200183915,0.008563213500309308
100,100,100,100,2019-06-28,25.985355377197266,27.04979705810547,25.676589965820312,-0.039351189164993916,0.012025172025879272
101,101,101,101,2019-07-01,25.65221405029297,26.57039451599121,25.952857971191406,-0.034556523620514645,-0.0115842317340219
102,102,102,102,2019-07-02,26.45664024353028,26.651649475097656,26.0991153717041,-0.007316966694672522,0.013698735253448335
103,103,103,103,2019-07-03,26.77352905273437,26.18849372863769,26.375385284423828,0.022339403333339947,0.015095277813654162
104,104,104,104,2019-07-05,26.55414390563965,25.676589965820312,26.20475006103516,0.03417719958092191,0.013333225609505561
105,105,105,105,2019-07-08,26.871036529541016,25.83909797668457,26.35100555419922,0.03993709663501388,0.01973476777848915
106,106,106,106,2019-07-09,26.903541564941406,25.985355377197266,27.04979705810547,0.03533475584289558,-0.005406897983370906
107,107,107,107,2019-07-10,27.033552169799805,25.65221405029297,26.57039451599121,0.053848689894705704,0.017431342749910872
108,108,108,108,2019-07-11,26.513517379760746,26.45664024353028,26.651649475097656,0.002149824607619033,-0.005182872282106787
109,109,109,109,2019-07-12,26.464763641357425,26.77352905273437,26.18849372863769,-0.011532488330872948,0.010549286094206467
110,110,110,110,2019-07-15,26.25349998474121,26.55414390563965,25.676589965820312,-0.011321921051824502,0.02246832697366985
111,111,111,111,2019-07-16,26.22100067138672,26.871036529541016,25.83909797668457,-0.024190948400508172,0.014780031990542009
112,112,112,112,2019-07-17,26.448511123657227,26.903541564941406,25.985355377197266,-0.016913403024869433,0.017823721851669916
113,113,113,113,2019-07-18,26.52163887023925,27.033552169799805,25.65221405029297,-0.018936220306720597,0.03389277893291065
114,114,114,114,2019-07-19,25.79035186767578,26.513517379760746,26.45664024353028,-0.027275351728209274,-0.025184164342917037
115,115,115,115,2019-07-22,25.70096969604492,26.464763641357425,26.77352905273437,-0.028860788468138776,-0.04006044009278309
116,116,116,116,2019-07-23,26.131622314453125,26.25349998474121,26.55414390563965,-0.004642339892163783,-0.015911700738233447
117,117,117,117,2019-07-24,25.960981369018555,26.22100067138672,26.871036529541016,-0.00991645229817284,-0.033867512312819814
118,118,118,118,2019-07-25,25.83097267150879,26.448511123657227,26.903541564941406,-0.02334870379890952,-0.03986720078631967
119,119,119,119,2019-07-26,26.066614151000977,26.52163887023925,27.033552169799805,-0.017156734599416912,-0.035768071200019014
120,120,120,120,2019-07-29,26.066614151000977,25.79035186767578,26.513517379760746,0.010711846226163724,-0.016855674875522753
121,121,121,121,2019-07-30,26.20475006103516,25.70096969604492,26.464763641357425,0.019601609236859607,-0.009824897129099397
122,122,122,122,2019-07-31,25.944732666015625,26.131622314453125,26.25349998474121,-0.0071518578597445925,-0.01176099639686301
123,123,123,123,2019-08-01,26.61102294921875,25.960981369018555,26.22100067138672,0.025039175944864045,0.014874423852848428
124,124,124,124,2019-08-02,27.03015899658203,25.83097267150879,26.448511123657227,0.046424358088378526,0.021991705703408915
125,125,125,125,2019-08-05,26.668546676635746,26.066614151000977,26.52163887023925,0.02309208714825184,0.005539167738285666
126,126,126,126,2019-08-06,26.939754486083984,26.066614151000977,25.79035186767578,0.033496499776495936,0.044567155357380095
127,127,127,127,2019-08-07,27.704063415527344,26.20475006103516,25.70096969604492,0.057215327412016403,0.07793844913916526
128,128,128,128,2019-08-08,28.11498069763184,25.944732666015625,26.131622314453125,0.08364888779366653,0.07589878497829572
129,129,129,129,2019-08-09,28.02457427978516,26.61102294921875,25.960981369018555,0.053119015126320335,0.07948824743695027
130,130,130,130,2019-08-12,27.71228408813477,27.03015899658203,25.83097267150879,0.025235704001555836,0.07283161344911493
131,131,131,131,2019-08-13,27.630102157592773,26.668546676635746,26.066614151000977,0.0360557885893138,0.05998047914986904
132,132,132,132,2019-08-14,27.52326202392578,26.939754486083984,26.066614151000977,0.021659719955622325,0.05588174453677053
133,133,133,133,2019-08-15,28.188945770263672,27.704063415527344,26.20475006103516,0.0175022106852587,0.07571893281206643
134,134,134,134,2019-08-16,28.33687400817871,28.11498069763184,25.944732666015625,0.007892351516554985,0.09220142573665813
135,135,135,135,2019-08-19,28.46015930175781,28.02457427978516,26.61102294921875,0.01554296659867016,0.0694876088028531
136,136,136,136,2019-08-20,27.93417739868164,27.71228408813477,27.03015899658203,0.008007037956206497,0.03344480519755444
137,137,137,137,2019-08-21,28.14785385131836,27.630102157592773,26.668546676635746,0.01873868184679539,0.055470108387219774
138,138,138,138,2019-08-22,28.377967834472656,27.52326202392578,26.939754486083984,0.03105394301750586,0.053386282682405195
139,139,139,139,2019-08-23,28.06566619873047,28.188945770263672,27.704063415527344,-0.004373330330900482,0.013052337405510483
140,140,140,140,2019-08-26,28.31222152709961,28.33687400817871,28.11498069763184,-0.0008699788505953654,0.007015506487058731
141,141,141,141,2019-08-27,28.42727279663086,28.46015930175781,28.02457427978516,-0.001155527795127953,0.01436947847361858
142,142,142,142,2019-08-28,28.46015930175781,27.93417739868164,27.71228408813477,0.018829332096279794,0.026987137229271152
143,143,143,143,2019-08-29,28.55877113342285,28.14785385131836,27.630102157592773,0.014598529759143553,0.03361076881052649
144,144,144,144,2019-08-30,28.525897979736328,28.377967834472656,27.52326202392578,0.0052128519605962875,0.03642867458584531
145,145,145,145,2019-09-03,29.208023071289062,28.06566619873047,28.188945770263672,0.040703002183153814,0.03615166417824711
146,146,146,146,2019-09-04,29.577844619750977,28.31222152709961,28.33687400817871,0.04470235906567588,0.04379349010812161
147,147,147,147,2019-09-05,29.05187225341797,28.42727279663086,28.46015930175781,0.02197183884840115,0.02079092198277377
148,148,148,148,2019-09-06,29.24089431762696,28.46015930175781,27.93417739868164,0.027432559585881533,0.04677842845685487
149,149,149,149,2019-09-09,28.93681526184082,28.55877113342285,28.14785385131836,0.013237408803473905,0.028029185268968915
150,150,150,150,2019-09-10,28.50945854187012,28.525897979736328,28.377967834472656,-0.0005762986980422102,0.0046335491027562625
151,151,151,151,2019-09-11,28.435489654541016,29.208023071289062,28.06566619873047,-0.026449356564204884,0.01317707740097318
