,Unnamed: 0.1,Unnamed: 0,Date,AMT,AMT_6m,AMT_12m
449,449,449,2020-11-13,223.3782501220703,220.4653167724609,211.4691772460937
450,450,450,2020-11-16,219.7026214599609,222.5144805908203,212.86590576171875
451,451,451,2020-11-17,219.7852783203125,218.68263244628903,211.028076171875
452,452,452,2020-11-18,218.42530822753903,213.5367126464844,214.5567169189453
453,453,453,2020-11-19,219.0961303710937,219.1145172119141,215.2366943359375
454,454,454,2020-11-20,213.79400634765625,218.71017456054688,217.84640502929688
455,455,455,2020-11-23,210.3480834960937,223.3782501220703,220.4653167724609
456,456,456,2020-11-24,209.5670166015625,219.7026214599609,222.5144805908203
457,457,457,2020-11-25,214.1064453125,219.7852783203125,218.68263244628903
458,458,458,2020-11-27,215.1080474853516,218.42530822753903,213.5367126464844
459,459,459,2020-11-30,212.452377319336,219.0961303710937,219.1145172119141
460,460,460,2020-12-01,216.7069702148437,213.79400634765625,218.71017456054688
461,461,461,2020-12-02,210.3389129638672,210.3480834960937,223.3782501220703
462,462,462,2020-12-03,207.87625122070312,209.5670166015625,219.7026214599609
463,463,463,2020-12-04,210.1275787353516,214.1064453125,219.7852783203125
464,464,464,2020-12-07,206.08436584472656,215.1080474853516,218.42530822753903
465,465,465,2020-12-08,205.4779052734375,212.452377319336,219.0961303710937
466,466,466,2020-12-09,201.64601135253903,216.7069702148437,213.79400634765625
467,467,467,2020-12-10,201.6184234619141,210.3389129638672,210.3480834960937
468,468,468,2020-12-11,201.9952087402344,207.87625122070312,209.5670166015625
469,469,469,2020-12-14,199.14654541015625,210.1275787353516,214.1064453125
470,470,470,2020-12-15,199.6335906982422,206.08436584472656,215.1080474853516
471,471,471,2020-12-16,201.8114318847656,205.4779052734375,212.452377319336
472,472,472,2020-12-17,204.65084838867188,201.64601135253903,216.7069702148437
473,473,473,2020-12-18,203.55734252929688,201.6184234619141,210.3389129638672
474,474,474,2020-12-21,201.9584503173828,201.9952087402344,207.87625122070312
475,475,475,2020-12-22,202.6108856201172,199.14654541015625,210.1275787353516
476,476,476,2020-12-23,199.7714385986328,199.6335906982422,206.08436584472656
477,477,477,2020-12-24,202.0446014404297,201.8114318847656,205.4779052734375
478,478,478,2020-12-28,204.28079223632807,204.65084838867188,201.64601135253903
479,479,479,2020-12-29,203.735595703125,203.55734252929688,201.6184234619141
480,480,480,2020-12-30,203.60626220703125,201.9584503173828,201.9952087402344
481,481,481,2020-12-31,207.41336059570312,202.6108856201172,199.14654541015625
482,482,482,2021-01-04,202.9224548339844,199.7714385986328,199.6335906982422
483,483,483,2021-01-05,203.9481506347656,202.0446014404297,201.8114318847656
484,484,484,2021-01-06,198.57017517089844,204.28079223632807,204.65084838867188
485,485,485,2021-01-07,200.98194885253903,203.735595703125,203.55734252929688
486,486,486,2021-01-08,205.3249969482422,203.60626220703125,201.9584503173828
487,487,487,2021-01-11,198.59786987304688,207.41336059570312,202.6108856201172
488,488,488,2021-01-12,198.5886383056641,202.9224548339844,199.7714385986328
489,489,489,2021-01-13,200.0209503173828,203.9481506347656,202.0446014404297
490,490,490,2021-01-14,198.66256713867188,198.57017517089844,204.28079223632807
491,491,491,2021-01-15,203.1904144287109,200.98194885253903,203.735595703125
492,492,492,2021-01-19,200.40902709960932,205.3249969482422,203.60626220703125
493,493,493,2021-01-20,205.8609619140625,198.59786987304688,207.41336059570312
494,494,494,2021-01-21,205.3249969482422,198.5886383056641,202.9224548339844
495,495,495,2021-01-22,206.9143524169922,200.0209503173828,203.9481506347656
496,496,496,2021-01-25,210.2317352294922,198.66256713867188,198.57017517089844
497,497,497,2021-01-26,214.648681640625,203.1904144287109,200.98194885253903
498,498,498,2021-01-27,211.6639862060547,200.40902709960932,205.3249969482422
499,499,499,2021-01-28,210.9709625244141,205.8609619140625,198.59786987304688
500,500,500,2021-01-29,210.09312438964844,205.3249969482422,198.5886383056641
501,501,501,2021-02-01,217.6796112060547,206.9143524169922,200.0209503173828
502,502,502,2021-02-02,218.215560913086,210.2317352294922,198.66256713867188
503,503,503,2021-02-03,214.66717529296875,214.648681640625,203.1904144287109
504,504,504,2021-02-04,214.56553649902344,211.6639862060547,200.40902709960932
505,505,505,2021-02-05,215.2955322265625,210.9709625244141,205.8609619140625
506,506,506,2021-02-08,215.11073303222656,210.09312438964844,205.3249969482422
507,507,507,2021-02-09,214.06655883789065,217.6796112060547,206.9143524169922
508,508,508,2021-02-10,214.06655883789065,218.215560913086,210.2317352294922
509,509,509,2021-02-11,210.5181884765625,214.66717529296875,214.648681640625
510,510,510,2021-02-12,209.93603515625,214.56553649902344,211.6639862060547
511,511,511,2021-02-16,207.89389038085932,215.2955322265625,210.9709625244141
512,512,512,2021-02-17,209.1228485107422,215.11073303222656,210.09312438964844
513,513,513,2021-02-18,210.92477416992188,214.06655883789065,217.6796112060547
514,514,514,2021-02-19,209.1782989501953,214.06655883789065,218.215560913086
515,515,515,2021-02-22,207.9770355224609,210.5181884765625,214.66717529296875
516,516,516,2021-02-23,206.2213134765625,209.93603515625,214.56553649902344
517,517,517,2021-02-24,207.7090301513672,207.89389038085932,215.2955322265625
518,518,518,2021-02-25,207.68136596679688,209.1228485107422,215.11073303222656
519,519,519,2021-02-26,199.71597290039065,210.92477416992188,214.06655883789065
