,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ITW,ITW_6m,ITW_12m,ITW_6m_ret,ITW_12m_ret
567,567,567,567,2021-05-06,222.5574493408203,215.9293975830078,209.2261505126953,0.030695458015458588,0.0637171729989654
568,568,568,568,2021-05-07,223.7028350830078,216.6522521972656,212.9439392089844,0.03254331683255507,0.05052454610349133
569,569,569,569,2021-05-10,224.43511962890625,216.3612518310547,212.1646728515625,0.0373166069687747,0.057834542444908266
570,570,570,570,2021-05-11,221.90966796875,219.2715759277344,214.53990173339844,0.012031162862098599,0.03435149441109431
571,571,571,571,2021-05-12,217.6098480224609,221.54351806640625,213.7700653076172,-0.01775574423606585,0.017962209579335697
572,572,572,572,2021-05-13,223.3930206298828,221.2431182861328,215.3285217285156,0.009717374987318506,0.03745207015137031
573,573,573,573,2021-05-14,223.90939331054688,222.5574493408203,215.9293975830078,0.006074584219628809,0.03695650437996245
574,574,574,574,2021-05-17,223.0174865722656,223.7028350830078,216.6522521972656,-0.003063655900864659,0.029379959407042522
575,575,575,575,2021-05-18,218.45480346679688,224.43511962890625,216.3612518310547,-0.026646080043076892,0.009676185629471812
576,576,576,576,2021-05-19,218.02294921875,221.90966796875,219.2715759277344,-0.01751486893553167,-0.005694430314104659
577,577,577,577,2021-05-20,217.8445587158203,217.6098480224609,221.54351806640625,0.0010785848870920045,-0.01669631042636599
578,578,578,578,2021-05-21,217.79763793945312,223.3930206298828,221.2431182861328,-0.025047258301324038,-0.015573276915323842
579,579,579,579,2021-05-24,217.8727264404297,223.90939331054688,222.5574493408203,-0.026960310958213163,-0.021049499418087425
580,580,580,580,2021-05-25,218.34214782714844,223.0174865722656,223.7028350830078,-0.020964000702259677,-0.023963430118667084
581,581,581,581,2021-05-26,215.94813537597656,218.45480346679688,224.43511962890625,-0.011474538673631463,-0.037814867240753336
582,582,582,582,2021-05-27,216.680419921875,218.02294921875,221.90966796875,-0.006157743034326146,-0.023564759907672927
583,583,583,583,2021-05-28,217.5816802978516,217.8445587158203,217.6098480224609,-0.001206724737667919,-0.00012944140564086215
584,584,584,584,2021-06-01,218.9617462158203,217.79763793945312,223.3930206298828,0.00534490771975582,-0.019836225865821566
585,585,585,585,2021-06-02,219.3842163085937,217.8727264404297,223.90939331054688,0.006937490033096294,-0.020209857813678567
586,586,586,586,2021-06-03,220.07896423339844,218.34214782714844,223.0174865722656,0.007954563163979467,-0.013176197006036006
587,587,587,587,2021-06-04,221.3839263916016,215.94813537597656,218.45480346679688,0.02517174323436988,0.013408370419512927
588,588,588,588,2021-06-07,219.2058868408203,216.680419921875,218.02294921875,0.01165526132843886,0.005425748189854307
589,589,589,589,2021-06-08,218.44541931152344,217.5816802978516,217.8445587158203,0.0039697230598156885,0.0027582079591299546
590,590,590,590,2021-06-09,218.10745239257807,218.9617462158203,217.79763793945312,-0.0039015665430445212,0.0014224876635764439
591,591,591,591,2021-06-10,218.44541931152344,219.3842163085937,217.8727264404297,-0.0042792367330095615,0.0026285661379021885
592,592,592,592,2021-06-11,218.51112365722656,220.07896423339844,218.34214782714844,-0.0071239910712644905,0.0007739038557590394
593,593,593,593,2021-06-14,218.210693359375,221.3839263916016,215.94813537597656,-0.014333619806767395,0.010477321230207393
594,594,594,594,2021-06-15,217.8163909912109,219.2058868408203,216.680419921875,-0.006338770685562878,0.005242610614034637
595,595,595,595,2021-06-16,213.9578399658203,218.44541931152344,217.5816802978516,-0.020543252222210318,-0.01665508018446471
596,596,596,596,2021-06-17,209.3951568603516,218.10745239257807,218.9617462158203,-0.039944969493958205,-0.04369068808046217
597,597,597,597,2021-06-18,206.1280517578125,218.44541931152344,219.3842163085937,-0.05638647673424191,-0.06042442238476531
598,598,598,598,2021-06-21,209.4608612060547,218.51112365722656,220.07896423339844,-0.041417856902190575,-0.048246787530693
599,599,599,599,2021-06-22,209.93966674804688,218.210693359375,221.3839263916016,-0.0379038555993515,-0.05169417595074721
600,600,600,600,2021-06-23,208.4375762939453,217.8163909912109,219.2058868408203,-0.04305835136917702,-0.04912418503931226
601,601,601,601,2021-06-24,208.94451904296875,213.9578399658203,218.44541931152344,-0.023431349482928243,-0.043493245582803985
602,602,602,602,2021-06-25,209.29188537597656,209.3951568603516,218.10745239257807,-0.0004931894601740705,-0.04041845851619097
603,603,603,603,2021-06-28,210.88790893554688,206.1280517578125,218.44541931152344,0.023091748731642436,-0.03459679035520924
604,604,604,604,2021-06-29,210.425537109375,209.4608612060547,218.51112365722656,0.0046055186528204395,-0.03700308896189308
605,605,605,605,2021-06-30,210.9539337158203,209.93966674804688,218.210693359375,0.004831230722065927,-0.03325574714894197
606,606,606,606,2021-07-01,211.9447479248047,208.4375762939453,217.8163909912109,0.016826004663926142,-0.026956846726209682
607,607,607,607,2021-07-02,212.87892150878903,208.94451904296875,213.9578399658203,0.018829890747271483,-0.005042668486481383
608,608,608,608,2021-07-06,210.1329803466797,209.29188537597656,209.3951568603516,0.004018765319984352,0.00352359384711165
609,609,609,609,2021-07-07,212.51092529296875,210.88790893554688,206.1280517578125,0.007696109111300142,0.030965574460751766
610,610,610,610,2021-07-08,211.208724975586,210.425537109375,209.4608612060547,0.003721924044817415,0.008344584088250562
611,611,611,611,2021-07-09,214.5585479736328,210.9539337158203,209.93966674804688,0.0170872104365134,0.022000993414594383
612,612,612,612,2021-07-12,214.6434936523437,211.9447479248047,208.4375762939453,0.012733251255164335,0.029773505664096866
613,613,613,613,2021-07-13,214.6434936523437,212.87892150878903,208.94451904296875,0.008289088140094769,0.02727506151143877
614,614,614,614,2021-07-14,216.0683135986328,210.1329803466797,209.29188537597656,0.02824560543595278,0.032377883215505054
615,615,615,615,2021-07-15,216.549560546875,212.51092529296875,210.88790893554688,0.01900436529716565,0.026846734077383694
616,616,616,616,2021-07-16,215.51161193847656,211.208724975586,210.425537109375,0.02037267619217875,0.024170425790373207
617,617,617,617,2021-07-19,212.3316192626953,214.5585479736328,210.9539337158203,-0.0103791190421888,0.006530741203105039
618,618,618,618,2021-07-20,216.172119140625,214.6434936523437,211.9447479248047,0.007121694966245817,0.019945628552777928
619,619,619,619,2021-07-21,216.4174652099609,214.6434936523437,212.87892150878903,0.008264734828116849,0.016622330083656323
620,620,620,620,2021-07-22,214.73785400390625,216.0683135986328,210.1329803466797,-0.006157587721066893,0.02191409292167945
621,621,621,621,2021-07-23,213.62437438964844,216.549560546875,212.51092529296875,-0.013508160209788844,0.005239491076257208
622,622,622,622,2021-07-26,214.1999664306641,215.51161193847656,211.208724975586,-0.006086194131325606,0.014162489998573058
623,623,623,623,2021-07-27,214.8887939453125,212.3316192626953,214.5585479736328,0.012043306086473526,0.0015391881367516902
624,624,624,624,2021-07-28,213.0959625244141,216.172119140625,214.6434936523437,-0.01423012656969791,-0.0072097742242125396
625,625,625,625,2021-07-29,215.52099609375,216.4174652099609,214.6434936523437,-0.0041423140934636615,0.0040881856070960065
626,626,626,626,2021-07-30,213.8885955810547,214.73785400390625,216.0683135986328,-0.003954861273951837,-0.010088096589799589
627,627,627,627,2021-08-02,212.775131225586,213.62437438964844,216.549560546875,-0.0039754038671327985,-0.017429863684585878
628,628,628,628,2021-08-03,217.6158599853516,214.1999664306641,215.51161193847656,0.015947217973973027,0.00976396597820317
629,629,629,629,2021-08-04,214.76614379882807,214.8887939453125,212.3316192626953,-0.0005707610165825994,0.011465671220265872
630,630,630,630,2021-08-05,214.1810913085937,213.0959625244141,216.172119140625,0.005092207150829031,-0.009210382171144338
631,631,631,631,2021-08-06,214.8887939453125,215.52099609375,216.4174652099609,-0.002933366863999143,-0.007063530030560816
632,632,632,632,2021-08-09,214.45474243164065,213.8885955810547,214.73785400390625,0.0026469239701534253,-0.0013184055209028989
633,633,633,633,2021-08-10,217.7008056640625,212.775131225586,213.62437438964844,0.023149671721993892,0.01908223856037461
634,634,634,634,2021-08-11,220.6448516845703,217.6158599853516,214.1999664306641,0.013918984119184241,0.030088171166882116
635,635,635,635,2021-08-12,219.46533203125,214.76614379882807,214.8887939453125,0.021880488932294995,0.021297239385606126
636,636,636,636,2021-08-13,219.8710479736328,214.1810913085937,213.0959625244141,0.026566101751909432,0.03179358899604923
637,637,637,637,2021-08-16,221.93760681152344,214.8887939453125,215.52099609375,0.03280214261896219,0.02977255503673648
638,638,638,638,2021-08-17,220.0692443847656,214.45474243164065,213.8885955810547,0.026180358100099443,0.028896579487655227
639,639,639,639,2021-08-18,216.91758728027344,217.7008056640625,212.775131225586,-0.0035976825230388254,0.019468704029586892
640,640,640,640,2021-08-19,217.2195587158203,220.6448516845703,217.6158599853516,-0.015524010384102338,-0.0018211047189206075
641,641,641,641,2021-08-20,217.5686798095703,219.46533203125,214.76614379882807,-0.008642149555582734,0.01304924491901005
642,642,642,642,2021-08-23,217.75738525390625,219.8710479736328,214.1810913085937,-0.009613192547206273,0.016697524153333365
643,643,643,643,2021-08-24,217.5592498779297,221.93760681152344,214.8887939453125,-0.019727873056286427,0.012427153057114726
644,644,644,644,2021-08-25,217.59698486328125,220.0692443847656,214.45474243164065,-0.011234007407059043,0.014652240356224366
645,645,645,645,2021-08-26,217.04025268554688,216.91758728027344,217.7008056640625,0.0005654931294940546,-0.00303422385829355
646,646,646,646,2021-08-27,217.6347198486328,217.2195587158203,220.6448516845703,0.0019112511565113621,-0.013642429510391296
647,647,647,647,2021-08-30,219.682357788086,217.5686798095703,219.46533203125,0.009714991975709575,0.0009888840065412907
648,648,648,648,2021-08-31,219.72955322265625,217.75738525390625,219.8710479736328,0.00905672138949698,-0.000643535164272846
