,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BK,BK_6m,BK_12m,BK_6m_ret,BK_12m_ret
360,360,360,360,2020-07-10,34.09377670288086,33.391998291015625,34.395809173583984,0.02101636463170431,-0.008781083450570049
361,361,361,361,2020-07-13,34.52016067504883,33.702903747558594,33.072200775146484,0.024248858009732643,0.04378178246276487
362,362,362,362,2020-07-14,34.617881774902344,34.244781494140625,33.88945388793945,0.010895098887565124,0.021494235031687126
363,363,363,363,2020-07-15,32.74352264404297,33.551902770996094,32.26383590698242,-0.024093421242622592,0.014867628835067759
364,364,364,364,2020-07-16,32.63692092895508,34.48463439941406,32.8234748840332,-0.05358077597860167,-0.0056835528760202925
365,365,365,365,2020-07-17,32.0861701965332,33.00114440917969,34.3336181640625,-0.02772552979683862,-0.06545910648827957
366,366,366,366,2020-07-20,31.92626571655273,34.09377670288086,33.391998291015625,-0.06357497455378647,-0.04389472476875578
367,367,367,367,2020-07-21,32.59251403808594,34.52016067504883,33.702903747558594,-0.055841183797159855,-0.03294641072441995
368,368,368,368,2020-07-22,32.01509475708008,34.617881774902344,34.244781494140625,-0.07518620101444984,-0.0651102632219176
369,369,369,369,2020-07-23,32.45926284790039,32.74352264404297,33.551902770996094,-0.0086814054563642,-0.0325656619403486
370,370,370,370,2020-07-24,32.459259033203125,32.63692092895508,34.48463439941406,-0.005443586303336967,-0.05873269070369935
371,371,371,371,2020-07-27,32.02922058105469,32.0861701965332,33.00114440917969,-0.001774896010639182,-0.02945121587524846
372,372,372,372,2020-07-28,32.31591796875,31.92626571655273,34.09377670288086,0.012204755033259351,-0.052146136511201924
373,373,373,373,2020-07-29,32.5667724609375,32.59251403808594,34.52016067504883,-0.0007898002933544035,-0.056586880707169995
374,374,374,374,2020-07-30,32.127769470214844,32.01509475708008,34.617881774902344,0.003519424633589452,-0.07193138854881664
375,375,375,375,2020-07-31,32.11881637573242,32.45926284790039,32.74352264404297,-0.010488422788997198,-0.019078773994532283
376,376,376,376,2020-08-03,32.28007888793945,32.459259033203125,32.63692092895508,-0.005520155129862481,-0.010933691992342287
377,377,377,377,2020-08-04,32.1098518371582,32.02922058105469,32.0861701965332,0.002517427981098219,0.0007380637975784587
378,378,378,378,2020-08-05,32.52198028564453,32.31591796875,31.92626571655273,0.006376495852409292,0.018659074455517732
379,379,379,379,2020-08-06,32.24424743652344,32.5667724609375,32.59251403808594,-0.009903499795717141,-0.010685478302027707
380,380,380,380,2020-08-07,33.82106399536133,32.127769470214844,32.01509475708008,0.05270501354649948,0.056409929503077993
381,381,381,381,2020-08-10,33.99128341674805,32.11881637573242,32.45926284790039,0.05829813337799017,0.04719825511831521
382,382,382,382,2020-08-11,34.17047500610352,32.28007888793945,32.459259033203125,0.058562314073847155,0.052718885885533195
383,383,383,383,2020-08-12,34.027122497558594,32.1098518371582,32.02922058105469,0.059709732393772086,0.06237747532594251
384,384,384,384,2020-08-13,33.39997482299805,32.52198028564453,32.31591796875,0.026996958046280772,0.03354559988969985
385,385,385,385,2020-08-14,33.623966217041016,32.24424743652344,32.5667724609375,0.04278961024702821,0.03246234355497091
386,386,386,386,2020-08-17,33.22975158691406,33.82106399536133,32.127769470214844,-0.017483554288190484,0.03429998829270886
387,387,387,387,2020-08-18,32.96098327636719,33.99128341674805,32.11881637573242,-0.03031071606649649,0.026220359143466654
388,388,388,388,2020-08-19,33.14016342163086,34.17047500610352,32.28007888793945,-0.030152100147528782,0.02664443716749254
389,389,389,389,2020-08-20,32.13672637939453,34.027122497558594,32.1098518371582,-0.05555556801194972,0.0008369562828449695
390,390,390,390,2020-08-21,32.01129913330078,33.39997482299805,32.52198028564453,-0.04157714779895805,-0.01570264626748974
391,391,391,391,2020-08-24,32.611568450927734,33.623966217041016,32.24424743652344,-0.030109409448555335,0.011391830903401123
392,392,392,392,2020-08-25,32.85346603393555,33.22975158691406,33.82106399536133,-0.011323754617735271,-0.02860932942732053
393,393,393,393,2020-08-26,32.80867004394531,32.96098327636719,33.99128341674805,-0.0046210160402309075,-0.03479166580159321
394,394,394,394,2020-08-27,33.641876220703125,33.14016342163086,34.17047500610352,0.015139116626829763,-0.015469459681376363
395,395,395,395,2020-08-28,33.650848388671875,32.13672637939453,34.027122497558594,0.047115004540355665,-0.011058064310719096
396,396,396,396,2020-08-31,33.131202697753906,32.01129913330078,33.39997482299805,0.03498463338803104,-0.008047075683993432
397,397,397,397,2020-09-01,33.33726119995117,32.611568450927734,33.623966217041016,0.022252617199795877,-0.008526805411329996
398,398,398,398,2020-09-02,33.7493896484375,32.85346603393555,33.22975158691406,0.027270292077448355,0.01563773536387414
399,399,399,399,2020-09-03,33.01472854614258,32.80867004394531,32.96098327636719,0.006280611250662149,0.0016305724050995618
400,400,400,400,2020-09-04,33.59708404541016,33.641876220703125,33.14016342163086,-0.0013314410587301762,0.013787518726629644
401,401,401,401,2020-09-08,32.289031982421875,33.650848388671875,32.13672637939453,-0.040469006621195236,0.004739300488459275
402,402,402,402,2020-09-09,32.15464782714844,33.131202697753906,32.01129913330078,-0.02947538245183212,0.004478065487149685
403,403,403,403,2020-09-10,31.867950439453125,33.33726119995117,32.611568450927734,-0.04407412929590626,-0.02280227682374647
404,404,404,404,2020-09-11,32.25319290161133,33.7493896484375,32.85346603393555,-0.044332557193236255,-0.018271226898987636
405,405,405,405,2020-09-14,32.21736145019531,33.01472854614258,32.80867004394531,-0.0241518598231949,-0.018022937015062634
406,406,406,406,2020-09-15,31.240812301635746,33.59708404541016,33.641876220703125,-0.07013322169833713,-0.07137128450611718
407,407,407,407,2020-09-16,31.867950439453125,32.289031982421875,33.650848388671875,-0.013041008575233382,-0.052982258534050475
408,408,408,408,2020-09-17,31.85899543762207,32.15464782714844,33.131202697753906,-0.009194701528553062,-0.03839906663630066
409,409,409,409,2020-09-18,31.71564674377441,31.867950439453125,33.33726119995117,-0.004779212141931777,-0.04864270182396202
410,410,410,410,2020-09-21,30.434473037719727,32.25319290161133,33.7493896484375,-0.056388831624813784,-0.09822152771498327
411,411,411,411,2020-09-22,29.995473861694336,32.21736145019531,33.01472854614258,-0.06896553561457175,-0.09145174948897195
412,412,412,412,2020-09-23,29.78940773010254,31.240812301635746,33.59708404541016,-0.04645860541395752,-0.11333353543900204
413,413,413,413,2020-09-24,29.690860748291016,31.867950439453125,32.289031982421875,-0.06831596199756951,-0.08046606152656732
414,414,414,414,2020-09-25,29.923799514770508,31.85899543762207,32.15464782714844,-0.06074252801349478,-0.06937872012687407
415,415,415,415,2020-09-28,30.721176147460938,31.71564674377441,31.867950439453125,-0.031355835318372716,-0.03598519127143052
416,416,416,416,2020-09-29,30.34488868713379,30.434473037719727,32.25319290161133,-0.0029435157452836203,-0.05916636595635161
417,417,417,417,2020-09-30,30.76596450805664,29.995473861694336,32.21736145019531,0.02568689696035298,-0.04505014926136586
418,418,418,418,2020-10-01,30.61366081237793,29.78940773010254,31.240812301635746,0.02766933434002028,-0.020074749760107147
419,419,419,419,2020-10-02,31.12433815002441,29.690860748291016,31.867950439453125,0.048280089078114985,-0.023334173650154444
420,420,420,420,2020-10-05,31.69772720336914,29.923799514770508,31.85899543762207,0.059281498919380615,-0.005061937202906597
421,421,421,421,2020-10-06,31.563331604003903,30.721176147460938,31.71564674377441,0.02741286507068086,-0.004802523530452851
422,422,422,422,2020-10-07,32.665321350097656,30.34488868713379,30.434473037719727,0.07646864969215494,0.07330004727248185
423,423,423,423,2020-10-08,33.31039047241211,30.76596450805664,29.995473861694336,0.08270262301346554,0.11051389372951625
424,424,424,424,2020-10-09,33.77626419067383,30.61366081237793,29.78940773010254,0.10330693208102604,0.13383470046443802
425,425,425,425,2020-10-12,33.87482070922852,31.12433815002441,29.690860748291016,0.08837079670405634,0.1409174357189471
426,426,426,426,2020-10-13,33.0416145324707,31.69772720336914,29.923799514770508,0.04239696179096142,0.10419181615493822
427,427,427,427,2020-10-14,32.781795501708984,31.563331604003903,30.721176147460938,0.03860377963239214,0.06707488490535396
428,428,428,428,2020-10-15,33.35517883300781,32.665321350097656,30.34488868713379,0.0211189559568834,0.09920254369396919
429,429,429,429,2020-10-16,34.062957763671875,33.31039047241211,30.76596450805664,0.02259256888276484,0.10716365660344751
430,430,430,430,2020-10-19,33.113285064697266,33.77626419067383,30.61366081237793,-0.019628551050936638,0.08165061563982157
431,431,431,431,2020-10-20,33.238704681396484,33.87482070922852,31.12433815002441,-0.01877843231384957,0.06793289936577862
432,432,432,432,2020-10-21,33.068485260009766,33.0416145324707,31.69772720336914,0.0008132389388131323,0.043244679589990564
433,433,433,433,2020-10-22,33.650848388671875,32.781795501708984,31.563331604003903,0.02651022842594397,0.06613740307449567
