,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PPG,PPG_6m,PPG_12m,PPG_6m_ret,PPG_12m_ret
92,92,92,92,2019-06-18,106.00218200683594,105.734130859375,96.73114013671876,0.002535143054397837,0.09584340530891677
93,93,93,93,2019-06-19,106.90802764892578,108.00797271728516,99.6242904663086,-0.010183924766725472,0.07311206080890931
94,94,94,94,2019-06-20,106.4735870361328,108.13738250732422,103.2569351196289,-0.015385941777153023,0.031151921299787055
95,95,95,95,2019-06-21,107.28699493408205,108.06344604492188,103.84849548339844,-0.007185141130119588,0.03311072957463601
96,96,96,96,2019-06-24,108.05420684814452,107.73068237304688,104.44007110595705,0.0030030857316707404,0.03460487630768494
97,97,97,97,2019-06-25,107.47186279296876,106.23324584960938,105.3643798828125,0.011659409758719486,0.020001853686228976
98,98,98,98,2019-06-26,106.78787231445312,106.00218200683594,105.734130859375,0.007412020137156361,0.00996595372292397
99,99,99,99,2019-06-27,107.12061309814452,106.90802764892578,108.00797271728516,0.0019884891143706618,-0.008215686275894973
100,100,100,100,2019-06-28,107.87855529785156,106.4735870361328,108.13738250732422,0.0131954628450901,-0.0023935035551200246
101,101,101,101,2019-07-01,109.65328216552734,107.28699493408205,108.06344604492188,0.022055676299808313,0.014712062022754546
102,102,102,102,2019-07-02,109.15414428710938,108.05420684814452,107.73068237304688,0.010179496671616661,0.013213152304497378
103,103,103,103,2019-07-03,110.06922912597656,107.47186279296876,106.23324584960938,0.024167873018180686,0.03610906591141583
104,104,104,104,2019-07-05,109.03397369384766,106.78787231445312,106.00218200683594,0.02103330023076544,0.02860121961278317
105,105,105,105,2019-07-08,107.5735321044922,107.12061309814452,106.90802764892578,0.004228121864208401,0.00622501855288049
106,106,106,106,2019-07-09,107.16683959960938,107.87855529785156,106.4735870361328,-0.006597378842135515,0.006511028535568286
107,107,107,107,2019-07-10,106.67693328857422,109.65328216552734,107.28699493408205,-0.027143272122581497,-0.00568625904642639
108,108,108,108,2019-07-11,107.22230529785156,109.15414428710938,108.05420684814452,-0.017698265163221594,-0.007698927922927368
109,109,109,109,2019-07-12,108.1836166381836,110.06922912597656,107.47186279296876,-0.017131150120392347,0.006622699437023316
110,110,110,110,2019-07-15,108.80289459228516,109.03397369384766,106.78787231445312,-0.002119331193150331,0.018869392508341187
111,111,111,111,2019-07-16,108.93230438232422,107.5735321044922,107.12061309814452,0.012631102198189081,0.01691262990177078
112,112,112,112,2019-07-17,107.78611755371094,107.16683959960938,107.87855529785156,0.0057786341037513456,-0.0008568685767565976
113,113,113,113,2019-07-18,108.1466293334961,106.67693328857422,109.65328216552734,0.013777074383514165,-0.013740152618112011
114,114,114,114,2019-07-19,108.61805725097656,107.22230529785156,109.15414428710938,0.013017365642790102,-0.004911284309304209
115,115,115,115,2019-07-22,108.10041046142578,108.1836166381836,110.06922912597656,-0.0007691199401854698,-0.01788709415142198
116,116,116,116,2019-07-23,109.95833587646484,108.80289459228516,109.03397369384766,0.010619582213409418,0.008477744608415883
117,117,117,117,2019-07-24,109.16338348388672,108.93230438232422,107.5735321044922,0.0021213092192695626,0.014779205891001235
118,118,118,118,2019-07-25,109.20037078857422,107.78611755371094,107.16683959960938,0.013120921942090913,0.018975377052849574
119,119,119,119,2019-07-26,109.01551055908205,108.1466293334961,106.67693328857422,0.008034288548250057,0.021922051922712127
120,120,120,120,2019-07-29,109.46842956542967,108.61805725097656,107.22230529785156,0.007829014217113128,0.02094829300058998
121,121,121,121,2019-07-30,109.95833587646484,108.10041046142578,108.1836166381836,0.01718703386146747,0.016404695030826533
122,122,122,122,2019-07-31,108.50711059570312,109.95833587646484,108.80289459228516,-0.013197956018469847,-0.002718530584047585
123,123,123,123,2019-08-01,106.9172592163086,109.16338348388672,108.93230438232422,-0.02057580294687067,-0.01849814136808614
124,124,124,124,2019-08-02,105.53076171875,109.20037078857422,107.78611755371094,-0.03360436455778204,-0.020924362859967238
125,125,125,125,2019-08-05,102.5636749267578,109.01551055908205,108.1466293334961,-0.059182730964027486,-0.05162393355341588
126,126,126,126,2019-08-06,102.58216857910156,109.46842956542967,108.61805725097656,-0.06290636500099023,-0.055569845609816704
127,127,127,127,2019-08-07,104.31989288330078,109.95833587646484,108.10041046142578,-0.05127799496255292,-0.03497227773685496
128,128,128,128,2019-08-08,107.82312774658205,108.50711059570312,109.95833587646484,-0.00630357628514866,-0.019418337981048084
129,129,129,129,2019-08-09,107.07112884521484,106.9172592163086,109.16338348388672,0.0014391467760592747,-0.01916626777128716
130,130,130,130,2019-08-12,104.49020385742188,105.53076171875,109.20037078857422,-0.00986023264099345,-0.043133250346483076
131,131,131,131,2019-08-13,104.99152374267578,102.5636749267578,109.01551055908205,0.023671624653189838,-0.03691205770416883
132,132,132,132,2019-08-14,102.32703399658205,102.58216857910156,109.46842956542967,-0.0024871240884597468,-0.06523703315373852
133,133,133,133,2019-08-15,101.77001953125,104.31989288330078,109.95833587646484,-0.02444282946976606,-0.07446744514589776
134,134,134,134,2019-08-16,102.791259765625,107.82312774658205,108.50711059570312,-0.046667798329719234,-0.0526772005880366
135,135,135,135,2019-08-19,103.62680053710938,107.07112884521484,106.9172592163086,-0.0321685999321506,-0.030775748492974042
136,136,136,136,2019-08-20,102.40133666992188,104.49020385742188,105.53076171875,-0.019991033708291805,-0.02965415010618755
137,137,137,137,2019-08-21,102.77267456054688,104.99152374267578,102.5636749267578,-0.021133603009392377,0.0020377549257895033
138,138,138,138,2019-08-22,102.21565246582033,102.32703399658205,102.58216857910156,-0.0010884858713430257,-0.003572902760372143
139,139,139,139,2019-08-23,98.91058349609376,101.77001953125,104.31989288330078,-0.02809703730358626,-0.05185309568193508
140,140,140,140,2019-08-26,99.49546813964844,102.791259765625,107.82312774658205,-0.0320629558728176,-0.07723444664400947
141,141,141,141,2019-08-27,99.71829223632812,103.62680053710938,107.07112884521484,-0.03771715695672362,-0.0686724487561553
142,142,142,142,2019-08-28,101.2222671508789,102.40133666992188,104.49020385742188,-0.011514200472241387,-0.03127505341076864
143,143,143,143,2019-08-29,102.25277709960938,102.77267456054688,104.99152374267578,-0.0050587129619869,-0.02608540713990215
144,144,144,144,2019-08-30,102.8562240600586,102.21565246582033,102.32703399658205,0.006266864015298079,0.005171556751016881
145,145,145,145,2019-09-03,102.5220184326172,98.91058349609376,101.77001953125,0.03651211840910906,0.007389198752548953
146,146,146,146,2019-09-04,103.53396606445312,99.49546813964844,102.791259765625,0.04058976755741672,0.007225383758517667
147,147,147,147,2019-09-05,105.2236099243164,99.71829223632812,103.62680053710938,0.05520870408551426,0.015409231771420062
148,148,148,148,2019-09-06,107.48890686035156,101.2222671508789,102.40133666992188,0.0619096952267606,0.04968265411250283
149,149,149,149,2019-09-09,108.1666259765625,102.25277709960938,102.77267456054688,0.057835582022306875,0.052484295451879825
150,150,150,150,2019-09-10,108.87220001220705,102.8562240600586,102.21565246582033,0.05848917755949978,0.06512258529692971
151,151,151,151,2019-09-11,109.25283813476562,102.5220184326172,98.91058349609376,0.06565243061979187,0.10456165834953657
152,152,152,152,2019-09-12,109.74488830566406,103.53396606445312,99.49546813964844,0.059989223607491704,0.1030139398070864
153,153,153,153,2019-09-13,110.83110809326172,105.2236099243164,99.71829223632812,0.05329125443404381,0.11144209961595308
154,154,154,154,2019-09-16,107.09896087646484,107.48890686035156,101.2222671508789,-0.0036277788590159954,0.05805732168423283
155,155,155,155,2019-09-17,108.81649017333984,108.1666259765625,102.25277709960938,0.006007991752633224,0.06419104947473886
156,156,156,156,2019-09-18,110.87750244140624,108.87220001220705,102.8562240600586,0.01841886568815876,0.07798534755333764
157,157,157,157,2019-09-19,112.04727172851562,109.25283813476562,102.5220184326172,0.0255776750650909,0.09290934222250913
158,158,158,158,2019-09-20,110.71971130371094,109.74488830566406,103.53396606445312,0.008882627820730793,0.06940471337478238
159,159,159,159,2019-09-23,109.8748550415039,110.83110809326172,105.2236099243164,-0.008628020311347462,0.04420343609702204
160,160,160,160,2019-09-24,107.90666961669922,107.09896087646484,107.48890686035156,0.007541704733867949,0.003886566237857547
161,161,161,161,2019-09-25,108.30589294433594,108.81649017333984,108.1666259765625,-0.00469227805629957,0.0012875225284703085
162,162,162,162,2019-09-26,108.30589294433594,110.87750244140624,108.87220001220705,-0.02319324876955342,-0.005201576415353126
163,163,163,163,2019-09-27,109.75416564941406,112.04727172851562,109.25283813476562,-0.02046552355739306,0.004588690996109701
164,164,164,164,2019-09-30,110.0233917236328,110.71971130371094,109.74488830566406,-0.006289029946692115,0.0025377347616686308
165,165,165,165,2019-10-01,108.5008316040039,109.8748550415039,110.83110809326172,-0.012505349262858956,-0.02102547316676595
166,166,166,166,2019-10-02,106.21700286865234,107.90666961669922,107.09896087646484,-0.015658594172619944,-0.008234981932549346
167,167,167,167,2019-10-03,106.39339447021484,108.30589294433594,108.81649017333984,-0.01765830484500064,-0.022267725224964674
168,168,168,168,2019-10-04,108.26874542236328,108.30589294433594,110.87750244140624,-0.0003429870800450985,-0.02352828086492631
169,169,169,169,2019-10-07,107.42391204833984,109.75416564941406,112.04727172851562,-0.02123157319165192,-0.041262581487730654
170,170,170,170,2019-10-08,104.30451965332033,110.0233917236328,110.71971130371094,-0.051978692719069075,-0.05794082711066095
171,171,171,171,2019-10-09,106.37482452392578,108.5008316040039,109.8748550415039,-0.019594385118055335,-0.031854699751421967
172,172,172,172,2019-10-10,107.3774871826172,106.21700286865234,107.90666961669922,0.010925598375242318,-0.004904075308428624
173,173,173,173,2019-10-11,110.6361312866211,106.39339447021484,108.30589294433594,0.03987782171565191,0.02151534213824169
174,174,174,174,2019-10-14,108.81649017333984,108.26874542236328,108.30589294433594,0.005059121622216889,0.004714399328818786
175,175,175,175,2019-10-15,109.74488830566406,107.42391204833984,109.75416564941406,0.021605769265597097,-8.452839757933095e-05
176,176,176,176,2019-10-16,110.4411849975586,104.30451965332033,110.0233917236328,0.05883412688764467,0.0037973131656878767
177,177,177,177,2019-10-17,112.55789947509766,106.37482452392578,108.5008316040039,0.05812535981933564,0.03739204401585461
178,178,178,178,2019-10-18,115.33377838134766,107.3774871826172,106.21700286865234,0.07409645548139121,0.0858316019702523
179,179,179,179,2019-10-21,115.7515640258789,110.6361312866211,106.39339447021484,0.046236547498262004,0.08795818201179695
180,180,180,180,2019-10-22,116.29930114746094,108.81649017333984,108.26874542236328,0.06876541379161649,0.0741724280056073
181,181,181,181,2019-10-23,115.5565948486328,109.74488830566406,107.42391204833984,0.05295651244167132,0.07570644789619396
182,182,182,182,2019-10-24,114.73033142089844,110.4411849975586,104.30451965332033,0.03883647593454076,0.09995551297518701
183,183,183,183,2019-10-25,115.15740966796876,112.55789947509766,106.37482452392578,0.02309487121733489,0.08256262873615938
184,184,184,184,2019-10-28,114.85101318359376,115.33377838134766,107.3774871826172,-0.004185809261859519,0.06960049258990675
185,185,185,185,2019-10-29,116.09506225585938,115.7515640258789,110.6361312866211,0.0029675472022450133,0.049341303837676875
186,186,186,186,2019-10-30,116.9584732055664,116.29930114746094,108.81649017333984,0.00566789354365671,0.07482306238012959
187,187,187,187,2019-10-31,116.16004180908205,115.5565948486328,109.74488830566406,0.005222090190868833,0.058455146316704454
188,188,188,188,2019-11-01,116.45714569091795,114.73033142089844,110.4411849975586,0.01505107018025198,0.05447207663963716
189,189,189,189,2019-11-04,118.9173583984375,115.15740966796876,112.55789947509766,0.03265051498908944,0.0564994456452772
190,190,190,190,2019-11-05,119.66008758544922,114.85101318359376,115.33377838134766,0.04187228539436538,0.03751120673248698
191,191,191,191,2019-11-06,120.4770736694336,116.09506225585938,115.7515640258789,0.037745028327878405,0.040824585683336245
192,192,192,192,2019-11-07,120.53277587890624,116.9584732055664,116.29930114746094,0.030560442312354885,0.03640154918968519
