,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BMY,BMY_6m,BMY_12m,BMY_6m_ret,BMY_12m_ret
792,792,792,792,2022-03-28,68.27510833740234,66.32333374023438,63.895263671875,0.029428173873351948,0.06854725082628055
793,793,793,793,2022-03-29,68.38716888427734,66.3513412475586,64.31551361083984,0.030682539319333735,0.06330751392384526
794,794,794,794,2022-03-30,68.84477233886719,66.13655853271484,64.66104125976562,0.04094881660364447,0.06470250088138974
795,795,795,795,2022-03-31,68.70365142822266,66.65950012207031,65.13731384277344,0.030665566084489004,0.054751069318847545
796,796,796,796,2022-04-01,69.44684600830078,67.62139129638672,65.05326080322266,0.026995225577554738,0.06753827787923083
797,797,797,797,2022-04-04,69.41862487792969,68.4338607788086,65.85638427734375,0.014390012311362055,0.05409104431825651
798,798,798,798,2022-04-05,70.02072143554688,68.27510833740234,66.32333374023438,0.025567342779128976,0.05574791686126468
799,799,799,799,2022-04-06,70.87678527832031,68.38716888427734,66.3513412475586,0.03640472963950048,0.06820425850740786
800,800,800,800,2022-04-07,72.68305969238281,68.84477233886719,66.13655853271484,0.055752778651410706,0.09898460556319555
801,801,801,801,2022-04-08,73.162841796875,68.70365142822266,66.65950012207031,0.06490470704182338,0.09756061270929783
802,802,802,802,2022-04-11,71.96807861328125,69.44684600830078,67.62139129638672,0.036304494010845456,0.06427976759370213
803,803,803,803,2022-04-12,72.01512908935547,69.41862487792969,68.4338607788086,0.03740356735662287,0.05233181746273563
804,804,804,804,2022-04-13,72.31616973876953,70.02072143554688,68.27510833740234,0.03278241435052309,0.059187916354479286
805,805,805,805,2022-04-14,72.91825866699219,70.87678527832031,68.38716888427734,0.02880313181044225,0.0662564316762726
806,806,806,806,2022-04-18,72.20327758789062,72.68305969238281,68.84477233886719,-0.006601016887879729,0.04878373673010672
807,807,807,807,2022-04-19,71.87401580810547,73.162841796875,68.70365142822266,-0.01761585467589888,0.046145500478893986
808,808,808,808,2022-04-20,72.70187377929688,71.96807861328125,69.44684600830078,0.010196120004240417,0.04687077899271386
809,809,809,809,2022-04-21,72.96529388427734,72.01512908935547,69.41862487792969,0.013193960865402588,0.051091029425955226
810,810,810,810,2022-04-22,71.26251220703125,72.31616973876953,70.02072143554688,-0.014570151261390718,0.017734618353331788
811,811,811,811,2022-04-25,71.54474639892578,72.91825866699219,70.87678527832031,-0.018836328420005932,0.00942425814013026
812,812,812,812,2022-04-26,71.11199188232422,72.20327758789062,72.68305969238281,-0.01511407434708234,-0.021615322974952278
813,813,813,813,2022-04-27,71.31895446777344,71.87401580810547,73.162841796875,-0.00772269830885719,-0.025202511053641463
814,814,814,814,2022-04-28,72.62661743164062,72.70187377929688,71.96807861328125,-0.0010351362866479752,0.009150429343793176
815,815,815,815,2022-04-29,70.81094360351562,72.96529388427734,72.01512908935547,-0.0295256849671367,-0.01672128483371471
816,816,816,816,2022-05-02,70.6322021484375,71.26251220703125,72.31616973876953,-0.008844903709857688,-0.023286183386303394
817,817,817,817,2022-05-03,70.60399627685547,71.54474639892578,72.91825866699219,-0.013149115335803874,-0.031737762700912
818,818,818,818,2022-05-04,71.78933715820312,71.11199188232422,72.20327758789062,0.009525049966252919,-0.0057329866941790986
819,819,819,819,2022-05-05,71.73289489746094,71.31895446777344,71.87401580810547,0.005804073163671264,-0.0019634482511914353
820,820,820,820,2022-05-06,72.12801361083984,72.62661743164062,72.70187377929688,-0.006865304187821941,-0.00789333394898617
821,821,821,821,2022-05-09,71.75170135498047,70.81094360351562,72.96529388427734,0.013285485316116175,-0.01663246270509955
822,822,822,822,2022-05-10,71.7705307006836,70.6322021484375,71.26251220703125,0.016116282908096746,0.007128832227756066
823,823,823,823,2022-05-11,71.63882446289062,70.60399627685547,71.54474639892578,0.014656793391373268,0.001314954188813111
824,824,824,824,2022-05-12,71.77993774414062,71.78933715820312,71.11199188232422,-0.00013093050353407687,0.009392872343130465
825,825,825,825,2022-05-13,71.30955505371094,71.73289489746094,71.31895446777344,-0.005901613818250939,-0.00013179405296448454
826,826,826,826,2022-05-16,72.35379791259766,72.12801361083984,72.62661743164062,0.0031303274616159005,-0.0037564673764375334
