,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,K,K_6m,K_12m,K_6m_ret,K_12m_ret
149,149,149,149,2019-09-09,51.2220573425293,49.77165222167969,50.07995223999024,0.029141188931996798,0.02280563481901754
150,150,150,150,2019-09-10,50.23226165771485,50.12848663330078,50.49102783203125,0.0020701806773701925,-0.005124993200321448
151,151,151,151,2019-09-11,50.91873550415039,50.846900939941406,50.00090026855469,0.0014127618966164324,0.018356374198584602
152,152,152,152,2019-09-12,50.846900939941406,50.55952835083008,50.317115783691406,0.005683846319080921,0.010528925356681818
153,153,153,153,2019-09-13,50.5675163269043,50.160423278808594,49.091796875,0.008115821627599606,0.030060408170877295
154,154,154,154,2019-09-16,50.9107551574707,51.261966705322266,49.41590881347656,-0.006851308492912267,0.030250305617903983
155,155,155,155,2019-09-17,51.206092834472656,51.2220573425293,49.77165222167969,-0.00031167252712793747,0.028820433896870945
156,156,156,156,2019-09-18,50.775047302246094,50.23226165771485,50.12848663330078,0.010805518736739517,0.012898068790207606
157,157,157,157,2019-09-19,50.87882614135742,50.91873550415039,50.846900939941406,-0.0007837854258913035,0.000627869168540407
158,158,158,158,2019-09-20,50.87084197998047,50.846900939941406,50.55952835083008,0.0004708456090045665,0.006157368142166941
159,159,159,159,2019-09-23,50.51164245605469,50.5675163269043,50.160423278808594,-0.0011049360322227253,0.0070019181316294254
160,160,160,160,2019-09-24,51.006534576416016,50.9107551574707,51.261966705322266,0.0018813199421037208,-0.004982878054105799
161,161,161,161,2019-09-25,51.13426208496094,51.206092834472656,51.2220573425293,-0.0014027773949463196,-0.0017140127148985718
162,162,162,162,2019-09-26,51.25398254394531,50.775047302246094,50.23226165771485,0.009432492280081695,0.020339933988887893
163,163,163,163,2019-09-27,51.16617965698242,50.87882614135742,50.91873550415039,0.005647801598775981,0.00485958950830323
164,164,164,164,2019-09-30,51.3657455444336,50.87084197998047,50.846900939941406,0.00972862931279761,0.010204055604195794
165,165,165,165,2019-10-01,50.367958068847656,50.51164245605469,50.5675163269043,-0.0028445795903793147,-0.003946372544116117
166,166,166,166,2019-10-02,49.48193359375,51.006534576416016,50.9107551574707,-0.029890307101375746,-0.0280652203900974
167,167,167,167,2019-10-03,49.81718826293945,51.13426208496094,51.206092834472656,-0.02575716883981094,-0.027123814660550916
168,168,168,168,2019-10-04,50.152435302734375,51.25398254394531,50.775047302246094,-0.021491934607549168,-0.012262164834737188
169,169,169,169,2019-10-07,50.03271484375,51.16617965698242,50.87882614135742,-0.022152617624203286,-0.016629929614662475
170,170,170,170,2019-10-08,49.36219787597656,51.3657455444336,50.87084197998047,-0.039005521037826285,-0.02965636198035826
171,171,171,171,2019-10-09,49.585697174072266,50.367958068847656,50.51164245605469,-0.01553092332443029,-0.018331323967301194
172,172,172,172,2019-10-10,49.7852668762207,49.48193359375,51.006534576416016,0.006130182481571822,-0.023943357656765696
173,173,173,173,2019-10-11,49.59368133544922,49.81718826293945,51.13426208496094,-0.004486542402002858,-0.03012815061165841
174,174,174,174,2019-10-14,49.80121612548828,50.152435302734375,51.25398254394531,-0.00700303335473218,-0.028344459227366836
175,175,175,175,2019-10-15,49.43403625488281,50.03271484375,51.16617965698242,-0.011965742629334364,-0.03385328773248042
176,176,176,176,2019-10-16,48.9551010131836,49.36219787597656,51.3657455444336,-0.008247138099802598,-0.04693097521897527
177,177,177,177,2019-10-17,49.65753555297852,49.585697174072266,50.367958068847656,0.0014487721863436498,-0.01410465190782717
178,178,178,178,2019-10-18,49.442020416259766,49.7852668762207,49.48193359375,-0.006894538916791149,-0.0008066212169056675
179,179,179,179,2019-10-21,49.88902282714844,49.59368133544922,49.81718826293945,0.005955224208937793,0.0014419634410083315
180,180,180,180,2019-10-22,49.55376434326172,49.80121612548828,50.152435302734375,-0.004968789950892671,-0.011937026703866094
181,181,181,181,2019-10-23,49.65753555297852,49.43403625488281,50.03271484375,0.004521162240189058,-0.007498679452896839
182,182,182,182,2019-10-24,49.21851348876953,48.9551010131836,49.36219787597656,0.005380695170356109,-0.0029108182655893655
183,183,183,183,2019-10-25,48.6038818359375,49.65753555297852,49.585697174072266,-0.021218405329779255,-0.01980037377891597
184,184,184,184,2019-10-28,48.73958206176758,49.442020416259766,49.7852668762207,-0.014207314923181835,-0.021003900954332022
185,185,185,185,2019-10-29,50.18436813354492,49.88902282714844,49.59368133544922,0.005920045927132689,0.011910525336893851
186,186,186,186,2019-10-30,50.990570068359375,49.55376434326172,49.80121612548828,0.028994885537752868,0.023882026090972897
187,187,187,187,2019-10-31,50.71119689941406,49.65753555297852,49.43403625488281,0.021218558969995804,0.025835653757791288
188,188,188,188,2019-11-01,50.8309326171875,49.21851348876953,48.9551010131836,0.03276041908063476,0.03831738807971696
189,189,189,189,2019-11-04,50.73514175415039,48.6038818359375,49.65753555297852,0.04384958233185898,0.021700758790620833
190,190,190,190,2019-11-05,50.70322036743164,48.73958206176758,49.442020416259766,0.040288369793067824,0.025508665312494294
191,191,191,191,2019-11-06,51.41363525390625,50.18436813354492,49.88902282714844,0.024495020383441757,0.03056007795623028
192,192,192,192,2019-11-07,50.87084197998047,50.990570068359375,49.55376434326172,-0.002348043730799554,0.02657876054774122
193,193,193,193,2019-11-08,51.07837677001953,50.71119689941406,49.65753555297852,0.0072406074605924076,0.028612801686969336
194,194,194,194,2019-11-11,50.66330337524414,50.8309326171875,49.21851348876953,-0.003297780176606091,0.029354602243407468
195,195,195,195,2019-11-12,51.062408447265625,50.73514175415039,48.6038818359375,0.006450493322775808,0.0505829270926732
196,196,196,196,2019-11-13,51.41363525390625,50.70322036743164,48.73958206176758,0.014011237971206514,0.054864097700916936
197,197,197,197,2019-11-14,51.12627410888672,51.41363525390625,50.18436813354492,-0.005589201067001004,0.01876891172237749
198,198,198,198,2019-11-15,51.613189697265625,50.87084197998047,50.990570068359375,0.014592793993409847,0.012210485744159172
199,199,199,199,2019-11-18,52.227813720703125,51.07837677001953,50.71119689941406,0.0225033962190877,0.029906941938232734
200,200,200,200,2019-11-19,52.140018463134766,50.66330337524414,50.8309326171875,0.029147627365573525,0.025753724721246263
201,201,201,201,2019-11-20,52.18791198730469,51.062408447265625,50.73514175415039,0.022041724514452188,0.028634397834030878
202,202,202,202,2019-11-21,51.66107940673828,51.41363525390625,50.70322036743164,0.004812811846702347,0.018891483270003562
203,203,203,203,2019-11-22,51.49346160888672,51.12627410888672,51.41363525390625,0.007181972604105358,0.0015526300481623068
204,204,204,204,2019-11-25,51.35776138305664,51.613189697265625,50.87084197998047,-0.00494889611952265,0.009571679652320197
205,205,205,205,2019-11-26,52.27570724487305,52.227813720703125,51.07837677001953,0.0009170118516934611,0.023441043951817342
206,206,206,206,2019-11-27,52.37149810791016,52.140018463134766,50.66330337524414,0.0044395773457399645,0.03371660785744779
207,207,207,207,2019-11-29,52.4658088684082,52.18791198730469,51.062408447265625,0.005324928139894158,0.027484023253464995
208,208,208,208,2019-12-02,52.707515716552734,51.66107940673828,51.41363525390625,0.020255796468665377,0.025166095652576548
209,209,209,209,2019-12-03,52.892822265625,51.49346160888672,51.12627410888672,0.027175501763058385,0.03455264807632874
210,210,210,210,2019-12-04,52.95727157592773,51.35776138305664,51.613189697265625,0.03114446871897303,0.02604144185906243
211,211,211,211,2019-12-05,52.97338104248047,52.27570724487305,52.227813720703125,0.013346042251314527,0.014275292581925614
212,212,212,212,2019-12-06,53.35205841064453,52.37149810791016,52.140018463134766,0.01872316695455134,0.02324586724814326
213,213,213,213,2019-12-09,53.60986709594727,52.4658088684082,52.18791198730469,0.02180578651533871,0.027246828901460685
214,214,214,214,2019-12-10,53.6904411315918,52.707515716552734,51.66107940673828,0.018648676600979908,0.039282216867284836
215,215,215,215,2019-12-11,53.29565048217773,52.892822265625,51.49346160888672,0.0076159334915000265,0.034998402068583845
216,216,216,216,2019-12-12,53.327884674072266,52.95727157592773,51.35776138305664,0.006998342005085645,0.038360770367720676
217,217,217,217,2019-12-13,53.37622833251953,52.97338104248047,52.27570724487305,0.007604711689367383,0.021052246744197145
218,218,218,218,2019-12-16,53.40039443969727,53.35205841064453,52.37149810791016,0.0009059824586468146,0.019646112274029237
219,219,219,219,2019-12-17,53.25537490844727,53.60986709594727,52.4658088684082,-0.0066124429457278255,0.015049154050391422
