,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MDLZ,MDLZ_6m,MDLZ_12m,MDLZ_6m_ret,MDLZ_12m_ret
932,932,932,932,2022-10-17,55.82441711425781,53.70573043823242,55.07607650756836,0.03944991826267241,0.013587398633717385
933,933,933,933,2022-10-18,56.70882797241211,54.055606842041016,53.28783416748047,0.04908318092005182,0.06419840210018046
934,934,934,934,2022-10-19,56.077110290527344,54.69704818725586,54.765079498291016,0.025231016097008174,0.023957434267529276
935,935,935,935,2022-10-20,55.309326171875,55.2315788269043,55.911888122558594,0.0014076610993569716,-0.010776991636604727
936,936,936,936,2022-10-21,55.7369499206543,56.05766677856445,55.63005065917969,-0.005721195268026946,0.0019216099968977218
937,937,937,937,2022-10-24,57.08786010742188,55.33848190307617,54.43463897705078,0.0316123273386808,0.04874141135554666
938,938,938,938,2022-10-25,57.64182662963867,55.82441711425781,53.70573043823242,0.032555817137527976,0.07329005972525038
939,939,939,939,2022-10-26,58.21522903442383,56.70882797241211,54.055606842041016,0.02656378408569049,0.07695080002594157
940,940,940,940,2022-10-27,58.61370086669922,56.077110290527344,54.69704818725586,0.045233974486740935,0.07160628972215588
941,941,941,941,2022-10-28,59.964603424072266,55.309326171875,55.2315788269043,0.08416803411654095,0.08569417528333312
942,942,942,942,2022-10-31,59.750789642333984,55.7369499206543,56.05766677856445,0.0720139822396757,0.06588078091722727
943,943,943,943,2022-11-01,60.12982177734375,57.08786010742188,55.33848190307617,0.05328561386252395,0.08658242346906952
944,944,944,944,2022-11-02,60.81985092163086,57.64182662963867,55.82441711425781,0.05513399692226417,0.08948474638165438
945,945,945,945,2022-11-03,60.25616836547852,58.21522903442383,56.70882797241211,0.035058512435772515,0.06255358327617233
946,946,946,946,2022-11-04,61.44185256958008,58.61370086669922,56.077110290527344,0.04825069328607512,0.09566723840188596
947,947,947,947,2022-11-07,62.57894515991211,59.964603424072266,55.309326171875,0.04359808264470799,0.13143568166870456
948,948,948,948,2022-11-08,62.12215805053711,59.750789642333984,55.7369499206543,0.03968764969296723,0.11455969763276674
949,949,949,949,2022-11-09,61.60707092285156,60.12982177734375,57.08786010742188,0.024567662132410018,0.07916237895282663
950,950,950,950,2022-11-10,63.15234756469727,60.81985092163086,57.64182662963867,0.038350910232778146,0.09559934612178234
951,951,951,951,2022-11-11,62.97740936279297,60.25616836547852,58.21522903442383,0.04516120209982488,0.0818029991010285
952,952,952,952,2022-11-14,62.29710006713867,61.44185256958008,58.61370086669922,0.013919624194111968,0.06284194899783468
953,953,953,953,2022-11-15,62.831634521484375,62.57894515991211,59.964603424072266,0.004037929385459549,0.047812058009228275
954,954,954,954,2022-11-16,63.171783447265625,62.12215805053711,59.750789642333984,0.016896151545067628,0.05725436978171472
955,955,955,955,2022-11-17,62.63725280761719,61.60707092285156,60.12982177734375,0.016721812437012096,0.04170029040761625
956,956,956,956,2022-11-18,63.16206359863281,63.15234756469727,60.81985092163086,0.00015385071672247008,0.03851066126452696
957,957,957,957,2022-11-21,63.99787902832031,62.97740936279297,60.25616836547852,0.01620374156149773,0.062096724108754664
958,958,958,958,2022-11-22,64.44493865966797,62.29710006713867,61.44185256958008,0.0344773446952511,0.04887688057073203
959,959,959,959,2022-11-23,64.79481506347656,62.831634521484375,62.57894515991211,0.03124509742494297,0.03540919230744621
960,960,960,960,2022-11-25,64.81425476074219,63.171783447265625,62.12215805053711,0.02600007826037798,0.043335531067916655
961,961,961,961,2022-11-28,64.28944396972656,62.63725280761719,61.60707092285156,0.02637713322427926,0.04354001913569383
962,962,962,962,2022-11-29,64.19225311279297,63.16206359863281,63.15234756469727,0.01631025738339642,0.016466617444907294
963,963,963,963,2022-11-30,65.70838165283203,63.99787902832031,62.97740936279297,0.02672748926186741,0.04336431615195213
964,964,964,964,2022-12-01,66.17487335205078,64.44493865966797,62.29710006713867,0.02684360833235555,0.06224644936494572
965,965,965,965,2022-12-02,66.38867950439453,64.79481506347656,62.831634521484375,0.024598641717806125,0.056612326099743315
966,966,966,966,2022-12-05,65.533447265625,64.81425476074219,63.171783447265625,0.011096208812978903,0.03738478937088807
967,967,967,967,2022-12-06,65.39736938476562,64.28944396972656,62.63725280761719,0.017233395509856697,0.04406509630340594
968,968,968,968,2022-12-07,66.1165542602539,64.19225311279297,63.16206359863281,0.029977155406583522,0.0467763479102834
969,969,969,969,2022-12-08,65.6889419555664,65.70838165283203,63.99787902832031,-0.0002958480604244862,0.026423733925584614
970,970,970,970,2022-12-09,65.1738510131836,66.17487335205078,64.44493865966797,-0.015126924890989102,0.011310622194319997
971,971,971,971,2022-12-12,65.48484802246094,66.38867950439453,64.79481506347656,-0.013614240992303017,0.010649508889073678
972,972,972,972,2022-12-13,65.69865417480469,65.533447265625,64.81425476074219,0.0025209555741827483,0.013645137436621102
973,973,973,973,2022-12-14,65.36821746826172,65.39736938476562,64.28944396972656,-0.0004457658890282268,0.01677994756095802
974,974,974,974,2022-12-15,64.52268981933594,66.1165542602539,64.19225311279297,-0.02410688909533998,0.005147610350463294
975,975,975,975,2022-12-16,64.29916381835938,65.6889419555664,65.70838165283203,-0.02115695725693234,-0.021446546072588002
976,976,976,976,2022-12-19,63.85209655761719,65.1738510131836,66.17487335205078,-0.020280441235535407,-0.03510058541519834
