,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NWSA,NWSA_6m,NWSA_12m,NWSA_6m_ret,NWSA_12m_ret
253,253,253,253,2020-02-06,13.81226921081543,12.762269020080566,13.831357955932615,0.08227378603936009,-0.0013801063625136223
254,254,254,254,2020-02-07,13.54499626159668,13.029541015625,13.793177604675291,0.03956050680170131,-0.017993050636460173
255,255,255,255,2020-02-10,13.13454246520996,13.000905990600586,13.697723388671877,0.01027901245543883,-0.04111492891787205
256,256,256,256,2020-02-11,13.487723350524902,13.019996643066406,13.306358337402344,0.03592371951244533,0.013629951074800584
257,257,257,257,2020-02-12,13.783632278442385,13.182268142700195,13.03908634185791,0.04561917033035012,0.057101081859880276
258,258,258,258,2020-02-13,13.745450973510742,13.449542045593262,12.895906448364258,0.02200141290419877,0.06587706948310279
259,259,259,259,2020-02-14,13.936360359191896,13.81226921081543,12.762269020080566,0.008984124656309156,0.09199706864539348
260,260,260,260,2020-02-18,13.84090518951416,13.54499626159668,13.029541015625,0.02184636467980816,0.062271124740017614
261,261,261,261,2020-02-19,13.945905685424805,13.13454246520996,13.000905990600586,0.06177323818960123,0.07268721852980375
262,262,262,262,2020-02-20,13.888632774353027,13.487723350524902,13.019996643066406,0.02972402483422254,0.06671554187759332
263,263,263,263,2020-02-21,13.688178062438965,13.783632278442385,13.182268142700195,-0.006925185907107445,0.038378063187777034
264,264,264,264,2020-02-24,12.99135971069336,13.745450973510742,13.449542045593262,-0.05486115110159817,-0.034066761035185245
265,265,265,265,2020-02-25,12.275449752807615,13.936360359191896,13.81226921081543,-0.11917821895935743,-0.111264806278496
266,266,266,266,2020-02-26,11.769540786743164,13.84090518951416,13.54499626159668,-0.14965526997036704,-0.1310783288945866
267,267,267,267,2020-02-27,11.387724876403809,13.945905685424805,13.13454246520996,-0.183435975169014,-0.13299417116607015
268,268,268,268,2020-02-28,11.530903816223145,13.888632774353027,13.487723350524902,-0.16975961539451911,-0.14508152958413134
269,269,269,269,2020-03-02,11.864996910095217,13.688178062438965,13.783632278442385,-0.1331938512216353,-0.1391966449473493
270,270,270,270,2020-03-03,11.301814079284668,12.99135971069336,13.745450973510742,-0.13005148568228808,-0.17777786257688288
271,271,271,271,2020-03-04,11.234997749328612,12.275449752807615,13.936360359191896,-0.08475876847127606,-0.19383558836303827
272,272,272,272,2020-03-05,10.566814422607422,11.769540786743164,13.84090518951416,-0.10218974435183192,-0.23655178054302273
273,273,273,273,2020-03-06,10.519088745117188,11.387724876403809,13.945905685424805,-0.0762782856728913,-0.24572207912527788
274,274,274,274,2020-03-09,9.67908763885498,11.530903816223145,13.888632774353027,-0.1605959261201011,-0.30309283886254523
275,275,275,275,2020-03-10,10.411768913269045,11.864996910095217,13.688178062438965,-0.12248026761723863,-0.23936050029627742
276,276,276,276,2020-03-11,9.727291107177734,11.301814079284668,12.99135971069336,-0.13931595061300028,-0.2512491899388274
277,277,277,277,2020-03-12,8.888566017150879,11.234997749328612,12.275449752807615,-0.2088502182671067,-0.27590709944310554
278,278,278,278,2020-03-13,10.093629837036133,10.566814422607422,11.769540786743164,-0.04478024943439185,-0.14239391154451186
279,279,279,279,2020-03-16,9.775492668151855,10.519088745117188,11.387724876403809,-0.07069016099997238,-0.14157632237784523
280,280,280,280,2020-03-17,10.488892555236816,9.67908763885498,11.530903816223145,0.08366541833251073,-0.09036683312892557
281,281,281,281,2020-03-18,9.524839401245115,10.411768913269045,11.864996910095217,-0.08518528594056696,-0.1972320369387539
282,282,282,282,2020-03-19,9.322388648986816,9.727291107177734,11.301814079284668,-0.041625407703912765,-0.17514227507298863
283,283,283,283,2020-03-20,8.695755004882812,8.888566017150879,11.234997749328612,-0.021692026801176878,-0.22601186053620181
284,284,284,284,2020-03-23,7.934153079986572,10.093629837036133,10.566814422607422,-0.21394451668178704,-0.2491442772940481
285,285,285,285,2020-03-24,8.367976188659668,9.775492668151855,10.519088745117188,-0.14398419877883162,-0.20449609358567633
286,286,286,286,2020-03-25,8.406538009643555,10.488892555236816,9.67908763885498,-0.19852949533300346,-0.13147413027887056
287,287,287,287,2020-03-26,8.830719947814941,9.524839401245115,10.411768913269045,-0.07287466215329963,-0.15185209916051545
288,288,288,288,2020-03-27,8.223368644714355,9.322388648986816,9.727291107177734,-0.11789038685829789,-0.15460855914486205
289,289,289,289,2020-03-30,8.502943992614746,8.695755004882812,8.888566017150879,-0.022173004202602264,-0.043384053602353645
290,290,290,290,2020-03-31,8.657191276550293,7.934153079986572,10.093629837036133,0.09112985208056323,-0.1423113967598828
291,291,291,291,2020-04-01,8.329415321350098,8.367976188659668,9.775492668151855,-0.004608147351306768,-0.1479288457259057
292,292,292,292,2020-04-02,7.90523099899292,8.406538009643555,10.488892555236816,-0.05963299161623503,-0.24632357921847003
293,293,293,293,2020-04-03,7.885950565338135,8.830719947814941,9.524839401245115,-0.1069866769708373,-0.17206472118498295
294,294,294,294,2020-04-06,8.608989715576172,8.223368644714355,9.322388648986816,0.04689332164497784,-0.07652533704311704
295,295,295,295,2020-04-07,8.47402286529541,8.502943992614746,8.695755004882812,-0.0034013075170735707,-0.02549889451380538
296,296,296,296,2020-04-08,8.628271102905273,8.657191276550293,7.934153079986572,-0.0033405954334583265,0.08748482867939278
297,297,297,297,2020-04-09,9.148859024047852,8.329415321350098,8.367976188659668,0.09837949857024686,0.09331800399318069
298,298,298,298,2020-04-13,9.052454948425291,7.90523099899292,8.406538009643555,0.14512212857265272,0.07683507027991476
299,299,299,299,2020-04-14,9.071735382080078,7.885950565338135,8.830719947814941,0.1503667575541161,0.027292840865684287
300,300,300,300,2020-04-15,8.608989715576172,8.608989715576172,8.223368644714355,0.0,0.04689332164497784
301,301,301,301,2020-04-16,8.136604309082031,8.47402286529541,8.502943992614746,-0.03981798982337492,-0.043083864112347436
302,302,302,302,2020-04-17,8.580068588256836,8.628271102905273,8.657191276550293,-0.0055865785941990875,-0.008908511528717078
303,303,303,303,2020-04-20,8.454743385314941,9.148859024047852,8.329415321350098,-0.07586909328348179,0.015046441932556887
304,304,304,304,2020-04-21,8.136604309082031,9.052454948425291,7.90523099899292,-0.10117152137858199,0.029268380660677273
305,305,305,305,2020-04-22,8.136604309082031,9.071735382080078,7.885950565338135,-0.10308182873645821,0.031784848467807825
306,306,306,306,2020-04-23,8.367976188659668,8.608989715576172,8.608989715576172,-0.02799556450630203,-0.02799556450630203
307,307,307,307,2020-04-24,8.51258373260498,8.136604309082031,8.47402286529541,0.046208394711204415,0.004550479497464233
308,308,308,308,2020-04-27,9.119937896728516,8.580068588256836,8.628271102905273,0.06292132783304027,0.05698323429565044
309,309,309,309,2020-04-28,9.457356452941896,8.454743385314941,9.148859024047852,0.11858586617405753,0.033719770747713707
310,310,310,310,2020-04-29,10.122550964355469,8.136604309082031,9.052454948425291,0.244075609410763,0.11821058729668965
311,311,311,311,2020-04-30,9.553760528564451,8.136604309082031,9.071735382080078,0.1741704727979212,0.05313483321355972
312,312,312,312,2020-05-01,9.1392183303833,8.367976188659668,8.608989715576172,0.09216591017178377,0.06159010898198547
313,313,313,313,2020-05-04,9.29346752166748,8.51258373260498,8.136604309082031,0.09173287612685099,0.14218009978611912
314,314,314,314,2020-05-05,9.206701278686523,9.119937896728516,8.580068588256836,0.009513593506939477,0.07303352927590012
315,315,315,315,2020-05-06,9.322388648986816,9.457356452941896,8.454743385314941,-0.01427119773127461,0.10262230609847833
316,316,316,316,2020-05-07,9.303107261657717,10.122550964355469,8.136604309082031,-0.08095229212312771,0.1433648372544849
317,317,317,317,2020-05-08,10.537095069885254,9.553760528564451,8.136604309082031,0.10292643806391899,0.29502365724283885
318,318,318,318,2020-05-11,10.315363883972168,9.1392183303833,8.367976188659668,0.12869213876626362,0.23271907703939343
319,319,319,319,2020-05-12,10.209318161010742,9.29346752166748,8.51258373260498,0.09854778501221206,0.19932073289416397
320,320,320,320,2020-05-13,10.228598594665527,9.206701278686523,9.119937896728516,0.11099494651191644,0.12156450082129489
321,321,321,321,2020-05-14,10.344284057617188,9.322388648986816,9.457356452941896,0.10961733597552104,0.09378176756776413
322,322,322,322,2020-05-15,10.47925090789795,9.303107261657717,10.122550964355469,0.12642481841391295,0.03523814745892895
323,323,323,323,2020-05-18,10.75882625579834,10.537095069885254,9.553760528564451,0.021042914051975004,0.12613522430574897
324,324,324,324,2020-05-19,10.700984001159668,10.315363883972168,9.1392183303833,0.037383084254222876,0.17088613208684178
325,325,325,325,2020-05-20,11.038403511047363,10.209318161010742,9.29346752166748,0.081208689646179,0.1877594111467662
326,326,326,326,2020-05-21,10.970918655395508,10.228598594665527,9.206701278686523,0.07257299754798474,0.19162318004094914
327,327,327,327,2020-05-22,11.10588550567627,10.344284057617188,9.322388648986816,0.07362534166859658,0.1913132914581166
328,328,328,328,2020-05-26,11.452943801879885,10.47925090789795,9.303107261657717,0.09291626878101433,0.23108800960326548
329,329,329,329,2020-05-27,11.655396461486816,10.75882625579834,10.537095069885254,0.08333345890824106,0.10612995177367623
330,330,330,330,2020-05-28,11.452943801879885,10.700984001159668,10.315363883972168,0.07027015465481745,0.11028015402105873
331,331,331,331,2020-05-29,11.80964469909668,11.038403511047363,10.209318161010742,0.06986890697349923,0.156751559002007
332,332,332,332,2020-06-01,11.751801490783691,10.970918655395508,10.228598594665527,0.07117752486517115,0.14891608875066753
333,333,333,333,2020-06-02,11.80964469909668,11.10588550567627,10.344284057617188,0.06336812972371408,0.141658971594119
334,334,334,334,2020-06-03,12.445919036865234,11.452943801879885,10.47925090789795,0.08670043721181653,0.1876725871202356
335,335,335,335,2020-06-04,12.330233573913574,11.655396461486816,10.75882625579834,0.05789911262621028,0.1460575048573114
336,336,336,336,2020-06-05,12.494120597839355,11.452943801879885,10.700984001159668,0.09090909847899309,0.16756744954345937
337,337,337,337,2020-06-08,12.879741668701172,11.80964469909668,11.038403511047363,0.0906121222839451,0.1668119991999728
338,338,338,338,2020-06-09,12.416997909545898,11.751801490783691,10.970918655395508,0.05660378277184863,0.13181022479272575
339,339,339,339,2020-06-10,11.944612503051758,11.80964469909668,11.10588550567627,0.011428608344618674,0.07552094760447603
340,340,340,340,2020-06-11,10.99984073638916,12.445919036865234,11.452943801879885,-0.11618895287625941,-0.03956214867799768
341,341,341,341,2020-06-12,11.298696517944336,12.330233573913574,11.655396461486816,-0.08365916588568179,-0.030603844727301377
342,342,342,342,2020-06-15,11.36617946624756,12.494120597839355,11.452943801879885,-0.09027775286456363,-0.007575723511197396
343,343,343,343,2020-06-16,11.510788917541504,12.879741668701172,11.80964469909668,-0.10628728326798165,-0.025306077292743256
344,344,344,344,2020-06-17,11.857848167419434,12.416997909545898,11.751801490783691,-0.04503099269241273,0.009023865551073929
345,345,345,345,2020-06-18,11.501148223876951,11.944612503051758,11.80964469909668,-0.03712671960362923,-0.02612241799648085
346,346,346,346,2020-06-19,11.43366241455078,10.99984073638916,12.445919036865234,0.03943890539491823,-0.0813324126017626
347,347,347,347,2020-06-22,11.530068397521973,11.298696517944336,12.330233573913574,0.0204777497307036,-0.06489456761666457
348,348,348,348,2020-06-23,11.568632125854492,11.36617946624756,12.494120597839355,0.01781184787800738,-0.07407391858734824
349,349,349,349,2020-06-24,11.250494003295898,11.510788917541504,12.879741668701172,-0.022613125486901864,-0.12649692108068278
350,350,350,350,2020-06-25,11.337260246276855,11.857848167419434,12.416997909545898,-0.04390239390760142,-0.08695641822078148
351,351,351,351,2020-06-26,11.06732177734375,11.501148223876951,11.944612503051758,-0.037720272627437046,-0.07344656224585489
