,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FMC,FMC_6m,FMC_12m,FMC_6m_ret,FMC_12m_ret
276,276,276,276,2020-03-11,76.52865600585938,86.94263458251953,94.12120819091795,-0.11977988275448426,-0.18691379470366953
277,277,277,277,2020-03-12,71.17916870117188,91.31780242919922,89.83796691894531,-0.22053349064812733,-0.2076939055689896
278,278,278,278,2020-03-13,80.93138885498047,87.16322326660156,89.05670166015625,-0.07149614456730347,-0.09123752231676263
279,279,279,279,2020-03-16,65.26902770996094,83.21089935302734,84.89292907714844,-0.21561924919170639,-0.2311606111429354
280,280,280,280,2020-03-17,63.09063720703125,72.83364868164062,85.57308197021484,-0.13377074540363265,-0.2627280009735887
281,281,281,281,2020-03-18,54.98370742797852,79.94789123535156,89.0750732421875,-0.3122556883193226,-0.3827262170362462
282,282,282,282,2020-03-19,62.0519905090332,76.52865600585938,86.94263458251953,-0.18916659787828727,-0.2862881277178456
283,283,283,283,2020-03-20,60.03904342651367,71.17916870117188,91.31780242919922,-0.1565082239359561,-0.3425264096443482
284,284,284,284,2020-03-23,58.99121475219727,80.93138885498047,87.16322326660156,-0.27109597911506755,-0.3232098063679455
285,285,285,285,2020-03-24,63.16416549682617,65.26902770996094,83.21089935302734,-0.03224902050767853,-0.2409147601103513
286,286,286,286,2020-03-25,67.70478820800781,63.09063720703125,72.83364868164062,0.07313527339778281,-0.07041883204356969
287,287,287,287,2020-03-26,73.72522735595703,54.98370742797852,79.94789123535156,0.3408558790352114,-0.07783399640993882
288,288,288,288,2020-03-27,70.42546844482422,62.0519905090332,76.52865600585938,0.13494293844726934,-0.07975035600478686
289,289,289,289,2020-03-30,76.3974838256836,60.03904342651367,71.17916870117188,0.2724633749235572,0.0733123920907186
290,290,290,290,2020-03-31,75.51924133300781,58.99121475219727,80.93138885498047,0.2801777629133313,-0.06687328116499502
291,291,291,291,2020-04-01,71.15577697753906,63.16416549682617,65.26902770996094,0.12652128652146044,0.09019207845009358
292,292,292,292,2020-04-02,68.5765380859375,67.70478820800781,63.09063720703125,0.012875749278639326,0.08695269412011686
293,293,293,293,2020-04-03,65.52582550048828,73.72522735595703,54.98370742797852,-0.1112156876218332,0.19173167044653283
294,294,294,294,2020-04-06,72.1357192993164,70.42546844482422,62.0519905090332,0.024284550635713664,0.1625045177046378
295,295,295,295,2020-04-07,73.439208984375,76.3974838256836,60.03904342651367,-0.038722150170004244,0.2231908570339367
296,296,296,296,2020-04-08,76.61011505126953,75.51924133300781,58.99121475219727,0.014444977187355823,0.29866990149437456
297,297,297,297,2020-04-09,83.20152282714844,71.15577697753906,63.16416549682617,0.16928696953743771,0.3172266612360941
298,298,298,298,2020-04-13,80.08609008789062,68.5765380859375,67.70478820800781,0.1678351273365506,0.1828718796349238
299,299,299,299,2020-04-14,80.12306213378906,65.52582550048828,73.72522735595703,0.22277073996102503,0.08677945131240183
300,300,300,300,2020-04-15,77.69172668457031,72.1357192993164,70.42546844482422,0.07702158430277906,0.1031765695025364
301,301,301,301,2020-04-16,77.03538513183594,73.439208984375,76.3974838256836,0.04896806756491712,0.008349768529129165
302,302,302,302,2020-04-17,79.59611511230469,76.61011505126953,75.51924133300781,0.038976577166564,0.05398457012193214
303,303,303,303,2020-04-20,78.17245483398438,83.20152282714844,71.15577697753906,-0.06044442243697845,0.09861009400066267
304,304,304,304,2020-04-21,77.27572631835938,80.08609008789062,68.5765380859375,-0.035091783934600995,0.12685370937681895
305,305,305,305,2020-04-22,77.75646209716797,80.12306213378906,65.52582550048828,-0.029537064280810377,0.18665368201410226
306,306,306,306,2020-04-23,80.77018737792969,77.69172668457031,72.1357192993164,0.039624047819891706,0.11969753906224789
307,307,307,307,2020-04-24,81.53748321533203,77.03538513183594,73.439208984375,0.0584419494468853,0.11027180634094291
308,308,308,308,2020-04-27,83.55281829833984,79.59611511230469,76.61011505126953,0.04970975254825594,0.09062384572094784
309,309,309,309,2020-04-28,84.02429962158203,78.17245483398438,83.20152282714844,0.07485814280778658,0.009888963164086828
310,310,310,310,2020-04-29,87.8423080444336,77.27572631835938,80.08609008789062,0.13673869181820653,0.09684850325482097
311,311,311,311,2020-04-30,84.95800018310547,77.75646209716797,80.12306213378906,0.09261658634800196,0.060343900002761464
312,312,312,312,2020-05-01,83.12757110595703,80.77018737792969,77.69172668457031,0.029186310005657967,0.06996683756890021
313,313,313,313,2020-05-04,82.86869812011719,81.53748321533203,77.03538513183594,0.016326416419667478,0.0757225134695998
