,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PH,PH_6m,PH_12m,PH_6m_ret,PH_12m_ret
172,172,172,172,2019-10-10,159.412353515625,159.94456481933594,165.90089416503906,-0.0033274735175408132,-0.039110944410939874
173,173,173,173,2019-10-11,167.7307891845703,160.76608276367188,168.98178100585938,0.043321988700419034,-0.007403116559918876
174,174,174,174,2019-10-14,166.61041259765625,163.15611267089844,168.1602020263672,0.021171746925139567,-0.009216148708408034
175,175,175,175,2019-10-15,168.57098388671875,159.53370666503906,168.4776611328125,0.05664807400642036,0.0005539176724009831
176,176,176,176,2019-10-16,168.28155517578125,155.54722595214844,168.61767578125,0.08186792882793248,-0.0019933889131813487
177,177,177,177,2019-10-17,171.14773559570312,156.69557189941406,164.06167602539062,0.09223083665418574,0.04319143715937557
178,178,178,178,2019-10-18,172.2866973876953,159.412353515625,159.94456481933594,0.08076126842207643,0.07716506392261802
179,179,179,179,2019-10-21,171.2130889892578,167.7307891845703,160.76608276367188,0.020761243786050487,0.0649826508551754
180,180,180,180,2019-10-22,174.4806671142578,166.61041259765625,163.15611267089844,0.04723747089929642,0.06940931760369962
181,181,181,181,2019-10-23,175.0408172607422,168.57098388671875,159.53370666503906,0.038380468719167116,0.09720272235799188
182,182,182,182,2019-10-24,173.41639709472656,168.28155517578125,155.54722595214844,0.030513397107494233,0.11487939455812146
183,183,183,183,2019-10-25,178.0376739501953,171.14773559570312,156.69557189941406,0.04025725686939885,0.13620105400605165
184,184,184,184,2019-10-28,177.72959899902344,172.2866973876953,159.412353515625,0.03159211763796255,0.11490480555262028
185,185,185,185,2019-10-29,180.12899780273438,171.2130889892578,167.7307891845703,0.052074925264831595,0.07391730926944562
186,186,186,186,2019-10-30,181.0719146728516,174.4806671142578,166.61041259765625,0.03777637756438379,0.08679830899955876
187,187,187,187,2019-10-31,171.3064422607422,175.0408172607422,168.57098388671875,-0.021334309668111562,0.016227338246193712
188,188,188,188,2019-11-01,182.8924560546875,173.41639709472656,168.28155517578125,0.05464338504729027,0.08682413746203022
189,189,189,189,2019-11-04,185.4225006103516,178.0376739501953,171.14773559570312,0.04147901113458796,0.08340609920992059
190,190,190,190,2019-11-05,185.4691467285156,177.72959899902344,172.2866973876953,0.043546757394837154,0.07651460931516918
191,191,191,191,2019-11-06,185.94528198242188,180.12899780273438,171.2130889892578,0.0322895494375488,0.0860459505761757
192,192,192,192,2019-11-07,186.81739807128903,181.0719146728516,174.4806671142578,0.03173039512404774,0.07070543207490476
193,193,193,193,2019-11-08,187.11746215820312,171.3064422607422,175.0408172607422,0.09229670343275997,0.06899330731226794
194,194,194,194,2019-11-11,186.4423065185547,182.8924560546875,173.41639709472656,0.019409496380789593,0.07511348201238932
195,195,195,195,2019-11-12,185.2420196533203,185.4225006103516,178.0376739501953,-0.0009733498169703925,0.04046528772972158
196,196,196,196,2019-11-13,183.225830078125,185.4691467285156,177.72959899902344,-0.012095362975246271,0.030924680582505415
197,197,197,197,2019-11-14,182.1567840576172,185.94528198242188,180.12899780273438,-0.020374262172260016,0.011257411519624005
198,198,198,198,2019-11-15,184.4074249267578,186.81739807128903,181.0719146728516,-0.012900153676327242,0.018420914474409855
199,199,199,199,2019-11-18,184.3323669433593,187.11746215820312,171.3064422607422,-0.014884207933993365,0.07603873217325119
200,200,200,200,2019-11-19,184.0323028564453,186.4423065185547,182.8924560546875,-0.012926270368091242,0.006232333614771823
201,201,201,201,2019-11-20,182.8507232666016,185.2420196533203,185.4225006103516,-0.012909038625221303,-0.013869823431808648
202,202,202,202,2019-11-21,184.5386505126953,183.225830078125,185.4691467285156,0.007165040180254767,-0.005016986556703795
203,203,203,203,2019-11-22,185.58897399902344,182.1567840576172,185.94528198242188,0.018841955072728123,-0.0019161980320216987
204,204,204,204,2019-11-25,189.49937438964844,184.4074249267578,186.81739807128903,0.027612496974636525,0.014356137843949401
205,205,205,205,2019-11-26,187.9052124023437,184.3323669433593,187.11746215820312,0.019382626709731676,0.0042099237294837
206,206,206,206,2019-11-27,187.3894195556641,184.0323028564453,186.4423065185547,0.018241996905496993,0.005079925553351572
207,207,207,207,2019-11-29,186.4141387939453,182.8507232666016,185.2420196533203,0.019488112836984373,0.006327501410417602
208,208,208,208,2019-12-02,185.18569946289065,184.5386505126953,183.225830078125,0.003506305851905145,0.010696468854473062
209,209,209,209,2019-12-03,183.93850708007807,185.58897399902344,182.1567840576172,-0.008893130251121817,0.009781260860958652
210,210,210,210,2019-12-04,185.17630004882807,189.49937438964844,184.4074249267578,-0.022813132522175317,0.004169436899710721
211,211,211,211,2019-12-05,186.9955902099609,187.9052124023437,184.3323669433593,-0.004840856625281331,0.014447941567527156
212,212,212,212,2019-12-06,189.7806854248047,187.3894195556641,184.0323028564453,0.012760943893261212,0.03123572589777024
213,213,213,213,2019-12-09,188.92730712890625,186.4141387939453,182.8507232666016,0.013481640133202966,0.03323248469433082
214,214,214,214,2019-12-10,189.7806854248047,185.18569946289065,184.5386505126953,0.02481285528656496,0.028406162598163975
215,215,215,215,2019-12-11,193.494140625,183.93850708007807,185.58897399902344,0.05195015277992798,0.04259502305356877
216,216,216,216,2019-12-12,196.2698669433593,185.17630004882807,189.49937438964844,0.05990813560701902,0.035728310848084144
217,217,217,217,2019-12-13,193.63478088378903,186.9955902099609,187.9052124023437,0.03550453070242754,0.03049180173446797
218,218,218,218,2019-12-16,194.6663055419922,189.7806854248047,187.3894195556641,0.02574350549030613,0.0388329608127449
219,219,219,219,2019-12-17,191.0372314453125,188.92730712890625,186.4141387939453,0.011167916107366338,0.02480011806656668
220,220,220,220,2019-12-18,193.68167114257807,189.7806854248047,185.18569946289065,0.02055523041789753,0.04587811966220379
221,221,221,221,2019-12-19,193.4284820556641,193.494140625,183.93850708007807,-0.0003393310470478639,0.05159319343314306
222,222,222,222,2019-12-20,193.9817657470703,196.2698669433593,185.17630004882807,-0.011657934210294707,0.0475517962931562
223,223,223,223,2019-12-23,195.2289581298828,193.63478088378903,186.9955902099609,0.008232907532508493,0.04402974375319424
224,224,224,224,2019-12-24,193.58792114257807,194.6663055419922,189.7806854248047,-0.005539656163975892,0.020061239157458388
225,225,225,225,2019-12-26,194.70382690429688,191.0372314453125,188.92730712890625,0.019193093572621223,0.030575356538847354
226,226,226,226,2019-12-27,194.11306762695312,193.68167114257807,189.7806854248047,0.0022273480078427443,0.022828362077262243
227,227,227,227,2019-12-30,192.9502410888672,193.4284820556641,193.494140625,-0.0024724433636369447,-0.00281093543388955
228,228,228,228,2019-12-31,193.0065155029297,193.9817657470703,196.2698669433593,-0.005027535657203153,-0.016626859187566234
229,229,229,229,2020-01-02,196.71060180664065,195.2289581298828,193.63478088378903,0.007589261813158554,0.015884651036414787
230,230,230,230,2020-01-03,193.9442749023437,193.58792114257807,194.6663055419922,0.0018407850947641524,-0.0037090683857086137
231,231,231,231,2020-01-06,194.0286407470703,194.70382690429688,191.0372314453125,-0.003467760074168602,0.01565877645486169
232,232,232,232,2020-01-07,193.63478088378903,194.11306762695312,193.68167114257807,-0.002463959531479154,-0.0002420996189903546
233,233,233,233,2020-01-08,193.7660980224609,192.9502410888672,193.4284820556641,0.004228328137812376,0.001745430472331666
234,234,234,234,2020-01-09,194.23497009277344,193.0065155029297,193.9817657470703,0.0063648348173257485,0.0013052997261262522
235,235,235,235,2020-01-10,192.5282440185547,196.71060180664065,195.2289581298828,-0.021261476248225164,-0.013833573344848693
236,236,236,236,2020-01-13,195.1258087158203,193.9442749023437,193.58792114257807,0.006092130402258977,0.007944129799862809
237,237,237,237,2020-01-14,193.88800048828125,194.0286407470703,194.70382690429688,-0.000724842777063972,-0.004190089270390329
238,238,238,238,2020-01-15,192.556396484375,193.63478088378903,194.11306762695312,-0.005569166833004235,-0.008019404162782795
239,239,239,239,2020-01-16,194.8163452148437,193.7660980224609,192.9502410888672,0.005420180326183965,0.009671426764981561
240,240,240,240,2020-01-17,194.11306762695312,194.23497009277344,193.0065155029297,-0.0006276030817833345,0.005733237145596037
241,241,241,241,2020-01-21,189.47125244140625,192.5282440185547,196.71060180664065,-0.01587814604933402,-0.03680202947246547
