,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HPE,HPE_6m,HPE_12m,HPE_6m_ret,HPE_12m_ret
345,345,345,345,2020-06-18,9.019838333129885,9.51797580718994,8.759187698364258,-0.0523364929845439,0.029757398030676008
346,346,346,346,2020-06-19,8.735190391540527,8.672921180725098,9.102514266967772,0.007179727512550027,-0.040354111474478094
347,347,347,347,2020-06-22,8.63733959197998,9.028735160827637,9.225759506225586,-0.043349988882803614,-0.06378010545890955
348,348,348,348,2020-06-23,8.60175895690918,9.08210563659668,9.780359268188477,-0.052889351754721425,-0.12050685245406101
349,349,349,349,2020-06-24,8.24594783782959,9.260011672973633,10.20291519165039,-0.1095099953387424,-0.19180472610634802
350,350,350,350,2020-06-25,8.423852920532227,8.930886268615723,9.802626609802246,-0.05677301589488115,-0.1406534946349277
351,351,351,351,2020-06-26,8.45053768157959,9.019838333129885,9.51797580718994,-0.0631165028157159,-0.11214969939343622
352,352,352,352,2020-06-29,8.521699905395508,8.735190391540527,8.672921180725098,-0.024440278525785897,-0.017436025553381862
353,353,353,353,2020-06-30,8.655130386352539,8.63733959197998,9.028735160827637,0.0020597539535296416,-0.041379525240260784
354,354,354,354,2020-07-01,8.379375457763672,8.60175895690918,9.08210563659668,-0.025853258648556143,-0.07737524831260834
355,355,355,355,2020-07-02,8.370482444763184,8.24594783782959,9.260011672973633,0.015102521794071011,-0.09606135063594345
356,356,356,356,2020-07-06,8.530597686767578,8.423852920532227,8.930886268615723,0.012671727206344352,-0.04482070085863821
357,357,357,357,2020-07-07,8.06804084777832,8.45053768157959,9.019838333129885,-0.04526301736220084,-0.10552267681512761
358,358,358,358,2020-07-08,8.19257640838623,8.521699905395508,8.735190391540527,-0.0386218126269493,-0.06211816329496189
359,359,359,359,2020-07-09,7.987984180450439,8.655130386352539,8.63733959197998,-0.07708101162220049,-0.0751800255871018
360,360,360,360,2020-07-10,8.237052917480469,8.379375457763672,8.60175895690918,-0.01698486253546949,-0.04239900713978606
361,361,361,361,2020-07-13,8.397168159484863,8.370482444763184,8.24594783782959,0.003188073674101677,0.018338743420316828
362,362,362,362,2020-07-14,8.459434509277344,8.530597686767578,8.423852920532227,-0.008342109205386694,0.004223909068781451
363,363,363,363,2020-07-15,8.575072288513184,8.06804084777832,8.45053768157959,0.0628444315418264,0.014736885583630066
364,364,364,364,2020-07-16,8.646236419677734,8.19257640838623,8.521699905395508,0.05537452306543278,0.014614045984343571
365,365,365,365,2020-07-17,8.60175895690918,7.987984180450439,8.655130386352539,0.07683725488100945,-0.0061664500776921205
366,366,366,366,2020-07-20,8.495015144348145,8.237052917480469,8.379375457763672,0.03131729630147628,0.013800513793343683
367,367,367,367,2020-07-21,8.592864036560059,8.397168159484863,8.370482444763184,0.023304984889953806,0.02656735657285836
368,368,368,368,2020-07-22,8.672921180725098,8.459434509277344,8.530597686767578,0.025236518021816368,0.016683883027128088
369,369,369,369,2020-07-23,8.735190391540527,8.575072288513184,8.06804084777832,0.018672507664084792,0.08269040233552105
370,370,370,370,2020-07-24,8.557283401489258,8.646236419677734,8.19257640838623,-0.010288062212366889,0.04451676431478857
371,371,371,371,2020-07-27,8.672921180725098,8.60175895690918,7.987984180450439,0.008272985115301168,0.08574591346224181
372,372,372,372,2020-07-28,8.43274974822998,8.495015144348145,8.237052917480469,-0.007329639213132011,0.023758112605323678
373,373,373,373,2020-07-29,8.63733959197998,8.592864036560059,8.397168159484863,0.005175870958820328,0.028601479443261635
374,374,374,374,2020-07-30,8.557283401489258,8.672921180725098,8.459434509277344,-0.013333198449080319,0.011566836069787367
375,375,375,375,2020-07-31,8.779664993286133,8.735190391540527,8.575072288513184,0.005091429007509252,0.023859006418757822
376,376,376,376,2020-08-03,8.797457695007324,8.557283401489258,8.646236419677734,0.02806665179235135,0.017489838120251955
377,377,377,377,2020-08-04,8.859723091125488,8.672921180725098,8.60175895690918,0.02153852277771695,0.029989695771363678
378,378,378,378,2020-08-05,8.859723091125488,8.43274974822998,8.495015144348145,0.0506327539228979,0.04293199489114374
379,379,379,379,2020-08-06,8.993152618408203,8.63733959197998,8.592864036560059,0.04119474783168253,0.04658383748946071
