,Unnamed: 0.1,Unnamed: 0,Date,HUBB,HUBB_6m,HUBB_12m
411,411,411,2020-09-22,127.39493560791016,134.11373901367188,137.3793182373047
412,412,412,2020-09-23,123.88538360595705,134.71432495117188,135.47442626953125
413,413,413,2020-09-24,124.76746368408205,134.34835815429688,130.15379333496094
414,414,414,2020-09-25,125.57447814941406,134.3201904296875,132.64988708496094
415,415,415,2020-09-28,128.52098083496094,130.4634552001953,131.81471252441406
416,416,416,2020-09-29,128.36146545410156,126.06243133544922,132.08685302734375
417,417,417,2020-09-30,128.40838623046875,127.39493560791016,134.11373901367188
418,418,418,2020-10-01,127.77967071533205,123.88538360595705,134.71432495117188
419,419,419,2020-10-02,129.037109375,124.76746368408205,134.34835815429688
420,420,420,2020-10-05,131.58949279785156,125.57447814941406,134.3201904296875
421,421,421,2020-10-06,130.65113830566406,128.52098083496094,130.4634552001953
422,422,422,2020-10-07,132.5466766357422,128.36146545410156,126.06243133544922
423,423,423,2020-10-08,134.28269958496094,128.40838623046875,127.39493560791016
424,424,424,2020-10-09,135.2022705078125,127.77967071533205,123.88538360595705
425,425,425,2020-10-12,137.47317504882812,129.037109375,124.76746368408205
426,426,426,2020-10-13,135.727783203125,131.58949279785156,125.57447814941406
427,427,427,2020-10-14,135.64332580566406,130.65113830566406,128.52098083496094
428,428,428,2020-10-15,135.43690490722656,132.5466766357422,128.36146545410156
429,429,429,2020-10-16,135.662109375,134.28269958496094,128.40838623046875
430,430,430,2020-10-19,137.0884552001953,135.2022705078125,127.77967071533205
431,431,431,2020-10-20,138.4115447998047,137.47317504882812,129.037109375
432,432,432,2020-10-21,138.2144775390625,135.727783203125,131.58949279785156
433,433,433,2020-10-22,140.4384765625,135.64332580566406,130.65113830566406
434,434,434,2020-10-23,143.9386444091797,135.43690490722656,132.5466766357422
435,435,435,2020-10-26,139.8191375732422,135.662109375,134.28269958496094
436,436,436,2020-10-27,139.22796630859375,137.0884552001953,135.2022705078125
437,437,437,2020-10-28,135.35244750976562,138.4115447998047,137.47317504882812
438,438,438,2020-10-29,135.727783203125,138.2144775390625,135.727783203125
439,439,439,2020-10-30,136.54415893554688,140.4384765625,135.64332580566406
440,440,440,2020-11-02,140.7012176513672,143.9386444091797,135.43690490722656
441,441,441,2020-11-03,144.18260192871094,139.8191375732422,135.662109375
442,442,442,2020-11-04,140.4384765625,139.22796630859375,137.0884552001953
443,443,443,2020-11-05,143.82601928710938,135.35244750976562,138.4115447998047
444,444,444,2020-11-06,144.03250122070312,135.727783203125,138.2144775390625
445,445,445,2020-11-09,148.8369903564453,136.54415893554688,140.4384765625
446,446,446,2020-11-10,150.21641540527344,140.7012176513672,143.9386444091797
447,447,447,2020-11-11,147.5138702392578,144.18260192871094,139.8191375732422
448,448,448,2020-11-12,143.2629852294922,140.4384765625,139.22796630859375
449,449,449,2020-11-13,145.8998565673828,143.82601928710938,135.35244750976562
450,450,450,2020-11-16,149.3531036376953,144.03250122070312,135.727783203125
451,451,451,2020-11-17,146.1438446044922,148.8369903564453,136.54415893554688
452,452,452,2020-11-18,145.7778778076172,150.21641540527344,140.7012176513672
453,453,453,2020-11-19,148.0299835205078,147.5138702392578,144.18260192871094
454,454,454,2020-11-20,147.76724243164062,143.2629852294922,140.4384765625
455,455,455,2020-11-23,150.46975708007812,145.8998565673828,143.82601928710938
456,456,456,2020-11-24,154.0262451171875,149.3531036376953,144.03250122070312
457,457,457,2020-11-25,152.54359436035156,146.1438446044922,148.8369903564453
458,458,458,2020-11-27,153.15724182128906,145.7778778076172,150.21641540527344
459,459,459,2020-11-30,152.55303955078125,148.0299835205078,147.5138702392578
460,460,460,2020-12-01,152.6474609375,147.76724243164062,143.2629852294922
461,461,461,2020-12-02,148.40855407714844,150.46975708007812,145.8998565673828
462,462,462,2020-12-03,147.5116729736328,154.0262451171875,149.3531036376953
463,463,463,2020-12-04,152.46807861328125,152.54359436035156,146.1438446044922
464,464,464,2020-12-07,150.05123901367188,153.15724182128906,145.7778778076172
465,465,465,2020-12-08,152.0526885986328,152.55303955078125,148.0299835205078
466,466,466,2020-12-09,152.5813446044922,152.6474609375,147.76724243164062
467,467,467,2020-12-10,151.00474548339844,148.40855407714844,150.46975708007812
468,468,468,2020-12-11,151.42958068847656,147.5116729736328,154.0262451171875
469,469,469,2020-12-14,148.89007568359375,152.46807861328125,152.54359436035156
470,470,470,2020-12-15,150.9197998046875,150.05123901367188,153.15724182128906
471,471,471,2020-12-16,147.72882080078125,152.0526885986328,152.55303955078125
472,472,472,2020-12-17,150.07958984375,152.5813446044922,152.6474609375
473,473,473,2020-12-18,146.92637634277344,151.00474548339844,148.40855407714844
474,474,474,2020-12-21,148.21971130371094,151.42958068847656,147.5116729736328
475,475,475,2020-12-22,149.050537109375,148.89007568359375,152.46807861328125
476,476,476,2020-12-23,150.64602661132812,150.9197998046875,150.05123901367188
477,477,477,2020-12-24,151.8355712890625,147.72882080078125,152.0526885986328
478,478,478,2020-12-28,149.4376220703125,150.07958984375,152.5813446044922
479,479,479,2020-12-29,148.02149963378906,146.92637634277344,151.00474548339844
480,480,480,2020-12-30,147.56834411621094,148.21971130371094,151.42958068847656
481,481,481,2020-12-31,148.02149963378906,149.050537109375,148.89007568359375
482,482,482,2021-01-04,147.33230590820312,150.64602661132812,150.9197998046875
483,483,483,2021-01-05,149.56033325195312,151.8355712890625,147.72882080078125
484,484,484,2021-01-06,158.670654296875,149.4376220703125,150.07958984375
485,485,485,2021-01-07,159.0766143798828,148.02149963378906,146.92637634277344
486,486,486,2021-01-08,158.07589721679688,147.56834411621094,148.21971130371094
487,487,487,2021-01-11,159.84129333496094,148.02149963378906,149.050537109375
488,488,488,2021-01-12,162.30531311035156,147.33230590820312,150.64602661132812
489,489,489,2021-01-13,156.39540100097656,149.56033325195312,151.8355712890625
490,490,490,2021-01-14,155.29087829589844,158.670654296875,149.4376220703125
491,491,491,2021-01-15,153.4782257080078,159.0766143798828,148.02149963378906
492,492,492,2021-01-19,156.2821502685547,158.07589721679688,147.56834411621094
493,493,493,2021-01-20,157.2356719970703,159.84129333496094,148.02149963378906
494,494,494,2021-01-21,156.2915802001953,162.30531311035156,147.33230590820312
495,495,495,2021-01-22,157.1223602294922,156.39540100097656,149.56033325195312
496,496,496,2021-01-25,154.9132537841797,155.29087829589844,158.670654296875
497,497,497,2021-01-26,154.26181030273438,153.4782257080078,159.0766143798828
498,498,498,2021-01-27,152.14710998535156,156.2821502685547,158.07589721679688
499,499,499,2021-01-28,150.90089416503906,157.2356719970703,159.84129333496094
500,500,500,2021-01-29,146.8980255126953,156.2915802001953,162.30531311035156
501,501,501,2021-02-01,150.07012939453125,157.1223602294922,156.39540100097656
502,502,502,2021-02-02,149.5886688232422,154.9132537841797,155.29087829589844
503,503,503,2021-02-03,152.392578125,154.26181030273438,153.4782257080078
504,504,504,2021-02-04,150.0418243408203,152.14710998535156,156.2821502685547
505,505,505,2021-02-05,152.8551483154297,150.90089416503906,157.2356719970703
506,506,506,2021-02-08,155.04541015625,146.8980255126953,156.2915802001953
507,507,507,2021-02-09,153.4593963623047,150.07012939453125,157.1223602294922
508,508,508,2021-02-10,152.90235900878906,149.5886688232422,154.9132537841797
509,509,509,2021-02-11,155.1681671142578,152.392578125,154.26181030273438
510,510,510,2021-02-12,155.97059631347656,150.0418243408203,152.14710998535156
511,511,511,2021-02-16,157.2545166015625,152.8551483154297,150.90089416503906
512,512,512,2021-02-17,158.93504333496094,155.04541015625,146.8980255126953
513,513,513,2021-02-18,158.43463134765625,153.4593963623047,150.07012939453125
514,514,514,2021-02-19,160.9458770751953,152.90235900878906,149.5886688232422
