,Unnamed: 0.1,Unnamed: 0,Date,SPG,SPG_6m,SPG_12m
322,322,322,2020-05-15,41.165992736816406,45.7221565246582,55.18745040893555
323,323,323,2020-05-18,45.64996719360352,46.54034805297852,53.55909729003906
324,324,324,2020-05-19,45.61787796020508,44.18204879760742,50.69544982910156
325,325,325,2020-05-20,44.655303955078125,43.74888610839844,50.54303359985352
326,326,326,2020-05-21,44.92000579833984,41.0456657409668,48.56976318359375
327,327,327,2020-05-22,43.78899765014648,41.3504753112793,44.711456298828125
328,328,328,2020-05-26,47.526981353759766,41.165992736816406,45.7221565246582
329,329,329,2020-05-27,50.68741989135742,45.64996719360352,46.54034805297852
330,330,330,2020-05-28,47.92805099487305,45.61787796020508,44.18204879760742
331,331,331,2020-05-29,46.28366088867188,44.655303955078125,43.74888610839844
332,332,332,2020-06-01,49.41202163696289,44.92000579833984,41.0456657409668
333,333,333,2020-06-02,50.89598846435547,43.78899765014648,41.3504753112793
334,334,334,2020-06-03,58.46018600463867,47.526981353759766,41.165992736816406
335,335,335,2020-06-04,61.54844665527344,50.68741989135742,45.64996719360352
336,336,336,2020-06-05,71.06986236572266,47.92805099487305,45.61787796020508
337,337,337,2020-06-08,76.60466766357422,46.28366088867188,44.655303955078125
338,338,338,2020-06-09,69.36132049560547,49.41202163696289,44.92000579833984
339,339,339,2020-06-10,66.58589935302734,50.89598846435547,43.78899765014648
340,340,340,2020-06-11,57.69013214111328,58.46018600463867,47.526981353759766
341,341,341,2020-06-12,60.94684219360352,61.54844665527344,50.68741989135742
342,342,342,2020-06-15,59.67143249511719,71.06986236572266,47.92805099487305
343,343,343,2020-06-16,60.57785415649414,76.60466766357422,46.28366088867188
344,344,344,2020-06-17,57.48958969116211,69.36132049560547,49.41202163696289
345,345,345,2020-06-18,56.920066833496094,66.58589935302734,50.89598846435547
346,346,346,2020-06-19,53.8398551940918,57.69013214111328,58.46018600463867
347,347,347,2020-06-22,54.98691177368164,60.94684219360352,61.54844665527344
348,348,348,2020-06-23,56.25428771972656,59.67143249511719,71.06986236572266
349,349,349,2020-06-24,52.22754287719727,60.57785415649414,76.60466766357422
350,350,350,2020-06-25,52.0911750793457,57.48958969116211,69.36132049560547
351,351,351,2020-06-26,49.65266418457031,56.920066833496094,66.58589935302734
352,352,352,2020-06-29,54.65001678466797,53.8398551940918,57.69013214111328
353,353,353,2020-06-30,54.85054016113281,54.98691177368164,60.94684219360352
354,354,354,2020-07-01,55.99760818481445,56.25428771972656,59.67143249511719
355,355,355,2020-07-02,55.19546508789063,52.22754287719727,60.57785415649414
356,356,356,2020-07-06,55.29173278808594,52.0911750793457,57.48958969116211
357,357,357,2020-07-07,52.88529586791992,49.65266418457031,56.920066833496094
358,358,358,2020-07-08,52.70882034301758,54.65001678466797,53.8398551940918
359,359,359,2020-07-09,49.93467712402344,54.85054016113281,54.98691177368164
360,360,360,2020-07-10,52.35694122314453,55.99760818481445,56.25428771972656
361,361,361,2020-07-13,52.119625091552734,55.19546508789063,52.22754287719727
362,362,362,2020-07-14,50.67936325073242,55.29173278808594,52.0911750793457
363,363,363,2020-07-15,54.492794036865234,52.88529586791992,49.65266418457031
364,364,364,2020-07-16,51.473140716552734,52.70882034301758,54.65001678466797
365,365,365,2020-07-17,51.06398010253906,49.93467712402344,54.85054016113281
366,366,366,2020-07-20,49.44367980957031,52.35694122314453,55.99760818481445
367,367,367,2020-07-21,49.87739944458008,52.119625091552734,55.19546508789063
368,368,368,2020-07-22,50.76118469238281,50.67936325073242,55.29173278808594
369,369,369,2020-07-23,50.572975158691406,54.492794036865234,52.88529586791992
370,370,370,2020-07-24,49.56642532348633,51.473140716552734,52.70882034301758
371,371,371,2020-07-27,50.70390701293945,51.06398010253906,49.93467712402344
372,372,372,2020-07-28,52.48787307739258,49.44367980957031,52.35694122314453
373,373,373,2020-07-29,53.67445373535156,49.87739944458008,52.119625091552734
374,374,374,2020-07-30,52.06233596801758,50.76118469238281,50.67936325073242
375,375,375,2020-07-31,51.02305603027344,50.572975158691406,54.492794036865234
376,376,376,2020-08-03,49.9428596496582,49.56642532348633,51.473140716552734
377,377,377,2020-08-04,51.54679870605469,50.70390701293945,51.06398010253906
378,378,378,2020-08-05,51.14581298828125,52.48787307739258,49.44367980957031
379,379,379,2020-08-06,50.081974029541016,53.67445373535156,49.87739944458008
380,380,380,2020-08-07,50.89212417602539,52.06233596801758,50.76118469238281
381,381,381,2020-08-10,53.57625579833984,51.02305603027344,50.572975158691406
382,382,382,2020-08-11,54.951053619384766,49.9428596496582,49.56642532348633
383,383,383,2020-08-12,55.50752639770508,51.54679870605469,50.70390701293945
384,384,384,2020-08-13,54.02634048461914,51.14581298828125,52.48787307739258
385,385,385,2020-08-14,55.7939338684082,50.081974029541016,53.67445373535156
386,386,386,2020-08-17,55.7939338684082,50.89212417602539,52.06233596801758
387,387,387,2020-08-18,53.29802322387695,53.57625579833984,51.02305603027344
388,388,388,2020-08-19,52.27510452270508,54.951053619384766,49.9428596496582
389,389,389,2020-08-20,53.085262298583984,55.50752639770508,51.54679870605469
390,390,390,2020-08-21,52.79883575439453,54.02634048461914,51.14581298828125
391,391,391,2020-08-24,56.05580139160156,55.7939338684082,50.081974029541016
392,392,392,2020-08-25,56.17856216430664,55.7939338684082,50.89212417602539
393,393,393,2020-08-26,54.26365280151367,53.29802322387695,53.57625579833984
394,394,394,2020-08-27,55.29475402832031,52.27510452270508,54.951053619384766
395,395,395,2020-08-28,57.1523666381836,53.085262298583984,55.50752639770508
396,396,396,2020-08-31,55.52389144897461,52.79883575439453,54.02634048461914
397,397,397,2020-09-01,54.991973876953125,56.05580139160156,55.7939338684082
398,398,398,2020-09-02,55.51570129394531,56.17856216430664,55.7939338684082
399,399,399,2020-09-03,55.64664077758789,54.26365280151367,53.29802322387695
400,400,400,2020-09-04,57.47969818115234,55.29475402832031,52.27510452270508
401,401,401,2020-09-08,57.3242301940918,57.1523666381836,53.085262298583984
402,402,402,2020-09-09,56.35041046142578,55.52389144897461,52.79883575439453
403,403,403,2020-09-10,54.16545867919922,54.991973876953125,56.05580139160156
404,404,404,2020-09-11,52.49605941772461,55.51570129394531,56.17856216430664
405,405,405,2020-09-14,55.48297119140625,55.64664077758789,54.26365280151367
406,406,406,2020-09-15,58.15891647338867,57.47969818115234,55.29475402832031
407,407,407,2020-09-16,60.65483856201172,57.3242301940918,57.1523666381836
408,408,408,2020-09-17,58.8217658996582,56.35041046142578,55.52389144897461
