,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CB,CB_6m,CB_12m,CB_6m_ret,CB_12m_ret
124,124,124,124,2019-08-02,139.76821899414062,138.6116943359375,138.09764099121094,0.008343629761859761,0.01209707849416497
125,125,125,125,2019-08-05,136.29856872558594,140.41075134277344,138.26287841796875,-0.029286807298315454,-0.014207064939330327
126,126,126,126,2019-08-06,139.6029815673828,140.69529724121094,136.1057891845703,-0.007763697118855606,0.025694662980646932
127,127,127,127,2019-08-07,141.49386596679688,140.7228240966797,135.65603637695312,0.005479152902641227,0.043034056911569474
128,128,128,128,2019-08-08,144.82583618164062,140.2914276123047,134.69224548339844,0.03232135167849859,0.07523514558595146
129,129,129,129,2019-08-09,146.51475524902344,138.74932861328125,139.13490295410156,0.05596730963207608,0.05304098495944176
130,130,130,130,2019-08-12,144.1465606689453,139.76821899414062,138.6116943359375,0.03132573131656091,0.03993073138254544
131,131,131,131,2019-08-13,145.78961181640625,136.29856872558594,140.41075134277344,0.06963420951197885,0.03830803853831566
132,132,132,132,2019-08-14,140.15371704101562,139.6029815673828,140.69529724121094,0.003945012258688596,-0.0038493127404736205
133,133,133,133,2019-08-15,141.2919464111328,141.49386596679688,140.7228240966797,-0.0014270551891729655,0.0040442786598862135
134,134,134,134,2019-08-16,142.64125061035156,144.82583618164062,140.2914276123047,-0.015084225500684556,0.016749583620608632
135,135,135,135,2019-08-19,142.953369140625,146.51475524902344,138.74932861328125,-0.024307354589272134,0.03029953780216954
136,136,136,136,2019-08-20,141.98033142089844,144.1465606689453,139.76821899414062,-0.015027963469915528,0.0158270059007517
137,137,137,137,2019-08-21,142.2281951904297,145.78961181640625,136.29856872558594,-0.024428466346844258,0.04350468622148229
138,138,138,138,2019-08-22,142.47604370117188,140.15371704101562,139.6029815673828,0.016569854222821867,0.02058023475954429
139,139,139,139,2019-08-23,140.64022827148438,141.2919464111328,141.49386596679688,-0.00461256395854337,-0.006033036764383937
140,140,140,140,2019-08-26,142.4668731689453,142.64125061035156,144.82583618164062,-0.0012224895719863405,-0.01628827476429484
141,141,141,141,2019-08-27,142.76055908203125,142.953369140625,146.51475524902344,-0.0013487619057378497,-0.02562333166111075
142,142,142,142,2019-08-28,144.10989379882812,141.98033142089844,144.1465606689453,0.0149989956821317,-0.0002543721469803195
143,143,143,143,2019-08-29,144.4495086669922,142.2281951904297,145.78961181640625,0.015617954468088335,-0.009192034553886175
144,144,144,144,2019-08-30,143.44900512695312,142.47604370117188,140.15371704101562,0.006828947523430218,0.02351195641121051
145,145,145,145,2019-09-03,145.5417938232422,140.64022827148438,141.2919464111328,0.034851803157600836,0.030078483027922376
146,146,146,146,2019-09-04,146.7259063720703,142.4668731689453,142.64125061035156,0.029894901940287433,0.02863586616242353
147,147,147,147,2019-09-05,147.44186401367188,142.76055908203125,142.953369140625,0.0327913042771899,0.03139831470940346
148,148,148,148,2019-09-06,147.80902099609375,144.10989379882812,141.98033142089844,0.025668794138655526,0.04105279595323852
149,149,149,149,2019-09-09,147.10218811035156,144.4495086669922,142.2281951904297,0.018364059994657067,0.03426882351559102
150,150,150,150,2019-09-10,146.23941040039062,143.44900512695312,142.47604370117188,0.019452245562581405,0.026414031450171516
151,151,151,151,2019-09-11,146.62493896484375,145.5417938232422,140.64022827148438,0.0074421587995336935,0.042553334610683446
