,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MCD,MCD_6m,MCD_12m,MCD_6m_ret,MCD_12m_ret
442,442,442,442,2020-11-04,199.7232666015625,207.25230407714844,210.06871032714844,-0.03632788310417667,-0.04924790421893177
443,443,443,443,2020-11-05,201.061767578125,199.5559997558593,211.4164886474609,0.007545590331074381,-0.048977831083944046
444,444,444,444,2020-11-06,201.29412841796875,199.7976226806641,212.1043243408203,0.0074901078262403775,-0.05096640983840184
445,445,445,445,2020-11-09,198.1895751953125,197.985092163086,212.9966278076172,0.0010328203502214528,-0.06951777952878535
446,446,446,446,2020-11-10,198.28253173828125,197.5760955810547,212.5876617431641,0.003575514310822925,-0.06729049977587809
447,447,447,447,2020-11-11,202.65122985839844,201.5172271728516,208.46063232421875,0.005627323784949345,-0.027868103444994574
448,448,448,448,2020-11-12,198.05018615722656,199.7232666015625,207.25230407714844,-0.008376993190651327,-0.04440055786543362
449,449,449,449,2020-11-13,198.245361328125,201.061767578125,199.5559997558593,-0.01400766681763932,-0.0065677726018649185
450,450,450,450,2020-11-16,201.45217895507807,201.29412841796875,199.7976226806641,0.0007851721177933868,0.008281160967858137
451,451,451,451,2020-11-17,200.78292846679688,198.1895751953125,197.985092163086,0.013085215349640134,0.014131550376561774
452,452,452,452,2020-11-18,200.3274688720703,198.28253173828125,197.5760955810547,0.010313249058612195,0.013925638539035168
453,453,453,453,2020-11-19,199.94635009765625,202.65122985839844,201.5172271728516,-0.01334746284358701,-0.007795249553766093
454,454,454,454,2020-11-20,198.99822998046875,198.05018615722656,199.7232666015625,0.004786886807011337,-0.0036302061018267384
455,455,455,455,2020-11-23,201.70314025878903,198.245361328125,201.061767578125,0.01744191595454736,0.0031899285895555796
456,456,456,456,2020-11-24,204.2221069335937,201.45217895507807,201.29412841796875,0.013749804012461508,0.014545772092990461
457,457,457,457,2020-11-25,203.8781890869141,200.78292846679688,198.1895751953125,0.015415955149937322,0.028702891592534918
458,458,458,458,2020-11-27,202.9393768310547,200.3274688720703,198.28253173828125,0.013038191785133213,0.023485906962899428
459,459,459,459,2020-11-30,203.3133850097656,199.94635009765625,202.65122985839844,0.016839691799649392,0.0032674617954691065
460,460,460,460,2020-12-01,202.09783935546875,198.99822998046875,198.05018615722656,0.015576065049946575,0.020437512717250694
461,461,461,461,2020-12-02,197.16085815429688,201.70314025878903,198.245361328125,-0.02251963999501605,-0.0054705097085884224
462,462,462,462,2020-12-03,197.7686462402344,204.2221069335937,201.45217895507807,-0.03160020621791815,-0.018284898847706454
463,463,463,463,2020-12-04,197.04864501953125,203.8781890869141,200.78292846679688,-0.03349815935667044,-0.018598610328981025
464,464,464,464,2020-12-07,195.31887817382807,202.9393768310547,200.3274688720703,-0.037550616229449774,-0.025002016580365938
465,465,465,465,2020-12-08,194.8513336181641,203.3133850097656,199.94635009765625,-0.041620729452687355,-0.02548191790949772
466,466,466,466,2020-12-09,195.13186645507807,202.09783935546875,198.99822998046875,-0.03446831951596607,-0.019429135252962637
467,467,467,467,2020-12-10,194.5240936279297,197.16085815429688,201.70314025878903,-0.013373671382093888,-0.03559214111217357
468,468,468,468,2020-12-11,194.2622833251953,197.7686462402344,204.2221069335937,-0.01772961984469379,-0.04876956641935437
469,469,469,469,2020-12-14,198.1519927978516,197.04864501953125,203.8781890869141,0.005599367497355789,-0.028086360364037777
470,470,470,470,2020-12-15,200.90103149414065,195.31887817382807,202.9393768310547,0.028579691694443632,-0.01004410956978019
471,471,471,471,2020-12-16,199.909896850586,194.8513336181641,203.3133850097656,0.025961142469441922,-0.016740108670248777
472,472,472,472,2020-12-17,200.3306427001953,195.13186645507807,202.09783935546875,0.02664237440845718,-0.008744262981283613
473,473,473,473,2020-12-18,201.1067352294922,194.5240936279297,197.16085815429688,0.03383972380384548,0.020013491075937972
474,474,474,474,2020-12-21,197.91824340820312,194.2622833251953,197.7686462402344,0.018819711270909645,0.0007564250997955657
475,475,475,475,2020-12-22,198.1519927978516,198.1519927978516,197.04864501953125,0.0,0.005599367497355789
476,476,476,476,2020-12-23,198.2455139160156,200.90103149414065,195.31887817382807,-0.013218038545523836,0.014983885682483322
477,477,477,477,2020-12-24,197.65646362304688,199.909896850586,194.8513336181641,-0.011272244461330239,0.014396257663700673
478,478,478,478,2020-12-28,200.1156005859375,200.3306427001953,195.13186645507807,-0.0010734359524799952,0.025540339573427717
479,479,479,479,2020-12-29,198.8907012939453,201.1067352294922,194.5240936279297,-0.011019193032088426,0.02244764432300972
480,480,480,480,2020-12-30,197.81539916992188,197.91824340820312,194.2622833251953,-0.0005196299063201515,0.01829030207978488
481,481,481,481,2020-12-31,200.63916015625,198.1519927978516,198.1519927978516,0.01255181602405453,0.01255181602405453
482,482,482,482,2021-01-04,196.5624389648437,198.2455139160156,200.90103149414065,-0.008489851386422331,-0.021595670749074758
483,483,483,483,2021-01-05,197.7405548095703,197.65646362304688,199.909896850586,0.0004254411162785132,-0.010851599021318381
484,484,484,484,2021-01-06,197.29180908203125,200.1156005859375,200.3306427001953,-0.014110801434961573,-0.015169090345863001
485,485,485,485,2021-01-07,198.2080993652344,198.8907012939453,201.1067352294922,-0.003432045461502331,-0.014413420122155629
486,486,486,486,2021-01-08,201.84536743164065,197.81539916992188,197.91824340820312,0.02037236877730164,0.019842152778902333
487,487,487,487,2021-01-11,200.3119354248047,200.63916015625,198.1519927978516,-0.0016309115886972148,0.010900433533144405
488,488,488,488,2021-01-12,197.85281372070312,196.5624389648437,198.2455139160156,0.006564706678727328,-0.001980878091792926
