,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EXPE,EXPE_6m,EXPE_12m,EXPE_6m_ret,EXPE_12m_ret
792,792,792,792,2022-03-28,193.19000244140625,193.17999267578125,178.91000366210938,5.181574699508751e-05,0.0798166591414653
793,793,793,793,2022-03-29,195.4100036621093,190.17999267578125,179.30999755859375,0.02750032173596817,0.08978866947033715
794,794,794,794,2022-03-30,192.1699981689453,191.6999969482422,179.11000061035156,0.002451753928979006,0.07291607120813648
795,795,795,795,2022-03-31,195.6699981689453,186.94000244140625,188.5,0.04669945230302086,0.03803712556469652
796,796,796,796,2022-04-01,198.1999969482422,195.0200042724609,192.88999938964844,0.0163059819819229,0.027528630698304246
797,797,797,797,2022-04-04,197.2899932861328,192.1600036621093,192.0,0.026696448408920714,0.02755204836527514
798,798,798,798,2022-04-05,190.42999267578125,193.19000244140625,193.17999267578125,-0.01428650411898047,-0.014235428637868308
799,799,799,799,2022-04-06,181.4600067138672,195.4100036621093,190.17999267578125,-0.07138834597415777,-0.04585122672067765
800,800,800,800,2022-04-07,181.97999572753903,192.1699981689453,191.6999969482422,-0.05302597980173673,-0.050704232527074566
801,801,801,801,2022-04-08,179.7899932861328,195.6699981689453,186.94000244140625,-0.08115707584921317,-0.03824761453886527
802,802,802,802,2022-04-11,177.3000030517578,198.1999969482422,195.0200042724609,-0.10544901220125746,-0.09086247991229979
803,803,803,803,2022-04-12,178.61000061035156,197.2899932861328,192.1600036621093,-0.09468292012504331,-0.07051416940844679
804,804,804,804,2022-04-13,187.3300018310547,190.42999267578125,193.19000244140625,-0.01627890019407019,-0.03033283573837564
805,805,805,805,2022-04-14,191.5500030517578,181.4600067138672,195.4100036621093,0.055604518706983797,-0.01975334188635469
806,806,806,806,2022-04-18,185.83999633789065,181.97999572753903,192.1699981689453,0.021211125953265908,-0.03293959458484086
807,807,807,807,2022-04-19,186.33999633789065,179.7899932861328,195.6699981689453,0.03643141051423049,-0.04768233208137995
808,808,808,808,2022-04-20,185.8699951171875,177.3000030517578,198.1999969482422,0.04833610782808573,-0.0622098991972968
809,809,809,809,2022-04-21,183.38999938964844,178.61000061035156,197.2899932861328,0.026762212434704225,-0.07045463211266367
810,810,810,810,2022-04-22,181.6499938964844,187.3300018310547,190.42999267578125,-0.030320866273694125,-0.04610617611189716
811,811,811,811,2022-04-25,186.7700042724609,191.5500030517578,181.4600067138672,-0.024954313250547533,0.02926263287847619
812,812,812,812,2022-04-26,178.5800018310547,185.83999633789065,181.97999572753903,-0.03906583431930333,-0.01868333869825356
813,813,813,813,2022-04-27,182.5200042724609,186.33999633789065,179.7899932861328,-0.020500118817770807,0.01518444345221881
814,814,814,814,2022-04-28,183.3999938964844,185.8699951171875,177.3000030517578,-0.013288864720450433,0.03440491110959476
815,815,815,815,2022-04-29,174.75,183.38999938964844,178.61000061035156,-0.04711270744535556,-0.021611335295678047
816,816,816,816,2022-05-02,174.80999755859375,181.6499938964844,187.3300018310547,-0.03765481182338226,-0.06683395158321848
817,817,817,817,2022-05-03,150.30999755859375,186.7700042724609,191.5500030517578,-0.19521339551226402,-0.21529629254049554
818,818,818,818,2022-05-04,149.55999755859375,178.5800018310547,185.83999633789065,-0.16250422205681947,-0.19522169336106376
819,819,819,819,2022-05-05,139.5,182.5200042724609,186.33999633789065,-0.23570021512952533,-0.2513684515317667
820,820,820,820,2022-05-06,132.3300018310547,183.3999938964844,185.8699951171875,-0.2784623433207687,-0.28805075963108984
821,821,821,821,2022-05-09,127.79000091552734,174.75,183.38999938964844,-0.2687267472645073,-0.3031790100832481
822,822,822,822,2022-05-10,132.33999633789062,174.80999755859375,181.6499938964844,-0.24294949839163404,-0.2714560925704942
823,823,823,823,2022-05-11,133.22000122070312,150.30999755859375,186.7700042724609,-0.11369833421245723,-0.28671629183901925
824,824,824,824,2022-05-12,128.33999633789062,149.55999755859375,178.5800018310547,-0.14188286685675877,-0.28133052401182934
825,825,825,825,2022-05-13,131.77999877929688,139.5,182.5200042724609,-0.05534051054267475,-0.27799695543191383
826,826,826,826,2022-05-16,123.8499984741211,132.3300018310547,183.3999938964844,-0.06408224317687228,-0.32470009489735774
827,827,827,827,2022-05-17,122.83000183105467,127.79000091552734,174.75,-0.03881367124921897,-0.29711014688952975
828,828,828,828,2022-05-18,120.1500015258789,132.33999633789062,174.80999755859375,-0.0921111920004003,-0.31268232249928163
829,829,829,829,2022-05-19,126.56999969482422,133.22000122070312,150.30999755859375,-0.04991744081177396,-0.15794024515578364
830,830,830,830,2022-05-20,124.58999633789062,128.33999633789062,149.55999755859375,-0.029219262170828486,-0.1669564163433509
831,831,831,831,2022-05-23,121.62999725341795,131.77999877929688,139.5,-0.07702232220291627,-0.12810037811169928
832,832,832,832,2022-05-24,116.76000213623048,123.8499984741211,132.3300018310547,-0.05724664049448569,-0.11766039053413135
833,833,833,833,2022-05-25,123.7300033569336,122.83000183105467,127.79000091552734,0.007327212508852821,-0.0317708547578579
