,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PHM,PHM_6m,PHM_12m,PHM_6m_ret,PHM_12m_ret
319,319,319,319,2020-05-12,26.899490356445312,26.11424446105957,24.55332565307617,0.030069638681550437,0.09555384620882124
320,320,320,320,2020-05-13,26.028057098388672,26.62177848815918,26.085512161254883,-0.022302093379470644,-0.0022025660263458313
321,321,321,321,2020-05-14,26.42067527770996,26.458982467651367,27.76134490966797,-0.0014477952804209382,-0.04829267588873609
322,322,322,322,2020-05-15,26.54516792297364,26.985673904418945,29.00624656677246,-0.016323697640664547,-0.08484650498069135
323,323,323,323,2020-05-18,29.81064987182617,28.613624572753903,27.07185935974121,0.04183410235318741,0.10116743278290796
324,324,324,324,2020-05-19,30.059629440307617,28.17312431335449,26.085512161254883,0.06696116149456999,0.15234959752699573
325,325,325,325,2020-05-20,30.09793472290039,26.899490356445312,26.11424446105957,0.11890353029267375,0.15254855516808563
326,326,326,326,2020-05-21,31.304527282714844,26.028057098388672,26.62177848815918,0.20272239930858404,0.17589917204962302
327,327,327,327,2020-05-22,31.898252487182617,26.42067527770996,26.458982467651367,0.20732162035592872,0.2055736658120273
328,328,328,328,2020-05-26,32.88459777832031,26.54516792297364,26.985673904418945,0.23881671699127516,0.21859464747090906
329,329,329,329,2020-05-27,34.905174255371094,29.81064987182617,28.613624572753903,0.17089611952269856,0.21987950763176123
330,330,330,330,2020-05-28,32.951637268066406,30.059629440307617,28.17312431335449,0.09620903123578861,0.16961246120817464
331,331,331,331,2020-05-29,32.53028869628906,30.09793472290039,26.899490356445312,0.08081464711058683,0.20932732424406586
332,332,332,332,2020-06-01,32.875022888183594,31.304527282714844,26.028057098388672,0.050168322022096756,0.2630609639402859
333,333,333,333,2020-06-02,33.27722930908203,31.898252487182617,26.42067527770996,0.04323048174671995,0.259514715627146
334,334,334,334,2020-06-03,34.45509338378906,32.88459777832031,26.54516792297364,0.04775778667130681,0.29797986148619304
335,335,335,335,2020-06-04,33.526206970214844,34.905174255371094,29.81064987182617,-0.03950609944151928,0.12463858098914593
336,336,336,336,2020-06-05,35.16374206542969,32.951637268066406,30.059629440307617,0.0671318629592661,0.16979958569541953
337,337,337,337,2020-06-08,35.11585235595703,32.53028869628906,30.09793472290039,0.07948173112779422,0.16671966629121227
338,338,338,338,2020-06-09,34.32102584838867,32.875022888183594,31.304527282714844,0.043984850295718525,0.09635981845154462
339,339,339,339,2020-06-10,34.78068542480469,33.27722930908203,31.898252487182617,0.04517972640565748,0.09036334949007907
340,340,340,340,2020-06-11,31.619678497314453,34.45509338378906,32.88459777832031,-0.08229305475656201,-0.0384654022388492
341,341,341,341,2020-06-12,32.561256408691406,33.526206970214844,34.905174255371094,-0.028781978300757793,-0.06715101404540369
342,342,342,342,2020-06-15,34.31949996948242,35.16374206542969,32.951637268066406,-0.02400888091990816,0.04151122113563743
343,343,343,343,2020-06-16,35.09774398803711,35.11585235595703,32.53028869628906,-0.000515675021536266,0.07892506936284693
344,344,344,344,2020-06-17,34.97283935546875,34.32102584838867,32.875022888183594,0.0189916673807895,0.06381186332311817
345,345,345,345,2020-06-18,34.213809967041016,34.78068542480469,33.27722930908203,-0.016298570624470488,0.02814479081957022
346,346,346,346,2020-06-19,33.310672760009766,31.619678497314453,34.45509338378906,0.053479173193963225,-0.033214846090585226
347,347,347,347,2020-06-22,33.69499588012695,32.561256408691406,33.526206970214844,0.0348186647715758,0.005034536416901103
348,348,348,348,2020-06-23,33.74302291870117,34.31949996948242,35.16374206542969,-0.016797361595998317,-0.04040295666157945
349,349,349,349,2020-06-24,32.513214111328125,35.09774398803711,35.11585235595703,-0.07363806282221186,-0.07411576453411639
350,350,350,350,2020-06-25,31.3026180267334,34.97283935546875,34.32102584838867,-0.1049449057147096,-0.08794631707656209
351,351,351,351,2020-06-26,30.678102493286133,34.213809967041016,34.78068542480469,-0.10334153013537262,-0.11795578153249098
352,352,352,352,2020-06-29,32.186553955078125,33.310672760009766,31.619678497314453,-0.033746505602888055,0.0179279323732473
353,353,353,353,2020-06-30,32.69576644897461,33.69499588012695,32.561256408691406,-0.029655128456082758,0.004130984339022481
354,354,354,354,2020-07-01,31.686931610107425,33.74302291870117,34.31949996948242,-0.06093382070561948,-0.07670765488179976
