,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AXON,AXON_6m,AXON_12m,AXON_6m_ret,AXON_12m_ret
182,182,182,182,2019-10-24,54.91999816894531,51.88999938964844,52.7599983215332,0.05839273106450116,0.04094010455134023
183,183,183,183,2019-10-25,54.2599983215332,51.75,52.34000015258789,0.04850238302479615,0.03668318997607756
184,184,184,184,2019-10-28,54.75,50.54999923706055,52.540000915527344,0.08308606975923039,0.04206317179220931
185,185,185,185,2019-10-29,52.97999954223633,52.31999969482422,53.15999984741211,0.012614676056227125,-0.0033860102650948853
186,186,186,186,2019-10-30,52.52999877929688,53.20000076293945,52.83000183105469,-0.012594022068310062,-0.005678649278059611
187,187,187,187,2019-10-31,51.130001068115234,53.709999084472656,53.31999969482422,-0.04803571141938989,-0.04107274267148142
188,188,188,188,2019-11-01,52.52000045776367,54.91999816894531,51.88999938964844,-0.043699886948261546,0.012141088370120734
189,189,189,189,2019-11-04,51.869998931884766,54.2599983215332,51.75,-0.04404717035717198,0.002318819939802319
190,190,190,190,2019-11-05,53.09000015258789,54.75,50.54999923706055,-0.030319631916202905,0.050247298790563555
191,191,191,191,2019-11-06,52.2400016784668,52.97999954223633,52.31999969482422,-0.013967494718069906,-0.0015290140830283017
192,192,192,192,2019-11-07,52.40999984741211,52.52999877929688,53.20000076293945,-0.002284388628847056,-0.01484964105635278
193,193,193,193,2019-11-08,65.29000091552734,51.130001068115234,53.709999084472656,0.2769411216821256,0.21560234646145093
194,194,194,194,2019-11-11,64.44999694824219,52.52000045776367,54.91999816894531,0.2271514925075555,0.17352511101658497
195,195,195,195,2019-11-12,64.01000213623047,51.869998931884766,54.2599983215332,0.23404672169528773,0.17969045551606588
196,196,196,196,2019-11-13,64.6500015258789,53.09000015258789,54.75,0.21774347975260877,0.18082194567815346
197,197,197,197,2019-11-14,66.69000244140625,52.2400016784668,52.97999954223633,0.2766079689636707,0.2587769539001248
198,198,198,198,2019-11-15,67.37000274658203,52.40999984741211,52.52999877929688,0.28544176574556146,0.2825053171928473
199,199,199,199,2019-11-18,67.72000122070312,65.29000091552734,51.130001068115234,0.03721856748508445,0.3244670409939312
200,200,200,200,2019-11-19,68.4800033569336,64.44999694824219,52.52000045776367,0.06252919471707319,0.30388428712990745
201,201,201,201,2019-11-20,71.9800033569336,64.01000213623047,51.869998931884766,0.12451180994715205,0.38770011257291737
202,202,202,202,2019-11-21,71.9000015258789,64.6500015258789,53.09000015258789,0.11214230207091158,0.35430403690390855
203,203,203,203,2019-11-22,72.08999633789062,66.69000244140625,52.2400016784668,0.08097156543409634,0.37997691465630146
204,204,204,204,2019-11-25,74.33000183105469,67.37000274658203,52.40999984741211,0.10331006086868189,0.4182408328078815
205,205,205,205,2019-11-26,76.93000030517578,67.72000122070312,65.29000091552734,0.13600116536408158,0.1782815014003194
206,206,206,206,2019-11-27,75.56999969482422,68.4800033569336,64.44999694824219,0.10353381995231414,0.17253690105698793
207,207,207,207,2019-11-29,73.80000305175781,71.9800033569336,64.01000213623047,0.025284795914765734,0.15294486156540965
208,208,208,208,2019-12-02,73.72000122070312,71.9000015258789,64.6500015258789,0.025312929849787835,0.14029388214621408
209,209,209,209,2019-12-03,73.83000183105469,72.08999633789062,66.69000244140625,0.024136573471422285,0.10706251504371478
210,210,210,210,2019-12-04,72.76000213623047,74.33000183105469,67.37000274658203,-0.02112201878311104,0.08000592503941806
211,211,211,211,2019-12-05,72.81999969482422,76.93000030517578,67.72000122070312,-0.053425199454666394,0.0753100765237722
212,212,212,212,2019-12-06,71.87000274658203,75.56999969482422,68.4800033569336,-0.048961187815058316,0.049503493333360016
213,213,213,213,2019-12-09,72.2699966430664,73.80000305175781,71.9800033569336,-0.02073179329841457,0.004028803453853591
214,214,214,214,2019-12-10,72.63999938964844,73.72000122070312,71.9000015258789,-0.014650051725058622,0.010292042393117207
215,215,215,215,2019-12-11,72.48999786376953,73.83000183105469,72.08999633789062,-0.01814985688814541,0.0055486412290004505
216,216,216,216,2019-12-12,71.80999755859375,72.76000213623047,74.33000183105469,-0.013056687049816218,-0.03390292224381586
217,217,217,217,2019-12-13,72.47000122070312,72.81999969482422,76.93000030517578,-0.00480635094188242,-0.05797477013882957
218,218,218,218,2019-12-16,73.19000244140625,71.87000274658203,75.56999969482422,0.018366490112413425,-0.03149394287454221
219,219,219,219,2019-12-17,71.3499984741211,72.2699966430664,73.80000305175781,-0.012730015382304227,-0.033197892633127224
220,220,220,220,2019-12-18,69.83000183105469,72.63999938964844,73.72000122070312,-0.038683887420216445,-0.05276721819364261
221,221,221,221,2019-12-19,70.31999969482422,72.48999786376953,73.83000183105469,-0.029935139093580698,-0.04754167749125093
222,222,222,222,2019-12-20,71.23999786376953,71.80999755859375,72.76000213623047,-0.00793760916589814,-0.020890657336911422
223,223,223,223,2019-12-23,72.23999786376953,72.47000122070312,72.81999969482422,-0.0031737733277129587,-0.007964870001172408
224,224,224,224,2019-12-24,73.08999633789062,73.19000244140625,71.87000274658203,-0.0013663902196981992,0.01697500410025543
225,225,225,225,2019-12-26,72.9000015258789,71.3499984741211,72.2699966430664,0.02172393952215712,0.0087173780555716
226,226,226,226,2019-12-27,72.9000015258789,69.83000183105469,72.63999938964844,0.04396390683551332,0.0035793245927191464
227,227,227,227,2019-12-30,73.51000213623047,70.31999969482422,72.48999786376953,0.0453640849722734,0.014070965685194725
228,228,228,228,2019-12-31,73.27999877929688,71.23999786376953,71.80999755859375,0.028635611688652585,0.02047070422894337
229,229,229,229,2020-01-02,76.55999755859375,72.23999786376953,72.47000122070312,0.05980066199573941,0.05643709492200477
230,230,230,230,2020-01-03,73.93000030517578,73.08999633789062,73.19000244140625,0.011492735112502483,0.010110641331948944
231,231,231,231,2020-01-06,68.75,72.9000015258789,71.3499984741211,-0.05692731740760926,-0.03644006348597362
232,232,232,232,2020-01-07,69.7699966430664,72.9000015258789,69.83000183105469,-0.04293559420161841,-0.0008593038295123812
233,233,233,233,2020-01-08,69.61000061035156,73.51000213623047,70.31999969482422,-0.053054025473313615,-0.010096687820732697
234,234,234,234,2020-01-09,70.19000244140625,73.27999877929688,71.23999786376953,-0.042166981295906014,-0.0147388469097256
235,235,235,235,2020-01-10,69.51000213623047,76.55999755859375,72.23999786376953,-0.09208458264340591,-0.037790639649343594
236,236,236,236,2020-01-13,70.7699966430664,73.93000030517578,73.08999633789062,-0.04274318475673189,-0.03174168574450331
237,237,237,237,2020-01-14,71.36000061035156,68.75,72.9000015258789,0.03796364524147733,-0.021124840648743426
238,238,238,238,2020-01-15,72.69999694824219,69.7699966430664,72.9000015258789,0.04199513323994064,-0.0027435469609108365
239,239,239,239,2020-01-16,75.22000122070312,69.61000061035156,73.51000213623047,0.08059187704585824,0.02326212807481154
240,240,240,240,2020-01-17,73.5999984741211,70.19000244140625,73.27999877929688,0.048582360936110014,0.004366808135300104
241,241,241,241,2020-01-21,75.26000213623047,69.51000213623047,76.55999755859375,0.08272190797420431,-0.01698008704047249
242,242,242,242,2020-01-22,79.08000183105469,70.7699966430664,73.93000030517578,0.1174227155880816,0.06966051000433127
243,243,243,243,2020-01-23,78.63999938964844,71.36000061035156,68.75,0.10201791924089232,0.14385453657670455
