,Unnamed: 0.1,Unnamed: 0,Date,EXC,EXC_6m,EXC_12m
884,884,884,2022-08-09,43.12092590332031,43.79528427124024,41.810203552246094
885,885,885,2022-08-10,43.24440383911133,43.52934646606445,42.19012069702149
886,886,886,2022-08-11,43.40586853027344,42.08564758300781,42.45606994628906
887,887,887,2022-08-12,44.17902755737305,42.79800033569336,42.22811508178711
888,888,888,2022-08-15,44.6861686706543,42.522552490234375,43.94725799560547
889,889,889,2022-08-16,44.67659378051758,42.722015380859375,44.156211853027344
890,890,890,2022-08-17,44.25557327270508,43.12092590332031,43.79528427124024
891,891,891,2022-08-18,44.31299209594727,43.24440383911133,43.52934646606445
892,892,892,2022-08-19,44.15031814575195,43.40586853027344,42.08564758300781
893,893,893,2022-08-22,43.39438247680664,44.17902755737305,42.79800033569336
894,894,894,2022-08-23,43.126461029052734,44.6861686706543,42.522552490234375
895,895,895,2022-08-24,43.528350830078125,44.67659378051758,42.722015380859375
896,896,896,2022-08-25,43.844120025634766,44.25557327270508,43.12092590332031
897,897,897,2022-08-26,42.78197860717773,44.31299209594727,43.24440383911133
898,898,898,2022-08-29,43.05947494506836,44.15031814575195,43.40586853027344
899,899,899,2022-08-30,42.16001129150391,43.39438247680664,44.17902755737305
900,900,900,2022-08-31,42.01648712158203,43.126461029052734,44.6861686706543
901,901,901,2022-09-01,42.533199310302734,43.528350830078125,44.67659378051758
902,902,902,2022-09-02,42.17915725708008,43.844120025634766,44.25557327270508
903,903,903,2022-09-06,41.99734115600586,42.78197860717773,44.31299209594727
904,904,904,2022-09-07,43.16473388671875,43.05947494506836,44.15031814575195
905,905,905,2022-09-08,43.41352081298828,42.16001129150391,43.39438247680664
906,906,906,2022-09-09,43.86325454711914,42.01648712158203,43.126461029052734
907,907,907,2022-09-12,44.12160873413086,42.533199310302734,43.528350830078125
908,908,908,2022-09-13,42.12173843383789,42.17915725708008,43.844120025634766
909,909,909,2022-09-14,42.43750762939453,41.99734115600586,42.78197860717773
910,910,910,2022-09-15,41.37537384033203,43.16473388671875,43.05947494506836
911,911,911,2022-09-16,41.34666442871094,43.41352081298828,42.16001129150391
912,912,912,2022-09-19,41.51890563964844,43.86325454711914,42.01648712158203
913,913,913,2022-09-20,40.93520736694336,44.12160873413086,42.533199310302734
914,914,914,2022-09-21,40.28453063964844,42.12173843383789,42.17915725708008
915,915,915,2022-09-22,39.88264465332031,42.43750762939453,41.99734115600586
916,916,916,2022-09-23,39.87307357788086,41.37537384033203,43.16473388671875
917,917,917,2022-09-26,38.830078125,41.34666442871094,43.41352081298828
918,918,918,2022-09-27,38.41862487792969,41.51890563964844,43.86325454711914
919,919,919,2022-09-28,37.968894958496094,40.93520736694336,44.12160873413086
920,920,920,2022-09-29,36.12211990356445,40.28453063964844,42.12173843383789
921,921,921,2022-09-30,35.84461975097656,39.88264465332031,42.43750762939453
922,922,922,2022-10-03,36.82063674926758,39.87307357788086,41.37537384033203
923,923,923,2022-10-04,38.28466033935547,38.830078125,41.34666442871094
924,924,924,2022-10-05,37.03115463256836,38.41862487792969,41.51890563964844
925,925,925,2022-10-06,36.13168716430664,37.968894958496094,40.93520736694336
926,926,926,2022-10-07,35.366180419921875,36.12211990356445,40.28453063964844
927,927,927,2022-10-10,36.17953109741211,35.84461975097656,39.88264465332031
928,928,928,2022-10-11,35.854190826416016,36.82063674926758,39.87307357788086
929,929,929,2022-10-12,34.409305572509766,38.28466033935547,38.830078125
930,930,930,2022-10-13,35.624542236328125,37.03115463256836,38.41862487792969
931,931,931,2022-10-14,35.012142181396484,36.13168716430664,37.968894958496094
