,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GEN,GEN_6m,GEN_12m,GEN_6m_ret,GEN_12m_ret
906,906,906,906,2022-09-09,22.023910522460938,21.888261795043945,22.49868965148925,0.006197327530489627,-0.021102523586163047
907,907,907,907,2022-09-12,22.043291091918945,21.87857246398925,22.40180015563965,0.007528764877178906,-0.016003582802717298
908,908,908,908,2022-09-13,21.045286178588867,22.13049697875977,22.653722763061523,-0.049036892448120706,-0.07100098298613089
909,909,909,909,2022-09-14,20.86119270324707,21.423171997070312,21.99484634399414,-0.026232310224652777,-0.05154178497167006
910,910,910,910,2022-09-15,20.909637451171875,22.14987564086914,22.091737747192383,-0.05599300916204153,-0.05350870581336409
911,911,911,911,2022-09-16,20.59957695007324,22.66341209411621,21.96577835083008,-0.091064625903298,-0.062196812648126154
912,912,912,912,2022-09-19,20.657712936401367,22.023910522460938,21.888261795043945,-0.06203247078516161,-0.056219578793653024
913,913,913,913,2022-09-20,20.26045036315918,22.043291091918945,21.87857246398925,-0.0808790629913404,-0.0739592175629099
914,914,914,914,2022-09-21,20.531753540039062,21.045286178588867,22.13049697875977,-0.024401314108632333,-0.07224164194121518
915,915,915,915,2022-09-22,20.60926628112793,20.86119270324707,21.423171997070312,-0.01207631920680774,-0.03799183967965558
916,916,916,916,2022-09-23,20.027904510498047,20.909637451171875,22.14987564086914,-0.0421687340458603,-0.09580058889612031
917,917,917,917,2022-09-26,19.872875213623047,20.59957695007324,22.66341209411621,-0.035277507795984486,-0.12312960064904055
918,918,918,918,2022-09-27,19.88256454467773,20.657712936401367,22.023910522460938,-0.03752343708667438,-0.09722823635699795
919,919,919,919,2022-09-28,20.29920959472656,20.26045036315918,22.043291091918945,0.0019130488647902677,-0.07912073972619116
920,920,920,920,2022-09-29,19.73722648620605,20.531753540039062,21.045286178588867,-0.03869747668086898,-0.06215452150579992
921,921,921,921,2022-09-30,19.51436996459961,20.60926628112793,20.86119270324707,-0.053126409334180225,-0.06456115706355692
922,922,922,922,2022-10-03,19.88256454467773,20.027904510498047,20.909637451171875,-0.007256873316134116,-0.049119594201121886
923,923,923,923,2022-10-04,20.26045036315918,19.872875213623047,20.59957695007324,0.019502721441658544,-0.01646279376202686
924,924,924,924,2022-10-05,20.4251708984375,19.88256454467773,20.657712936401367,0.027290561664743418,-0.011256911095617994
925,925,925,925,2022-10-06,20.37672233581543,20.29920959472656,20.26045036315918,0.003818510308352563,0.005738864169953173
926,926,926,926,2022-10-07,20.037595748901367,19.73722648620605,20.531753540039062,0.01521841292672188,-0.024067977933498796
927,927,927,927,2022-10-10,20.13448905944824,19.51436996459961,20.60926628112793,0.03177756166217849,-0.0230370754205087
928,928,928,928,2022-10-11,20.2701416015625,19.88256454467773,20.027904510498047,0.01949331314951097,0.012094979329339228
929,929,929,929,2022-10-12,20.192625045776367,20.26045036315918,19.872875213623047,-0.003347670765805999,0.016089761985428774
930,930,930,930,2022-10-13,20.551130294799805,20.4251708984375,19.88256454467773,0.006166871111562777,0.0336257301526548
931,931,931,931,2022-10-14,20.13448905944824,20.37672233581543,20.29920959472656,-0.011887744867653538,-0.00811462803562124
932,932,932,932,2022-10-17,20.54144287109375,20.037595748901367,19.73722648620605,0.025145088687599015,0.04074616995704794
933,933,933,933,2022-10-18,20.80305290222168,20.13448905944824,19.51436996459961,0.03320490730107273,0.066037639952498
934,934,934,934,2022-10-19,20.841812133789062,20.2701416015625,19.88256454467773,0.028202591943536026,0.04824566704943045
935,935,935,935,2022-10-20,20.92901611328125,20.192625045776367,20.26045036315918,0.03646831780590665,0.03299856311870375
936,936,936,936,2022-10-21,21.122802734375,20.551130294799805,20.4251708984375,0.02781708019825313,0.0341554956580985
937,937,937,937,2022-10-24,21.316591262817383,20.13448905944824,20.37672233581543,0.05871031541346383,0.046124637295075654
938,938,938,938,2022-10-25,21.55882453918457,20.54144287109375,20.037595748901367,0.04952824757614738,0.07591872844159009
939,939,939,939,2022-10-26,21.490997314453125,20.80305290222168,20.13448905944824,0.03306939685559218,0.06737237041375699
940,940,940,940,2022-10-27,21.15187263488769,20.841812133789062,20.2701416015625,0.014876849436520567,0.04349900709412036
941,941,941,941,2022-10-28,21.85919570922852,20.92901611328125,20.192625045776367,0.04444449709974618,0.08253363095060995
