,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RVTY,RVTY_6m,RVTY_12m,RVTY_6m_ret,RVTY_12m_ret
313,313,313,313,2020-05-04,86.31678009033203,86.86247253417969,80.8698959350586,-0.0062822577797670975,0.06735366841138868
314,314,314,314,2020-05-05,89.70000457763672,88.06295776367188,82.97325134277344,0.018589505230542702,0.08107134680156358
315,315,315,315,2020-05-06,92.5276336669922,87.75538635253906,83.85626983642578,0.0543812466995659,0.10340745954334984
316,316,316,316,2020-05-07,92.03155517578124,90.007568359375,81.99101257324219,0.02248685142037199,0.12245906334636225
317,317,317,317,2020-05-08,91.75375366210938,89.81906127929688,84.87818908691406,0.02153988647016103,0.0810050809184304
318,318,318,318,2020-05-11,92.6565933227539,88.3903579711914,86.51519775390625,0.04826584538726464,0.07098632064989263
319,319,319,319,2020-05-12,90.14646911621094,86.31678009033203,86.86247253417969,0.04436783927610688,0.037806851292875976
320,320,320,320,2020-05-13,89.54126739501953,89.70000457763672,88.06295776367188,-0.001769645200851655,0.016786963200973615
321,321,321,321,2020-05-14,91.2477569580078,92.5276336669922,87.75538635253906,-0.013832372646540247,0.039796652383693676
322,322,322,322,2020-05-15,92.1307601928711,92.03155517578124,90.007568359375,0.0010779456774405727,0.02358903670210033
323,323,323,323,2020-05-18,92.5871353149414,91.75375366210938,89.81906127929688,0.009082807183028452,0.03081833628874242
324,324,324,324,2020-05-19,90.58302307128906,92.6565933227539,88.3903579711914,-0.022379090112259026,0.024806609571739635
325,325,325,325,2020-05-20,92.02163696289062,90.14646911621094,86.31678009033203,0.02080134546659118,0.06609209549508632
326,326,326,326,2020-05-21,91.77359771728516,89.54126739501953,89.70000457763672,0.024930742965894037,0.023116979195399123
327,327,327,327,2020-05-22,92.67645263671876,91.2477569580078,92.5276336669922,0.01565732382187157,0.0016083732375795634
328,328,328,328,2020-05-26,96.71448516845705,92.1307601928711,92.03155517578124,0.04975238417646999,0.05088396022137576
329,329,329,329,2020-05-27,99.23455047607422,92.5871353149414,91.75375366210938,0.07179631531444608,0.08153123458592759
330,330,330,330,2020-05-28,98.52018737792967,90.58302307128906,92.6565933227539,0.0876230891564973,0.06328307403609057
331,331,331,331,2020-05-29,99.68099212646484,92.02163696289062,90.14646911621094,0.08323428506996655,0.10576701565496283
332,332,332,332,2020-06-01,101.15928649902344,91.77359771728516,89.54126739501953,0.10227003207013352,0.12975044291868176
333,333,333,333,2020-06-02,101.11959838867188,92.67645263671876,91.2477569580078,0.09110346276469272,0.10818722300436479
334,334,334,334,2020-06-03,103.04438018798828,96.71448516845705,92.1307601928711,0.06544929654028397,0.11845793926230574
335,335,335,335,2020-06-04,102.21096801757812,99.23455047607422,92.5871353149414,0.02999376252751329,0.10394351947385139
336,336,336,336,2020-06-05,103.58014678955078,98.52018737792967,90.58302307128906,0.05135962025945795,0.1434829980009935
337,337,337,337,2020-06-08,104.48299407958984,99.68099212646484,92.02163696289062,0.04817369741898947,0.13541768575280266
338,338,338,338,2020-06-09,101.63552856445312,101.15928649902344,91.77359771728516,0.00470784326295437,0.10745934661457124
339,339,339,339,2020-06-10,102.21096801757812,101.11959838867188,92.67645263671876,0.010792859606812977,0.10287958925481955
340,340,340,340,2020-06-11,95.75210571289062,103.04438018798828,96.71448516845705,-0.07076828898183529,-0.009950727172772011
341,341,341,341,2020-06-12,96.37714385986328,102.21096801757812,99.23455047607422,-0.05707630277713005,-0.02879447332106233
342,342,342,342,2020-06-15,97.4982681274414,103.58014678955078,98.52018737792967,-0.05871664455608705,-0.010372688863939272
