,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,YUM,YUM_6m,YUM_12m,YUM_6m_ret,YUM_12m_ret
217,217,217,217,2019-12-13,93.02859497070312,91.55106353759766,92.6940689086914,0.016138877867854395,0.0036089262878431505
218,218,218,218,2019-12-16,93.75342559814452,91.78337860107422,93.52111053466795,0.021464093249747185,0.0024840922241875507
219,219,219,219,2019-12-17,92.57325744628906,91.9785385131836,93.54899597167967,0.00646584456242727,-0.010430240487947051
220,220,220,220,2019-12-18,91.75550842285156,92.22013854980467,93.44676971435548,-0.005038271838012753,-0.018098659768269187
221,221,221,221,2019-12-19,92.75912475585938,92.40599060058594,92.41529083251952,0.003821550453366296,0.003720530663729349
222,222,222,222,2019-12-20,93.47466278076172,92.76840209960938,92.18297576904295,0.007613159924798607,0.014012207795883969
223,223,223,223,2019-12-23,92.74983215332033,93.02859497070312,91.55106353759766,-0.0029965282983214214,0.013093988965298786
224,224,224,224,2019-12-24,93.23304748535156,93.75342559814452,91.78337860107422,-0.005550497056219017,0.0157944598071309
225,225,225,225,2019-12-26,94.58977508544922,92.57325744628906,91.9785385131836,0.0217829392071478,0.02838962886860119
226,226,226,226,2019-12-27,94.69197082519533,91.75550842285156,92.22013854980467,0.03200311842653836,0.026803606178228634
227,227,227,227,2019-12-30,93.52111053466795,92.75912475585938,92.40599060058594,0.008214671934584583,0.012067615171206691
228,228,228,228,2019-12-31,93.60474395751952,93.47466278076172,92.76840209960938,0.0013916196420296068,0.009015374189717429
229,229,229,229,2020-01-02,94.9428939819336,92.74983215332033,93.02859497070312,0.023644914256966132,0.020577533303962392
230,230,230,230,2020-01-03,94.6455078125,93.23304748535156,93.75342559814452,0.015149781812831442,0.009515195937257914
231,231,231,231,2020-01-06,94.58977508544922,94.58977508544922,92.57325744628906,0.0,0.0217829392071478
232,232,232,232,2020-01-07,94.75704193115234,94.69197082519533,91.75550842285156,0.0006871871542006858,0.03271229771261619
233,233,233,233,2020-01-08,94.92430114746094,93.52111053466795,92.75912475585938,0.015003998613476899,0.023341923474378135
234,234,234,234,2020-01-09,95.67698669433594,93.60474395751952,93.47466278076172,0.02213822344043659,0.02356065106904537
235,235,235,235,2020-01-10,94.49684143066406,94.9428939819336,92.74983215332033,-0.004698114124838115,0.018835713626476736
236,236,236,236,2020-01-13,93.24231719970705,94.6455078125,93.23304748535156,-0.014825749739467597,9.94251995993789e-05
237,237,237,237,2020-01-14,93.595458984375,94.58977508544922,94.58977508544922,-0.010511877210575782,-0.010511877210575782
238,238,238,238,2020-01-15,94.07867431640624,94.75704193115234,94.69197082519533,-0.007159020595419063,-0.006476753028208271
239,239,239,239,2020-01-16,94.93360137939452,94.92430114746094,93.52111053466795,9.797524786758771e-05,0.015103443881827605
240,240,240,240,2020-01-17,97.94440460205078,95.67698669433594,93.60474395751952,0.023698675993618856,0.046361546018444555
241,241,241,241,2020-01-21,98.13025665283205,94.49684143066406,94.9428939819336,0.03845012348729093,0.03357136629419544
242,242,242,242,2020-01-22,98.9572982788086,93.24231719970705,94.6455078125,0.061291710145525036,0.045557264850335955
243,243,243,243,2020-01-23,98.48338317871094,93.595458984375,94.58977508544922,0.052223945983874476,0.041163097065664456
244,244,244,244,2020-01-24,97.55409240722656,94.07867431640624,94.75704193115234,0.0369416141976211,0.029518127825333362
245,245,245,245,2020-01-27,97.005859375,94.93360137939452,94.92430114746094,0.021828498713789113,0.02192861261422885
246,246,246,246,2020-01-28,97.40544128417967,97.94440460205078,95.67698669433594,-0.005502747401047836,0.018065520764838805
247,247,247,247,2020-01-29,99.08739471435548,98.13025665283205,94.49684143066406,0.009753750720428833,0.04857890712738455
248,248,248,248,2020-01-30,99.05951690673828,98.9572982788086,93.24231719970705,0.0010329569390798987,0.062387978781907716
249,249,249,249,2020-01-31,98.28821563720705,98.48338317871094,93.595458984375,-0.0019817306758210806,0.05013872151228482
250,250,250,250,2020-02-03,98.88297271728516,97.55409240722656,94.07867431640624,0.013621984247583985,0.051066816531885495
251,251,251,251,2020-02-04,99.16172790527344,97.005859375,94.93360137939452,0.022224106297944246,0.044537723887473124
252,252,252,252,2020-02-05,99.22679138183594,97.40544128417967,97.94440460205078,0.018698648388055572,0.013093007048187166
253,253,253,253,2020-02-06,96.40182495117188,99.08739471435548,98.13025665283205,-0.027103041420409202,-0.017613647009760314
254,254,254,254,2020-02-07,94.82208251953124,99.05951690673828,98.9572982788086,-0.04277665104299333,-0.04178788054243898
255,255,255,255,2020-02-10,95.5933609008789,98.28821563720705,98.48338317871094,-0.027417882386583936,-0.029345278203813385
256,256,256,256,2020-02-11,96.68991088867188,98.88297271728516,97.55409240722656,-0.022178356579989122,-0.008858485556375029
257,257,257,257,2020-02-12,97.8886489868164,99.16172790527344,97.005859375,-0.01283840999294783,0.009100374116616683
258,258,258,258,2020-02-13,98.03800201416016,99.22679138183594,97.40544128417967,-0.01198052815293793,0.006494100551682758
259,259,259,259,2020-02-14,98.2713623046875,96.40182495117188,99.08739471435548,0.019393173878840653,-0.008235481536480016
260,260,260,260,2020-02-18,97.10457611083984,94.82208251953124,99.05951690673828,0.024071329490559012,-0.019735012414192954
261,261,261,261,2020-02-19,98.18733215332033,95.5933609008789,98.28821563720705,0.027135474974366858,-0.001026404673568293
262,262,262,262,2020-02-20,96.95523071289062,96.68991088867188,98.88297271728516,0.002744028014714406,-0.019495186597050518
263,263,263,263,2020-02-21,96.61920166015624,97.8886489868164,99.16172790527344,-0.01296827916003973,-0.025640197068227844
264,264,264,264,2020-02-24,93.57621002197266,98.03800201416016,99.22679138183594,-0.04551084171975539,-0.05694612595220583
265,265,265,265,2020-02-25,91.4293212890625,98.2713623046875,96.40182495117188,-0.06962395610647432,-0.05158101171453944
266,266,266,266,2020-02-26,91.00926971435548,97.10457611083984,94.82208251953124,-0.06277053709113445,-0.04021017788119552
267,267,267,267,2020-02-27,86.50082397460938,98.18733215332033,95.5933609008789,-0.11902256556336999,-0.09511682443823288
268,268,268,268,2020-02-28,83.30850219726562,96.95523071289062,96.68991088867188,-0.1407528857936141,-0.13839508764066932
269,269,269,269,2020-03-02,86.37013244628906,96.61920166015624,97.8886489868164,-0.10607693954993291,-0.11766958334544642
270,270,270,270,2020-03-03,85.23136901855469,93.57621002197266,98.03800201416016,-0.08917695001174464,-0.13062927367446486
271,271,271,271,2020-03-04,88.33035278320312,91.4293212890625,98.2713623046875,-0.03389469004217682,-0.10115876373691213
272,272,272,272,2020-03-05,84.86731719970703,91.00926971435548,97.10457611083984,-0.0674871091035647,-0.12602144410954041
273,273,273,273,2020-03-06,83.44851684570312,86.50082397460938,98.18733215332033,-0.03528645148862619,-0.15010913306619245
274,274,274,274,2020-03-09,78.12796020507812,83.30850219726562,96.95523071289062,-0.062185033406560675,-0.19418519629502906
275,275,275,275,2020-03-10,81.0029525756836,86.37013244628906,96.61920166015624,-0.062141619082767496,-0.16162676586172275
276,276,276,276,2020-03-11,75.57970428466797,85.23136901855469,93.57621002197266,-0.1132407568366709,-0.19231924153669955
277,277,277,277,2020-03-12,73.22747039794922,88.33035278320312,91.4293212890625,-0.17098179628380095,-0.1990811113380837
278,278,278,278,2020-03-13,73.23681640625,84.86731719970703,91.00926971435548,-0.13704334221015269,-0.19528179232606369
279,279,279,279,2020-03-16,65.18131256103516,83.44851684570312,86.50082397460938,-0.21890388200001387,-0.2464659922757747
280,280,280,280,2020-03-17,61.13022232055664,78.12796020507812,83.30850219726562,-0.21756280133135586,-0.26621868466910126
281,281,281,281,2020-03-18,56.6497802734375,81.0029525756836,86.37013244628906,-0.30064548918130063,-0.34410451079641147
282,282,282,282,2020-03-19,58.43262100219727,75.57970428466797,85.23136901855469,-0.22687417799210863,-0.31442353120625555
283,283,283,283,2020-03-20,54.21353149414063,73.22747039794922,88.33035278320312,-0.2596558204247499,-0.38624119811678304
284,284,284,284,2020-03-23,52.75737762451172,73.23681640625,84.86731719970703,-0.2796331105947769,-0.37835459673640015
285,285,285,285,2020-03-24,65.02263641357422,65.18131256103516,83.44851684570312,-0.002434380978633355,-0.2208053675321574
286,286,286,286,2020-03-25,68.01895141601562,61.13022232055664,78.12796020507812,0.11268941669041621,-0.12939040981650307
287,287,287,287,2020-03-26,70.70721435546875,56.6497802734375,81.0029525756836,0.24814631255723762,-0.1271032461513698
288,288,288,288,2020-03-27,63.967864990234375,58.43262100219727,75.57970428466797,0.0947286617149854,-0.15363700353600296
289,289,289,289,2020-03-30,65.96540832519531,54.21353149414063,73.22747039794922,0.21677017724486025,-0.09917128139602216
290,290,290,290,2020-03-31,63.967864990234375,52.75737762451172,73.23681640625,0.21249136842074812,-0.1265613645000634
291,291,291,291,2020-04-01,63.14644241333008,65.02263641357422,65.18131256103516,-0.028854474437343236,-0.03121861263225778
292,292,292,292,2020-04-02,61.65296173095703,68.01895141601562,61.13022232055664,-0.09359141169529506,0.00855124340394564
293,293,293,293,2020-04-03,59.08602523803711,70.70721435546875,56.6497802734375,-0.16435648361153143,0.04300537359263057
294,294,294,294,2020-04-06,65.80672454833984,63.967864990234375,58.43262100219727,0.028746614544446603,0.12619840458406406
295,295,295,295,2020-04-07,66.60012817382812,65.96540832519531,54.21353149414063,0.009622010455901053,0.22847795261273895
296,296,296,296,2020-04-08,70.3525161743164,63.967864990234375,52.75737762451172,0.09981029044906764,0.33351048406981043
297,297,297,297,2020-04-09,75.0196533203125,63.14644241333008,65.02263641357422,0.1880266006003215,0.15374671742241586
298,298,298,298,2020-04-13,71.93000030517578,61.65296173095703,68.01895141601562,0.16669172551784261,0.057499399913408134
299,299,299,299,2020-04-14,74.57160949707031,59.08602523803711,70.70721435546875,0.2620853949245554,0.05465347739728443
300,300,300,300,2020-04-15,72.47138977050781,65.80672454833984,63.967864990234375,0.10127635538632962,0.13293432228153357
