,Unnamed: 0.1,Unnamed: 0,Date,XRAY,XRAY_6m,XRAY_12m
865,865,865,2022-07-13,33.85292053222656,35.2593879699707,35.90401840209961
866,866,866,2022-07-14,33.40363311767578,34.79056930541992,35.87472152709961
867,867,867,2022-07-15,34.097103118896484,34.6342887878418,34.99567794799805
868,868,868,2022-07-18,33.970123291015625,34.390113830566406,35.542633056640625
869,869,869,2022-07-19,35.04451370239258,33.95058822631836,34.898006439208984
870,870,870,2022-07-20,35.288692474365234,34.00919723510742,35.3570671081543
871,871,871,2022-07-21,35.62077713012695,33.85292053222656,35.2593879699707
872,872,872,2022-07-22,35.122650146484375,33.40363311767578,34.79056930541992
873,873,873,2022-07-25,34.917537689208984,34.097103118896484,34.6342887878418
874,874,874,2022-07-26,34.99567794799805,33.970123291015625,34.390113830566406
875,875,875,2022-07-27,35.64030838012695,35.04451370239258,33.95058822631836
876,876,876,2022-07-28,35.50356674194336,35.288692474365234,34.00919723510742
877,877,877,2022-07-29,35.3179931640625,35.62077713012695,33.85292053222656
878,878,878,2022-08-01,35.14218521118164,35.122650146484375,33.40363311767578
879,879,879,2022-08-02,34.741729736328125,34.917537689208984,34.097103118896484
880,880,880,2022-08-03,35.064048767089844,34.99567794799805,33.970123291015625
881,881,881,2022-08-04,35.07381820678711,35.64030838012695,35.04451370239258
882,882,882,2022-08-05,35.98215866088867,35.50356674194336,35.288692474365234
883,883,883,2022-08-08,36.128665924072266,35.3179931640625,35.62077713012695
884,884,884,2022-08-09,35.46450424194336,35.14218521118164,35.122650146484375
885,885,885,2022-08-10,36.1775016784668,34.741729736328125,34.917537689208984
886,886,886,2022-08-11,36.304473876953125,35.064048767089844,34.99567794799805
887,887,887,2022-08-12,36.77330017089844,35.07381820678711,35.64030838012695
888,888,888,2022-08-15,36.72446060180664,35.98215866088867,35.50356674194336
889,889,889,2022-08-16,35.923553466796875,36.128665924072266,35.3179931640625
890,890,890,2022-08-17,34.917537689208984,35.46450424194336,35.14218521118164
891,891,891,2022-08-18,35.513336181640625,36.1775016784668,34.741729736328125
892,892,892,2022-08-19,34.94684219360352,36.304473876953125,35.064048767089844
893,893,893,2022-08-22,33.66735076904297,36.77330017089844,35.07381820678711
894,894,894,2022-08-23,33.50130844116211,36.72446060180664,35.98215866088867
895,895,895,2022-08-24,33.559906005859375,35.923553466796875,36.128665924072266
896,896,896,2022-08-25,33.95058822631836,34.917537689208984,35.46450424194336
897,897,897,2022-08-26,32.82737350463867,35.513336181640625,36.1775016784668
898,898,898,2022-08-29,32.309715270996094,34.94684219360352,36.304473876953125
899,899,899,2022-08-30,32.1729736328125,33.66735076904297,36.77330017089844
900,900,900,2022-08-31,32.00693130493164,33.50130844116211,36.72446060180664
901,901,901,2022-09-01,31.42090034484864,33.559906005859375,35.923553466796875
902,902,902,2022-09-02,31.05951881408692,33.95058822631836,34.917537689208984
903,903,903,2022-09-06,30.336748123168945,32.82737350463867,35.513336181640625
904,904,904,2022-09-07,31.17672348022461,32.309715270996094,34.94684219360352
905,905,905,2022-09-08,32.14366912841797,32.1729736328125,33.66735076904297
906,906,906,2022-09-09,33.169219970703125,32.00693130493164,33.50130844116211
907,907,907,2022-09-12,33.36456298828125,31.42090034484864,33.559906005859375
908,908,908,2022-09-13,32.1632080078125,31.05951881408692,33.95058822631836
909,909,909,2022-09-14,31.80182266235352,30.336748123168945,32.82737350463867
910,910,910,2022-09-15,32.212039947509766,31.17672348022461,32.309715270996094
911,911,911,2022-09-16,31.303695678710938,32.14366912841797,32.1729736328125
912,912,912,2022-09-19,31.15718650817871,33.169219970703125,32.00693130493164
913,913,913,2022-09-20,30.121871948242188,33.36456298828125,31.42090034484864
914,914,914,2022-09-21,30.063270568847656,32.1632080078125,31.05951881408692
915,915,915,2022-09-22,28.861909866333008,31.80182266235352,30.336748123168945
916,916,916,2022-09-23,29.28189849853516,32.212039947509766,31.17672348022461
917,917,917,2022-09-26,28.9986515045166,31.303695678710938,32.14366912841797
918,918,918,2022-09-27,28.666566848754883,31.15718650817871,33.169219970703125
919,919,919,2022-09-28,29.086557388305664,30.121871948242188,33.36456298828125
920,920,920,2022-09-29,28.59123420715332,30.063270568847656,32.1632080078125
921,921,921,2022-09-30,27.80657196044922,28.861909866333008,31.80182266235352
922,922,922,2022-10-03,28.62066078186035,29.28189849853516,32.212039947509766
923,923,923,2022-10-04,29.356285095214844,28.9986515045166,31.303695678710938
924,924,924,2022-10-05,29.660341262817383,28.666566848754883,31.15718650817871
925,925,925,2022-10-06,28.85606002807617,29.086557388305664,30.121871948242188
926,926,926,2022-10-07,27.865419387817383,28.59123420715332,30.063270568847656
927,927,927,2022-10-10,27.541746139526367,27.80657196044922,28.861909866333008
928,928,928,2022-10-11,27.62021255493164,28.62066078186035,29.28189849853516
929,929,929,2022-10-12,27.48289680480957,29.356285095214844,28.9986515045166
930,930,930,2022-10-13,28.444107055664062,29.660341262817383,28.666566848754883
931,931,931,2022-10-14,27.93407821655273,28.85606002807617,29.086557388305664
932,932,932,2022-10-17,28.65989112854004,27.865419387817383,28.59123420715332
933,933,933,2022-10-18,28.83644294738769,27.541746139526367,27.80657196044922
934,934,934,2022-10-19,28.267559051513672,27.62021255493164,28.62066078186035
935,935,935,2022-10-20,28.09100914001465,27.48289680480957,29.356285095214844
936,936,936,2022-10-21,28.50295829772949,28.444107055664062,29.660341262817383
937,937,937,2022-10-24,28.944334030151367,27.93407821655273,28.85606002807617
938,938,938,2022-10-25,29.7289981842041,28.65989112854004,27.865419387817383
939,939,939,2022-10-26,30.288070678710938,28.83644294738769,27.541746139526367
940,940,940,2022-10-27,29.925167083740234,28.267559051513672,27.62021255493164
941,941,941,2022-10-28,30.268455505371094,28.09100914001465,27.48289680480957
942,942,942,2022-10-31,30.229223251342773,28.50295829772949,28.444107055664062
943,943,943,2022-11-01,30.405771255493164,28.944334030151367,27.93407821655273
944,944,944,2022-11-02,27.639827728271484,29.7289981842041,28.65989112854004
945,945,945,2022-11-03,26.31570625305176,30.288070678710938,28.83644294738769
946,946,946,2022-11-04,26.62957000732422,29.925167083740234,28.267559051513672
947,947,947,2022-11-07,27.49270439147949,30.268455505371094,28.09100914001465
948,948,948,2022-11-08,27.541746139526367,30.229223251342773,28.50295829772949
949,949,949,2022-11-09,28.1890926361084,30.405771255493164,28.944334030151367
950,950,950,2022-11-10,29.699575424194336,27.639827728271484,29.7289981842041
951,951,951,2022-11-11,31.43564414978028,26.31570625305176,30.288070678710938
952,952,952,2022-11-14,29.76823234558105,26.62957000732422,29.925167083740234
953,953,953,2022-11-15,30.73925399780273,27.49270439147949,30.268455505371094
954,954,954,2022-11-16,30.01344108581543,27.541746139526367,30.229223251342773
955,955,955,2022-11-17,30.10171699523925,28.1890926361084,30.405771255493164
956,956,956,2022-11-18,30.53327751159668,29.699575424194336,27.639827728271484
957,957,957,2022-11-21,30.01344108581543,31.43564414978028,26.31570625305176
958,958,958,2022-11-22,29.787851333618164,29.76823234558105,26.62957000732422
959,959,959,2022-11-23,30.38615608215332,30.73925399780273,27.49270439147949
960,960,960,2022-11-25,30.87657165527344,30.01344108581543,27.541746139526367
961,961,961,2022-11-28,29.876121520996094,30.10171699523925,28.1890926361084
962,962,962,2022-11-29,29.63091468811035,30.53327751159668,29.699575424194336
963,963,963,2022-11-30,29.67995834350586,30.01344108581543,31.43564414978028
964,964,964,2022-12-01,30.83733940124512,29.787851333618164,29.76823234558105
965,965,965,2022-12-02,31.072736740112305,30.38615608215332,30.73925399780273
966,966,966,2022-12-05,30.033058166503903,30.87657165527344,30.01344108581543
967,967,967,2022-12-06,29.532833099365234,29.876121520996094,30.10171699523925
968,968,968,2022-12-07,29.18954086303711,29.63091468811035,30.53327751159668
969,969,969,2022-12-08,29.699575424194336,29.67995834350586,30.01344108581543
970,970,970,2022-12-09,29.67995834350586,30.83733940124512,29.787851333618164
971,971,971,2022-12-12,29.934972763061523,31.072736740112305,30.38615608215332
972,972,972,2022-12-13,31.05312156677246,30.033058166503903,30.87657165527344
973,973,973,2022-12-14,31.43564414978028,29.532833099365234,29.876121520996094
974,974,974,2022-12-15,30.660789489746094,29.18954086303711,29.63091468811035
975,975,975,2022-12-16,29.934972763061523,29.699575424194336,29.67995834350586
976,976,976,2022-12-19,30.01344108581543,29.67995834350586,30.83733940124512
977,977,977,2022-12-20,30.288070678710938,29.934972763061523,31.072736740112305
978,978,978,2022-12-21,30.72944641113281,31.05312156677246,30.033058166503903
979,979,979,2022-12-22,30.87657165527344,31.43564414978028,29.532833099365234
980,980,980,2022-12-23,31.21986198425293,30.660789489746094,29.18954086303711
981,981,981,2022-12-27,31.45526123046875,29.934972763061523,29.699575424194336
982,982,982,2022-12-28,30.38615608215332,30.01344108581543,29.67995834350586
983,983,983,2022-12-29,31.78950309753418,30.288070678710938,29.934972763061523
984,984,984,2022-12-30,31.356189727783203,30.72944641113281,31.05312156677246
985,985,985,2023-01-03,32.19327163696289,30.87657165527344,31.43564414978028
986,986,986,2023-01-04,33.26670837402344,31.21986198425293,30.660789489746094
987,987,987,2023-01-05,32.587196350097656,31.45526123046875,29.934972763061523
988,988,988,2023-01-06,32.92203521728516,30.38615608215332,30.01344108581543
989,989,989,2023-01-09,32.48871612548828,31.78950309753418,30.288070678710938
990,990,990,2023-01-10,32.81370162963867,31.356189727783203,30.72944641113281
991,991,991,2023-01-11,34.576499938964844,32.19327163696289,30.87657165527344
992,992,992,2023-01-12,35.452980041503906,33.26670837402344,31.21986198425293
993,993,993,2023-01-13,35.99462127685547,32.587196350097656,31.45526123046875
994,994,994,2023-01-17,36.26051712036133,32.92203521728516,30.38615608215332
995,995,995,2023-01-18,36.3589973449707,32.48871612548828,31.78950309753418
996,996,996,2023-01-19,36.06356048583984,32.81370162963867,31.356189727783203
997,997,997,2023-01-20,36.40823745727539,34.576499938964844,32.19327163696289
998,998,998,2023-01-23,36.841552734375,35.452980041503906,33.26670837402344
999,999,999,2023-01-24,35.34465026855469,35.99462127685547,32.587196350097656
1000,1000,1000,2023-01-25,36.03401184082031,36.26051712036133,32.92203521728516
1001,1001,1001,2023-01-26,36.29991149902344,36.3589973449707,32.48871612548828
1002,1002,1002,2023-01-27,36.437782287597656,36.06356048583984,32.81370162963867
1003,1003,1003,2023-01-30,35.97492218017578,36.40823745727539,34.576499938964844
1004,1004,1004,2023-01-31,36.27036666870117,36.841552734375,35.452980041503906
1005,1005,1005,2023-02-01,36.91048812866211,35.34465026855469,35.99462127685547
1006,1006,1006,2023-02-02,39.05736541748047,36.03401184082031,36.26051712036133
1007,1007,1007,2023-02-03,37.855899810791016,36.29991149902344,36.3589973449707
1008,1008,1008,2023-02-06,37.5112190246582,36.437782287597656,36.06356048583984
1009,1009,1009,2023-02-07,38.05286407470703,35.97492218017578,36.40823745727539
1010,1010,1010,2023-02-08,37.422584533691406,36.27036666870117,36.841552734375
1011,1011,1011,2023-02-09,36.053707122802734,36.91048812866211,35.34465026855469
1012,1012,1012,2023-02-10,35.34465026855469,39.05736541748047,36.03401184082031
1013,1013,1013,2023-02-13,36.32945251464844,37.855899810791016,36.29991149902344
1014,1014,1014,2023-02-14,36.42794036865234,37.5112190246582,36.437782287597656
1015,1015,1015,2023-02-15,36.03401184082031,38.05286407470703,35.97492218017578
