,Unnamed: 0.1,Unnamed: 0,Date,PEP,PEP_6m,PEP_12m
847,847,847,2022-06-15,151.418212890625,159.83407592773438,163.6951446533203
848,848,848,2022-06-16,150.68893432617188,159.03759765625,159.86412048339844
849,849,849,2022-06-17,150.71771240234375,156.2067108154297,158.6633758544922
850,850,850,2022-06-21,154.22030639648438,155.95724487304688,159.94924926757812
851,851,851,2022-06-22,155.4870147705078,153.2895050048828,158.19314575195312
852,852,852,2022-06-23,157.47344970703125,149.815673828125,158.85528564453125
853,853,853,2022-06-24,159.4214630126953,151.418212890625,159.83407592773438
854,854,854,2022-06-27,159.63258361816406,150.68893432617188,159.03759765625
855,855,855,2022-06-28,157.38705444335938,150.71771240234375,156.2067108154297
856,856,856,2022-06-29,159.99720764160156,154.22030639648438,155.95724487304688
857,857,857,2022-06-30,159.9300537109375,155.4870147705078,153.2895050048828
858,858,858,2022-07-01,162.54981994628906,157.47344970703125,149.815673828125
859,859,859,2022-07-05,162.1851348876953,159.4214630126953,151.418212890625
860,860,860,2022-07-06,163.80690002441406,159.63258361816406,150.68893432617188
861,861,861,2022-07-07,163.4806365966797,157.38705444335938,150.71771240234375
862,862,862,2022-07-08,164.9392547607422,159.99720764160156,154.22030639648438
863,863,863,2022-07-11,163.58621215820312,159.9300537109375,155.4870147705078
864,864,864,2022-07-12,162.65536499023438,162.54981994628906,157.47344970703125
865,865,865,2022-07-13,163.2311553955078,162.1851348876953,159.4214630126953
866,866,866,2022-07-14,164.07559204101562,163.80690002441406,159.63258361816406
867,867,867,2022-07-15,164.20994567871094,163.4806365966797,157.38705444335938
868,868,868,2022-07-18,161.46542358398438,164.9392547607422,159.99720764160156
869,869,869,2022-07-19,163.1927490234375,163.58621215820312,159.9300537109375
870,870,870,2022-07-20,161.46542358398438,162.65536499023438,162.54981994628906
871,871,871,2022-07-21,161.70533752441406,163.2311553955078,162.1851348876953
872,872,872,2022-07-22,162.76092529296875,164.07559204101562,163.80690002441406
873,873,873,2022-07-25,162.99124145507812,164.20994567871094,163.4806365966797
874,874,874,2022-07-26,164.8912811279297,161.46542358398438,164.9392547607422
875,875,875,2022-07-27,164.66098022460938,163.1927490234375,163.58621215820312
876,876,876,2022-07-28,167.77975463867188,161.46542358398438,162.65536499023438
877,877,877,2022-07-29,167.89491271972656,161.70533752441406,163.2311553955078
878,878,878,2022-08-01,169.8045196533203,162.76092529296875,164.07559204101562
879,879,879,2022-08-02,168.40347290039062,162.99124145507812,164.20994567871094
880,880,880,2022-08-03,169.6893768310547,164.8912811279297,161.46542358398438
881,881,881,2022-08-04,168.7681427001953,164.66098022460938,163.1927490234375
882,882,882,2022-08-05,167.50144958496094,167.77975463867188,161.46542358398438
883,883,883,2022-08-08,166.8297119140625,167.89491271972656,161.70533752441406
884,884,884,2022-08-09,167.45346069335938,169.8045196533203,162.76092529296875
885,885,885,2022-08-10,168.8353271484375,168.40347290039062,162.99124145507812
886,886,886,2022-08-11,167.97166442871094,169.6893768310547,164.8912811279297
887,887,887,2022-08-12,170.16917419433594,168.7681427001953,164.66098022460938
888,888,888,2022-08-15,172.0404510498047,167.50144958496094,167.77975463867188
889,889,889,2022-08-16,173.0384521484375,166.8297119140625,167.89491271972656
890,890,890,2022-08-17,172.94248962402344,167.45346069335938,169.8045196533203
891,891,891,2022-08-18,173.115234375,168.8353271484375,168.40347290039062
892,892,892,2022-08-19,172.8944854736328,167.97166442871094,169.6893768310547
893,893,893,2022-08-22,171.24395751953125,170.16917419433594,168.7681427001953
894,894,894,2022-08-23,171.16717529296875,172.0404510498047,167.50144958496094
895,895,895,2022-08-24,172.02122497558594,173.0384521484375,166.8297119140625
896,896,896,2022-08-25,172.03086853027344,172.94248962402344,167.45346069335938
897,897,897,2022-08-26,167.97166442871094,173.115234375,168.8353271484375
898,898,898,2022-08-29,167.44386291503906,172.8944854736328,167.97166442871094
899,899,899,2022-08-30,166.0044403076172,171.24395751953125,170.16917419433594
900,900,900,2022-08-31,165.31353759765625,171.16717529296875,172.0404510498047
901,901,901,2022-09-01,166.98483276367188,172.02122497558594,173.0384521484375
902,902,902,2022-09-02,164.869140625,172.03086853027344,172.94248962402344
903,903,903,2022-09-06,163.7581329345703,167.97166442871094,173.115234375
904,904,904,2022-09-07,167.37123107910156,167.44386291503906,172.8944854736328
905,905,905,2022-09-08,166.81092834472656,166.0044403076172,171.24395751953125
906,906,906,2022-09-09,167.34225463867188,165.31353759765625,171.16717529296875
907,907,907,2022-09-12,167.99916076660156,166.98483276367188,172.02122497558594
908,908,908,2022-09-13,161.72940063476562,164.869140625,172.03086853027344
909,909,909,2022-09-14,162.956298828125,163.7581329345703,167.97166442871094
910,910,910,2022-09-15,160.25132751464844,167.37123107910156,167.44386291503906
911,911,911,2022-09-16,161.30433654785156,166.81092834472656,166.0044403076172
912,912,912,2022-09-19,163.0045928955078,167.34225463867188,165.31353759765625
913,913,913,2022-09-20,163.18817138671875,167.99916076660156,166.98483276367188
914,914,914,2022-09-21,162.7244415283203,161.72940063476562,164.869140625
915,915,915,2022-09-22,162.8790283203125,162.956298828125,163.7581329345703
916,916,916,2022-09-23,162.80174255371094,160.25132751464844,167.37123107910156
917,917,917,2022-09-26,162.73411560058594,161.30433654785156,166.81092834472656
918,918,918,2022-09-27,160.37689208984375,163.0045928955078,167.34225463867188
919,919,919,2022-09-28,162.94664001464844,163.18817138671875,167.99916076660156
920,920,920,2022-09-29,160.95654296875,162.7244415283203,161.72940063476562
921,921,921,2022-09-30,157.72021484375,162.8790283203125,162.956298828125
922,922,922,2022-10-03,159.6427001953125,162.80174255371094,160.25132751464844
923,923,923,2022-10-04,161.43955993652344,162.73411560058594,161.30433654785156
924,924,924,2022-10-05,160.3672332763672,160.37689208984375,163.0045928955078
925,925,925,2022-10-06,157.2758331298828,162.94664001464844,163.18817138671875
926,926,926,2022-10-07,156.12619018554688,160.95654296875,162.7244415283203
927,927,927,2022-10-10,156.32908630371094,157.72021484375,162.8790283203125
928,928,928,2022-10-11,157.07293701171875,159.6427001953125,162.80174255371094
929,929,929,2022-10-12,163.6422119140625,161.43955993652344,162.73411560058594
930,930,930,2022-10-13,168.68508911132812,160.3672332763672,160.37689208984375
931,931,931,2022-10-14,164.4150848388672,157.2758331298828,162.94664001464844
932,932,932,2022-10-17,166.86886596679688,156.12619018554688,160.95654296875
933,933,933,2022-10-18,169.11981201171875,156.32908630371094,157.72021484375
934,934,934,2022-10-19,167.47750854492188,157.07293701171875,159.6427001953125
935,935,935,2022-10-20,165.64198303222656,163.6422119140625,161.43955993652344
936,936,936,2022-10-21,167.18768310546875,168.68508911132812,160.3672332763672
937,937,937,2022-10-24,171.65090942382812,164.4150848388672,157.2758331298828
938,938,938,2022-10-25,172.2209014892578,166.86886596679688,156.12619018554688
939,939,939,2022-10-26,172.99374389648438,169.11981201171875,156.32908630371094
940,940,940,2022-10-27,172.81019592285156,167.47750854492188,157.07293701171875
