,Unnamed: 0.1,Unnamed: 0,Date,MTCH,MTCH_6m,MTCH_12m
614,614,614,2021-07-14,161.52999877929688,161.24000549316406,161.99000549316406
615,615,615,2021-07-15,162.8300018310547,157.69000244140625,161.52999877929688
616,616,616,2021-07-16,161.1699981689453,158.25,162.27999877929688
617,617,617,2021-07-19,153.3300018310547,162.6300048828125,161.25
618,618,618,2021-07-20,153.77000427246094,162.83999633789062,159.47999572753906
619,619,619,2021-07-21,159.6999969482422,164.61000061035156,161.39999389648438
620,620,620,2021-07-22,160.5,161.52999877929688,161.24000549316406
621,621,621,2021-07-23,165.86000061035156,162.8300018310547,157.69000244140625
622,622,622,2021-07-26,164.22999572753906,161.1699981689453,158.25
623,623,623,2021-07-27,162.17999267578125,153.3300018310547,162.6300048828125
624,624,624,2021-07-28,163.6199951171875,153.77000427246094,162.83999633789062
625,625,625,2021-07-29,163.39999389648438,159.6999969482422,164.61000061035156
626,626,626,2021-07-30,159.27000427246094,160.5,161.52999877929688
627,627,627,2021-08-02,161.33999633789062,165.86000061035156,162.8300018310547
628,628,628,2021-08-03,158.47000122070312,164.22999572753906,161.1699981689453
629,629,629,2021-08-04,150.57000732421875,162.17999267578125,153.3300018310547
630,630,630,2021-08-05,146.4199981689453,163.6199951171875,153.77000427246094
631,631,631,2021-08-06,145.7899932861328,163.39999389648438,159.6999969482422
632,632,632,2021-08-09,141.1300048828125,159.27000427246094,160.5
633,633,633,2021-08-10,139.0,161.33999633789062,165.86000061035156
634,634,634,2021-08-11,140.4499969482422,158.47000122070312,164.22999572753906
635,635,635,2021-08-12,139.10000610351562,150.57000732421875,162.17999267578125
636,636,636,2021-08-13,136.25,146.4199981689453,163.6199951171875
637,637,637,2021-08-16,134.7100067138672,145.7899932861328,163.39999389648438
638,638,638,2021-08-17,130.97000122070312,141.1300048828125,159.27000427246094
639,639,639,2021-08-18,133.72999572753906,139.0,161.33999633789062
640,640,640,2021-08-19,133.5500030517578,140.4499969482422,158.47000122070312
641,641,641,2021-08-20,132.66000366210938,139.10000610351562,150.57000732421875
642,642,642,2021-08-23,136.52999877929688,136.25,146.4199981689453
643,643,643,2021-08-24,140.16000366210938,134.7100067138672,145.7899932861328
644,644,644,2021-08-25,136.92999267578125,130.97000122070312,141.1300048828125
645,645,645,2021-08-26,136.74000549316406,133.72999572753906,139.0
646,646,646,2021-08-27,141.0,133.5500030517578,140.4499969482422
647,647,647,2021-08-30,139.52999877929688,132.66000366210938,139.10000610351562
648,648,648,2021-08-31,137.44000244140625,136.52999877929688,136.25
649,649,649,2021-09-01,138.6199951171875,140.16000366210938,134.7100067138672
650,650,650,2021-09-02,147.11000061035156,136.92999267578125,130.97000122070312
651,651,651,2021-09-03,148.19000244140625,136.74000549316406,133.72999572753906
652,652,652,2021-09-07,159.36000061035156,141.0,133.5500030517578
653,653,653,2021-09-08,158.2899932861328,139.52999877929688,132.66000366210938
654,654,654,2021-09-09,157.7100067138672,137.44000244140625,136.52999877929688
655,655,655,2021-09-10,164.3800048828125,138.6199951171875,140.16000366210938
656,656,656,2021-09-13,162.00999450683594,147.11000061035156,136.92999267578125
657,657,657,2021-09-14,157.36000061035156,148.19000244140625,136.74000549316406
658,658,658,2021-09-15,158.88999938964844,159.36000061035156,141.0
659,659,659,2021-09-16,160.05999755859375,158.2899932861328,139.52999877929688
660,660,660,2021-09-17,157.13999938964844,157.7100067138672,137.44000244140625
661,661,661,2021-09-20,151.4600067138672,164.3800048828125,138.6199951171875
662,662,662,2021-09-21,151.9199981689453,162.00999450683594,147.11000061035156
663,663,663,2021-09-22,153.64999389648438,157.36000061035156,148.19000244140625
664,664,664,2021-09-23,154.77000427246094,158.88999938964844,159.36000061035156
665,665,665,2021-09-24,160.91000366210938,160.05999755859375,158.2899932861328
666,666,666,2021-09-27,164.63999938964844,157.13999938964844,157.7100067138672
667,667,667,2021-09-28,156.49000549316406,151.4600067138672,164.3800048828125
668,668,668,2021-09-29,152.3800048828125,151.9199981689453,162.00999450683594
669,669,669,2021-09-30,156.99000549316406,153.64999389648438,157.36000061035156
670,670,670,2021-10-01,158.6300048828125,154.77000427246094,158.88999938964844
671,671,671,2021-10-04,152.64999389648438,160.91000366210938,160.05999755859375
672,672,672,2021-10-05,154.5,164.63999938964844,157.13999938964844
673,673,673,2021-10-06,157.30999755859375,156.49000549316406,151.4600067138672
674,674,674,2021-10-07,159.92999267578125,152.3800048828125,151.9199981689453
675,675,675,2021-10-08,157.5399932861328,156.99000549316406,153.64999389648438
676,676,676,2021-10-11,155.63999938964844,158.6300048828125,154.77000427246094
677,677,677,2021-10-12,158.8000030517578,152.64999389648438,160.91000366210938
678,678,678,2021-10-13,158.9600067138672,154.5,164.63999938964844
679,679,679,2021-10-14,157.00999450683594,157.30999755859375,156.49000549316406
680,680,680,2021-10-15,160.02000427246094,159.92999267578125,152.3800048828125
681,681,681,2021-10-18,158.22999572753906,157.5399932861328,156.99000549316406
682,682,682,2021-10-19,160.69000244140625,155.63999938964844,158.6300048828125
683,683,683,2021-10-20,159.16000366210938,158.8000030517578,152.64999389648438
684,684,684,2021-10-21,175.52999877929688,158.9600067138672,154.5
685,685,685,2021-10-22,169.32000732421875,157.00999450683594,157.30999755859375
686,686,686,2021-10-25,167.64999389648438,160.02000427246094,159.92999267578125
687,687,687,2021-10-26,163.1999969482422,158.22999572753906,157.5399932861328
688,688,688,2021-10-27,158.4600067138672,160.69000244140625,155.63999938964844
689,689,689,2021-10-28,156.05999755859375,159.16000366210938,158.8000030517578
690,690,690,2021-10-29,150.77999877929688,175.52999877929688,158.9600067138672
691,691,691,2021-11-01,154.08999633789062,169.32000732421875,157.00999450683594
692,692,692,2021-11-02,148.5500030517578,167.64999389648438,160.02000427246094
693,693,693,2021-11-03,152.94000244140625,163.1999969482422,158.22999572753906
694,694,694,2021-11-04,156.97999572753906,158.4600067138672,160.69000244140625
695,695,695,2021-11-05,160.72999572753906,156.05999755859375,159.16000366210938
696,696,696,2021-11-08,155.91000366210938,150.77999877929688,175.52999877929688
697,697,697,2021-11-09,155.58999633789062,154.08999633789062,169.32000732421875
698,698,698,2021-11-10,154.0500030517578,148.5500030517578,167.64999389648438
699,699,699,2021-11-11,149.75,152.94000244140625,163.1999969482422
700,700,700,2021-11-12,146.9499969482422,156.97999572753906,158.4600067138672
701,701,701,2021-11-15,148.4199981689453,160.72999572753906,156.05999755859375
702,702,702,2021-11-16,146.75,155.91000366210938,150.77999877929688
703,703,703,2021-11-17,147.61000061035156,155.58999633789062,154.08999633789062
704,704,704,2021-11-18,142.38999938964844,154.0500030517578,148.5500030517578
705,705,705,2021-11-19,140.9499969482422,149.75,152.94000244140625
706,706,706,2021-11-22,137.00999450683594,146.9499969482422,156.97999572753906
707,707,707,2021-11-23,135.07000732421875,148.4199981689453,160.72999572753906
708,708,708,2021-11-24,137.41000366210938,146.75,155.91000366210938
709,709,709,2021-11-26,133.6699981689453,147.61000061035156,155.58999633789062
710,710,710,2021-11-29,134.0800018310547,142.38999938964844,154.0500030517578
711,711,711,2021-11-30,129.99000549316406,140.9499969482422,149.75
712,712,712,2021-12-01,127.4800033569336,137.00999450683594,146.9499969482422
713,713,713,2021-12-02,128.27999877929688,135.07000732421875,148.4199981689453
714,714,714,2021-12-03,126.19000244140624,137.41000366210938,146.75
715,715,715,2021-12-06,129.44000244140625,133.6699981689453,147.61000061035156
716,716,716,2021-12-07,134.4499969482422,134.0800018310547,142.38999938964844
717,717,717,2021-12-08,135.60000610351562,129.99000549316406,140.9499969482422
718,718,718,2021-12-09,132.2100067138672,127.4800033569336,137.00999450683594
719,719,719,2021-12-10,130.33999633789062,128.27999877929688,135.07000732421875
720,720,720,2021-12-13,126.1999969482422,126.19000244140624,137.41000366210938
721,721,721,2021-12-14,122.80999755859376,129.44000244140625,133.6699981689453
722,722,722,2021-12-15,123.80999755859376,134.4499969482422,134.0800018310547
723,723,723,2021-12-16,124.44000244140624,135.60000610351562,129.99000549316406
724,724,724,2021-12-17,126.6500015258789,132.2100067138672,127.4800033569336
725,725,725,2021-12-20,125.83999633789062,130.33999633789062,128.27999877929688
726,726,726,2021-12-21,131.49000549316406,126.1999969482422,126.19000244140624
727,727,727,2021-12-22,131.38999938964844,122.80999755859376,129.44000244140625
728,728,728,2021-12-23,133.44000244140625,123.80999755859376,134.4499969482422
729,729,729,2021-12-27,134.00999450683594,124.44000244140624,135.60000610351562
730,730,730,2021-12-28,132.94000244140625,126.6500015258789,132.2100067138672
731,731,731,2021-12-29,130.0,125.83999633789062,130.33999633789062
732,732,732,2021-12-30,133.1999969482422,131.49000549316406,126.1999969482422
733,733,733,2021-12-31,132.25,131.38999938964844,122.80999755859376
734,734,734,2022-01-03,134.22999572753906,133.44000244140625,123.80999755859376
735,735,735,2022-01-04,132.97000122070312,134.00999450683594,124.44000244140624
736,736,736,2022-01-05,125.5199966430664,132.94000244140625,126.6500015258789
737,737,737,2022-01-06,126.05999755859376,130.0,125.83999633789062
738,738,738,2022-01-07,125.2699966430664,133.1999969482422,131.49000549316406
739,739,739,2022-01-10,126.55999755859376,132.25,131.38999938964844
740,740,740,2022-01-11,126.0,134.22999572753906,133.44000244140625
741,741,741,2022-01-12,124.08000183105467,132.97000122070312,134.00999450683594
742,742,742,2022-01-13,123.1999969482422,125.5199966430664,132.94000244140625
