,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPWR,MPWR_6m,MPWR_12m,MPWR_6m_ret,MPWR_12m_ret
102,102,102,102,2019-07-02,131.82476806640625,122.80447387695312,121.7546157836914,0.07345248837180973,0.08270858741491516
103,103,103,103,2019-07-03,131.65081787109375,119.6741714477539,121.44640350341795,0.10007712005400005,0.08402401448955721
104,104,104,104,2019-07-05,132.48175048828125,124.01805877685548,125.6650848388672,0.06824563934397987,0.05424470654004376
105,105,105,105,2019-07-08,131.40931701660156,128.3271942138672,123.61354064941406,0.02401769026133138,0.06306571534341421
106,106,106,106,2019-07-09,134.04698181152344,131.18711853027344,125.5206069946289,0.021799878778418602,0.06792808783389148
107,107,107,107,2019-07-10,136.02760314941406,134.0276336669922,124.08548736572266,0.014922068141492772,0.0962410354120935
108,108,108,108,2019-07-11,135.9116668701172,131.82476806640625,122.80447387695312,0.0310025108608738,0.106732210801189
109,109,109,109,2019-07-12,138.47203063964844,131.65081787109375,119.6741714477539,0.05181291600659632,0.15707532347613617
110,110,110,110,2019-07-15,138.94541931152344,132.48175048828125,124.01805877685548,0.048789126045054365,0.12036441048901292
111,111,111,111,2019-07-16,138.27877807617188,131.40931701660156,128.3271942138672,0.05227529687794097,0.07754851902800586
112,112,112,112,2019-07-17,137.93096923828125,134.04698181152344,131.18711853027344,0.028974821918921645,0.05140634830279889
113,113,113,113,2019-07-18,140.99371337890625,136.02760314941406,134.0276336669922,0.03650810654979608,0.05197495114494166
114,114,114,114,2019-07-19,140.04685974121094,135.9116668701172,131.82476806640625,0.030425591609037683,0.06237137220421918
115,115,115,115,2019-07-22,140.39471435546875,138.47203063964844,131.65081787109375,0.013884996897487456,0.06641733508208514
116,116,116,116,2019-07-23,141.72802734375,138.94541931152344,132.48175048828125,0.02002662661363308,0.06979283426879723
117,117,117,117,2019-07-24,148.1240692138672,138.27877807617188,131.40931701660156,0.07119885838354723,0.12719609672085852
118,118,118,118,2019-07-25,144.84877014160156,137.93096923828125,134.04698181152344,0.05015408027307866,0.08058210773642016
119,119,119,119,2019-07-26,145.8729248046875,140.99371337890625,136.02760314941406,0.03460587928958847,0.07237738096773816
120,120,120,120,2019-07-29,145.476806640625,140.04685974121094,135.9116668701172,0.03877235740557072,0.07037762092674993
121,121,121,121,2019-07-30,145.80528259277344,140.39471435546875,138.47203063964844,0.038538261658523254,0.05295836219957395
122,122,122,122,2019-07-31,143.14830017089844,141.72802734375,138.94541931152344,0.010021114763022032,0.030248430500266377
123,123,123,123,2019-08-01,144.6844940185547,148.1240692138672,138.27877807617188,-0.02322090672749688,0.0463246496064218
124,124,124,124,2019-08-02,141.65072631835938,144.84877014160156,137.93096923828125,-0.022078501737473055,0.026968251587155212
125,125,125,125,2019-08-05,137.42855834960938,145.8729248046875,140.99371337890625,-0.05788851129422734,-0.025285914838740986
126,126,126,126,2019-08-06,140.3367462158203,145.476806640625,140.04685974121094,-0.035332507933737545,0.0020699248461910624
127,127,127,127,2019-08-07,141.34153747558594,145.80528259277344,140.39471435546875,-0.030614426568168374,0.006744008308745109
128,128,128,128,2019-08-08,147.2835235595703,143.14830017089844,141.72802734375,0.028887687689864494,0.03919828928646485
129,129,129,129,2019-08-09,144.14346313476562,144.6844940185547,148.1240692138672,-0.003739384012496072,-0.02687345885262049
130,130,130,130,2019-08-12,140.46237182617188,141.65072631835938,144.84877014160156,-0.0083893286188782,-0.030282606549863145
131,131,131,131,2019-08-13,146.0467987060547,137.42855834960938,145.8729248046875,0.06271069463248735,0.0011919545837584256
132,132,132,132,2019-08-14,139.1193389892578,140.3367462158203,145.476806640625,-0.00867489990604653,-0.043700901870029396
133,133,133,133,2019-08-15,140.2304229736328,141.34153747558594,145.80528259277344,-0.007861202883441498,-0.038234963233197194
134,134,134,134,2019-08-16,146.2497100830078,147.2835235595703,143.14830017089844,-0.007019206572311254,0.0216657124702615
135,135,135,135,2019-08-19,148.31732177734375,144.14346313476562,144.6844940185547,0.028956281136910178,0.025108618469669386
