,Unnamed: 0.1,Unnamed: 0,Date,DAL,DAL_6m,DAL_12m
212,212,212,2019-12-06,55.482566833496094,56.40167617797852,56.40167617797852
213,213,213,2019-12-09,55.14654922485352,56.63886260986328,55.01806640625
214,214,214,2019-12-10,54.87970733642578,56.08542251586914,54.66228866577149
215,215,215,2019-12-11,54.43498229980469,54.96865081787109,55.452919006347656
216,216,216,2019-12-12,56.026123046875,55.40350341796875,55.69010162353516
217,217,217,2019-12-13,56.06565856933594,55.2256088256836,56.787105560302734
218,218,218,2019-12-16,57.7358627319336,55.482566833496094,56.40167617797852
219,219,219,2019-12-17,58.00270462036133,55.14654922485352,56.63886260986328
220,220,220,2019-12-18,57.89399337768555,54.87970733642578,56.08542251586914
221,221,221,2019-12-19,58.44742965698242,54.43498229980469,54.96865081787109
222,222,222,2019-12-20,58.27942657470703,56.026123046875,55.40350341796875
223,223,223,2019-12-23,58.743919372558594,56.06565856933594,55.2256088256836
224,224,224,2019-12-24,58.69450378417969,57.7358627319336,55.482566833496094
225,225,225,2019-12-26,58.86251831054688,58.00270462036133,55.14654922485352
226,226,226,2019-12-27,58.38813400268555,57.89399337768555,54.87970733642578
227,227,227,2019-12-30,57.973052978515625,58.44742965698242,54.43498229980469
228,228,228,2019-12-31,57.79516220092773,58.27942657470703,56.026123046875
229,229,229,2020-01-02,58.34860229492188,58.743919372558594,56.06565856933594
230,230,230,2020-01-03,57.38008499145508,58.69450378417969,57.7358627319336
231,231,231,2020-01-06,56.98476791381836,58.86251831054688,58.00270462036133
232,232,232,2020-01-07,56.93534851074219,58.38813400268555,57.89399337768555
233,233,233,2020-01-08,58.16082763671875,57.973052978515625,58.44742965698242
234,234,234,2020-01-09,58.26953887939453,57.79516220092773,58.27942657470703
235,235,235,2020-01-10,58.54626083374024,58.34860229492188,58.743919372558594
236,236,236,2020-01-13,58.7933349609375,57.38008499145508,58.69450378417969
237,237,237,2020-01-14,60.73038101196289,56.98476791381836,58.86251831054688
238,238,238,2020-01-15,60.89839172363281,56.93534851074219,58.38813400268555
239,239,239,2020-01-16,61.15534973144531,58.16082763671875,57.973052978515625
240,240,240,2020-01-17,61.30358505249024,58.26953887939453,57.79516220092773
241,241,241,2020-01-21,59.63338088989258,58.54626083374024,58.34860229492188
242,242,242,2020-01-22,58.94157791137695,58.7933349609375,57.38008499145508
243,243,243,2020-01-23,59.5641975402832,60.73038101196289,56.98476791381836
