,Unnamed: 0.1,Unnamed: 0,Date,J,J_6m,J_12m
434,434,434,2020-10-23,97.02296447753906,97.17945098876952,95.18441009521484
435,435,435,2020-10-26,94.4118423461914,97.14031982421876,96.8078384399414
436,436,436,2020-10-27,93.53168487548828,95.57560729980467,97.13054656982422
437,437,437,2020-10-28,91.1454620361328,95.80052947998048,98.55836486816406
438,438,438,2020-10-29,92.64173126220705,95.50714111328124,97.09143829345705
439,439,439,2020-10-30,92.90579223632812,96.3579559326172,96.72959899902344
440,440,440,2020-11-02,96.93498229980467,97.02296447753906,97.17945098876952
441,441,441,2020-11-03,99.69279479980467,94.4118423461914,97.14031982421876
442,442,442,2020-11-04,93.54146575927734,93.53168487548828,95.57560729980467
443,443,443,2020-11-05,95.6049346923828,91.1454620361328,95.80052947998048
444,444,444,2020-11-06,95.45823669433594,92.64173126220705,95.50714111328124
445,445,445,2020-11-09,97.92269134521484,92.90579223632812,96.3579559326172
446,446,446,2020-11-10,99.37006378173828,96.93498229980467,97.02296447753906
447,447,447,2020-11-11,96.67091369628906,99.69279479980467,94.4118423461914
448,448,448,2020-11-12,97.0718765258789,93.54146575927734,93.53168487548828
449,449,449,2020-11-13,100.99347686767578,95.6049346923828,91.1454620361328
450,450,450,2020-11-16,104.84660339355467,95.45823669433594,92.64173126220705
451,451,451,2020-11-17,102.97872161865234,97.92269134521484,92.90579223632812
452,452,452,2020-11-18,102.92005157470705,99.37006378173828,96.93498229980467
453,453,453,2020-11-19,102.83202362060548,96.67091369628906,99.69279479980467
454,454,454,2020-11-20,101.51177978515624,97.0718765258789,93.54146575927734
455,455,455,2020-11-23,102.20614624023438,100.99347686767578,95.6049346923828
456,456,456,2020-11-24,105.15956115722656,104.84660339355467,95.45823669433594
457,457,457,2020-11-25,104.00557708740234,102.97872161865234,97.92269134521484
458,458,458,2020-11-27,103.5263900756836,102.92005157470705,99.37006378173828
459,459,459,2020-11-30,105.46271514892578,102.83202362060548,96.67091369628906
460,460,460,2020-12-01,106.33311462402344,101.51177978515624,97.0718765258789
461,461,461,2020-12-02,104.53367614746094,102.20614624023438,100.99347686767578
462,462,462,2020-12-03,105.41383361816406,105.15956115722656,104.84660339355467
463,463,463,2020-12-04,106.55804443359376,104.00557708740234,102.97872161865234
464,464,464,2020-12-07,107.42842864990234,103.5263900756836,102.92005157470705
465,465,465,2020-12-08,107.18392944335938,105.46271514892578,102.83202362060548
466,466,466,2020-12-09,107.2817153930664,106.33311462402344,101.51177978515624
467,467,467,2020-12-10,106.31355285644533,104.53367614746094,102.20614624023438
468,468,468,2020-12-11,106.25487518310548,105.41383361816406,105.15956115722656
469,469,469,2020-12-14,102.93960571289062,106.55804443359376,104.00557708740234
470,470,470,2020-12-15,103.57527160644533,107.42842864990234,103.5263900756836
471,471,471,2020-12-16,103.8882293701172,107.18392944335938,105.46271514892578
472,472,472,2020-12-17,104.64124298095705,107.2817153930664,106.33311462402344
473,473,473,2020-12-18,104.23049926757812,106.31355285644533,104.53367614746094
474,474,474,2020-12-21,104.3087387084961,106.25487518310548,105.41383361816406
475,475,475,2020-12-22,103.77088928222656,102.93960571289062,106.55804443359376
476,476,476,2020-12-23,104.49456024169922,103.57527160644533,107.42842864990234
477,477,477,2020-12-24,104.9150848388672,103.8882293701172,107.18392944335938
478,478,478,2020-12-28,104.46520233154295,104.64124298095705,107.2817153930664
479,479,479,2020-12-29,104.8661651611328,104.23049926757812,106.31355285644533
480,480,480,2020-12-30,105.12043762207033,104.3087387084961,106.25487518310548
481,481,481,2020-12-31,106.55804443359376,103.77088928222656,102.93960571289062
482,482,482,2021-01-04,103.77088928222656,104.49456024169922,103.57527160644533
483,483,483,2021-01-05,104.79772186279295,104.9150848388672,103.8882293701172
484,484,484,2021-01-06,112.2301788330078,104.46520233154295,104.64124298095705
485,485,485,2021-01-07,112.2888641357422,104.8661651611328,104.23049926757812
486,486,486,2021-01-08,111.01751708984376,105.12043762207033,104.3087387084961
487,487,487,2021-01-11,110.51876831054688,106.55804443359376,103.77088928222656
488,488,488,2021-01-12,111.07620239257812,103.77088928222656,104.49456024169922
489,489,489,2021-01-13,110.2840576171875,104.79772186279295,104.9150848388672
490,490,490,2021-01-14,109.52124786376952,112.2301788330078,104.46520233154295
491,491,491,2021-01-15,107.76092529296876,112.2888641357422,104.8661651611328
492,492,492,2021-01-19,109.22786712646484,111.01751708984376,105.12043762207033
493,493,493,2021-01-20,109.52124786376952,110.51876831054688,106.55804443359376
494,494,494,2021-01-21,108.67042541503906,111.07620239257812,103.77088928222656
495,495,495,2021-01-22,108.56285858154295,110.2840576171875,104.79772186279295
496,496,496,2021-01-25,107.85871887207033,109.52124786376952,112.2301788330078
497,497,497,2021-01-26,106.4113540649414,107.76092529296876,112.2888641357422
498,498,498,2021-01-27,102.19636535644533,109.22786712646484,111.01751708984376
499,499,499,2021-01-28,102.32349395751952,109.52124786376952,110.51876831054688
500,500,500,2021-01-29,98.7343978881836,108.67042541503906,111.07620239257812
501,501,501,2021-02-01,99.4189682006836,108.56285858154295,110.2840576171875
502,502,502,2021-02-02,103.22320556640624,107.85871887207033,109.52124786376952
503,503,503,2021-02-03,103.75130462646484,106.4113540649414,107.76092529296876
504,504,504,2021-02-04,105.37470245361328,102.19636535644533,109.22786712646484
505,505,505,2021-02-05,105.08132934570312,102.32349395751952,109.52124786376952
506,506,506,2021-02-08,106.72429656982422,98.7343978881836,108.67042541503906
507,507,507,2021-02-09,109.57015228271484,99.4189682006836,108.56285858154295
508,508,508,2021-02-10,108.26947021484376,103.22320556640624,107.85871887207033
509,509,509,2021-02-11,112.46488189697266,103.75130462646484,106.4113540649414
510,510,510,2021-02-12,112.36710357666016,105.37470245361328,102.19636535644533
511,511,511,2021-02-16,110.73391723632812,105.08132934570312,102.32349395751952
512,512,512,2021-02-17,110.32315826416016,106.72429656982422,98.7343978881836
513,513,513,2021-02-18,110.02978515625,109.57015228271484,99.4189682006836
514,514,514,2021-02-19,109.93199157714844,108.26947021484376,103.22320556640624
515,515,515,2021-02-22,113.19835662841795,112.46488189697266,103.75130462646484
516,516,516,2021-02-23,113.66777801513672,112.36710357666016,105.37470245361328
517,517,517,2021-02-24,117.11018371582033,110.73391723632812,105.08132934570312
518,518,518,2021-02-25,115.3075714111328,110.32315826416016,106.72429656982422
519,519,519,2021-02-26,112.74082946777344,110.02978515625,109.57015228271484
520,520,520,2021-03-01,112.83880615234376,109.93199157714844,108.26947021484376
521,521,521,2021-03-02,112.22161865234376,113.19835662841795,112.46488189697266
522,522,522,2021-03-03,112.73102569580078,113.66777801513672,112.36710357666016
523,523,523,2021-03-04,110.5855484008789,117.11018371582033,110.73391723632812
524,524,524,2021-03-05,113.17189025878906,115.3075714111328,110.32315826416016
525,525,525,2021-03-08,115.84639739990234,112.74082946777344,110.02978515625
526,526,526,2021-03-09,119.17729949951172,112.83880615234376,109.93199157714844
527,527,527,2021-03-10,122.21428680419922,112.22161865234376,113.19835662841795
528,528,528,2021-03-11,122.5179672241211,112.73102569580078,113.66777801513672
529,529,529,2021-03-12,123.8895263671875,110.5855484008789,117.11018371582033
530,530,530,2021-03-15,123.32130432128906,113.17189025878906,115.3075714111328
531,531,531,2021-03-16,121.99874877929688,115.84639739990234,112.74082946777344
532,532,532,2021-03-17,122.7726821899414,119.17729949951172,112.83880615234376
533,533,533,2021-03-18,122.08692932128906,122.21428680419922,112.22161865234376
534,534,534,2021-03-19,120.86231994628906,122.5179672241211,112.73102569580078
535,535,535,2021-03-22,120.6859893798828,123.8895263671875,110.5855484008789
536,536,536,2021-03-23,119.3242416381836,123.32130432128906,113.17189025878906
537,537,537,2021-03-24,120.79375457763672,121.99874877929688,115.84639739990234
538,538,538,2021-03-25,123.58582305908205,122.7726821899414,119.17729949951172
539,539,539,2021-03-26,126.00559997558594,122.08692932128906,122.21428680419922
540,540,540,2021-03-29,124.78102111816406,120.86231994628906,122.5179672241211
541,541,541,2021-03-30,125.5255889892578,120.6859893798828,123.8895263671875
542,542,542,2021-03-31,126.64241027832033,119.3242416381836,123.32130432128906
543,543,543,2021-04-01,127.30856323242188,120.79375457763672,121.99874877929688
544,544,544,2021-04-05,129.9830780029297,123.58582305908205,122.7726821899414
