,Unnamed: 0.1,Unnamed: 0,Date,HAS,HAS_6m,HAS_12m
665,665,665,2021-09-24,84.87743377685547,88.75143432617188,88.18517303466797
666,666,666,2021-09-27,84.55384826660156,87.6638412475586,88.12224578857422
667,667,667,2021-09-28,83.16065216064453,85.92906188964844,88.10426330566406
668,668,668,2021-09-29,82.90896606445312,83.46626281738281,87.69080352783203
669,669,669,2021-09-30,80.1944808959961,84.76958465576172,87.61890411376953
670,670,670,2021-10-01,80.07762908935547,85.07518005371094,88.62560272216797
671,671,671,2021-10-04,77.88446044921875,84.87743377685547,88.75143432617188
672,672,672,2021-10-05,78.30693054199219,84.55384826660156,87.6638412475586
673,673,673,2021-10-06,79.01700592041016,83.16065216064453,85.92906188964844
674,674,674,2021-10-07,80.275390625,82.90896606445312,83.46626281738281
675,675,675,2021-10-08,80.89557647705078,80.1944808959961,84.76958465576172
676,676,676,2021-10-11,79.58326721191406,80.07762908935547,85.07518005371094
677,677,677,2021-10-12,79.14283752441406,77.88446044921875,84.87743377685547
678,678,678,2021-10-13,79.3226089477539,78.30693054199219,84.55384826660156
679,679,679,2021-10-14,82.10900115966797,79.01700592041016,83.16065216064453
680,680,680,2021-10-15,83.11570739746094,80.275390625,82.90896606445312
681,681,681,2021-10-18,83.25053405761719,80.89557647705078,80.1944808959961
682,682,682,2021-10-19,83.8527603149414,79.58326721191406,80.07762908935547
683,683,683,2021-10-20,81.81238555908203,79.14283752441406,77.88446044921875
684,684,684,2021-10-21,83.10671997070312,79.3226089477539,78.30693054199219
685,685,685,2021-10-22,80.4461441040039,82.10900115966797,79.01700592041016
686,686,686,2021-10-25,79.54730987548828,83.11570739746094,80.275390625
687,687,687,2021-10-26,82.11800384521484,83.25053405761719,80.89557647705078
688,688,688,2021-10-27,85.03022766113281,83.8527603149414,79.58326721191406
689,689,689,2021-10-28,86.81891632080078,81.81238555908203,79.14283752441406
690,690,690,2021-10-29,86.68315124511719,83.10671997070312,79.3226089477539
691,691,691,2021-11-01,85.94991302490234,80.4461441040039,82.10900115966797
692,692,692,2021-11-02,84.59210205078125,79.54730987548828,83.11570739746094
693,693,693,2021-11-03,84.68263244628906,82.11800384521484,83.25053405761719
694,694,694,2021-11-04,85.83226013183594,85.03022766113281,83.8527603149414
695,695,695,2021-11-05,86.90039825439453,86.81891632080078,81.81238555908203
696,696,696,2021-11-08,87.98664093017578,86.68315124511719,83.10671997070312
697,697,697,2021-11-09,88.38494873046875,85.94991302490234,80.4461441040039
698,698,698,2021-11-10,88.39400482177734,84.59210205078125,79.54730987548828
699,699,699,2021-11-11,88.90997314453125,84.68263244628906,82.11800384521484
700,700,700,2021-11-12,88.8918685913086,85.83226013183594,85.03022766113281
701,701,701,2021-11-15,89.69750213623047,86.90039825439453,86.81891632080078
702,702,702,2021-11-16,89.9962158203125,87.98664093017578,86.68315124511719
703,703,703,2021-11-17,91.1639404296875,88.38494873046875,85.94991302490234
704,704,704,2021-11-18,90.36737823486328,88.39400482177734,84.59210205078125
705,705,705,2021-11-19,90.95575714111328,88.90997314453125,84.68263244628906
706,706,706,2021-11-22,90.91049194335938,88.8918685913086,85.83226013183594
707,707,707,2021-11-23,90.06864929199219,89.69750213623047,86.90039825439453
708,708,708,2021-11-24,89.9962158203125,89.9962158203125,87.98664093017578
709,709,709,2021-11-26,89.3897476196289,91.1639404296875,88.38494873046875
710,710,710,2021-11-29,89.73372650146484,90.36737823486328,88.39400482177734
711,711,711,2021-11-30,87.7241439819336,90.95575714111328,88.90997314453125
712,712,712,2021-12-01,87.49784088134766,90.91049194335938,88.8918685913086
713,713,713,2021-12-02,89.31731414794922,90.06864929199219,89.69750213623047
714,714,714,2021-12-03,89.04576110839844,89.9962158203125,89.9962158203125
715,715,715,2021-12-06,89.27206420898438,89.3897476196289,91.1639404296875
716,716,716,2021-12-07,90.62081909179688,89.73372650146484,90.36737823486328
717,717,717,2021-12-08,91.36309051513672,87.7241439819336,90.95575714111328
718,718,718,2021-12-09,90.89238739013672,87.49784088134766,90.91049194335938
719,719,719,2021-12-10,91.26351928710938,89.31731414794922,90.06864929199219
720,720,720,2021-12-13,91.04627227783205,89.04576110839844,89.9962158203125
721,721,721,2021-12-14,90.8833465576172,89.27206420898438,89.3897476196289
722,722,722,2021-12-15,91.78853607177734,90.62081909179688,89.73372650146484
723,723,723,2021-12-16,91.64372253417967,91.36309051513672,87.7241439819336
724,724,724,2021-12-17,89.48023986816406,90.89238739013672,87.49784088134766
725,725,725,2021-12-20,86.87323760986328,91.26351928710938,89.31731414794922
726,726,726,2021-12-21,87.37110137939453,91.04627227783205,89.04576110839844
727,727,727,2021-12-22,87.46163940429688,90.8833465576172,89.27206420898438
728,728,728,2021-12-23,88.6384048461914,91.78853607177734,90.62081909179688
729,729,729,2021-12-27,89.91476440429688,91.64372253417967,91.36309051513672
730,730,730,2021-12-28,89.37162780761719,89.48023986816406,90.89238739013672
731,731,731,2021-12-29,90.07770538330078,86.87323760986328,91.26351928710938
732,732,732,2021-12-30,91.44457244873048,87.37110137939453,91.04627227783205
733,733,733,2021-12-31,92.1325225830078,87.46163940429688,90.8833465576172
734,734,734,2022-01-03,92.48556518554688,88.6384048461914,91.78853607177734
735,735,735,2022-01-04,94.0696792602539,89.91476440429688,91.64372253417967
736,736,736,2022-01-05,93.52655029296876,89.37162780761719,89.48023986816406
737,737,737,2022-01-06,93.37267303466795,90.07770538330078,86.87323760986328
738,738,738,2022-01-07,93.0377426147461,91.44457244873048,87.37110137939453
739,739,739,2022-01-10,91.78853607177734,92.1325225830078,87.46163940429688
740,740,740,2022-01-11,91.65276336669922,92.48556518554688,88.6384048461914
741,741,741,2022-01-12,92.97438049316406,94.0696792602539,89.91476440429688
742,742,742,2022-01-13,92.34977722167967,93.52655029296876,89.37162780761719
743,743,743,2022-01-14,90.62987518310548,93.37267303466795,90.07770538330078
744,744,744,2022-01-18,90.6389389038086,93.0377426147461,91.44457244873048
745,745,745,2022-01-19,89.73372650146484,91.78853607177734,92.1325225830078
746,746,746,2022-01-20,88.84661102294922,91.65276336669922,92.48556518554688
747,747,747,2022-01-21,86.8279800415039,92.97438049316406,94.0696792602539
748,748,748,2022-01-24,88.1767578125,92.34977722167967,93.52655029296876
749,749,749,2022-01-25,86.52020263671875,90.62987518310548,93.37267303466795
750,750,750,2022-01-26,81.2790298461914,90.6389389038086,93.0377426147461
751,751,751,2022-01-27,80.08414459228516,89.73372650146484,91.78853607177734
752,752,752,2022-01-28,81.44194793701172,88.84661102294922,91.65276336669922
753,753,753,2022-01-31,84.3515853881836,86.8279800415039,92.97438049316406
754,754,754,2022-02-01,86.22139739990234,88.1767578125,92.34977722167967
755,755,755,2022-02-02,87.13350677490234,86.52020263671875,90.62987518310548
756,756,756,2022-02-03,85.53732299804688,81.2790298461914,90.6389389038086
757,757,757,2022-02-04,85.66502380371094,80.08414459228516,89.73372650146484
758,758,758,2022-02-07,84.82588195800781,81.44194793701172,88.84661102294922
759,759,759,2022-02-08,84.17828369140625,84.3515853881836,86.8279800415039
760,760,760,2022-02-09,87.77198791503906,86.22139739990234,88.1767578125
761,761,761,2022-02-10,86.58625030517578,87.13350677490234,86.52020263671875
762,762,762,2022-02-11,86.09371185302734,85.53732299804688,81.2790298461914
763,763,763,2022-02-14,86.2487564086914,85.66502380371094,80.08414459228516
764,764,764,2022-02-15,87.97264862060547,84.82588195800781,81.44194793701172
765,765,765,2022-02-16,88.51079559326172,84.17828369140625,84.3515853881836
766,766,766,2022-02-17,90.37149810791016,87.77198791503906,86.22139739990234
767,767,767,2022-02-18,89.36817169189453,86.58625030517578,87.13350677490234
768,768,768,2022-02-22,85.92952728271484,86.09371185302734,85.53732299804688
769,769,769,2022-02-23,84.04147338867188,86.2487564086914,85.66502380371094
770,770,770,2022-02-24,84.99005889892578,87.97264862060547,84.82588195800781
771,771,771,2022-02-25,88.20979309082031,88.51079559326172,84.17828369140625
772,772,772,2022-02-28,88.51991271972656,90.37149810791016,87.77198791503906
773,773,773,2022-03-01,86.48592376708984,89.36817169189453,86.58625030517578
774,774,774,2022-03-02,88.26451110839844,85.92952728271484,86.09371185302734
775,775,775,2022-03-03,85.91129302978516,84.04147338867188,86.2487564086914
776,776,776,2022-03-04,84.32421112060547,84.99005889892578,87.97264862060547
777,777,777,2022-03-07,81.29602813720703,88.20979309082031,88.51079559326172
778,778,778,2022-03-08,80.3474349975586,88.51991271972656,90.37149810791016
779,779,779,2022-03-09,82.02571868896484,86.48592376708984,89.36817169189453
780,780,780,2022-03-10,81.16834259033203,88.26451110839844,85.92952728271484
781,781,781,2022-03-11,78.86981964111328,85.91129302978516,84.04147338867188
782,782,782,2022-03-14,79.20731353759766,84.32421112060547,84.99005889892578
783,783,783,2022-03-15,80.2835922241211,81.29602813720703,88.20979309082031
784,784,784,2022-03-16,82.04395294189453,80.3474349975586,88.51991271972656
785,785,785,2022-03-17,81.78857421875,82.02571868896484,86.48592376708984
786,786,786,2022-03-18,81.47845458984375,81.16834259033203,88.26451110839844
787,787,787,2022-03-21,81.54230499267578,78.86981964111328,85.91129302978516
788,788,788,2022-03-22,81.33251190185547,79.20731353759766,84.32421112060547
789,789,789,2022-03-23,77.63848876953125,80.2835922241211,81.29602813720703
790,790,790,2022-03-24,77.9850845336914,82.04395294189453,80.3474349975586
791,791,791,2022-03-25,77.41957092285156,81.78857421875,82.02571868896484
792,792,792,2022-03-28,76.46186828613281,81.47845458984375,81.16834259033203
793,793,793,2022-03-29,78.84246826171875,81.54230499267578,78.86981964111328
794,794,794,2022-03-30,77.0729751586914,81.33251190185547,79.20731353759766
795,795,795,2022-03-31,74.7197494506836,77.63848876953125,80.2835922241211
796,796,796,2022-04-01,77.02737426757812,77.9850845336914,82.04395294189453
797,797,797,2022-04-04,77.63848876953125,77.41957092285156,81.78857421875
798,798,798,2022-04-05,77.57464599609375,76.46186828613281,81.47845458984375
799,799,799,2022-04-06,77.93036651611328,78.84246826171875,81.54230499267578
800,800,800,2022-04-07,77.23716735839844,77.0729751586914,81.33251190185547
801,801,801,2022-04-08,76.94528198242188,74.7197494506836,77.63848876953125
802,802,802,2022-04-11,76.25208282470703,77.02737426757812,77.9850845336914
803,803,803,2022-04-12,75.48592376708984,77.63848876953125,77.41957092285156
804,804,804,2022-04-13,76.43450927734375,77.57464599609375,76.46186828613281
805,805,805,2022-04-14,77.72969818115234,77.93036651611328,78.84246826171875
806,806,806,2022-04-18,76.18822479248047,77.23716735839844,77.0729751586914
807,807,807,2022-04-19,80.11941528320312,76.94528198242188,74.7197494506836
808,808,808,2022-04-20,80.89470672607422,76.25208282470703,77.02737426757812
809,809,809,2022-04-21,80.67579650878906,75.48592376708984,77.63848876953125
810,810,810,2022-04-22,80.20149993896484,76.43450927734375,77.57464599609375
811,811,811,2022-04-25,81.66998291015625,77.72969818115234,77.93036651611328
812,812,812,2022-04-26,80.50249481201172,76.18822479248047,77.23716735839844
813,813,813,2022-04-27,82.63682556152344,80.11941528320312,76.94528198242188
814,814,814,2022-04-28,82.5091323852539,80.89470672607422,76.25208282470703
815,815,815,2022-04-29,80.94644927978516,80.67579650878906,75.48592376708984
816,816,816,2022-05-02,82.42640686035156,80.20149993896484,76.43450927734375
817,817,817,2022-05-03,84.72444915771484,81.66998291015625,77.72969818115234
818,818,818,2022-05-04,86.54450225830078,80.50249481201172,76.18822479248047
819,819,819,2022-05-05,84.64171600341797,82.63682556152344,80.11941528320312
820,820,820,2022-05-06,84.49464416503906,82.5091323852539,80.89470672607422
821,821,821,2022-05-09,81.35091400146484,80.94644927978516,80.67579650878906
822,822,822,2022-05-10,81.46121978759766,82.42640686035156,80.20149993896484
823,823,823,2022-05-11,80.51441955566406,84.72444915771484,81.66998291015625
824,824,824,2022-05-12,82.2793197631836,86.54450225830078,80.50249481201172
825,825,825,2022-05-13,84.66010284423828,84.64171600341797,82.63682556152344
826,826,826,2022-05-16,83.83280944824219,84.49464416503906,82.5091323852539
827,827,827,2022-05-17,85.08293914794922,81.35091400146484,80.94644927978516
828,828,828,2022-05-18,83.40077209472656,81.46121978759766,82.42640686035156
829,829,829,2022-05-19,79.75148010253906,80.51441955566406,84.72444915771484
830,830,830,2022-05-20,77.85787200927734,82.2793197631836,86.54450225830078
831,831,831,2022-05-23,78.09687042236328,84.66010284423828,84.64171600341797
832,832,832,2022-05-24,75.01749420166016,83.83280944824219,84.49464416503906
833,833,833,2022-05-25,76.81916046142578,85.08293914794922,81.35091400146484
834,834,834,2022-05-26,79.0436782836914,83.40077209472656,81.46121978759766
835,835,835,2022-05-27,80.04563903808594,79.75148010253906,80.51441955566406
836,836,836,2022-05-31,82.49994659423828,77.85787200927734,82.2793197631836
837,837,837,2022-06-01,82.22417449951172,78.09687042236328,84.66010284423828
838,838,838,2022-06-02,82.6102523803711,75.01749420166016,83.83280944824219
839,839,839,2022-06-03,81.61748504638672,76.81916046142578,85.08293914794922
840,840,840,2022-06-06,81.4152603149414,79.0436782836914,83.40077209472656
841,841,841,2022-06-07,81.64505767822266,80.04563903808594,79.75148010253906
