,Unnamed: 0,Date,GS
489,489,2021-01-13,281.1502380371094
490,490,2021-01-14,285.72564697265625
491,491,2021-01-15,279.3591613769531
492,492,2021-01-19,273.0389404296875
493,493,2021-01-20,269.5772705078125
494,494,2021-01-21,268.5563049316406
495,495,2021-01-22,268.5749206542969
496,496,2021-01-25,262.6816101074219
497,497,2021-01-26,261.49371337890625
498,498,2021-01-27,253.67002868652344
499,499,2021-01-28,255.23846435546875
500,500,2021-01-29,251.66542053222656
501,501,2021-02-01,254.96945190429688
502,502,2021-02-02,266.3289794921875
503,503,2021-02-03,267.7952880859375
504,504,2021-02-04,272.6212463378906
505,505,2021-02-05,272.3893127441406
506,506,2021-02-08,278.5609436035156
507,507,2021-02-09,278.8486328125
508,508,2021-02-10,282.3938903808594
509,509,2021-02-11,280.5748291015625
510,510,2021-02-12,284.2872314453125
511,511,2021-02-16,289.521484375
512,512,2021-02-17,290.2453918457031
513,513,2021-02-18,287.60968017578125
514,514,2021-02-19,292.918212890625
515,515,2021-02-22,294.0782775878906
516,516,2021-02-23,296.25
517,517,2021-02-24,306.8578796386719
518,518,2021-02-25,304.1850280761719
519,519,2021-02-26,296.5006408691406
520,520,2021-03-01,307.39239501953125
521,521,2021-03-02,308.3428039550781
522,522,2021-03-03,311.5945129394531
523,523,2021-03-04,306.805419921875
524,524,2021-03-05,305.0165100097656
525,525,2021-03-08,311.3708801269531
526,526,2021-03-09,308.0166320800781
527,527,2021-03-10,318.6661682128906
528,528,2021-03-11,318.7407531738281
529,529,2021-03-12,324.9925537109375
530,530,2021-03-15,322.4209899902344
531,531,2021-03-16,318.3773803710937
532,532,2021-03-17,321.3961181640625
533,533,2021-03-18,324.23785400390625
534,534,2021-03-19,320.6973876953125
535,535,2021-03-22,316.15985107421875
536,536,2021-03-23,309.1160888671875
537,537,2021-03-24,306.2090759277344
538,538,2021-03-25,307.9794311523437
539,539,2021-03-26,305.03515625
540,540,2021-03-29,303.488525390625
541,541,2021-03-30,309.3397216796875
542,542,2021-03-31,304.6717224121094
543,543,2021-04-01,305.26806640625
544,544,2021-04-05,301.44805908203125
545,545,2021-04-06,304.7276611328125
