,Date,SPG
276,2020-03-10 00:00:00-04:00,89.39083099365234
277,2020-03-11 00:00:00-04:00,81.41752624511719
278,2020-03-12 00:00:00-04:00,66.9709243774414
279,2020-03-13 00:00:00-04:00,72.00837707519531
280,2020-03-16 00:00:00-04:00,52.77299880981445
281,2020-03-17 00:00:00-04:00,47.21414566040039
282,2020-03-18 00:00:00-04:00,36.032264709472656
283,2020-03-19 00:00:00-04:00,44.71146011352539
284,2020-03-20 00:00:00-04:00,38.61517333984375
285,2020-03-23 00:00:00-04:00,40.23549270629883
286,2020-03-24 00:00:00-04:00,43.90128707885742
287,2020-03-25 00:00:00-04:00,50.00559616088867
288,2020-03-26 00:00:00-04:00,49.81309127807617
289,2020-03-27 00:00:00-04:00,46.66065979003906
290,2020-03-30 00:00:00-04:00,45.136592864990234
291,2020-03-31 00:00:00-04:00,44.00556945800781
292,2020-04-01 00:00:00-04:00,37.732810974121094
293,2020-04-02 00:00:00-04:00,35.30231475830078
294,2020-04-03 00:00:00-04:00,37.47612762451172
295,2020-04-06 00:00:00-04:00,43.363861083984375
296,2020-04-07 00:00:00-04:00,48.834476470947266
297,2020-04-08 00:00:00-04:00,50.462825775146484
298,2020-04-09 00:00:00-04:00,54.68208694458008
299,2020-04-13 00:00:00-04:00,52.37994384765625
300,2020-04-14 00:00:00-04:00,54.34519577026367
301,2020-04-15 00:00:00-04:00,49.107200622558594
302,2020-04-16 00:00:00-04:00,42.59379577636719
303,2020-04-17 00:00:00-04:00,45.016273498535156
304,2020-04-20 00:00:00-04:00,43.17936325073242
305,2020-04-21 00:00:00-04:00,42.96279525756836
306,2020-04-22 00:00:00-04:00,42.0804328918457
307,2020-04-23 00:00:00-04:00,42.63390350341797
308,2020-04-24 00:00:00-04:00,41.3023567199707
309,2020-04-27 00:00:00-04:00,45.87455749511719
310,2020-04-28 00:00:00-04:00,50.79972457885742
311,2020-04-29 00:00:00-04:00,55.18744659423828
312,2020-04-30 00:00:00-04:00,53.55909729003906
313,2020-05-01 00:00:00-04:00,50.6954460144043
314,2020-05-04 00:00:00-04:00,50.54303741455078
315,2020-05-05 00:00:00-04:00,48.56976318359375
316,2020-05-06 00:00:00-04:00,44.71146011352539
317,2020-05-07 00:00:00-04:00,45.72216033935547
318,2020-05-08 00:00:00-04:00,46.54034423828125
319,2020-05-11 00:00:00-04:00,44.182044982910156
320,2020-05-12 00:00:00-04:00,43.7488899230957
321,2020-05-13 00:00:00-04:00,41.04566192626953
322,2020-05-14 00:00:00-04:00,41.35048294067383
323,2020-05-15 00:00:00-04:00,41.165985107421875
324,2020-05-18 00:00:00-04:00,45.64997482299805
325,2020-05-19 00:00:00-04:00,45.61787796020508
326,2020-05-20 00:00:00-04:00,44.65530776977539
327,2020-05-21 00:00:00-04:00,44.92000961303711
328,2020-05-22 00:00:00-04:00,43.78899002075195
329,2020-05-26 00:00:00-04:00,47.52698516845703
330,2020-05-27 00:00:00-04:00,50.687416076660156
