,Unnamed: 0.1,Unnamed: 0,Date,TFX,TFX_6m,TFX_12m
102,102,102,2019-07-02,325.2243347167969,326.0178527832031,313.7138061523437
103,103,103,2019-07-03,326.5076904296875,329.2800598144531,318.8960876464844
104,104,104,2019-07-05,327.3403015136719,320.2772521972656,324.8423156738281
105,105,105,2019-07-08,325.9493103027344,321.0708312988281,326.8505249023437
106,106,106,2019-07-09,328.506103515625,324.4014892578125,328.016357421875
107,107,107,2019-07-10,325.1361694335937,329.0252990722656,327.9085998535156
108,108,108,2019-07-11,329.13311767578125,325.2243347167969,326.0178527832031
109,109,109,2019-07-12,327.4579162597656,326.5076904296875,329.2800598144531
110,110,110,2019-07-15,328.1338195800781,327.3403015136719,320.2772521972656
111,111,111,2019-07-16,324.76397705078125,325.9493103027344,321.0708312988281
112,112,112,2019-07-17,327.1836242675781,328.506103515625,324.4014892578125
113,113,113,2019-07-18,333.5413513183594,325.1361694335937,329.0252990722656
114,114,114,2019-07-19,328.2220458984375,329.13311767578125,325.2243347167969
115,115,115,2019-07-22,332.2678527832031,327.4579162597656,326.5076904296875
116,116,116,2019-07-23,334.5503845214844,328.1338195800781,327.3403015136719
117,117,117,2019-07-24,339.0272521972656,324.76397705078125,325.9493103027344
118,118,118,2019-07-25,339.0664367675781,327.1836242675781,328.506103515625
119,119,119,2019-07-26,340.0852355957031,333.5413513183594,325.1361694335937
120,120,120,2019-07-29,343.61187744140625,328.2220458984375,329.13311767578125
121,121,121,2019-07-30,340.00689697265625,332.2678527832031,327.4579162597656
122,122,122,2019-07-31,332.8164367675781,334.5503845214844,328.1338195800781
123,123,123,2019-08-01,354.2015380859375,339.0272521972656,324.76397705078125
124,124,124,2019-08-02,353.986083984375,339.0664367675781,327.1836242675781
125,125,125,2019-08-05,343.4551696777344,340.0852355957031,333.5413513183594
126,126,126,2019-08-06,355.2987670898437,343.61187744140625,328.2220458984375
127,127,127,2019-08-07,350.51824951171875,340.00689697265625,332.2678527832031
