,Unnamed: 0,Date,DE
147,147,2019-09-05,146.80506896972656
148,148,2019-09-06,147.01171875
149,149,2019-09-09,148.73995971679688
150,150,2019-09-10,154.07489013671875
151,151,2019-09-11,155.11749267578125
152,152,2019-09-12,153.34228515625
153,153,2019-09-13,155.37106323242188
154,154,2019-09-16,154.59149169921875
155,155,2019-09-17,154.02796936035156
156,156,2019-09-18,155.33346557617188
157,157,2019-09-19,154.45059204101562
158,158,2019-09-20,154.10308837890625
159,159,2019-09-23,155.17385864257812
160,160,2019-09-24,155.8782501220703
161,161,2019-09-25,155.15504455566406
162,162,2019-09-26,156.30093383789062
163,163,2019-09-27,156.87649536132812
164,164,2019-09-30,159.15994262695312
165,165,2019-10-01,156.1593780517578
166,166,2019-10-02,154.03636169433594
167,167,2019-10-03,155.52720642089844
