,Unnamed: 0.1,Unnamed: 0,Date,CBOE,CBOE_6m,CBOE_12m
303,303,303,2020-04-20,102.95999908447266,93.41999816894533,88.18000030517578
304,304,304,2020-04-21,100.38999938964844,93.30999755859376,92.37000274658205
305,305,305,2020-04-22,100.1999969482422,100.51000213623048,89.62000274658203
306,306,306,2020-04-23,99.0500030517578,98.08999633789062,94.88999938964844
307,307,307,2020-04-24,96.5199966430664,97.94000244140624,93.5
308,308,308,2020-04-27,97.13999938964844,102.0,95.6999969482422
309,309,309,2020-04-28,98.5,102.95999908447266,93.41999816894533
310,310,310,2020-04-29,99.31999969482422,100.38999938964844,93.30999755859376
311,311,311,2020-04-30,99.37999725341795,100.1999969482422,100.51000213623048
312,312,312,2020-05-01,94.01000213623048,99.0500030517578,98.08999633789062
313,313,313,2020-05-04,94.4499969482422,96.5199966430664,97.94000244140624
314,314,314,2020-05-05,98.94000244140624,97.13999938964844,102.0
315,315,315,2020-05-06,97.4800033569336,98.5,102.95999908447266
316,316,316,2020-05-07,99.45999908447266,99.31999969482422,100.38999938964844
317,317,317,2020-05-08,100.18000030517578,99.37999725341795,100.1999969482422
318,318,318,2020-05-11,99.87999725341795,94.01000213623048,99.0500030517578
319,319,319,2020-05-12,97.9000015258789,94.4499969482422,96.5199966430664
320,320,320,2020-05-13,98.05999755859376,98.94000244140624,97.13999938964844
321,321,321,2020-05-14,99.33999633789062,97.4800033569336,98.5
322,322,322,2020-05-15,99.87999725341795,99.45999908447266,99.31999969482422
323,323,323,2020-05-18,102.76000213623048,100.18000030517578,99.37999725341795
324,324,324,2020-05-19,98.94000244140624,99.87999725341795,94.01000213623048
325,325,325,2020-05-20,100.48999786376952,97.9000015258789,94.4499969482422
326,326,326,2020-05-21,97.9800033569336,98.05999755859376,98.94000244140624
327,327,327,2020-05-22,99.30999755859376,99.33999633789062,97.4800033569336
328,328,328,2020-05-26,101.41999816894533,99.87999725341795,99.45999908447266
329,329,329,2020-05-27,102.66000366210938,102.76000213623048,100.18000030517578
330,330,330,2020-05-28,102.62999725341795,98.94000244140624,99.87999725341795
331,331,331,2020-05-29,106.45999908447266,100.48999786376952,97.9000015258789
332,332,332,2020-06-01,105.08000183105467,97.9800033569336,98.05999755859376
333,333,333,2020-06-02,102.68000030517578,99.30999755859376,99.33999633789062
334,334,334,2020-06-03,104.0,101.41999816894533,99.87999725341795
335,335,335,2020-06-04,101.02999877929688,102.66000366210938,102.76000213623048
336,336,336,2020-06-05,97.83999633789062,102.62999725341795,98.94000244140624
337,337,337,2020-06-08,103.43000030517578,106.45999908447266,100.48999786376952
338,338,338,2020-06-09,103.0500030517578,105.08000183105467,97.9800033569336
339,339,339,2020-06-10,101.37000274658205,102.68000030517578,99.30999755859376
340,340,340,2020-06-11,97.0,104.0,101.41999816894533
341,341,341,2020-06-12,99.9000015258789,101.02999877929688,102.66000366210938
342,342,342,2020-06-15,101.0999984741211,97.83999633789062,102.62999725341795
343,343,343,2020-06-16,101.4499969482422,103.43000030517578,106.45999908447266
344,344,344,2020-06-17,101.04000091552734,103.0500030517578,105.08000183105467
345,345,345,2020-06-18,100.25,101.37000274658205,102.68000030517578
346,346,346,2020-06-19,98.75,97.0,104.0
347,347,347,2020-06-22,100.0500030517578,99.9000015258789,101.02999877929688
