,Unnamed: 0.1,Unnamed: 0,Date,UDR,UDR_6m,UDR_12m
658,658,658,2021-09-15,49.01460266113281,49.19731521606445,48.2471809387207
659,659,659,2021-09-16,49.10596084594727,49.79115676879883,48.84101486206055
660,660,660,2021-09-17,48.58521270751953,48.932373046875,49.352630615234375
661,661,661,2021-09-20,48.54866027832031,48.192359924316406,50.51289749145508
662,662,662,2021-09-21,48.71310806274414,48.73138427734375,50.66820907592773
663,663,663,2021-09-22,49.00545883178711,48.84101486206055,50.58598327636719
664,664,664,2021-09-23,49.31608581542969,49.01460266113281,49.19731521606445
665,665,665,2021-09-24,48.92324447631836,49.10596084594727,49.79115676879883
666,666,666,2021-09-27,48.13754653930664,48.58521270751953,48.932373046875
667,667,667,2021-09-28,48.13754653930664,48.54866027832031,48.192359924316406
668,668,668,2021-09-29,48.90496826171875,48.71310806274414,48.73138427734375
669,669,669,2021-09-30,48.40248489379883,49.00545883178711,48.84101486206055
670,670,670,2021-10-01,48.914100646972656,49.31608581542969,49.01460266113281
671,671,671,2021-10-04,49.09682846069336,48.92324447631836,49.10596084594727
672,672,672,2021-10-05,48.90496826171875,48.13754653930664,48.58521270751953
673,673,673,2021-10-06,49.3343620300293,48.13754653930664,48.54866027832031
674,674,674,2021-10-07,49.24513626098633,48.90496826171875,48.71310806274414
675,675,675,2021-10-08,48.785247802734375,48.40248489379883,49.00545883178711
676,676,676,2021-10-11,48.64728164672852,48.914100646972656,49.31608581542969
677,677,677,2021-10-12,49.300323486328125,49.09682846069336,48.92324447631836
678,678,678,2021-10-13,49.99015808105469,48.90496826171875,48.13754653930664
679,679,679,2021-10-14,50.65240859985352,49.3343620300293,48.13754653930664
680,680,680,2021-10-15,49.6130485534668,49.24513626098633,48.90496826171875
681,681,681,2021-10-18,50.02695083618164,48.785247802734375,48.40248489379883
682,682,682,2021-10-19,49.6130485534668,48.64728164672852,48.914100646972656
683,683,683,2021-10-20,50.33048629760742,49.300323486328125,49.09682846069336
684,684,684,2021-10-21,50.39487075805664,49.99015808105469,48.90496826171875
685,685,685,2021-10-22,50.57882690429688,50.65240859985352,49.3343620300293
686,686,686,2021-10-25,50.28449630737305,49.6130485534668,49.24513626098633
687,687,687,2021-10-26,50.71678924560547,50.02695083618164,48.785247802734375
688,688,688,2021-10-27,51.00192642211914,49.6130485534668,48.64728164672852
689,689,689,2021-10-28,51.74694442749024,50.33048629760742,49.300323486328125
690,690,690,2021-10-29,51.07550811767578,50.39487075805664,49.99015808105469
691,691,691,2021-11-01,50.61561584472656,50.57882690429688,50.65240859985352
692,692,692,2021-11-02,50.771968841552734,50.28449630737305,49.6130485534668
693,693,693,2021-11-03,50.74437713623047,50.71678924560547,50.02695083618164
694,694,694,2021-11-04,49.80620956420898,51.00192642211914,49.6130485534668
