,Unnamed: 0.1,Unnamed: 0,Date,VTRS,VTRS_6m,VTRS_12m
488,488,488,2021-01-12,16.311073303222656,16.579347610473633,15.989142417907717
489,489,489,2021-01-13,16.45414924621582,16.185874938964844,15.890775680541992
490,490,490,2021-01-14,15.47941780090332,16.534635543823242,15.863946914672852
491,491,491,2021-01-15,15.246917724609377,16.561460494995117,15.872888565063477
492,492,492,2021-01-19,15.595672607421877,16.364727020263672,16.21269989013672
493,493,493,2021-01-20,15.819231986999512,16.516746520996094,16.758193969726562
494,494,494,2021-01-21,15.47941780090332,16.311073303222656,16.579347610473633
495,495,495,2021-01-22,15.5867280960083,16.45414924621582,16.185874938964844
496,496,496,2021-01-25,15.407881736755373,15.47941780090332,16.534635543823242
497,497,497,2021-01-26,15.282685279846191,15.246917724609377,16.561460494995117
498,498,498,2021-01-27,15.07701301574707,15.595672607421877,16.364727020263672
499,499,499,2021-01-28,15.372112274169922,15.819231986999512,16.516746520996094
500,500,500,2021-01-29,15.193262100219728,15.47941780090332,16.311073303222656
501,501,501,2021-02-01,15.604615211486816,15.5867280960083,16.45414924621582
502,502,502,2021-02-02,15.542016983032228,15.407881736755373,15.47941780090332
503,503,503,2021-02-03,16.17693328857422,15.282685279846191,15.246917724609377
504,504,504,2021-02-04,16.096450805664062,15.07701301574707,15.595672607421877
505,505,505,2021-02-05,16.007028579711914,15.372112274169922,15.819231986999512
506,506,506,2021-02-08,16.096450805664062,15.193262100219728,15.47941780090332
507,507,507,2021-02-09,16.516746520996094,15.604615211486816,15.5867280960083
508,508,508,2021-02-10,16.445207595825195,15.542016983032228,15.407881736755373
509,509,509,2021-02-11,16.311073303222656,16.17693328857422,15.282685279846191
510,510,510,2021-02-12,16.311073303222656,16.096450805664062,15.07701301574707
511,511,511,2021-02-16,16.400495529174805,16.007028579711914,15.372112274169922
512,512,512,2021-02-17,16.561460494995117,16.096450805664062,15.193262100219728
513,513,513,2021-02-18,16.33789825439453,16.516746520996094,15.604615211486816
514,514,514,2021-02-19,16.28424072265625,16.445207595825195,15.542016983032228
515,515,515,2021-02-22,13.860833168029783,16.311073303222656,16.17693328857422
516,516,516,2021-02-23,13.610445022583008,16.311073303222656,16.096450805664062
517,517,517,2021-02-24,13.68198299407959,16.400495529174805,16.007028579711914
518,518,518,2021-02-25,13.458422660827637,16.561460494995117,16.096450805664062
519,519,519,2021-02-26,13.279573440551758,16.33789825439453,16.516746520996094
520,520,520,2021-03-01,13.163320541381836,16.28424072265625,16.445207595825195
521,521,521,2021-03-02,12.778794288635254,13.860833168029783,16.311073303222656
522,522,522,2021-03-03,12.412154197692873,13.610445022583008,16.311073303222656
523,523,523,2021-03-04,12.15282154083252,13.68198299407959,16.400495529174805
524,524,524,2021-03-05,12.438980102539062,13.458422660827637,16.561460494995117
525,525,525,2021-03-08,12.367441177368164,13.279573440551758,16.33789825439453
526,526,526,2021-03-09,12.438980102539062,13.163320541381836,16.28424072265625
527,527,527,2021-03-10,12.57311725616455,12.778794288635254,13.860833168029783
528,528,528,2021-03-11,12.608888626098633,12.412154197692873,13.610445022583008
529,529,529,2021-03-12,12.841392517089844,12.15282154083252,13.68198299407959
530,530,530,2021-03-15,13.118608474731444,12.438980102539062,13.458422660827637
531,531,531,2021-03-16,12.993412017822266,12.367441177368164,13.279573440551758
532,532,532,2021-03-17,13.485248565673828,12.438980102539062,13.163320541381836
533,533,533,2021-03-18,13.04706859588623,12.57311725616455,12.778794288635254
534,534,534,2021-03-19,13.216974258422852,12.608888626098633,12.412154197692873
535,535,535,2021-03-22,13.22591781616211,12.841392517089844,12.15282154083252
536,536,536,2021-03-23,12.671483039855955,13.118608474731444,12.438980102539062
537,537,537,2021-03-24,12.52840518951416,12.993412017822266,12.367441177368164
538,538,538,2021-03-25,12.537347793579102,13.485248565673828,12.438980102539062
539,539,539,2021-03-26,12.841392517089844,13.04706859588623,12.57311725616455
540,540,540,2021-03-29,12.805621147155762,13.216974258422852,12.608888626098633
541,541,541,2021-03-30,12.653597831726074,13.22591781616211,12.841392517089844
542,542,542,2021-03-31,12.492636680603027,12.671483039855955,13.118608474731444
543,543,543,2021-04-01,12.430036544799805,12.52840518951416,12.993412017822266
544,544,544,2021-04-05,12.564175605773926,12.537347793579102,13.485248565673828
545,545,545,2021-04-06,12.367441177368164,12.841392517089844,13.04706859588623
546,546,546,2021-04-07,11.973974227905272,12.805621147155762,13.216974258422852
547,547,547,2021-04-08,11.88454532623291,12.653597831726074,13.22591781616211
548,548,548,2021-04-09,11.98291301727295,12.492636680603027,12.671483039855955
549,549,549,2021-04-12,11.857718467712402,12.430036544799805,12.52840518951416
550,550,550,2021-04-13,11.598389625549316,12.564175605773926,12.537347793579102
551,551,551,2021-04-14,11.813008308410645,12.367441177368164,12.841392517089844
552,552,552,2021-04-15,11.875603675842283,11.973974227905272,12.805621147155762
553,553,553,2021-04-16,11.98291301727295,11.88454532623291,12.653597831726074
554,554,554,2021-04-19,11.848777770996094,11.98291301727295,12.492636680603027
555,555,555,2021-04-20,11.72358226776123,11.857718467712402,12.430036544799805
556,556,556,2021-04-21,11.893487930297852,11.598389625549316,12.564175605773926
557,557,557,2021-04-22,11.947144508361816,11.813008308410645,12.367441177368164
558,558,558,2021-04-23,11.947144508361816,11.875603675842283,11.973974227905272
559,559,559,2021-04-26,12.117051124572754,11.98291301727295,11.88454532623291
560,560,560,2021-04-27,11.875603675842283,11.848777770996094,11.98291301727295
561,561,561,2021-04-28,12.036569595336914,11.72358226776123,11.857718467712402
562,562,562,2021-04-29,11.947144508361816,11.893487930297852,11.598389625549316
563,563,563,2021-04-30,11.893487930297852,11.947144508361816,11.813008308410645
564,564,564,2021-05-03,12.072339057922363,11.947144508361816,11.875603675842283
565,565,565,2021-05-04,11.98291301727295,12.117051124572754,11.98291301727295
566,566,566,2021-05-05,12.197534561157228,11.875603675842283,11.848777770996094
567,567,567,2021-05-06,12.456865310668944,12.036569595336914,11.72358226776123
568,568,568,2021-05-07,12.591002464294434,11.947144508361816,11.893487930297852
569,569,569,2021-05-10,13.449481010437012,11.893487930297852,11.947144508361816
570,570,570,2021-05-11,13.538905143737791,12.072339057922363,11.947144508361816
571,571,571,2021-05-12,14.05756950378418,11.98291301727295,12.117051124572754
572,572,572,2021-05-13,14.245360374450684,12.197534561157228,11.875603675842283
573,573,573,2021-05-14,14.30795669555664,12.456865310668944,12.036569595336914
574,574,574,2021-05-17,14.442092895507812,12.591002464294434,11.947144508361816
575,575,575,2021-05-18,14.352667808532717,13.449481010437012,11.893487930297852
576,576,576,2021-05-19,13.860833168029783,13.538905143737791,12.072339057922363
577,577,577,2021-05-20,13.941314697265623,14.05756950378418,11.98291301727295
578,578,578,2021-05-21,13.788213729858398,14.245360374450684,12.197534561157228
579,579,579,2021-05-24,13.833244323730469,14.30795669555664,12.456865310668944
580,580,580,2021-05-25,13.491013526916504,14.442092895507812,12.591002464294434
581,581,581,2021-05-26,13.653122901916504,14.352667808532717,13.449481010437012
582,582,582,2021-05-27,13.635111808776855,13.860833168029783,13.538905143737791
583,583,583,2021-05-28,13.725172996520996,13.941314697265623,14.05756950378418
584,584,584,2021-06-01,13.743182182312012,13.788213729858398,14.245360374450684
585,585,585,2021-06-02,13.923303604125977,13.833244323730469,14.30795669555664
586,586,586,2021-06-03,13.878273963928224,13.491013526916504,14.442092895507812
587,587,587,2021-06-04,13.860262870788574,13.653122901916504,14.352667808532717
588,588,588,2021-06-07,13.860262870788574,13.635111808776855,13.860833168029783
589,589,589,2021-06-08,13.95032024383545,13.725172996520996,13.941314697265623
590,590,590,2021-06-09,13.914298057556152,13.743182182312012,13.788213729858398
591,591,591,2021-06-10,14.220500946044922,13.923303604125977,13.833244323730469
592,592,592,2021-06-11,14.166465759277344,13.878273963928224,13.491013526916504
593,593,593,2021-06-14,14.076404571533203,13.860262870788574,13.653122901916504
594,594,594,2021-06-15,13.779207229614258,13.860262870788574,13.635111808776855
595,595,595,2021-06-16,13.707159996032717,13.95032024383545,13.725172996520996
596,596,596,2021-06-17,13.211827278137209,13.914298057556152,13.743182182312012
597,597,597,2021-06-18,12.842580795288086,14.220500946044922,13.923303604125977
598,598,598,2021-06-21,12.923636436462402,14.166465759277344,13.878273963928224
599,599,599,2021-06-22,12.806559562683104,14.076404571533203,13.860262870788574
600,600,600,2021-06-23,12.76152801513672,13.779207229614258,13.860262870788574
601,601,601,2021-06-24,12.93264102935791,13.707159996032717,13.95032024383545
602,602,602,2021-06-25,13.1217679977417,13.211827278137209,13.914298057556152
603,603,603,2021-06-28,12.950654029846191,12.842580795288086,14.220500946044922
604,604,604,2021-06-29,13.076738357543944,12.923636436462402,14.166465759277344
605,605,605,2021-06-30,12.869600296020508,12.806559562683104,14.076404571533203
606,606,606,2021-07-01,13.283876419067385,12.76152801513672,13.779207229614258
607,607,607,2021-07-02,13.247852325439451,12.93264102935791,13.707159996032717
608,608,608,2021-07-06,12.779539108276367,13.1217679977417,13.211827278137209
609,609,609,2021-07-07,12.635441780090332,12.950654029846191,12.842580795288086
610,610,610,2021-07-08,12.41029167175293,13.076738357543944,12.923636436462402
611,611,611,2021-07-09,12.887612342834473,12.869600296020508,12.806559562683104
612,612,612,2021-07-12,12.77053451538086,13.283876419067385,12.76152801513672
613,613,613,2021-07-13,12.536376953125,13.247852325439451,12.93264102935791
614,614,614,2021-07-14,12.671468734741213,12.779539108276367,13.1217679977417
615,615,615,2021-07-15,12.50035285949707,12.635441780090332,12.950654029846191
616,616,616,2021-07-16,12.39228057861328,12.41029167175293,13.076738357543944
617,617,617,2021-07-19,12.24818515777588,12.887612342834473,12.869600296020508
618,618,618,2021-07-20,12.509359359741213,12.77053451538086,13.283876419067385
619,619,619,2021-07-21,12.662461280822754,12.536376953125,13.247852325439451
620,620,620,2021-07-22,12.473336219787598,12.671468734741213,12.779539108276367
621,621,621,2021-07-23,12.536376953125,12.50035285949707,12.635441780090332
622,622,622,2021-07-26,12.46432876586914,12.39228057861328,12.41029167175293
623,623,623,2021-07-27,12.527371406555176,12.24818515777588,12.887612342834473
624,624,624,2021-07-28,12.815563201904297,12.509359359741213,12.77053451538086
625,625,625,2021-07-29,12.869600296020508,12.662461280822754,12.536376953125
626,626,626,2021-07-30,12.671468734741213,12.473336219787598,12.671468734741213
627,627,627,2021-08-02,12.815563201904297,12.536376953125,12.50035285949707
628,628,628,2021-08-03,12.779539108276367,12.46432876586914,12.39228057861328
629,629,629,2021-08-04,12.39228057861328,12.527371406555176,12.24818515777588
630,630,630,2021-08-05,12.545384407043455,12.815563201904297,12.509359359741213
631,631,631,2021-08-06,12.833576202392578,12.869600296020508,12.662461280822754
632,632,632,2021-08-09,13.599087715148926,12.671468734741213,12.473336219787598
633,633,633,2021-08-10,13.608092308044434,12.815563201904297,12.536376953125
634,634,634,2021-08-11,13.346919059753418,12.779539108276367,12.46432876586914
635,635,635,2021-08-12,13.463995933532717,12.39228057861328,12.527371406555176
636,636,636,2021-08-13,13.463995933532717,12.545384407043455,12.815563201904297
637,637,637,2021-08-16,13.427972793579102,12.833576202392578,12.869600296020508
638,638,638,2021-08-17,13.301889419555664,13.599087715148926,12.671468734741213
639,639,639,2021-08-18,13.319900512695312,13.608092308044434,12.815563201904297
640,640,640,2021-08-19,13.265864372253418,13.346919059753418,12.779539108276367
641,641,641,2021-08-20,13.229839324951172,13.463995933532717,12.39228057861328
642,642,642,2021-08-23,13.393171310424805,13.463995933532717,12.545384407043455
643,643,643,2021-08-24,13.3024320602417,13.427972793579102,12.833576202392578
644,644,644,2021-08-25,13.175396919250488,13.301889419555664,13.599087715148926
645,645,645,2021-08-26,12.966694831848145,13.319900512695312,13.608092308044434
646,646,646,2021-08-27,13.039286613464355,13.265864372253418,13.346919059753418
647,647,647,2021-08-30,13.07558250427246,13.229839324951172,13.463995933532717
648,648,648,2021-08-31,13.2752103805542,13.393171310424805,13.463995933532717
649,649,649,2021-09-01,13.238916397094728,13.3024320602417,13.427972793579102
650,650,650,2021-09-02,13.728907585144045,13.175396919250488,13.301889419555664
651,651,651,2021-09-03,13.511134147644045,12.966694831848145,13.319900512695312
652,652,652,2021-09-07,13.3024320602417,13.039286613464355,13.265864372253418
653,653,653,2021-09-08,13.202618598937988,13.07558250427246,13.229839324951172
654,654,654,2021-09-09,12.966694831848145,13.2752103805542,13.393171310424805
655,655,655,2021-09-10,12.522071838378906,13.238916397094728,13.3024320602417
656,656,656,2021-09-13,12.630959510803224,13.728907585144045,13.175396919250488
657,657,657,2021-09-14,12.413182258605955,13.511134147644045,12.966694831848145
658,658,658,2021-09-15,12.458552360534668,13.3024320602417,13.039286613464355
659,659,659,2021-09-16,12.422258377075195,13.202618598937988,13.07558250427246
660,660,660,2021-09-17,12.313369750976562,12.966694831848145,13.2752103805542
661,661,661,2021-09-20,12.095595359802246,12.522071838378906,13.238916397094728
662,662,662,2021-09-21,12.050225257873535,12.630959510803224,13.728907585144045
663,663,663,2021-09-22,12.02300262451172,12.413182258605955,13.511134147644045
664,664,664,2021-09-23,12.104668617248535,12.458552360534668,13.3024320602417
665,665,665,2021-09-24,12.14096450805664,12.422258377075195,13.202618598937988
666,666,666,2021-09-27,12.540217399597168,12.313369750976562,12.966694831848145
667,667,667,2021-09-28,12.431331634521484,12.095595359802246,12.522071838378906
668,668,668,2021-09-29,12.57651424407959,12.050225257873535,12.630959510803224
669,669,669,2021-09-30,12.295223236083984,12.02300262451172,12.413182258605955
670,670,670,2021-10-01,12.34059238433838,12.104668617248535,12.458552360534668
671,671,671,2021-10-04,12.186335563659668,12.14096450805664,12.422258377075195
672,672,672,2021-10-05,12.249853134155272,12.540217399597168,12.313369750976562
673,673,673,2021-10-06,12.195408821105955,12.431331634521484,12.095595359802246
674,674,674,2021-10-07,12.367813110351562,12.57651424407959,12.050225257873535
675,675,675,2021-10-08,12.367813110351562,12.295223236083984,12.02300262451172
676,676,676,2021-10-11,12.349664688110352,12.34059238433838,12.104668617248535
677,677,677,2021-10-12,12.213555335998535,12.186335563659668,12.14096450805664
678,678,678,2021-10-13,12.131890296936035,12.249853134155272,12.540217399597168
679,679,679,2021-10-14,12.23170280456543,12.195408821105955,12.431331634521484
680,680,680,2021-10-15,12.213555335998535,12.367813110351562,12.57651424407959
681,681,681,2021-10-18,12.240778923034668,12.367813110351562,12.295223236083984
682,682,682,2021-10-19,12.313369750976562,12.349664688110352,12.34059238433838
683,683,683,2021-10-20,12.694476127624512,12.213555335998535,12.186335563659668
684,684,684,2021-10-21,12.712623596191406,12.131890296936035,12.249853134155272
685,685,685,2021-10-22,12.6491060256958,12.23170280456543,12.195408821105955
686,686,686,2021-10-25,12.522071838378906,12.213555335998535,12.367813110351562
687,687,687,2021-10-26,12.23170280456543,12.240778923034668,12.367813110351562
688,688,688,2021-10-27,11.88689422607422,12.313369750976562,12.349664688110352
689,689,689,2021-10-28,12.095595359802246,12.694476127624512,12.213555335998535
690,690,690,2021-10-29,12.11374282836914,12.712623596191406,12.131890296936035
691,691,691,2021-11-01,12.540217399597168,12.6491060256958,12.23170280456543
692,692,692,2021-11-02,12.54929256439209,12.522071838378906,12.213555335998535
693,693,693,2021-11-03,12.612810134887695,12.23170280456543,12.240778923034668
694,694,694,2021-11-04,12.413182258605955,11.88689422607422,12.313369750976562
695,695,695,2021-11-05,12.458552360534668,12.095595359802246,12.694476127624512
696,696,696,2021-11-08,13.320579528808594,12.11374282836914,12.712623596191406
697,697,697,2021-11-09,13.220766067504885,12.540217399597168,12.6491060256958
698,698,698,2021-11-10,13.193546295166016,12.54929256439209,12.522071838378906
699,699,699,2021-11-11,13.120951652526855,12.612810134887695,12.23170280456543
700,700,700,2021-11-12,12.803363800048828,12.413182258605955,11.88689422607422
701,701,701,2021-11-15,12.612810134887695,12.458552360534668,12.095595359802246
702,702,702,2021-11-16,12.5946626663208,13.320579528808594,12.11374282836914
703,703,703,2021-11-17,12.385960578918455,13.220766067504885,12.540217399597168
704,704,704,2021-11-18,12.150039672851562,13.193546295166016,12.54929256439209
705,705,705,2021-11-19,11.868744850158691,13.120951652526855,12.612810134887695
706,706,706,2021-11-22,12.006010055541992,12.803363800048828,12.413182258605955
707,707,707,2021-11-23,12.04261302947998,12.612810134887695,12.458552360534668
