,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m
168,168,168,2019-10-04,69.48999786376953,67.30999755859375,68.05999755859375
169,169,169,2019-10-07,69.47000122070312,66.33999633789062,67.69000244140625
170,170,170,2019-10-08,67.56999969482422,66.33999633789062,67.38999938964844
171,171,171,2019-10-09,68.19999694824219,66.23999786376953,68.19999694824219
172,172,172,2019-10-10,67.61000061035156,66.94000244140625,66.69999694824219
173,173,173,2019-10-11,68.13999938964844,68.4000015258789,67.4800033569336
174,174,174,2019-10-14,67.75,69.48999786376953,67.30999755859375
175,175,175,2019-10-15,67.93000030517578,69.47000122070312,66.33999633789062
176,176,176,2019-10-16,67.7300033569336,67.56999969482422,66.33999633789062
177,177,177,2019-10-17,68.5,68.19999694824219,66.23999786376953
178,178,178,2019-10-18,67.01000213623047,67.61000061035156,66.94000244140625
179,179,179,2019-10-21,67.70999908447266,68.13999938964844,68.4000015258789
180,180,180,2019-10-22,67.27999877929688,67.75,69.48999786376953
181,181,181,2019-10-23,67.18000030517578,67.93000030517578,69.47000122070312
182,182,182,2019-10-24,67.8499984741211,67.7300033569336,67.56999969482422
183,183,183,2019-10-25,69.05999755859375,68.5,68.19999694824219
184,184,184,2019-10-28,70.0,67.01000213623047,67.61000061035156
185,185,185,2019-10-29,70.0,67.70999908447266,68.13999938964844
186,186,186,2019-10-30,71.2300033569336,67.27999877929688,67.75
187,187,187,2019-10-31,70.5,67.18000030517578,67.93000030517578
188,188,188,2019-11-01,66.0199966430664,67.8499984741211,67.7300033569336
189,189,189,2019-11-04,62.16999816894531,69.05999755859375,68.5
190,190,190,2019-11-05,61.95000076293945,70.0,67.01000213623047
191,191,191,2019-11-06,61.369998931884766,70.0,67.70999908447266
192,192,192,2019-11-07,62.66999816894531,71.2300033569336,67.27999877929688
193,193,193,2019-11-08,63.15999984741211,70.5,67.18000030517578
194,194,194,2019-11-11,64.47000122070312,66.0199966430664,67.8499984741211
195,195,195,2019-11-12,64.73999786376953,62.16999816894531,69.05999755859375
196,196,196,2019-11-13,64.61000061035156,61.95000076293945,70.0
197,197,197,2019-11-14,64.97000122070312,61.369998931884766,70.0
198,198,198,2019-11-15,65.4000015258789,62.66999816894531,71.2300033569336
199,199,199,2019-11-18,66.87999725341797,63.15999984741211,70.5
200,200,200,2019-11-19,68.22000122070312,64.47000122070312,66.0199966430664
201,201,201,2019-11-20,67.70999908447266,64.73999786376953,62.16999816894531
202,202,202,2019-11-21,66.16000366210938,64.61000061035156,61.95000076293945
203,203,203,2019-11-22,67.58999633789062,64.97000122070312,61.369998931884766
204,204,204,2019-11-25,69.02999877929688,65.4000015258789,62.66999816894531
