,Unnamed: 0,Date,ROST
411,411,2020-09-22,87.51045227050781
412,412,2020-09-23,84.72925567626953
413,413,2020-09-24,83.70565032958984
414,414,2020-09-25,84.91275024414062
415,415,2020-09-28,89.09416961669922
416,416,2020-09-29,87.9063720703125
417,417,2020-09-30,90.11779022216795
418,418,2020-10-01,91.5759735107422
419,419,2020-10-02,92.91827392578124
420,420,2020-10-05,93.74876403808594
421,421,2020-10-06,91.39250183105467
422,422,2020-10-07,93.80670928955078
423,423,2020-10-08,94.50200653076172
424,424,2020-10-09,95.03313446044922
425,425,2020-10-12,95.25524139404295
426,426,2020-10-13,94.28955078125
427,427,2020-10-14,92.9858856201172
428,428,2020-10-15,92.88932800292967
429,429,2020-10-16,91.85602569580078
430,430,2020-10-19,87.83877563476562
431,431,2020-10-20,89.01692199707031
432,432,2020-10-21,89.00725555419922
433,433,2020-10-22,89.96329498291016
434,434,2020-10-23,92.1553955078125
435,435,2020-10-26,88.49544525146484
436,436,2020-10-27,88.31195831298828
437,437,2020-10-28,82.35368347167969
438,438,2020-10-29,84.0050048828125
439,439,2020-10-30,82.2474594116211
440,440,2020-11-02,85.55009460449219
441,441,2020-11-03,88.49544525146484
442,442,2020-11-04,89.03622436523438
443,443,2020-11-05,91.68220520019533
444,444,2020-11-06,90.09848022460938
445,445,2020-11-09,104.12024688720705
446,446,2020-11-10,105.66533660888672
447,447,2020-11-11,100.60514831542967
448,448,2020-11-12,101.02039337158205
449,449,2020-11-13,104.41960906982422
450,450,2020-11-16,107.03662109375
451,451,2020-11-17,106.66963958740234
452,452,2020-11-18,107.48082733154295
453,453,2020-11-19,106.4185791015625
454,454,2020-11-20,105.25009155273438
455,455,2020-11-23,104.46788024902344
456,456,2020-11-24,109.51841735839844
457,457,2020-11-25,107.11386108398438
458,458,2020-11-27,105.78121185302734
459,459,2020-11-30,103.8305206298828
460,460,2020-12-01,107.71259307861328
461,461,2020-12-02,107.75121307373048
462,462,2020-12-03,109.180419921875
463,463,2020-12-04,111.2856216430664
464,464,2020-12-07,109.701904296875
465,465,2020-12-08,109.57636260986328
466,466,2020-12-09,109.89505004882812
467,467,2020-12-10,109.43151092529295
468,468,2020-12-11,108.94866943359376
469,469,2020-12-14,106.75656127929688
470,470,2020-12-15,109.20939636230467
471,471,2020-12-16,109.53773498535156
472,472,2020-12-17,112.68587493896484
