,Unnamed: 0.1,Unnamed: 0,Date,CCI,CCI_6m,CCI_12m
383,383,383,2020-08-12,143.8884735107422,144.48072814941406,146.7105255126953
384,384,384,2020-08-13,143.15682983398438,143.29620361328125,149.61962890625
385,385,385,2020-08-14,143.39202880859375,142.73004150390625,151.4399871826172
386,386,386,2020-08-17,144.63754272460938,146.49276733398438,148.25221252441406
387,387,387,2020-08-18,144.58526611328125,144.74205017089844,148.25221252441406
388,388,388,2020-08-19,141.65869140625,140.91836547851562,142.93038940429688
389,389,389,2020-08-20,141.86776733398438,143.8884735107422,144.48072814941406
390,390,390,2020-08-21,142.12037658691406,143.15682983398438,143.29620361328125
391,391,391,2020-08-24,140.23899841308594,143.39202880859375,142.73004150390625
392,392,392,2020-08-25,139.9602813720703,144.63754272460938,146.49276733398438
393,393,393,2020-08-26,140.2041473388672,144.58526611328125,144.74205017089844
394,394,394,2020-08-27,142.3380889892578,141.65869140625,140.91836547851562
395,395,395,2020-08-28,142.66038513183594,141.86776733398438,143.8884735107422
396,396,396,2020-08-31,142.19007873535156,142.12037658691406,143.15682983398438
397,397,397,2020-09-01,141.1884002685547,140.23899841308594,143.39202880859375
398,398,398,2020-09-02,144.82911682128906,139.9602813720703,144.63754272460938
399,399,399,2020-09-03,140.8487091064453,140.2041473388672,144.58526611328125
400,400,400,2020-09-04,139.8731689453125,142.3380889892578,141.65869140625
401,401,401,2020-09-08,138.0528106689453,142.66038513183594,141.86776733398438
402,402,402,2020-09-09,140.48284912109375,142.19007873535156,142.12037658691406
403,403,403,2020-09-10,138.27926635742188,141.1884002685547,140.23899841308594
404,404,404,2020-09-11,138.1312255859375,144.82911682128906,139.9602813720703
405,405,405,2020-09-14,140.562255859375,140.8487091064453,140.2041473388672
406,406,406,2020-09-15,143.4584503173828,139.8731689453125,142.3380889892578
407,407,407,2020-09-16,145.83685302734375,138.0528106689453,142.66038513183594
408,408,408,2020-09-17,142.74757385253906,140.48284912109375,142.19007873535156
409,409,409,2020-09-18,140.14097595214844,138.27926635742188,141.1884002685547
410,410,410,2020-09-21,138.29794311523438,138.1312255859375,144.82911682128906
411,411,411,2020-09-22,140.404296875,140.562255859375,140.8487091064453
412,412,412,2020-09-23,136.57777404785156,143.4584503173828,139.8731689453125
413,413,413,2020-09-24,138.1399688720703,145.83685302734375,138.0528106689453
414,414,414,2020-09-25,141.92259216308594,142.74757385253906,140.48284912109375
415,415,415,2020-09-28,143.57257080078125,140.14097595214844,138.27926635742188
416,416,416,2020-09-29,144.09034729003906,138.29794311523438,138.1312255859375
417,417,417,2020-09-30,146.12646484375,140.404296875,140.562255859375
418,418,418,2020-10-01,147.45166015625,136.57777404785156,143.4584503173828
419,419,419,2020-10-02,147.98707580566406,138.1399688720703,145.83685302734375
420,420,420,2020-10-05,148.0221710205078,141.92259216308594,142.74757385253906
421,421,421,2020-10-06,144.88897705078125,143.57257080078125,140.14097595214844
422,422,422,2020-10-07,144.73980712890625,144.09034729003906,138.29794311523438
423,423,423,2020-10-08,145.49453735351562,146.12646484375,140.404296875
424,424,424,2020-10-09,146.88124084472656,147.45166015625,136.57777404785156
425,425,425,2020-10-12,147.64476013183594,147.98707580566406,138.1399688720703
426,426,426,2020-10-13,146.3897705078125,148.0221710205078,141.92259216308594
427,427,427,2020-10-14,144.83633422851562,144.88897705078125,143.57257080078125
428,428,428,2020-10-15,147.56578063964844,144.73980712890625,144.09034729003906
429,429,429,2020-10-16,146.4775390625,145.49453735351562,146.12646484375
430,430,430,2020-10-19,144.21324157714844,146.88124084472656,147.45166015625
431,431,431,2020-10-20,144.33607482910156,147.64476013183594,147.98707580566406
432,432,432,2020-10-21,143.74807739257812,146.3897705078125,148.0221710205078
433,433,433,2020-10-22,137.13070678710938,144.83633422851562,144.88897705078125
434,434,434,2020-10-23,139.07904052734375,147.56578063964844,144.73980712890625
435,435,435,2020-10-26,140.3516082763672,146.4775390625,145.49453735351562
436,436,436,2020-10-27,140.95718383789062,144.21324157714844,146.88124084472656
437,437,437,2020-10-28,137.65725708007812,144.33607482910156,147.64476013183594
438,438,438,2020-10-29,138.41204833984375,143.74807739257812,146.3897705078125
439,439,439,2020-10-30,137.08680725097656,137.13070678710938,144.83633422851562
440,440,440,2020-11-02,139.9654541015625,139.07904052734375,147.56578063964844
441,441,441,2020-11-03,140.72901916503906,140.3516082763672,146.4775390625
442,442,442,2020-11-04,142.29119873046875,140.95718383789062,144.21324157714844
443,443,443,2020-11-05,142.98452758789062,137.65725708007812,144.33607482910156
444,444,444,2020-11-06,143.99378967285156,138.41204833984375,143.74807739257812
445,445,445,2020-11-09,141.98402404785156,137.08680725097656,137.13070678710938
446,446,446,2020-11-10,140.79043579101562,139.9654541015625,139.07904052734375
447,447,447,2020-11-11,144.4940948486328,140.72901916503906,140.3516082763672
448,448,448,2020-11-12,146.52139282226562,142.29119873046875,140.95718383789062
449,449,449,2020-11-13,147.45166015625,142.98452758789062,137.65725708007812
450,450,450,2020-11-16,145.17861938476562,143.99378967285156,138.41204833984375
451,451,451,2020-11-17,145.9860382080078,141.98402404785156,137.08680725097656
452,452,452,2020-11-18,149.76866149902344,140.79043579101562,139.9654541015625
453,453,453,2020-11-19,147.52188110351562,144.4940948486328,140.72901916503906
454,454,454,2020-11-20,146.53895568847656,146.52139282226562,142.29119873046875
455,455,455,2020-11-23,146.0035858154297,147.45166015625,142.98452758789062
456,456,456,2020-11-24,144.15179443359375,145.17861938476562,143.99378967285156
457,457,457,2020-11-25,144.77490234375,145.9860382080078,141.98402404785156
458,458,458,2020-11-27,146.7144775390625,149.76866149902344,140.79043579101562
459,459,459,2020-11-30,147.0655517578125,147.52188110351562,144.4940948486328
460,460,460,2020-12-01,149.90032958984375,146.53895568847656,146.52139282226562
461,461,461,2020-12-02,146.42486572265625,146.0035858154297,147.45166015625
462,462,462,2020-12-03,146.9514617919922,144.15179443359375,145.17861938476562
463,463,463,2020-12-04,143.4935760498047,144.77490234375,145.9860382080078
464,464,464,2020-12-07,142.57205200195312,146.7144775390625,149.76866149902344
465,465,465,2020-12-08,141.589111328125,147.0655517578125,147.52188110351562
466,466,466,2020-12-09,139.0088348388672,149.90032958984375,146.53895568847656
467,467,467,2020-12-10,137.98199462890625,146.42486572265625,146.0035858154297
468,468,468,2020-12-11,138.3857421875,146.9514617919922,144.15179443359375
469,469,469,2020-12-14,137.35899353027344,143.4935760498047,144.77490234375
470,470,470,2020-12-15,137.5537109375,142.57205200195312,146.7144775390625
471,471,471,2020-12-16,136.4119415283203,141.589111328125,147.0655517578125
472,472,472,2020-12-17,137.85467529296875,139.0088348388672,149.90032958984375
473,473,473,2020-12-18,136.13754272460938,137.98199462890625,146.42486572265625
474,474,474,2020-12-21,135.65077209472656,138.3857421875,146.9514617919922
475,475,475,2020-12-22,135.8543243408203,137.35899353027344,143.4935760498047
476,476,476,2020-12-23,134.9426727294922,137.5537109375,142.57205200195312
477,477,477,2020-12-24,136.30572509765625,136.4119415283203,141.589111328125
478,478,478,2020-12-28,138.29721069335938,137.85467529296875,139.0088348388672
479,479,479,2020-12-29,137.90774536132812,136.13754272460938,137.98199462890625
480,480,480,2020-12-30,138.4210968017578,135.65077209472656,138.3857421875
481,481,481,2020-12-31,140.89939880371094,135.8543243408203,137.35899353027344
482,482,482,2021-01-04,137.1907958984375,134.9426727294922,137.5537109375
483,483,483,2021-01-05,137.73074340820312,136.30572509765625,136.4119415283203
484,484,484,2021-01-06,134.031005859375,138.29721069335938,137.85467529296875
485,485,485,2021-01-07,134.93382263183594,137.90774536132812,136.13754272460938
486,486,486,2021-01-08,136.3588409423828,138.4210968017578,135.65077209472656
487,487,487,2021-01-11,135.4737548828125,140.89939880371094,135.8543243408203
488,488,488,2021-01-12,133.17247009277344,137.1907958984375,134.9426727294922
489,489,489,2021-01-13,135.14625549316406,137.73074340820312,136.30572509765625
490,490,490,2021-01-14,136.97840881347656,134.031005859375,138.29721069335938
491,491,491,2021-01-15,139.18231201171875,134.93382263183594,137.90774536132812
492,492,492,2021-01-19,141.07643127441406,136.3588409423828,138.4210968017578
493,493,493,2021-01-20,140.78433227539062,135.4737548828125,140.89939880371094
494,494,494,2021-01-21,141.0321502685547,133.17247009277344,137.1907958984375
495,495,495,2021-01-22,140.6604461669922,135.14625549316406,137.73074340820312
496,496,496,2021-01-25,142.40408325195312,136.97840881347656,134.031005859375
497,497,497,2021-01-26,144.66995239257812,139.18231201171875,134.93382263183594
