,Unnamed: 0,Date,MCO
147,147,2019-09-05,211.66339111328125
148,148,2019-09-06,212.5887451171875
149,149,2019-09-09,209.5330352783203
150,150,2019-09-10,203.8361358642578
151,151,2019-09-11,205.4073638916016
152,152,2019-09-12,205.3013153076172
153,153,2019-09-13,204.62657165527344
154,154,2019-09-16,205.63870239257807
155,155,2019-09-17,210.2945556640625
156,156,2019-09-18,208.9450225830078
157,157,2019-09-19,208.76190185546875
158,158,2019-09-20,206.36163330078125
159,159,2019-09-23,207.61480712890625
160,160,2019-09-24,202.9878387451172
161,161,2019-09-25,206.0242462158203
162,162,2019-09-26,205.49411010742188
163,163,2019-09-27,198.4573211669922
164,164,2019-09-30,197.44517517089844
165,165,2019-10-01,194.2255706787109
166,166,2019-10-02,189.71429443359372
167,167,2019-10-03,192.36517333984372
