,Unnamed: 0,Date,UPS
147,147,2019-09-05,106.07093811035156
148,148,2019-09-06,105.09075927734376
149,149,2019-09-09,106.47352600097656
150,150,2019-09-10,107.12117004394533
151,151,2019-09-11,107.51496124267578
152,152,2019-09-12,107.26117706298828
153,153,2019-09-13,107.35745239257812
154,154,2019-09-16,107.26992797851562
155,155,2019-09-17,107.11239624023438
156,156,2019-09-18,105.93091583251952
157,157,2019-09-19,104.2505874633789
158,158,2019-09-20,105.6333465576172
159,159,2019-09-23,104.18933868408205
160,160,2019-09-24,103.26162719726562
161,161,2019-09-25,104.18933868408205
162,162,2019-09-26,103.66422271728516
163,163,2019-09-27,104.101806640625
164,164,2019-09-30,104.86319732666016
165,165,2019-10-01,101.35375213623048
166,166,2019-10-02,100.85491943359376
167,167,2019-10-03,101.43251037597656
